instance_id,E_dt,rho_sys,iota,regime,arrival_process,eta,nu,phi_star_mean,decision_time_ms
arr_dt100_deterministic,100.0,0.4782,2.4046,high_frequency,deterministic,0.78,0.22,0.9951,3.5794
arr_dt100_mmpp,100.9339,0.472,2.3657,high_frequency,mmpp,0.87,0.13,0.9926,3.6079
arr_dt100_poisson,99.7148,0.4787,2.4064,high_frequency,poisson,0.91,0.09,0.9771,3.6545
arr_dt12p5_deterministic,12.5,3.7751,18.8454,overloaded,deterministic,0.32,0.68,0.3602,4.1968
arr_dt12p5_mmpp,12.3365,3.6967,18.4202,overloaded,mmpp,0.38,0.62,0.4348,4.1723
arr_dt12p5_poisson,12.5822,3.9118,18.8374,overloaded,poisson,0.26,0.74,0.4587,4.1782
arr_dt200_deterministic,200.0,0.2589,1.2738,high_frequency,deterministic,0.85,0.15,0.9961,3.6258
arr_dt200_mmpp,202.0098,0.2233,1.113,high_frequency,mmpp,0.84,0.16,0.9943,3.5819
arr_dt200_poisson,201.1474,0.2445,1.2288,high_frequency,poisson,0.93,0.07,0.9965,3.6261
arr_dt25_deterministic,25.0,1.8625,9.4518,overloaded,deterministic,0.65,0.35,0.698,3.901
arr_dt25_mmpp,24.9862,1.8129,9.0821,overloaded,mmpp,0.49,0.51,0.5489,4.0556
arr_dt25_poisson,25.2176,1.8359,9.1666,overloaded,poisson,0.46,0.54,0.5539,4.1843
arr_dt50_deterministic,50.0,0.9749,4.8562,high_frequency,deterministic,0.86,0.14,0.9275,3.7526
arr_dt50_mmpp,48.9315,0.9569,4.8142,high_frequency,mmpp,0.8,0.2,0.8781,3.8854
arr_dt50_poisson,50.257,0.9188,4.5787,high_frequency,poisson,0.87,0.13,0.9547,3.8055
