kind,i,j,value,extra
header,5,5,25,100
stage_machines,0,,5,
stage_machines,1,,5,
stage_machines,2,,5,
stage_machines,3,,5,
stage_machines,4,,5,
proc,0,0,38.0,
proc,0,1,441.0,
proc,0,2,123.0,
proc,0,3,366.0,
proc,0,4,436.0,
proc,1,5,103.0,
proc,1,6,49.0,
proc,1,7,115.0,
proc,1,8,311.0,
proc,1,9,223.0,
proc,2,10,147.0,
proc,2,11,335.0,
proc,2,12,223.0,
proc,2,13,147.0,
proc,2,14,76.0,
proc,3,15,250.0,
proc,3,16,269.0,
proc,3,17,231.0,
proc,3,18,53.0,
proc,3,19,180.0,
proc,4,20,53.0,
proc,4,21,140.0,
proc,4,22,149.0,
proc,4,23,310.0,
proc,4,24,111.0,
proc,5,0,390.0,
proc,5,1,390.0,
proc,5,2,427.0,
proc,5,3,297.0,
proc,5,4,330.0,
proc,6,5,202.0,
proc,6,6,203.0,
proc,6,7,242.0,
proc,6,8,36.0,
proc,6,9,120.0,
proc,7,10,410.0,
proc,7,11,409.0,
proc,7,12,190.0,
proc,7,13,385.0,
proc,7,14,369.0,
proc,8,15,259.0,
proc,8,16,137.0,
proc,8,17,133.0,
proc,8,18,121.0,
proc,8,19,138.0,
proc,9,20,131.0,
proc,9,21,182.0,
proc,9,22,112.0,
proc,9,23,73.0,
proc,9,24,319.0,
proc,10,0,172.0,
proc,10,1,283.0,
proc,10,2,135.0,
proc,10,3,181.0,
proc,10,4,81.0,
proc,11,5,95.0,
proc,11,6,187.0,
proc,11,7,394.0,
proc,11,8,50.0,
proc,11,9,133.0,
proc,12,10,69.0,
proc,12,11,56.0,
proc,12,12,196.0,
proc,12,13,222.0,
proc,12,14,62.0,
proc,13,15,120.0,
proc,13,16,41.0,
proc,13,17,321.0,
proc,13,18,276.0,
proc,13,19,208.0,
proc,14,20,200.0,
proc,14,21,282.0,
proc,14,22,317.0,
proc,14,23,57.0,
proc,14,24,437.0,
proc,15,0,77.0,
proc,15,1,197.0,
proc,15,2,199.0,
proc,15,3,194.0,
proc,15,4,80.0,
proc,16,5,404.0,
proc,16,6,27.0,
proc,16,7,287.0,
proc,16,8,157.0,
proc,16,9,181.0,
proc,17,10,425.0,
proc,17,11,124.0,
proc,17,12,399.0,
proc,17,13,286.0,
proc,17,14,352.0,
proc,18,15,131.0,
proc,18,16,261.0,
proc,18,17,141.0,
proc,18,18,399.0,
proc,18,19,431.0,
proc,19,20,393.0,
proc,19,21,136.0,
proc,19,22,434.0,
proc,19,23,45.0,
proc,19,24,171.0,
proc,20,0,58.0,
proc,20,1,29.0,
proc,20,2,287.0,
proc,20,3,311.0,
proc,20,4,168.0,
proc,21,5,206.0,
proc,21,6,185.0,
proc,21,7,221.0,
proc,21,8,319.0,
proc,21,9,295.0,
proc,22,10,251.0,
proc,22,11,149.0,
proc,22,12,183.0,
proc,22,13,434.0,
proc,22,14,356.0,
proc,23,15,394.0,
proc,23,16,424.0,
proc,23,17,295.0,
proc,23,18,328.0,
proc,23,19,310.0,
proc,24,20,109.0,
proc,24,21,332.0,
proc,24,22,345.0,
proc,24,23,287.0,
proc,24,24,253.0,
order,0,0,20.84039458287114,920.8403945828711
order,1,0,249.95017601254258,1149.9501760125427
order,2,0,268.58019326854253,1168.5801932685426
order,3,0,269.8032722059946,1169.8032722059945
order,4,3,758.6716218925711,1658.6716218925712
order,5,2,917.1252219451006,1817.1252219451007
order,6,1,974.9899157457453,1874.9899157457453
order,7,4,1023.6287473241484,1923.6287473241484
order,8,0,1055.2002650197562,1955.2002650197562
order,9,0,1096.2133182528012,1996.2133182528012
order,10,4,1110.5171614393948,2010.5171614393948
order,11,4,1219.0788179729786,2119.078817972979
order,12,2,1242.247223968649,2142.247223968649
order,13,1,1603.8421573943451,2503.842157394345
order,14,1,1918.7075270735343,2818.707527073534
order,15,1,2447.598785126993,3347.598785126993
order,16,3,2451.386761848878,3351.386761848878
order,17,1,2524.5508436241003,3424.5508436241003
order,18,0,2594.3272258737884,3494.3272258737884
order,19,0,2594.950845146273,3494.950845146273
order,20,0,3625.021868186821,4525.021868186821
order,21,2,3809.362758512492,4709.362758512492
order,22,1,3890.7179884136476,4790.717988413648
order,23,3,3910.0244273745757,4810.024427374576
order,24,2,3926.812867683059,4826.812867683058
order,25,1,4429.909921709587,5329.909921709587
order,26,0,4443.348127103031,5343.348127103031
order,27,2,5083.876269944371,5983.876269944371
order,28,2,5088.122515428051,5988.122515428051
order,29,1,5103.257255644378,6003.257255644378
order,30,2,5163.4296463278115,6063.4296463278115
order,31,4,5183.277776860231,6083.277776860231
order,32,3,5205.017709489048,6105.017709489048
order,33,1,5227.957210921989,6127.957210921989
order,34,0,5246.442276773837,6146.442276773837
order,35,3,5248.079575652198,6148.079575652198
order,36,1,5249.760068628019,6149.760068628019
order,37,3,5507.817223750918,6407.817223750918
order,38,2,5516.028880649805,6416.028880649805
order,39,0,5584.6279086381355,6484.6279086381355
order,40,1,5608.439314913743,6508.439314913743
order,41,2,5650.861596749552,6550.861596749552
order,42,2,6235.59755023668,7135.59755023668
order,43,1,6327.3759617949045,7227.3759617949045
order,44,1,6355.644551787258,7255.644551787258
order,45,4,6500.977691622602,7400.977691622602
order,46,1,6502.322378072361,7402.322378072361
order,47,2,6508.361155241498,7408.361155241498
order,48,3,6551.01784045275,7451.01784045275
order,49,4,6565.617185441961,7465.617185441961
order,50,1,6605.955225213005,7505.955225213005
order,51,3,6691.37133484837,7591.37133484837
order,52,3,6734.381664118671,7634.381664118671
order,53,0,6756.805496984187,7656.805496984187
order,54,4,6838.329604746217,7738.329604746217
order,55,2,6848.142859347291,7748.142859347291
order,56,2,7130.865697955375,8030.865697955375
order,57,4,7252.082448076475,8152.082448076475
order,58,0,7320.217799694969,8220.217799694969
order,59,2,7378.735763882219,8278.735763882218
order,60,2,7385.823854036533,8285.823854036533
order,61,0,7401.936829815591,8301.936829815591
