kind,i,j,value,extra
header,5,5,25,100
stage_machines,0,,5,
stage_machines,1,,5,
stage_machines,2,,5,
stage_machines,3,,5,
stage_machines,4,,5,
proc,0,0,449.0,
proc,0,1,386.0,
proc,0,2,88.0,
proc,0,3,449.0,
proc,0,4,291.0,
proc,1,5,118.0,
proc,1,6,179.0,
proc,1,7,219.0,
proc,1,8,96.0,
proc,1,9,286.0,
proc,2,10,95.0,
proc,2,11,226.0,
proc,2,12,314.0,
proc,2,13,400.0,
proc,2,14,182.0,
proc,3,15,223.0,
proc,3,16,56.0,
proc,3,17,73.0,
proc,3,18,278.0,
proc,3,19,99.0,
proc,4,20,283.0,
proc,4,21,208.0,
proc,4,22,339.0,
proc,4,23,444.0,
proc,4,24,111.0,
proc,5,0,136.0,
proc,5,1,114.0,
proc,5,2,221.0,
proc,5,3,374.0,
proc,5,4,341.0,
proc,6,5,28.0,
proc,6,6,294.0,
proc,6,7,414.0,
proc,6,8,170.0,
proc,6,9,387.0,
proc,7,10,170.0,
proc,7,11,192.0,
proc,7,12,376.0,
proc,7,13,67.0,
proc,7,14,137.0,
proc,8,15,404.0,
proc,8,16,324.0,
proc,8,17,107.0,
proc,8,18,313.0,
proc,8,19,383.0,
proc,9,20,53.0,
proc,9,21,333.0,
proc,9,22,191.0,
proc,9,23,281.0,
proc,9,24,123.0,
proc,10,0,111.0,
proc,10,1,360.0,
proc,10,2,159.0,
proc,10,3,261.0,
proc,10,4,301.0,
proc,11,5,392.0,
proc,11,6,437.0,
proc,11,7,277.0,
proc,11,8,213.0,
proc,11,9,100.0,
proc,12,10,339.0,
proc,12,11,48.0,
proc,12,12,217.0,
proc,12,13,321.0,
proc,12,14,349.0,
proc,13,15,197.0,
proc,13,16,131.0,
proc,13,17,41.0,
proc,13,18,147.0,
proc,13,19,202.0,
proc,14,20,261.0,
proc,14,21,274.0,
proc,14,22,412.0,
proc,14,23,330.0,
proc,14,24,278.0,
proc,15,0,58.0,
proc,15,1,195.0,
proc,15,2,137.0,
proc,15,3,131.0,
proc,15,4,119.0,
proc,16,5,372.0,
proc,16,6,313.0,
proc,16,7,195.0,
proc,16,8,359.0,
proc,16,9,425.0,
proc,17,10,144.0,
proc,17,11,327.0,
proc,17,12,416.0,
proc,17,13,151.0,
proc,17,14,130.0,
proc,18,15,346.0,
proc,18,16,212.0,
proc,18,17,345.0,
proc,18,18,140.0,
proc,18,19,358.0,
proc,19,20,79.0,
proc,19,21,172.0,
proc,19,22,197.0,
proc,19,23,331.0,
proc,19,24,257.0,
proc,20,0,84.0,
proc,20,1,227.0,
proc,20,2,337.0,
proc,20,3,148.0,
proc,20,4,333.0,
proc,21,5,106.0,
proc,21,6,99.0,
proc,21,7,164.0,
proc,21,8,309.0,
proc,21,9,107.0,
proc,22,10,413.0,
proc,22,11,284.0,
proc,22,12,176.0,
proc,22,13,56.0,
proc,22,14,374.0,
proc,23,15,415.0,
proc,23,16,209.0,
proc,23,17,405.0,
proc,23,18,215.0,
proc,23,19,82.0,
proc,24,20,300.0,
proc,24,21,154.0,
proc,24,22,247.0,
proc,24,23,252.0,
proc,24,24,58.0,
order,0,1,12.5,677.5177681396112
order,1,1,25.0,772.9524666111822
order,2,2,37.5,895.7822980255054
order,3,2,50.0,739.6235422071651
order,4,3,62.5,1291.858708528095
order,5,0,75.0,961.678605181639
order,6,3,87.5,1082.21512782016
order,7,4,100.0,784.1269848773718
order,8,1,112.5,1284.7072775148958
order,9,3,125.0,1210.385853328055
order,10,1,137.5,808.3953318933085
order,11,2,150.0,1141.3137867180194
order,12,0,162.5,841.2362167303509
order,13,0,175.0,1017.2652159708205
order,14,3,187.5,904.5663415339031
order,15,4,200.0,984.8680410209105
order,16,0,212.5,1142.6990255683104
order,17,2,225.0,1279.1854430499843
order,18,4,237.5,1042.5251134843083
order,19,4,250.0,1451.5870777330638
order,20,0,262.5,894.1494763624652
order,21,4,275.0,1314.7473575874974
order,22,2,287.5,1008.1143405079533
order,23,4,300.0,1434.8577203993211
order,24,2,312.5,1050.7552920586586
order,25,4,325.0,1453.833259688226
order,26,2,337.5,1567.8916823371003
order,27,1,350.0,990.4238698946095
order,28,2,362.5,1588.6211397964667
order,29,0,375.0,1075.7029147044223
order,30,1,387.5,1354.2776399108375
order,31,4,400.0,1312.3602362377112
order,32,4,412.5,1156.1356847508982
order,33,3,425.0,1325.8090831860695
order,34,0,437.5,1488.4078134255155
order,35,3,450.0,1709.1960252194551
order,36,3,462.5,1408.1886990089902
order,37,3,475.0,1618.5464292031234
order,38,1,487.5,1692.8482773378726
order,39,0,500.0,1140.1575392403906
order,40,3,512.5,1466.7771068475065
order,41,2,525.0,1766.757014664835
order,42,4,537.5,1541.436910000537
order,43,0,550.0,1560.1560054343295
order,44,2,562.5,1735.936852120392
order,45,4,575.0,1746.3000793494014
order,46,3,587.5,1378.4969829611045
order,47,1,600.0,1238.4209128042223
order,48,0,612.5,1691.9242317660244
order,49,4,625.0,1372.5207594388394
order,50,3,637.5,1494.3558141128597
order,51,3,650.0,1856.4363779644957
order,52,1,662.5,1324.6657413257576
order,53,1,675.0,1611.933090638654
order,54,1,687.5,1479.566882326414
order,55,0,700.0,1820.004786570613
order,56,1,712.5,1639.1279502279974
order,57,1,725.0,1491.200069126472
order,58,4,737.5,1561.6858722096167
order,59,0,750.0,1899.4063450508668
order,60,2,762.5,1634.7059995285904
order,61,2,775.0,1973.3058862858497
order,62,0,787.5,1438.5246607633203
order,63,4,800.0,2030.0571321493676
order,64,0,812.5,1705.9660742465028
order,65,1,825.0,1625.3179753118243
order,66,4,837.5,1751.3893409549974
order,67,1,850.0,1880.8510190937357
order,68,2,862.5,1769.2132551570467
order,69,3,875.0,1882.33317478665
order,70,3,887.5,1939.9536923928722
order,71,2,900.0,2073.7655839588497
order,72,4,912.5,1854.8000815142764
order,73,1,925.0,1558.066745014547
