kind,i,j,value,extra
header,5,5,25,100
stage_machines,0,,5,
stage_machines,1,,5,
stage_machines,2,,5,
stage_machines,3,,5,
stage_machines,4,,5,
proc,0,0,398.0,
proc,0,1,32.0,
proc,0,2,130.0,
proc,0,3,282.0,
proc,0,4,144.0,
proc,1,5,27.0,
proc,1,6,67.0,
proc,1,7,112.0,
proc,1,8,278.0,
proc,1,9,36.0,
proc,2,10,222.0,
proc,2,11,146.0,
proc,2,12,435.0,
proc,2,13,153.0,
proc,2,14,416.0,
proc,3,15,70.0,
proc,3,16,65.0,
proc,3,17,294.0,
proc,3,18,75.0,
proc,3,19,151.0,
proc,4,20,185.0,
proc,4,21,362.0,
proc,4,22,247.0,
proc,4,23,177.0,
proc,4,24,116.0,
proc,5,0,218.0,
proc,5,1,301.0,
proc,5,2,225.0,
proc,5,3,444.0,
proc,5,4,193.0,
proc,6,5,249.0,
proc,6,6,224.0,
proc,6,7,143.0,
proc,6,8,175.0,
proc,6,9,341.0,
proc,7,10,189.0,
proc,7,11,220.0,
proc,7,12,348.0,
proc,7,13,306.0,
proc,7,14,391.0,
proc,8,15,360.0,
proc,8,16,396.0,
proc,8,17,336.0,
proc,8,18,311.0,
proc,8,19,46.0,
proc,9,20,30.0,
proc,9,21,27.0,
proc,9,22,215.0,
proc,9,23,448.0,
proc,9,24,107.0,
proc,10,0,392.0,
proc,10,1,286.0,
proc,10,2,130.0,
proc,10,3,248.0,
proc,10,4,288.0,
proc,11,5,41.0,
proc,11,6,306.0,
proc,11,7,375.0,
proc,11,8,290.0,
proc,11,9,299.0,
proc,12,10,263.0,
proc,12,11,48.0,
proc,12,12,332.0,
proc,12,13,42.0,
proc,12,14,43.0,
proc,13,15,125.0,
proc,13,16,178.0,
proc,13,17,276.0,
proc,13,18,187.0,
proc,13,19,352.0,
proc,14,20,157.0,
proc,14,21,88.0,
proc,14,22,56.0,
proc,14,23,108.0,
proc,14,24,413.0,
proc,15,0,252.0,
proc,15,1,55.0,
proc,15,2,132.0,
proc,15,3,438.0,
proc,15,4,311.0,
proc,16,5,431.0,
proc,16,6,423.0,
proc,16,7,339.0,
proc,16,8,387.0,
proc,16,9,159.0,
proc,17,10,284.0,
proc,17,11,286.0,
proc,17,12,247.0,
proc,17,13,145.0,
proc,17,14,183.0,
proc,18,15,55.0,
proc,18,16,203.0,
proc,18,17,351.0,
proc,18,18,140.0,
proc,18,19,95.0,
proc,19,20,187.0,
proc,19,21,102.0,
proc,19,22,365.0,
proc,19,23,440.0,
proc,19,24,434.0,
proc,20,0,318.0,
proc,20,1,165.0,
proc,20,2,222.0,
proc,20,3,88.0,
proc,20,4,443.0,
proc,21,5,304.0,
proc,21,6,316.0,
proc,21,7,127.0,
proc,21,8,363.0,
proc,21,9,165.0,
proc,22,10,58.0,
proc,22,11,347.0,
proc,22,12,202.0,
proc,22,13,43.0,
proc,22,14,152.0,
proc,23,15,446.0,
proc,23,16,426.0,
proc,23,17,292.0,
proc,23,18,57.0,
proc,23,19,86.0,
proc,24,20,71.0,
proc,24,21,202.0,
proc,24,22,371.0,
proc,24,23,265.0,
proc,24,24,246.0,
order,0,4,28.69051732967835,1116.75333939656
order,1,2,29.56428956639834,1254.4802144604348
order,2,1,37.76856411028264,759.1538805547766
order,3,1,39.961829967177486,1054.2081631105611
order,4,0,65.67541686934737,1299.7207701379266
order,5,2,66.80385812212806,748.9944071160525
order,6,2,71.1511514261194,862.8822071920382
order,7,2,71.2525268477491,709.6816104381325
order,8,4,73.39028975185433,1037.4432802392398
order,9,4,85.77024044142048,938.1265931252858
order,10,2,87.5690142663272,1067.3584685612523
order,11,0,88.39809289055734,976.5242471602937
order,12,3,97.19741669934658,1260.0194037940657
order,13,2,102.98267103643286,855.3159127825776
order,14,2,171.02378888070683,906.227993845778
order,15,1,198.05923098496405,872.2137758997145
order,16,3,202.2497600406175,1434.3535251299113
order,17,4,206.4898423167752,940.4009921205629
order,18,2,213.2814747899761,1305.522896431141
order,19,3,231.26582084860098,1093.1328893867717
order,20,3,301.28249119274767,1144.123435509095
order,21,3,316.6334496617306,1415.899923357639
order,22,1,352.2177173906417,1347.7641502018519
order,23,3,352.81597624368635,1323.5735015389882
order,24,4,355.5755623070937,1493.2830458744038
order,25,4,355.9919446216966,1121.357684153842
order,26,3,358.33764535915,1453.9617852369704
order,27,4,361.6948249923648,1119.2688619780104
order,28,4,362.6772719015691,1573.1728304970184
order,29,3,364.40657865151854,1258.5854442167679
order,30,2,372.55997407223333,1585.0466700624352
order,31,1,386.7269054904588,1600.3388771099842
order,32,1,388.36075128451586,1160.0110965082094
order,33,3,464.19791215727446,1394.5191776948504
order,34,0,492.8635039565762,1453.3434280645624
order,35,3,507.57957474817675,1364.2163281177584
order,36,3,516.7390122832859,1597.316855759088
order,37,3,590.5230037860271,1419.7538583666424
order,38,3,591.0111323385419,1491.098132384822
order,39,0,591.358656320043,1458.4659096133955
order,40,3,621.6619669865704,1745.310375743698
order,41,2,623.531114003599,1254.504692442099
order,42,4,625.4986249703796,1571.9592968764664
order,43,4,634.2141002714097,1803.571304200179
order,44,1,635.5454098302057,1811.460575078275
order,45,2,635.6372415587368,1510.3984266379189
order,46,0,638.0058821629144,1444.8159518255814
order,47,3,640.4902833158901,1424.6483676082958
order,48,1,643.7647444528837,1772.118079838589
order,49,2,648.4669907497129,1690.4324042628668
order,50,4,714.4631576093373,1558.570309265982
order,51,1,725.8035518538418,1487.498176059752
order,52,0,753.1864069706085,1785.3706171281854
order,53,3,787.319354425661,1679.0872920974318
order,54,1,821.1671088285822,1465.9216098106153
order,55,3,865.6414745146626,1498.116364312849
order,56,3,883.4119860292783,1594.5365834957556
order,57,4,914.667386732054,1667.1675282212368
order,58,1,923.4015485830325,1602.8305261039654
order,59,1,925.2757253280693,1917.8906000165448
order,60,0,925.3352089313929,1989.1104084144254
order,61,0,927.7084493009079,1919.988449900622
