kind,i,j,value,extra
header,5,5,25,100
stage_machines,0,,5,
stage_machines,1,,5,
stage_machines,2,,5,
stage_machines,3,,5,
stage_machines,4,,5,
proc,0,0,39.0,
proc,0,1,211.0,
proc,0,2,99.0,
proc,0,3,51.0,
proc,0,4,39.0,
proc,1,5,59.0,
proc,1,6,51.0,
proc,1,7,384.0,
proc,1,8,215.0,
proc,1,9,382.0,
proc,2,10,425.0,
proc,2,11,216.0,
proc,2,12,152.0,
proc,2,13,316.0,
proc,2,14,101.0,
proc,3,15,398.0,
proc,3,16,299.0,
proc,3,17,128.0,
proc,3,18,380.0,
proc,3,19,290.0,
proc,4,20,163.0,
proc,4,21,119.0,
proc,4,22,261.0,
proc,4,23,240.0,
proc,4,24,49.0,
proc,5,0,144.0,
proc,5,1,336.0,
proc,5,2,204.0,
proc,5,3,127.0,
proc,5,4,439.0,
proc,6,5,215.0,
proc,6,6,205.0,
proc,6,7,249.0,
proc,6,8,255.0,
proc,6,9,51.0,
proc,7,10,145.0,
proc,7,11,211.0,
proc,7,12,365.0,
proc,7,13,353.0,
proc,7,14,303.0,
proc,8,15,165.0,
proc,8,16,410.0,
proc,8,17,339.0,
proc,8,18,244.0,
proc,8,19,328.0,
proc,9,20,39.0,
proc,9,21,175.0,
proc,9,22,276.0,
proc,9,23,408.0,
proc,9,24,132.0,
proc,10,0,38.0,
proc,10,1,336.0,
proc,10,2,171.0,
proc,10,3,168.0,
proc,10,4,193.0,
proc,11,5,71.0,
proc,11,6,154.0,
proc,11,7,126.0,
proc,11,8,222.0,
proc,11,9,215.0,
proc,12,10,254.0,
proc,12,11,262.0,
proc,12,12,362.0,
proc,12,13,422.0,
proc,12,14,147.0,
proc,13,15,173.0,
proc,13,16,29.0,
proc,13,17,45.0,
proc,13,18,38.0,
proc,13,19,346.0,
proc,14,20,310.0,
proc,14,21,173.0,
proc,14,22,377.0,
proc,14,23,59.0,
proc,14,24,367.0,
proc,15,0,344.0,
proc,15,1,355.0,
proc,15,2,273.0,
proc,15,3,424.0,
proc,15,4,33.0,
proc,16,5,253.0,
proc,16,6,130.0,
proc,16,7,339.0,
proc,16,8,26.0,
proc,16,9,180.0,
proc,17,10,415.0,
proc,17,11,396.0,
proc,17,12,390.0,
proc,17,13,363.0,
proc,17,14,193.0,
proc,18,15,385.0,
proc,18,16,177.0,
proc,18,17,179.0,
proc,18,18,322.0,
proc,18,19,64.0,
proc,19,20,276.0,
proc,19,21,183.0,
proc,19,22,450.0,
proc,19,23,138.0,
proc,19,24,310.0,
proc,20,0,333.0,
proc,20,1,312.0,
proc,20,2,363.0,
proc,20,3,314.0,
proc,20,4,450.0,
proc,21,5,251.0,
proc,21,6,83.0,
proc,21,7,238.0,
proc,21,8,438.0,
proc,21,9,340.0,
proc,22,10,151.0,
proc,22,11,404.0,
proc,22,12,88.0,
proc,22,13,113.0,
proc,22,14,39.0,
proc,23,15,285.0,
proc,23,16,58.0,
proc,23,17,358.0,
proc,23,18,260.0,
proc,23,19,424.0,
proc,24,20,42.0,
proc,24,21,444.0,
proc,24,22,421.0,
proc,24,23,178.0,
proc,24,24,399.0,
order,0,2,4.364455615772279,1239.5693161243712
order,1,0,13.354144182845609,1216.3430918849845
order,2,4,24.22475353020974,1058.3422800068158
order,3,2,43.94510283266681,1223.3152947920921
order,4,3,54.790382520767196,1111.794338514132
order,5,3,62.682464283387404,1220.1674302054942
order,6,4,63.78862876913212,1198.299072864429
order,7,3,73.18943175063053,1071.1489499933268
order,8,1,149.31369836348213,1062.9026435383387
order,9,1,155.02738343968295,1285.1777312632987
order,10,1,156.88453964295388,1309.8239183606424
order,11,4,158.58159403747499,1055.967927545405
order,12,2,180.5204627138958,959.1627269358894
order,13,4,189.37460870272105,1348.0040912947934
order,14,3,191.82364459538886,874.85508037103
order,15,4,200.10543537547483,1219.7446759347818
order,16,3,201.67312782535015,1273.101273408753
order,17,4,238.73935466358512,1104.4281795945733
order,18,4,239.2334612759702,1093.534559998701
order,19,3,246.70118915621262,1277.5928983526508
order,20,3,248.23072022142853,1465.5212170925124
order,21,1,251.21401454839537,1241.177768916406
order,22,4,261.2453418066701,1298.6570052651532
order,23,0,297.52839245916175,1484.043599100915
order,24,3,298.8637671395169,1219.9911717470354
order,25,0,312.1157527919437,1403.5862613067607
order,26,4,314.8658705397286,1360.9046594012973
order,27,1,317.2819500052348,1011.1386059163606
order,28,3,328.04275816381545,1036.9924943663548
order,29,0,379.35721712411004,1325.6767476492046
order,30,2,385.13050417690505,1131.7752080621208
order,31,2,398.45347745999277,1516.9745467177704
order,32,4,399.6585817607101,1610.882766577301
order,33,2,441.50785426167863,1601.2469772226825
order,34,0,465.4987866182637,1540.6414735902106
order,35,0,507.2247427942434,1708.6152447777222
order,36,1,510.42433940104485,1247.6405524554193
order,37,1,521.47247169645,1332.1203749602093
order,38,4,558.4608736827493,1398.1513505384519
order,39,0,567.55017425032,1766.9992776280524
order,40,4,575.0283944407178,1602.8950781693925
order,41,1,590.6547313197239,1588.0904220773018
order,42,1,597.9989462397627,1306.773336210044
order,43,3,605.7616415913478,1789.9180925987448
order,44,1,606.0374417580615,1422.6293549180054
order,45,3,612.6451877071935,1812.2512738335013
order,46,1,614.1091931307324,1859.2630149135323
order,47,1,620.5336637204579,1789.9577944159819
order,48,0,624.2276568960176,1666.1062790874169
order,49,1,626.6744574389847,1837.961778217119
order,50,4,638.9777430218942,1569.8795170329186
order,51,4,646.5340108766222,1304.1515816945193
order,52,4,655.5397568396395,1537.8422992614699
order,53,2,729.3460694684437,1699.6689123009874
order,54,3,743.5319413779944,1898.1454134246853
order,55,3,744.3504045316646,1600.9248908036086
order,56,2,767.0772548957398,1602.2323829343823
order,57,1,789.1291470806685,1772.4245504490661
order,58,2,789.2183282553159,1572.7853499462444
order,59,0,796.3657464367814,1787.1128506139553
order,60,4,797.0543392339217,1645.3945075671313
