kind,i,j,value,extra
header,5,5,25,100
stage_machines,0,,5,
stage_machines,1,,5,
stage_machines,2,,5,
stage_machines,3,,5,
stage_machines,4,,5,
proc,0,0,407.0,
proc,0,1,297.0,
proc,0,2,31.0,
proc,0,3,138.0,
proc,0,4,371.0,
proc,1,5,140.0,
proc,1,6,158.0,
proc,1,7,284.0,
proc,1,8,58.0,
proc,1,9,112.0,
proc,2,10,110.0,
proc,2,11,416.0,
proc,2,12,280.0,
proc,2,13,329.0,
proc,2,14,181.0,
proc,3,15,297.0,
proc,3,16,334.0,
proc,3,17,169.0,
proc,3,18,100.0,
proc,3,19,163.0,
proc,4,20,154.0,
proc,4,21,299.0,
proc,4,22,206.0,
proc,4,23,200.0,
proc,4,24,449.0,
proc,5,0,135.0,
proc,5,1,418.0,
proc,5,2,133.0,
proc,5,3,292.0,
proc,5,4,370.0,
proc,6,5,160.0,
proc,6,6,356.0,
proc,6,7,271.0,
proc,6,8,38.0,
proc,6,9,218.0,
proc,7,10,232.0,
proc,7,11,273.0,
proc,7,12,314.0,
proc,7,13,63.0,
proc,7,14,204.0,
proc,8,15,67.0,
proc,8,16,228.0,
proc,8,17,449.0,
proc,8,18,193.0,
proc,8,19,312.0,
proc,9,20,201.0,
proc,9,21,152.0,
proc,9,22,359.0,
proc,9,23,45.0,
proc,9,24,158.0,
proc,10,0,362.0,
proc,10,1,43.0,
proc,10,2,257.0,
proc,10,3,247.0,
proc,10,4,110.0,
proc,11,5,194.0,
proc,11,6,42.0,
proc,11,7,390.0,
proc,11,8,447.0,
proc,11,9,161.0,
proc,12,10,403.0,
proc,12,11,441.0,
proc,12,12,184.0,
proc,12,13,175.0,
proc,12,14,184.0,
proc,13,15,247.0,
proc,13,16,183.0,
proc,13,17,402.0,
proc,13,18,369.0,
proc,13,19,216.0,
proc,14,20,243.0,
proc,14,21,138.0,
proc,14,22,437.0,
proc,14,23,162.0,
proc,14,24,231.0,
proc,15,0,427.0,
proc,15,1,43.0,
proc,15,2,141.0,
proc,15,3,135.0,
proc,15,4,129.0,
proc,16,5,350.0,
proc,16,6,425.0,
proc,16,7,28.0,
proc,16,8,40.0,
proc,16,9,417.0,
proc,17,10,135.0,
proc,17,11,359.0,
proc,17,12,450.0,
proc,17,13,431.0,
proc,17,14,51.0,
proc,18,15,223.0,
proc,18,16,200.0,
proc,18,17,264.0,
proc,18,18,392.0,
proc,18,19,191.0,
proc,19,20,112.0,
proc,19,21,258.0,
proc,19,22,182.0,
proc,19,23,367.0,
proc,19,24,208.0,
proc,20,0,120.0,
proc,20,1,210.0,
proc,20,2,232.0,
proc,20,3,167.0,
proc,20,4,128.0,
proc,21,5,32.0,
proc,21,6,257.0,
proc,21,7,294.0,
proc,21,8,406.0,
proc,21,9,195.0,
proc,22,10,231.0,
proc,22,11,103.0,
proc,22,12,407.0,
proc,22,13,369.0,
proc,22,14,157.0,
proc,23,15,439.0,
proc,23,16,242.0,
proc,23,17,218.0,
proc,23,18,86.0,
proc,23,19,319.0,
proc,24,20,195.0,
proc,24,21,214.0,
proc,24,22,202.0,
proc,24,23,184.0,
proc,24,24,270.0,
order,0,0,911.188034966338,1811.188034966338
order,1,3,1083.3623298811538,1983.3623298811538
order,2,4,2047.9387596518018,2947.938759651802
order,3,4,2662.462430614215,3562.462430614215
order,4,2,2721.9053406650105,3621.9053406650105
order,5,0,2802.4593395004717,3702.4593395004717
order,6,1,2928.6038294082773,3828.6038294082773
order,7,0,3418.220810111745,4318.220810111745
order,8,1,3509.160504903147,4409.160504903147
order,9,2,3587.968491665948,4487.968491665948
order,10,1,3656.6944276254235,4556.6944276254235
order,11,2,4212.4573784034,5112.4573784034
order,12,0,4275.842695459837,5175.842695459837
order,13,4,4388.051269710298,5288.051269710298
order,14,0,4509.519198786598,5409.519198786598
order,15,1,5455.144632643301,6355.144632643301
order,16,1,5838.3976437402,6738.3976437402
order,17,2,5883.419383245148,6783.419383245148
order,18,4,5979.291138265817,6879.291138265817
order,19,3,6136.076248203248,7036.076248203248
order,20,2,6317.831044035417,7217.831044035417
order,21,4,6374.916668443433,7274.916668443433
order,22,2,6411.5862506792855,7311.5862506792855
order,23,4,6549.430975564062,7449.430975564062
order,24,2,6550.837083728887,7450.837083728887
order,25,0,6695.20524871075,7595.20524871075
order,26,3,7080.2038338090015,7980.2038338090015
order,27,3,7152.970349294384,8052.970349294384
order,28,1,7238.335169319409,8138.335169319409
order,29,2,7299.637085925369,8199.63708592537
order,30,1,7319.770014402461,8219.77001440246
order,31,4,7593.249229508404,8493.249229508405
order,32,3,7802.016513234647,8702.016513234648
order,33,3,8189.3002456003705,9089.30024560037
order,34,1,8652.605316404995,9552.605316404995
order,35,2,8921.002968836574,9821.002968836574
order,36,0,8981.938342366599,9881.938342366599
order,37,0,9049.961349522086,9949.961349522086
order,38,2,9206.623804826579,10106.623804826579
order,39,3,9396.115255581217,10296.115255581217
order,40,3,9438.209491680504,10338.209491680504
order,41,0,9529.912287592299,10429.912287592299
order,42,0,9694.993866647874,10594.993866647874
order,43,2,9899.31760201494,10799.31760201494
order,44,0,10011.183577230146,10911.183577230146
order,45,3,10129.332668506406,11029.332668506406
order,46,3,10185.449390179125,11085.449390179125
order,47,0,10287.093185047566,11187.093185047566
order,48,0,10744.168782904328,11644.168782904328
order,49,3,10748.095795657853,11648.095795657853
order,50,2,10772.915565465115,11672.915565465115
order,51,3,10907.970099251515,11807.970099251515
order,52,2,11016.788325830155,11916.788325830155
order,53,2,11404.881273369741,12304.881273369741
order,54,1,11608.781204588413,12508.781204588413
order,55,0,11906.199209776767,12806.199209776767
order,56,2,12161.584235654449,13061.584235654449
order,57,4,12178.334054703826,13078.334054703826
order,58,4,12277.419101783667,13177.419101783667
order,59,1,12535.08365694234,13435.08365694234
order,60,2,12628.551093723132,13528.551093723132
order,61,4,12767.248065942387,13667.248065942387
