kind,i,j,value,extra
header,5,5,25,100
stage_machines,0,,5,
stage_machines,1,,5,
stage_machines,2,,5,
stage_machines,3,,5,
stage_machines,4,,5,
proc,0,0,177.0,
proc,0,1,158.0,
proc,0,2,434.0,
proc,0,3,308.0,
proc,0,4,102.0,
proc,1,5,431.0,
proc,1,6,267.0,
proc,1,7,38.0,
proc,1,8,221.0,
proc,1,9,131.0,
proc,2,10,430.0,
proc,2,11,309.0,
proc,2,12,72.0,
proc,2,13,423.0,
proc,2,14,226.0,
proc,3,15,391.0,
proc,3,16,61.0,
proc,3,17,224.0,
proc,3,18,263.0,
proc,3,19,272.0,
proc,4,20,251.0,
proc,4,21,374.0,
proc,4,22,162.0,
proc,4,23,297.0,
proc,4,24,402.0,
proc,5,0,88.0,
proc,5,1,262.0,
proc,5,2,239.0,
proc,5,3,422.0,
proc,5,4,412.0,
proc,6,5,273.0,
proc,6,6,92.0,
proc,6,7,203.0,
proc,6,8,376.0,
proc,6,9,118.0,
proc,7,10,146.0,
proc,7,11,307.0,
proc,7,12,75.0,
proc,7,13,252.0,
proc,7,14,26.0,
proc,8,15,104.0,
proc,8,16,137.0,
proc,8,17,123.0,
proc,8,18,124.0,
proc,8,19,182.0,
proc,9,20,407.0,
proc,9,21,372.0,
proc,9,22,85.0,
proc,9,23,300.0,
proc,9,24,434.0,
proc,10,0,173.0,
proc,10,1,61.0,
proc,10,2,286.0,
proc,10,3,169.0,
proc,10,4,159.0,
proc,11,5,318.0,
proc,11,6,304.0,
proc,11,7,178.0,
proc,11,8,184.0,
proc,11,9,380.0,
proc,12,10,132.0,
proc,12,11,273.0,
proc,12,12,262.0,
proc,12,13,86.0,
proc,12,14,382.0,
proc,13,15,54.0,
proc,13,16,271.0,
proc,13,17,153.0,
proc,13,18,188.0,
proc,13,19,147.0,
proc,14,20,71.0,
proc,14,21,223.0,
proc,14,22,262.0,
proc,14,23,376.0,
proc,14,24,318.0,
proc,15,0,211.0,
proc,15,1,121.0,
proc,15,2,401.0,
proc,15,3,311.0,
proc,15,4,172.0,
proc,16,5,151.0,
proc,16,6,63.0,
proc,16,7,204.0,
proc,16,8,257.0,
proc,16,9,163.0,
proc,17,10,215.0,
proc,17,11,165.0,
proc,17,12,99.0,
proc,17,13,176.0,
proc,17,14,237.0,
proc,18,15,59.0,
proc,18,16,319.0,
proc,18,17,304.0,
proc,18,18,62.0,
proc,18,19,127.0,
proc,19,20,415.0,
proc,19,21,281.0,
proc,19,22,330.0,
proc,19,23,316.0,
proc,19,24,188.0,
proc,20,0,325.0,
proc,20,1,258.0,
proc,20,2,417.0,
proc,20,3,402.0,
proc,20,4,386.0,
proc,21,5,30.0,
proc,21,6,119.0,
proc,21,7,332.0,
proc,21,8,134.0,
proc,21,9,155.0,
proc,22,10,286.0,
proc,22,11,228.0,
proc,22,12,450.0,
proc,22,13,47.0,
proc,22,14,369.0,
proc,23,15,346.0,
proc,23,16,443.0,
proc,23,17,301.0,
proc,23,18,171.0,
proc,23,19,154.0,
proc,24,20,401.0,
proc,24,21,341.0,
proc,24,22,424.0,
proc,24,23,237.0,
proc,24,24,181.0,
order,0,1,25.0,925.0
order,1,1,50.0,950.0
order,2,4,75.0,975.0
order,3,2,100.0,1000.0
order,4,4,125.0,1025.0
order,5,4,150.0,1050.0
order,6,4,175.0,1075.0
order,7,2,200.0,1100.0
order,8,3,225.0,1125.0
order,9,2,250.0,1150.0
order,10,2,275.0,1175.0
order,11,2,300.0,1200.0
order,12,4,325.0,1225.0
order,13,4,350.0,1250.0
order,14,3,375.0,1275.0
order,15,1,400.0,1300.0
order,16,3,425.0,1325.0
order,17,2,450.0,1350.0
order,18,2,475.0,1375.0
order,19,1,500.0,1400.0
order,20,0,525.0,1425.0
order,21,4,550.0,1450.0
order,22,2,575.0,1475.0
order,23,0,600.0,1500.0
order,24,1,625.0,1525.0
order,25,4,650.0,1550.0
order,26,4,675.0,1575.0
order,27,4,700.0,1600.0
order,28,1,725.0,1625.0
order,29,0,750.0,1650.0
order,30,4,775.0,1675.0
order,31,1,800.0,1700.0
order,32,0,825.0,1725.0
order,33,1,850.0,1750.0
order,34,2,875.0,1775.0
order,35,1,900.0,1800.0
order,36,2,925.0,1825.0
order,37,0,950.0,1850.0
order,38,1,975.0,1875.0
order,39,3,1000.0,1900.0
order,40,2,1025.0,1925.0
order,41,3,1050.0,1950.0
order,42,2,1075.0,1975.0
order,43,4,1100.0,2000.0
order,44,1,1125.0,2025.0
order,45,2,1150.0,2050.0
order,46,0,1175.0,2075.0
order,47,3,1200.0,2100.0
order,48,3,1225.0,2125.0
order,49,3,1250.0,2150.0
order,50,0,1275.0,2175.0
order,51,4,1300.0,2200.0
order,52,2,1325.0,2225.0
order,53,4,1350.0,2250.0
order,54,4,1375.0,2275.0
order,55,3,1400.0,2300.0
order,56,0,1425.0,2325.0
order,57,1,1450.0,2350.0
order,58,3,1475.0,2375.0
order,59,1,1500.0,2400.0
order,60,1,1525.0,2425.0
order,61,3,1550.0,2450.0
order,62,1,1575.0,2475.0
order,63,1,1600.0,2500.0
order,64,1,1625.0,2525.0
order,65,1,1650.0,2550.0
order,66,2,1675.0,2575.0
order,67,2,1700.0,2600.0
order,68,1,1725.0,2625.0
order,69,4,1750.0,2650.0
order,70,1,1775.0,2675.0
order,71,3,1800.0,2700.0
order,72,3,1825.0,2725.0
order,73,0,1850.0,2750.0
order,74,1,1875.0,2775.0
order,75,0,1900.0,2800.0
order,76,0,1925.0,2825.0
order,77,3,1950.0,2850.0
order,78,2,1975.0,2875.0
order,79,3,2000.0,2900.0
order,80,0,2025.0,2925.0
order,81,1,2050.0,2950.0
order,82,3,2075.0,2975.0
order,83,0,2100.0,3000.0
order,84,4,2125.0,3025.0
order,85,2,2150.0,3050.0
order,86,3,2175.0,3075.0
order,87,1,2200.0,3100.0
order,88,4,2225.0,3125.0
