kind,i,j,value,extra
header,3,6,14,100
stage_machines,0,,2,
stage_machines,1,,2,
stage_machines,2,,3,
stage_machines,3,,3,
stage_machines,4,,2,
stage_machines,5,,2,
proc,0,0,334.0,
proc,0,1,369.0,
proc,1,3,42.0,
proc,2,4,363.0,
proc,2,5,179.0,
proc,2,6,344.0,
proc,3,7,599.0,
proc,3,8,498.0,
proc,3,9,31.0,
proc,4,11,575.0,
proc,5,12,574.0,
proc,6,0,408.0,
proc,6,1,416.0,
proc,7,2,208.0,
proc,7,3,588.0,
proc,8,4,242.0,
proc,8,5,568.0,
proc,9,7,459.0,
proc,9,8,596.0,
proc,9,9,100.0,
proc,10,10,333.0,
proc,10,11,46.0,
proc,11,12,461.0,
proc,11,13,294.0,
proc,12,0,523.0,
proc,12,1,80.0,
proc,13,2,549.0,
proc,13,3,132.0,
proc,14,4,455.0,
proc,14,5,221.0,
proc,15,7,483.0,
proc,15,9,126.0,
proc,16,11,192.0,
proc,17,12,518.0,
order,0,0,34.786968761670465,771.8674148593068
order,1,1,275.407307086413,1164.357562939648
order,2,2,322.18550286373676,1572.7632705861965
order,3,0,557.6200101575971,1607.3123529933284
order,4,0,609.2476506300745,1666.5107368603062
order,5,0,622.8541547864683,1799.1869970626194
order,6,0,744.3445510511743,1404.8320031816988
order,7,0,797.9241448982754,1615.8637447962426
order,8,0,854.3330537314091,1529.9555947951985
order,9,1,1780.9162236045522,2697.964046726403
order,10,0,2385.45122530149,3531.0709952133943
order,11,0,2579.6626265299647,3400.7007178949034
order,12,0,2703.283825329995,3661.6731790669
order,13,1,2981.1609841915615,3716.300181097367
order,14,2,3027.3228633267395,3686.580661834142
order,15,1,3112.1545831204344,4038.845318621731
order,16,2,3237.243645127462,3947.055174297812
order,17,2,3371.3824857358463,4100.346950177085
order,18,0,3393.9633294054775,4318.0761564731065
order,19,2,3660.485519187525,4740.878020686264
order,20,2,4048.516921014089,4849.799024276814
order,21,0,4262.576835530601,5411.946669904187
order,22,1,4325.228762765041,5160.225286633366
order,23,0,4326.849914190464,5176.205024280986
order,24,1,4333.574919859524,5167.482626536227
order,25,2,4477.090739282006,5708.747069148252
order,26,0,4573.274728820775,5255.244978498409
order,27,0,4679.952945145369,5842.349722155997
order,28,2,4800.04923746496,5827.146103702022
order,29,0,4853.857459719804,5911.50477350897
order,30,0,5273.507692596555,6334.562203455809
order,31,2,5307.0957016010425,6402.495084934628
order,32,0,5729.1761464298115,6424.95556956203
order,33,2,5822.388765779744,6861.270331093345
order,34,0,6100.2721097068625,6847.941760675008
order,35,2,6145.81396712244,6884.033800943269
order,36,0,6255.206589553558,7310.1899656686255
order,37,2,6408.5798929485545,7265.9574833704855
order,38,2,6520.881446922023,7632.9817092915655
order,39,2,6576.856280031279,7523.827985841223
order,40,0,6630.951836828899,7409.074811796814
order,41,0,6800.174192990487,7613.572728037427
order,42,0,7276.099231075372,8247.62837489688
order,43,1,7399.6824998008005,8442.49625779811
order,44,1,7437.604172828845,8323.557620354844
order,45,1,7481.694473699001,8443.460670454066
order,46,0,7539.667205805914,8440.724212079245
order,47,2,7592.3220015449615,8477.670057299467
order,48,1,7726.155231139506,8615.167029569253
order,49,2,7791.477037448723,9047.07343743188
order,50,1,7888.752801827744,8858.415949744936
order,51,2,7893.747067167784,8862.914499699771
order,52,0,7982.812735069645,8659.837980056283
order,53,2,8169.806879085621,9196.903417751191
order,54,0,8241.11792715447,8908.215056222298
order,55,2,8248.806293673872,9093.549787655635
order,56,1,8644.358889989988,9694.845057777713
order,57,1,8719.27829485844,9809.917034345905
order,58,0,8972.322370967922,9939.07658624302
order,59,1,9002.898843872734,10013.59061976903
order,60,2,9007.727330298741,10185.762490587138
order,61,1,9217.774823677653,10034.127123021017
order,62,0,9408.17369102904,10113.748182764537
order,63,1,9497.008200348282,10693.841694557861
order,64,1,10018.371765739166,11145.797185141118
order,65,0,10101.835248519918,11114.38279894082
order,66,1,10114.674512799498,10828.198518786969
order,67,2,10154.314371943356,11279.774806770547
order,68,2,10337.98466135162,11170.92303130533
order,69,0,10445.940574711489,11221.8292282126
order,70,2,10693.44089403406,11530.70688306943
order,71,0,10754.157679394217,11962.0341552002
order,72,1,10913.186663771708,11929.7294355325
order,73,1,10940.752927951802,12022.669184255445
order,74,2,10943.81052757614,12079.510954845466
order,75,0,11098.705979051496,11908.327558985786
order,76,0,11124.163465039097,12253.042206609087
order,77,0,11346.346780491918,12319.638329743644
order,78,2,11420.658966197348,12242.151979591197
order,79,0,11469.291896449899,12623.984151667193
order,80,2,11727.434850487392,12749.347354894386
order,81,1,11734.560394742282,12968.113099234291
order,82,1,11791.143737436545,12885.677995751928
order,83,0,12103.261616916718,13253.90881501377
order,84,2,12137.959870280902,13161.210461023276
order,85,0,12220.438191838197,12908.565027157496
order,86,0,12307.178853806085,13431.826779497587
order,87,1,12521.129350592479,13642.904104855425
order,88,1,12940.44954560608,13604.998100536159
order,89,2,12946.500246415226,14152.554408512477
order,90,0,12998.94993895614,14029.327145126968
order,91,2,13173.878336471522,14057.480508736528
order,92,0,13465.659067394536,14226.741069214566
order,93,1,13564.598775622786,14403.840877759178
order,94,1,13604.679895153075,14548.90248982074
order,95,2,13733.738910148226,14954.108796498333
order,96,1,14427.804344604676,15089.623224522222
order,97,1,14680.487818644915,15398.861884534304
order,98,2,14950.8267976607,15662.515656140396
order,99,0,15000.000000000004,16043.191909118257
meta,DDT,,900.0,
meta,mean_interarrival,,150.0,
meta,arrival_process,,poisson,
meta,ddt_spread_lo,,0.7,
meta,ddt_spread_hi,,1.4,
meta,E_dt,,151.16376799230642,
meta,Lambda,,0.0066153418460096584,
meta,W_bar,,2132.7266708374023,
meta,p_bar,,354.1851857503255,
meta,rho_sys,,1.0077654279779666,
meta,iota,,2.343056080530832,
meta,regime,,overloaded,
