kind,i,j,value,extra
header,3,3,6,12
stage_machines,0,,2,
stage_machines,1,,2,
stage_machines,2,,2,
proc,0,0,18.0,
proc,0,1,24.0,
proc,1,2,26.0,
proc,1,3,30.0,
proc,2,4,23.0,
proc,3,0,6.0,
proc,3,1,18.0,
proc,4,2,25.0,
proc,4,3,16.0,
proc,5,4,25.0,
proc,5,5,23.0,
proc,6,1,20.0,
proc,7,2,24.0,
proc,7,3,19.0,
proc,8,4,19.0,
proc,8,5,21.0,
order,0,1,0.0,136.16396574729586
order,1,1,30.271429061031537,167.1106069378771
order,2,2,32.74156934572981,213.74989339770886
order,3,1,48.67111160651664,181.04256829496092
order,4,0,64.41485252684176,269.1695528515479
order,5,0,93.75115268305116,289.4323271644006
order,6,2,102.87168626094565,284.9874528029693
order,7,1,118.51546814275582,242.0164480446358
order,8,2,120.29064875226625,301.64059842074283
order,9,2,121.89162501120536,311.4708775493445
order,10,2,123.28906446723681,292.9800743534869
order,11,2,132.69844752804426,301.38096592042837
meta,DDT,,56.66666793823242,
meta,mean_interarrival,,8.444444444444445,
meta,arrival_process,,poisson,
meta,due_factor,,3.0,
meta,iota_target,,2.5,
meta,schema_version,,schedule-data-1,
meta,family,,standard,
meta,family_seed,,1944001,
meta,sampling_attempts,,2,
meta,sampling_regime,,joint_fixed_grid,
meta,catalog_sha256,,8e1a1226ad44ba7f0a8335c0739b8fd3cbfb1077b813ea72b25e22be3d1056a1,
meta,parameter_hash,,04ac5d4006eda6bc4c3e16fe7f2a89a18bc71629cc82c36102b28f34cbcee18e,
meta,E_dt,,12.063495229822205,
meta,Lambda,,0.11842105263157894,
meta,empirical_Lambda,,0.082894715084555,
meta,W_bar,,63.33333333333333,
meta,p_bar,,21.11111111111111,
meta,rho_sys,,1.3016447368421051,
meta,iota,,2.5,
meta,regime,,capacity_overload,
