kind,i,j,value,extra
header,3,3,6,12
stage_machines,0,,2,
stage_machines,1,,2,
stage_machines,2,,2,
proc,0,0,18.0,
proc,0,1,24.0,
proc,1,2,26.0,
proc,1,3,30.0,
proc,2,4,23.0,
proc,3,0,6.0,
proc,3,1,18.0,
proc,4,2,25.0,
proc,4,3,16.0,
proc,5,4,25.0,
proc,5,5,23.0,
proc,6,1,20.0,
proc,7,2,24.0,
proc,7,3,19.0,
proc,8,4,19.0,
proc,8,5,21.0,
order,0,1,0.0,136.16396574729586
order,1,1,50.4523817683859,187.29155964523144
order,2,2,54.56928224288302,235.57760629486208
order,3,1,81.1185193441944,213.48997603263868
order,4,0,107.35808754473628,312.11278786944246
order,5,0,156.25192113841862,351.93309561976804
order,6,2,171.45281043490942,353.56857697693306
order,7,1,197.52578023792637,321.02676013980636
order,8,2,200.48441458711042,381.83436425558705
order,9,2,203.15270835200894,392.73196089014806
order,10,2,205.48177411206137,375.1727839983115
order,11,2,221.1640792134071,389.8465976057912
meta,DDT,,56.66666793823242,
meta,mean_interarrival,,14.074074074074074,
meta,arrival_process,,poisson,
meta,due_factor,,3.0,
meta,iota_target,,1.5,
meta,schema_version,,schedule-data-1,
meta,family,,standard,
meta,family_seed,,1944001,
meta,sampling_attempts,,2,
meta,sampling_regime,,joint_fixed_grid,
meta,catalog_sha256,,8e1a1226ad44ba7f0a8335c0739b8fd3cbfb1077b813ea72b25e22be3d1056a1,
meta,parameter_hash,,080700f73b31ce0d7ce5edc1ca446d7897dbf9de683a2fe97c3923199e313672,
meta,E_dt,,20.105825383037008,
meta,Lambda,,0.07105263157894737,
meta,empirical_Lambda,,0.049736829050733,
meta,W_bar,,63.33333333333333,
meta,p_bar,,21.11111111111111,
meta,rho_sys,,0.780986842105263,
meta,iota,,1.5,
meta,regime,,below_capacity,
