kind,i,j,value,extra
header,6,7,21,192
stage_machines,0,,3,
stage_machines,1,,3,
stage_machines,2,,3,
stage_machines,3,,3,
stage_machines,4,,3,
stage_machines,5,,3,
stage_machines,6,,3,
proc,0,1,26.0,
proc,0,2,17.0,
proc,1,3,22.0,
proc,1,4,20.0,
proc,1,5,17.0,
proc,2,7,30.0,
proc,2,8,21.0,
proc,3,9,25.0,
proc,3,10,20.0,
proc,4,12,21.0,
proc,4,13,5.0,
proc,4,14,20.0,
proc,5,15,14.0,
proc,5,16,17.0,
proc,5,17,15.0,
proc,6,19,27.0,
proc,6,20,28.0,
proc,7,0,9.0,
proc,7,1,13.0,
proc,7,2,16.0,
proc,8,3,5.0,
proc,8,4,21.0,
proc,8,5,13.0,
proc,9,7,18.0,
proc,10,9,12.0,
proc,10,10,23.0,
proc,10,11,30.0,
proc,11,12,27.0,
proc,11,13,29.0,
proc,11,14,21.0,
proc,12,15,11.0,
proc,12,16,4.0,
proc,12,17,27.0,
proc,13,18,17.0,
proc,13,20,30.0,
proc,14,0,21.0,
proc,14,1,22.0,
proc,14,2,26.0,
proc,15,4,28.0,
proc,15,5,5.0,
proc,16,6,7.0,
proc,17,9,22.0,
proc,17,10,28.0,
proc,17,11,5.0,
proc,18,12,9.0,
proc,18,14,23.0,
proc,19,16,12.0,
proc,19,17,5.0,
proc,20,18,19.0,
proc,20,19,11.0,
proc,20,20,26.0,
proc,21,0,24.0,
proc,21,1,8.0,
proc,21,2,14.0,
proc,22,3,26.0,
proc,22,4,28.0,
proc,22,5,18.0,
proc,23,6,22.0,
proc,23,7,16.0,
proc,24,9,25.0,
proc,24,10,5.0,
proc,24,11,26.0,
proc,25,12,8.0,
proc,25,14,20.0,
proc,26,15,12.0,
proc,26,16,30.0,
proc,26,17,5.0,
proc,27,18,8.0,
proc,27,19,23.0,
proc,27,20,26.0,
proc,28,0,21.0,
proc,28,2,12.0,
proc,29,3,9.0,
proc,29,4,8.0,
proc,30,7,26.0,
proc,30,8,12.0,
proc,31,9,27.0,
proc,31,11,30.0,
proc,32,12,13.0,
proc,33,15,16.0,
proc,33,16,28.0,
proc,33,17,13.0,
proc,34,18,19.0,
proc,34,19,27.0,
proc,34,20,13.0,
proc,35,0,4.0,
proc,35,1,8.0,
proc,35,2,17.0,
proc,36,4,20.0,
proc,36,5,27.0,
proc,37,6,30.0,
proc,37,7,17.0,
proc,38,9,4.0,
proc,38,11,19.0,
proc,39,13,23.0,
proc,39,14,30.0,
proc,40,15,23.0,
proc,40,16,12.0,
proc,40,17,19.0,
proc,41,19,17.0,
proc,41,20,13.0,
order,0,1,0.0,127.11671391440747
order,1,4,4.694842794552015,144.5105289368621
order,2,5,6.021223148671291,151.9251688966117
order,3,3,11.396838570087922,122.23689148516063
order,4,2,12.283695969045095,113.78776935673793
order,5,2,13.747493562916697,116.35597829418117
order,6,5,15.016124785296682,166.51399538749055
order,7,4,19.238260444128823,160.68854323604563
order,8,2,26.573201896868312,114.70623731674988
order,9,4,28.398677891469866,181.41052789335683
order,10,5,40.54160354279472,182.53757872803976
order,11,5,41.807049173075775,177.71419801552395
order,12,5,50.58882056925378,178.62054981401695
order,13,2,64.28838438603226,165.52790925441622
order,14,1,76.57726607963019,198.38158227284762
order,15,1,77.70793674447997,211.22476837128204
order,16,5,82.1020359943829,219.21646003069844
order,17,2,92.76401013122141,179.2681560336427
order,18,2,105.92260936505633,200.27435206980084
order,19,2,121.8783722492698,224.23464228778772
order,20,4,121.95985567083227,279.65689407829655
order,21,1,134.3293643395767,275.3013457787816
order,22,4,139.34376406024188,296.92823652081086
order,23,0,171.2294817583177,367.57780597100725
order,24,0,178.25184731052568,376.8338867179058
order,25,3,179.61110637286882,284.41684691403805
order,26,2,181.5954909523765,280.66392908947984
order,27,5,191.41889017058952,342.5556828890393
order,28,4,194.9795151856844,354.42651785342576
order,29,5,201.4133355521662,349.9397151141483
order,30,0,205.09600761550763,390.044102379292
order,31,1,206.61788705608893,332.96682094827577
order,32,4,237.97876682337403,386.89287621486164
order,33,3,240.90678096381362,351.2525358077325
order,34,0,251.12117863634393,444.49494652226633
order,35,5,254.60876439422248,401.822454704424
order,36,3,270.5796470143412,368.0342186303275
order,37,0,271.2821911058607,460.02911487536187
order,38,5,273.77057683144267,419.82560853927856
order,39,5,284.3511917257376,431.6094486072177
order,40,4,295.4130816861566,445.51174675235563
order,41,3,299.797009987884,392.6745422971535
order,42,2,305.9521022912043,393.7682305428857
order,43,5,332.1066596397201,467.60988654781147
order,44,2,333.72092706881125,429.8806246521481
order,45,0,341.399298505129,511.22617038729385
order,46,0,342.80854009073084,529.6228863563265
order,47,4,354.30913811020235,498.6382817096887
order,48,0,364.3141292951827,527.8517522503375
order,49,5,374.06370258929354,521.1332224328596
order,50,1,376.12621903325015,505.4815036088031
order,51,2,377.19339371917545,477.2834440918313
order,52,0,377.7289374195394,569.4753577037188
order,53,2,378.3021153958613,478.60604979073435
order,54,1,382.5762926630242,503.70737849121775
order,55,2,392.93348488261825,484.53564504689825
order,56,2,399.24107487271283,491.1395473777274
order,57,0,399.5416961340035,564.0132710993362
order,58,3,400.8222672212129,500.3297102980622
order,59,4,402.7343053842433,559.1179151371077
order,60,0,421.00676698577894,616.2029874347216
order,61,0,452.60623372013737,629.3608482970204
order,62,1,456.006336675427,575.4873913438548
order,63,5,465.3039623469038,603.7644652200582
order,64,1,465.72509680838743,582.8676665224186
order,65,3,466.3861029386775,571.0775590520964
order,66,0,480.9770596742844,657.8424022860517
order,67,3,482.8252545361182,580.7139592264728
order,68,2,483.0954216472094,569.8438996015259
order,69,2,484.5942314400472,577.5269472943743
order,70,4,485.01359588126627,643.0448638049494
order,71,3,486.8723824797231,582.0162588489218
order,72,5,496.543285790428,637.6340515261248
order,73,5,502.4714353886245,652.5215379839644
order,74,3,502.944023469345,606.314386385902
order,75,5,522.0277228503564,653.4691667519709
order,76,3,537.4141911368494,639.5226933859057
order,77,3,539.2788307284378,641.1239145902226
order,78,0,550.9077139925901,714.798398841952
order,79,1,561.6274434301724,699.1769290724237
order,80,0,567.8321513770392,750.4675266887386
order,81,0,576.9022078821471,758.0097550347473
order,82,4,585.1114086936876,736.2827440046958
order,83,3,590.0343455851145,694.2841063892729
order,84,0,591.2751755261883,785.286822333057
order,85,3,600.7590157593725,703.3567069963682
order,86,1,608.253400897692,746.347082463662
order,87,2,613.2220460706725,713.802739329779
order,88,0,615.4030876437795,785.936536343459
order,89,2,617.3119911082892,721.1557060428429
order,90,1,617.5134896167007,745.199090208525
order,91,3,619.0401142755389,721.4506912272792
order,92,4,634.4332735552042,767.0876823371594
order,93,5,648.9852261777208,779.9969275672619
order,94,2,656.57116367116,757.404653507551
order,95,3,661.3796064239122,770.1254521479565
order,96,2,662.4553321796885,757.1674227865594
order,97,2,675.5801769224845,777.4382232360783
order,98,5,682.3235425503415,820.3603991078745
order,99,3,682.764687367183,775.2785672691226
order,100,4,687.5919966740563,849.0295743660047
order,101,4,688.2925527774041,838.2462428901173
order,102,5,692.2322948241392,818.5128144071884
order,103,1,705.9782202400532,846.2922611224359
order,104,3,706.8009098950623,802.3594482840574
order,105,1,718.9210292220863,838.084624016745
order,106,3,719.3085100260432,813.0877920903386
order,107,3,723.5986284665059,819.3302397654744
order,108,3,767.7330931575565,866.8325101141936
order,109,0,773.9109304778281,946.8214194357902
order,110,3,776.75371054035,876.239682845576
order,111,0,785.0506628959721,960.3740458569449
order,112,0,787.879948817653,960.8115960770448
order,113,0,803.7550796601029,977.1836073276843
order,114,0,807.4992505711853,992.7122672857123
order,115,2,815.4964711338821,912.5059470231064
order,116,0,837.4558895727621,1001.5583206895731
order,117,4,843.5029806307202,995.4068313479199
order,118,3,848.6120316389475,947.7056510292108
order,119,1,856.7100896392324,991.8369408887729
order,120,1,877.4739512958703,1005.3379016923619
order,121,0,889.9036664579231,1059.105342872041
order,122,4,891.0972884457072,1034.055907238908
order,123,1,895.2750628448939,1028.1766978037224
order,124,0,905.966479686409,1085.6089219923954
order,125,0,916.6656137380218,1109.313929184169
order,126,5,917.1406683414021,1059.7761292565003
order,127,4,925.1075496556368,1078.0387716205332
order,128,5,936.9853518305443,1064.740010300874
order,129,4,937.591020952748,1082.517366327501
order,130,5,945.8978213164474,1084.4165151817608
order,131,5,959.1799213385362,1096.1392573627968
order,132,3,971.3336335252925,1063.8436985505962
order,133,2,979.0470267973095,1066.771256328113
order,134,5,980.1446521445313,1109.3155450668855
order,135,3,987.1124096933246,1094.808647121007
order,136,2,995.797997032957,1095.3407892960854
order,137,0,1001.518718519765,1194.913473035398
order,138,5,1003.0030618369548,1155.1707467692684
order,139,3,1007.5968761226118,1107.2204134418607
order,140,4,1010.443698620472,1171.848924849689
order,141,3,1013.5481320993688,1122.5774565429358
order,142,2,1027.1404769583662,1115.8769511637458
order,143,4,1045.0712929878464,1179.6373397888435
order,144,4,1051.7942259039414,1211.3144047445364
order,145,0,1057.4111317889776,1224.5668835548804
order,146,3,1059.6718837808937,1166.7701029525656
order,147,2,1061.566114169415,1148.6690651719716
order,148,4,1068.0741849401134,1223.0665758894916
order,149,2,1075.9571566489412,1171.9696721682733
order,150,2,1089.8533256470396,1180.1809682309245
order,151,1,1091.3162996269198,1217.87685468857
order,152,2,1092.373375502473,1180.4032724695282
order,153,3,1093.4156443769052,1198.9360718331127
order,154,0,1098.9307999233872,1296.2874917014599
order,155,3,1099.3589087422738,1202.7215080480307
order,156,2,1109.9280193138136,1201.0435767436072
order,157,1,1112.7316839223329,1234.631716981449
order,158,3,1113.570595643687,1220.9709596964067
order,159,0,1114.125841687667,1297.6433923296036
order,160,5,1120.8031121782997,1249.03437954905
order,161,3,1128.9224252071087,1234.4977796229227
order,162,3,1134.346282680716,1230.6796273934947
order,163,4,1135.1581038796219,1296.0545053485907
order,164,1,1143.4956900710558,1270.9017387232548
order,165,1,1152.2364552421177,1293.334066356984
order,166,1,1157.7625765337018,1293.221458871001
order,167,4,1160.7498493602134,1296.0699108863741
order,168,1,1165.7388159850423,1284.463372066011
order,169,4,1181.233105264616,1337.795747593811
order,170,3,1183.7689481588432,1282.3979239528262
order,171,2,1185.200422868976,1274.4427344099672
order,172,1,1186.777265274044,1319.0612819880296
order,173,0,1193.6136839301696,1383.8178973313422
order,174,5,1197.9883248949188,1336.4002527530752
order,175,5,1200.8107033548436,1342.8070145313638
order,176,0,1201.0807344394125,1392.3747002448633
order,177,3,1209.962759102828,1313.077104258092
order,178,1,1212.0258115263625,1351.1789026205558
order,179,2,1216.835217102499,1303.5912177251473
order,180,4,1220.1418853771752,1357.0565231541932
order,181,2,1229.9735337757131,1328.0292257747594
order,182,1,1232.1740816110914,1353.6051734133346
order,183,4,1234.8160988290738,1393.6086273359228
order,184,2,1241.493422392238,1339.0491503485118
order,185,5,1241.5138108481249,1382.853793000786
order,186,2,1245.9306326655192,1344.2999835810513
order,187,2,1250.5964735944945,1344.0412123350484
order,188,2,1256.5261305004524,1352.869274756482
order,189,1,1266.18231414781,1402.7246584657316
order,190,0,1271.9216422446846,1442.6737475214063
order,191,5,1272.3747579608212,1419.9342268274527
meta,DDT,,88.16666412353516,
meta,mean_interarrival,,7.250793620518276,
meta,arrival_process,,poisson,
meta,due_factor,,1.5,
meta,iota_target,,2.5,
meta,schema_version,,schedule-data-1,
meta,family,,large7,
meta,family_seed,,2166002,
meta,sampling_attempts,,1,
meta,sampling_regime,,joint_fixed_grid,
meta,catalog_sha256,,7259ea0e5f71349b03f29f40d6ec384df7ae39a0fcd48f1bac9ef41b3d1a988a,
meta,parameter_hash,,10e2a9715ee4bc23497cce1a16a5095f1f7a7750ecf54c023f70e6c9a7cb99ff,
meta,E_dt,,6.661647947438854,
meta,Lambda,,0.13791593752857656,
