kind,i,j,value,extra
header,3,3,6,72
stage_machines,0,,2,
stage_machines,1,,2,
stage_machines,2,,2,
proc,0,0,17.0,
proc,0,1,28.0,
proc,1,2,14.0,
proc,1,3,10.0,
proc,2,4,20.0,
proc,2,5,23.0,
proc,3,0,26.0,
proc,4,2,9.0,
proc,4,3,15.0,
proc,5,4,25.0,
proc,6,1,13.0,
proc,7,2,30.0,
proc,7,3,27.0,
proc,8,4,28.0,
proc,8,5,12.0,
order,0,1,0.0,97.23448949932384
order,1,1,10.499408777550105,102.29733155523707
order,2,0,24.937087166497015,94.27726337048335
order,3,0,28.03576095651771,100.88849496174477
order,4,0,28.842398223755723,98.27161625974348
order,5,0,34.55617215533869,99.50722670013911
order,6,2,36.052120810834374,107.69336640735222
order,7,2,44.36527524421267,127.24722775954751
order,8,0,61.76405331376776,131.0207568017962
order,9,0,71.35414647935595,148.67930143039
order,10,2,76.91161136299829,158.26036839089272
order,11,2,85.52159572694812,156.18250669828083
order,12,0,95.39264484904315,167.60686219168696
order,13,0,112.72624002850024,178.8098562824849
order,14,1,116.8245623567129,215.0107081508897
order,15,1,123.73893766685589,212.29018385894943
order,16,0,124.27704854086232,191.09831837710567
order,17,2,131.57908994433376,208.66701708396465
order,18,1,140.46519078468722,227.78943616107898
order,19,0,143.48576916142002,214.87863461463797
order,20,1,151.2980276513621,234.32611803462697
order,21,2,162.63203116193094,248.23444013073396
order,22,0,176.54377164893634,248.30790892074623
order,23,1,177.62240973626402,262.290379978196
order,24,0,191.1967956154016,261.1550585553264
order,25,2,193.21554477604246,270.3158540846153
order,26,1,202.73648344889665,288.15867080295027
order,27,0,202.78595213816885,278.447096622971
order,28,2,208.84732778651585,283.90805438078354
order,29,2,210.49205737014722,296.2904125913917
order,30,1,212.2376036116955,298.1312922199489
order,31,1,223.84660222487577,319.4771969299492
order,32,2,225.54466929461452,296.1144095545101
order,33,2,233.58864133755705,310.936291774123
order,34,1,259.32238563155147,353.28907628758145
order,35,0,272.1660612628166,349.0804026680944
order,36,1,276.13198617238584,357.647309538716
order,37,2,282.9028370606938,355.1507663335272
order,38,0,305.61549300572386,371.9074245417222
order,39,0,315.5992849975201,391.45706121855136
order,40,0,316.1123555930068,390.63018831017376
order,41,1,317.8540438969735,413.29889835634935
order,42,1,323.46944983075133,415.73015789299996
order,43,2,325.28236845099366,406.9869288628945
order,44,0,329.698371515063,403.76478241071374
order,45,1,332.5287270533545,413.67074217278514
order,46,0,338.4501008151131,409.49803318460744
order,47,1,338.97814419502816,425.358360070278
order,48,0,345.87897674642034,420.1693537673071
order,49,1,358.069780243909,444.3021321637111
order,50,2,388.3475300060563,471.3777919879458
order,51,0,403.1564382450757,476.5485458955775
order,52,2,407.6450642287207,483.5855077840257
order,53,0,408.31822812254495,474.0971303375581
order,54,2,413.2091978918602,495.8792611803079
order,55,1,420.01041806521,501.9898310043028
order,56,2,421.5721531861141,505.5770723326086
order,57,1,424.5498612510934,508.78302116204304
order,58,1,436.67874120643154,522.2488575948337
order,59,0,440.55909346039675,510.15849747119347
order,60,2,449.9359255251235,523.2318857681212
order,61,1,456.259014040764,548.1885118906993
order,62,0,481.43511957551385,545.7714599101272
order,63,2,482.7022727725831,554.8437639911226
order,64,2,484.8773982616649,568.8647573523748
order,65,1,489.2076759631943,574.8622764281756
order,66,2,490.2080787322911,573.1996869729476
order,67,0,500.2558163886249,575.1816117110963
order,68,2,501.8241350922267,577.9753490019268
order,69,2,517.62060935657,593.3908445477476
order,70,0,517.702325417332,585.6881752106816
order,71,0,526.1770481970366,592.0688047385438
meta,DDT,,53.0,
meta,mean_interarrival,,8.022222222222222,
meta,arrival_process,,poisson,
meta,due_factor,,1.5,
meta,iota_target,,2.5,
meta,schema_version,,schedule-data-1,
meta,family,,validation,
meta,family_seed,,1711001,
meta,sampling_attempts,,1,
meta,sampling_regime,,joint_fixed_grid,
meta,catalog_sha256,,3d21e5205aaf6ecd6129dc48ca287b484bac0becc896eb7cd5aef54da053f31d,
meta,parameter_hash,,1dc5189d3b919212081a782f72a3acfa60e6746b4711366d9f1daf09acbaaee0,
meta,E_dt,,7.410944340803332,
meta,Lambda,,0.12465373961218837,
meta,empirical_Lambda,,0.13493557015320964,
meta,W_bar,,60.166666666666664,
meta,p_bar,,20.055555555555557,
meta,rho_sys,,1.3157894736842106,
meta,iota,,2.5000000000000004,
meta,regime,,capacity_overload,
