kind,i,j,value,extra
header,3,3,6,96
stage_machines,0,,2,
stage_machines,1,,2,
stage_machines,2,,2,
proc,0,0,18.0,
proc,0,1,24.0,
proc,1,2,26.0,
proc,1,3,30.0,
proc,2,4,23.0,
proc,3,0,6.0,
proc,3,1,18.0,
proc,4,2,25.0,
proc,4,3,16.0,
proc,5,4,25.0,
proc,5,5,23.0,
proc,6,1,20.0,
proc,7,2,24.0,
proc,7,3,19.0,
proc,8,4,19.0,
proc,8,5,21.0,
order,0,1,0.0,68.08198287364793
order,1,1,50.4523817683859,118.87197070680867
order,2,2,54.56928224288302,145.07344426887255
order,3,1,81.1185193441944,147.30424768841652
order,4,0,107.35808754473628,209.73543770708937
order,5,0,156.25192113841862,254.09250837909332
order,6,2,171.45281043490942,262.51069370592126
order,7,1,197.52578023792637,259.27627018886636
order,8,2,200.48441458711042,291.1593894213487
order,9,2,203.15270835200894,297.9423346210785
order,10,2,205.48177411206137,290.3272790551864
order,11,2,221.1640792134071,305.5053384095992
order,12,0,225.32946051799948,317.73150640957147
order,13,1,233.01885659521946,296.6198235641685
order,14,2,236.58647862051458,321.4533854912365
order,15,0,263.5280575211596,372.7790750369558
order,16,1,338.35792291117747,406.88755919632916
order,17,0,356.175595155919,447.5875490892066
order,18,0,356.3924569505594,446.9752587174166
order,19,0,407.7366570752747,510.79944572701584
order,20,2,436.76537065759453,530.933214475055
order,21,2,459.33762751301776,548.3915401242234
order,22,0,462.3255700380225,561.6999104354634
order,23,1,498.46623664143993,563.7218350412961
order,24,1,501.63367582407096,564.6298695923391
order,25,2,528.7061721211402,607.4765548671975
order,26,0,529.6751695125736,624.2490388586726
order,27,2,537.4496838268458,619.8491613585621
order,28,2,560.839731312979,643.0075245719436
order,29,0,582.336557857562,688.7481005892146
order,30,0,595.1539352814428,687.8679677751866
order,31,0,596.9139320842144,704.7074709814077
order,32,2,624.6408819442145,718.4633077476474
order,33,0,631.1312963665523,726.9610207339088
order,34,0,632.1579806367732,725.4266917292209
order,35,0,657.9634092572738,753.9494547521067
order,36,2,664.2392074292151,754.4197974724738
order,37,1,672.3402105945711,735.9570472080322
order,38,2,681.8351655711127,765.1255131714399
order,39,0,687.7189105577472,792.796436903607
order,40,1,695.1659584103022,765.9023306657136
order,41,0,706.1807181199023,803.9695354145475
order,42,0,729.4799113903329,826.4580075509759
order,43,2,738.1109208979506,817.5917227994616
order,44,0,746.3268503781353,843.457608621339
order,45,2,750.7950419744501,836.7370554413491
order,46,0,764.3740841797264,871.591763348189
order,47,1,780.6649164730205,842.1244229947046
order,48,1,787.5974688657965,852.9375069667927
order,49,2,790.5074423801592,881.4566215613225
order,50,1,798.3095091319934,868.2066757761924
order,51,2,809.8587285851861,898.3785863316817
order,52,2,825.4506707106639,912.6068143768969
order,53,2,855.7690517460115,938.0640323005846
order,54,0,874.678118952958,971.9072180204586
order,55,1,879.5503250412875,948.9616349127099
order,56,0,931.5680664458648,1023.1072633893195
order,57,0,938.3809576718576,1039.3836179291663
order,58,1,980.4879164135788,1045.7672129670166
order,59,1,1026.9564706938029,1093.4815494282466
order,60,1,1039.6021207639983,1111.3705809470864
order,61,1,1056.5411567991875,1123.9460474713517
order,62,1,1077.2190072624119,1144.7859821466081
