kind,i,j,value,extra
header,3,3,6,72
stage_machines,0,,2,
stage_machines,1,,2,
stage_machines,2,,2,
proc,0,0,17.0,
proc,0,1,28.0,
proc,1,2,14.0,
proc,1,3,10.0,
proc,2,4,20.0,
proc,2,5,23.0,
proc,3,0,26.0,
proc,4,2,9.0,
proc,4,3,15.0,
proc,5,4,25.0,
proc,6,1,13.0,
proc,7,2,30.0,
proc,7,3,27.0,
proc,8,4,28.0,
proc,8,5,12.0,
order,0,1,0.0,194.46897899864769
order,1,1,17.499014629250173,201.0948601846241
order,2,0,41.56181194416169,180.24216435213438
order,3,0,46.72626826086285,192.431736271317
order,4,0,48.07066370625954,186.92909977823507
order,5,0,57.59362025889782,187.49572934849868
order,6,2,60.08686801805729,203.36935921109298
order,7,2,73.94212540702111,239.7060304376908
order,8,0,102.9400888562796,241.45349583233653
order,9,0,118.92357746559325,273.5738873676614
order,10,2,128.18601893833048,290.8835329941194
order,11,2,142.53599287824687,283.85781482091227
order,12,0,158.98774141507192,303.4161761003595
order,13,0,187.87706671416706,320.0442992221364
order,14,1,194.70760392785482,391.07989551620847
order,15,1,206.23156277809315,383.33405516228026
order,16,0,207.12841423477053,340.77095390725725
order,17,2,219.29848324055627,373.47433751981805
order,18,1,234.108651307812,408.7571420605955
order,19,0,239.14294860236672,381.9286795088026
order,20,1,252.1633794189368,418.21956018546655
order,21,2,271.0533852698849,442.25820320749096
order,22,0,294.23961941489387,437.7678939585136
order,23,1,296.03734956044,465.373290044304
order,24,0,318.6613260256693,458.57785190551886
order,25,2,322.0259079600708,476.2265265772165
order,26,1,337.8941390814944,508.7385137896016
order,27,0,337.9765868969481,489.2988758665524
order,28,2,348.0788796441931,498.20033283272846
order,29,2,350.82009561691206,522.4168060594011
order,30,1,353.72933935282583,525.5167165693326
order,31,1,373.07767037479294,564.3388597849398
order,32,2,375.90778215769086,517.047262677482
order,33,2,389.31440222926176,544.0097031023937
order,34,1,432.2039760525858,620.1373573646458
order,35,0,453.6101021046943,607.4387849152499
order,36,1,460.2199769539764,623.2506236866368
order,37,2,471.50472843448966,616.0005869801564
order,38,0,509.3591550095398,641.9430180815365
order,39,0,525.9988083292002,677.7143607712627
order,40,0,526.8539259883447,675.8895914226787
order,41,1,529.7567398282891,720.6464487470408
order,42,1,539.1157497179189,723.6371658424162
order,43,2,542.1372807516561,705.5464015754578
order,44,0,549.4972858584383,697.6301076497398
order,45,1,554.2145450889242,716.4985753277855
order,46,0,564.0835013585219,706.1793660975105
order,47,1,564.9635736583803,737.72400540888
order,48,0,576.4649612440339,725.0457152858074
order,49,1,596.7829670731817,769.2476709127859
order,50,2,647.2458833434272,813.3064073072062
order,51,0,671.9273970751262,818.7116123761298
order,52,2,679.4084403812011,831.2893274918113
order,53,0,680.5303802042416,812.0881846342679
order,54,2,688.6819964864337,854.0221230633291
order,55,1,700.0173634420166,863.9761893202023
order,56,2,702.6202553101901,870.6300936031791
order,57,1,707.5831020851556,876.0494219070549
order,58,1,727.7979020107192,898.9381347875236
order,59,0,734.2651557673279,873.4639637889213
order,60,2,749.8932092085391,896.4851296945345
order,61,1,760.4316900679399,944.2906857678105
order,62,0,802.3918659591898,931.0645466284163
order,63,2,804.5037879543052,948.7867703913842
order,64,2,808.1289971027749,976.1037152841945
order,65,1,815.3461266053238,986.6553275352863
order,66,2,817.0134645538185,982.9966810351316
order,67,0,833.7596939810414,983.6112846259842
order,68,2,836.3735584870445,988.6759863064449
order,69,2,862.7010155942833,1014.2414859766386
order,70,0,862.8372090288866,998.8089086155859
order,71,0,876.9617469950609,1008.7452600780754
meta,DDT,,53.0,
meta,mean_interarrival,,13.370370370370372,
meta,arrival_process,,poisson,
meta,due_factor,,3.0,
meta,iota_target,,1.5,
meta,schema_version,,schedule-data-1,
meta,family,,validation,
meta,family_seed,,1711001,
meta,sampling_attempts,,1,
meta,sampling_regime,,joint_fixed_grid,
meta,catalog_sha256,,3d21e5205aaf6ecd6129dc48ca287b484bac0becc896eb7cd5aef54da053f31d,
meta,parameter_hash,,33a87bb7a64b5daa707bf130cf7ee2c8451ba8bda4e332d3a2acb6beef1b7cc5,
meta,E_dt,,12.351573901338886,
meta,Lambda,,0.07479224376731301,
meta,empirical_Lambda,,0.08096134209192579,
meta,W_bar,,60.166666666666664,
meta,p_bar,,20.055555555555557,
meta,rho_sys,,0.7894736842105262,
meta,iota,,1.5,
meta,regime,,below_capacity,
