kind,i,j,value,extra
header,3,3,6,128
stage_machines,0,,2,
stage_machines,1,,2,
stage_machines,2,,2,
proc,0,0,18.0,
proc,0,1,24.0,
proc,1,2,26.0,
proc,1,3,30.0,
proc,2,4,23.0,
proc,3,0,6.0,
proc,3,1,18.0,
proc,4,2,25.0,
proc,4,3,16.0,
proc,5,4,25.0,
proc,5,5,23.0,
proc,6,1,20.0,
proc,7,2,24.0,
proc,7,3,19.0,
proc,8,4,19.0,
proc,8,5,21.0,
order,0,1,0.0,68.08198287364793
order,1,1,126.13095442096474,194.55054335938752
order,2,2,136.42320560720754,226.92736763319706
order,3,1,202.796298360486,268.9820267047081
order,4,0,268.3952188618407,370.7725690241938
order,5,0,390.6298028460465,488.47039008672124
order,6,2,428.6320260872736,519.6899093582854
order,7,1,493.8144505948159,555.5649405457559
order,8,2,501.21103646777607,591.8860113020144
order,9,2,507.8817708800224,602.671397149092
order,10,2,513.7044352801535,598.5499402232786
order,11,2,552.9101980335178,637.2514572297098
order,12,0,563.3236512949987,655.7256971865708
order,13,1,582.5471414880486,646.1481084569976
order,14,2,591.4661965512864,676.3331034220083
order,15,0,658.820143802899,768.0711613186952
order,16,1,845.8948072779436,914.4244435630953
order,17,0,890.4389878897974,981.850941823085
order,18,0,890.9811423763985,981.5639441432556
order,19,0,1019.3416426881867,1122.404431339928
order,20,2,1091.9134266439862,1186.0812704614466
order,21,2,1148.3440687825444,1237.39798139375
order,22,0,1155.813925095056,1255.1882654924968
order,23,1,1246.1655916036,1311.421190003456
order,24,1,1254.0841895601773,1317.0803833284454
order,25,2,1321.7654303028503,1400.5358130489076
order,26,0,1324.187923781434,1418.7617931275329
order,27,2,1343.6242095671143,1426.0236870988308
order,28,2,1402.0993282824475,1484.267121541412
order,29,0,1455.841394643905,1562.2529373755576
order,30,0,1487.884838203607,1580.5988706973508
order,31,0,1492.284830210536,1600.0783691077293
order,32,2,1561.6022048605362,1655.424630663969
order,33,0,1577.8282409163808,1673.6579652837372
order,34,0,1580.394951591933,1673.6636626843808
order,35,0,1644.9085231431845,1740.8945686380175
order,36,2,1660.5980185730375,1750.7786086162962
order,37,1,1680.8505264864275,1744.4673630998886
order,38,2,1704.587913927782,1787.878261528109
order,39,0,1719.297276394368,1824.3748027402278
order,40,1,1737.9148960257553,1808.6512682811667
order,41,0,1765.4517952997558,1863.240612594401
order,42,0,1823.699778475832,1920.677874636475
order,43,2,1845.2773022448764,1924.7581041463875
order,44,0,1865.8171259453381,1962.9478841885418
order,45,2,1876.9876049361253,1962.9296184030243
order,46,0,1910.935210449316,2018.1528896177786
order,47,1,1951.6622911825514,2013.1217977042354
order,48,1,1968.993672164491,2034.3337102654873
order,49,2,1976.268605950398,2067.2177851315614
order,50,1,1995.7737728299837,2065.670939474183
order,51,2,2024.6468214629654,2113.166679209461
order,52,2,2063.6266767766597,2150.782820442893
order,53,2,2139.4226293650286,2221.7176099196017
order,54,0,2186.695297382395,2283.9243964498955
order,55,1,2198.875812603219,2268.2871224746414
order,56,0,2328.920166114662,2420.459363058117
order,57,0,2345.9523941796438,2446.9550544369527
order,58,1,2451.219791033947,2516.4990875873846
order,59,1,2567.391176734507,2633.9162554689506
order,60,1,2599.005301909996,2670.773762093084
order,61,1,2641.352891997969,2708.757782670133
order,62,1,2693.0475181560296,2760.614493040226
