kind,i,j,value,extra
header,3,3,6,128
stage_machines,0,,2,
stage_machines,1,,2,
stage_machines,2,,2,
proc,0,0,18.0,
proc,0,1,24.0,
proc,1,2,26.0,
proc,1,3,30.0,
proc,2,4,23.0,
proc,3,0,6.0,
proc,3,1,18.0,
proc,4,2,25.0,
proc,4,3,16.0,
proc,5,4,25.0,
proc,5,5,23.0,
proc,6,1,20.0,
proc,7,2,24.0,
proc,7,3,19.0,
proc,8,4,19.0,
proc,8,5,21.0,
order,0,1,0.0,136.16396574729586
order,1,1,30.271429061031537,167.1106069378771
order,2,2,32.74156934572981,213.74989339770886
order,3,1,48.67111160651664,181.04256829496092
order,4,0,64.41485252684176,269.1695528515479
order,5,0,93.75115268305116,289.4323271644006
order,6,2,102.87168626094565,284.9874528029693
order,7,1,118.51546814275582,242.0164480446358
order,8,2,120.29064875226625,301.64059842074283
order,9,2,121.89162501120536,311.4708775493445
order,10,2,123.28906446723681,292.9800743534869
order,11,2,132.69844752804426,301.38096592042837
order,12,0,135.19767631079966,320.0017680939436
order,13,1,139.81131395713166,267.0132478950297
order,14,2,141.95188717230874,311.6857009137525
order,15,0,158.11683451269573,376.61886954428815
order,16,1,203.01475374670645,340.07402631700984
order,17,0,213.70535709355136,396.52926496012657
order,18,0,213.83547417033563,395.00107770405
order,19,0,244.6419942451648,450.7675715486471
order,20,2,262.0592223945567,450.3949100294776
order,21,2,275.6025765078106,453.71040173022186
order,22,0,277.39534202281345,476.14402281769526
order,23,1,299.079741984864,429.59093878457634
order,24,1,300.98020549444254,426.9725930309788
order,25,2,317.2237032726841,474.76446876479866
order,26,0,317.80510170754417,506.95284039974223
order,27,2,322.4698102961074,487.2687653595401
order,28,2,336.50383878778734,500.8394253057166
order,29,0,349.40193471453716,562.2250201778425
order,30,0,357.09236116886564,542.5204261563531
order,31,0,358.1483592505286,573.7354370449152
order,32,2,374.7845291665286,562.4293807733945
order,33,0,378.6787778199314,570.3382265546442
order,34,0,379.2947883820639,565.8322105669594
order,35,0,394.77804555436427,586.75013654403
order,36,2,398.543524457529,578.9047045440464
order,37,1,403.4041263567426,530.6377995836649
order,38,2,409.1010993426676,575.681794543322
order,39,0,412.6313463346483,622.7863990263678
order,40,1,417.09957504618126,558.5723195570041
order,41,0,423.70843087194135,619.2860654612318
order,42,0,437.6879468341997,631.6441391554857
order,43,2,442.86655253877035,601.8281563417925
order,44,0,447.7961102268811,642.0576267132885
order,45,2,450.47702518467,622.361052118468
order,46,0,458.62445050783583,673.0598088447612
order,47,1,468.3989498838123,591.3179629271804
order,48,1,472.55848131947783,603.2385575214704
order,49,2,474.3044654280955,656.2028237904221
order,50,1,478.98570547919604,618.780038767594
order,51,2,485.9152371511116,662.9549526441028
order,52,2,495.2704024263983,669.5826897588643
order,53,2,513.4614310476069,678.051392156753
order,54,0,524.8068713717747,719.265069506776
order,55,1,527.7301950247725,666.5528147676172
order,56,0,558.9408398675189,742.0192337544283
order,57,0,563.0285746031145,765.0338951177318
order,58,1,588.2927498481472,718.8513429550227
order,59,1,616.1738824162817,749.224039885169
order,60,1,623.7612724583989,767.2981928245749
order,61,1,633.9246940795125,768.7344754238409
order,62,1,646.3314043574471,781.4653541258398
order,63,2,655.9993571019273,821.3470074069874
order,64,2,664.8792183652074,835.0871882277843
