kind,i,j,value,extra
header,3,3,6,72
stage_machines,0,,2,
stage_machines,1,,2,
stage_machines,2,,2,
proc,0,0,17.0,
proc,0,1,28.0,
proc,1,2,14.0,
proc,1,3,10.0,
proc,2,4,20.0,
proc,2,5,23.0,
proc,3,0,26.0,
proc,4,2,9.0,
proc,4,3,15.0,
proc,5,4,25.0,
proc,6,1,13.0,
proc,7,2,30.0,
proc,7,3,27.0,
proc,8,4,28.0,
proc,8,5,12.0,
order,0,1,0.0,97.23448949932384
order,1,1,43.74753657312544,135.5454593508124
order,2,0,103.90452986040424,173.24470606439058
order,3,0,116.81567065215712,189.6684046573842
order,4,0,120.17665926564885,189.6058773016366
order,5,0,143.98405064724454,208.93510519204497
order,6,2,150.21717004514323,221.85841564166108
order,7,2,184.8553135175528,267.73726603288765
order,8,0,257.350222140699,326.6069256287274
order,9,0,297.30894366398314,374.63409861501725
order,10,2,320.4650473458262,401.81380437372064
order,11,2,356.3399821956172,427.00089316694994
order,12,0,397.4693535376798,469.6835708803236
order,13,0,469.69266678541766,535.7762830394023
order,14,1,486.76900981963706,584.9551556138139
order,15,1,515.5789069452329,604.1301531373265
order,16,0,517.8210355869263,584.6423054231697
order,17,2,548.2462081013907,625.3341352410216
order,18,1,585.2716282695301,672.5958736459219
order,19,0,597.8573715059168,669.2502369591348
order,20,1,630.4084485473421,713.436538930607
order,21,2,677.6334631747123,763.2358721435154
order,22,0,735.5990485372347,807.3631858090446
order,23,1,740.0933739011001,824.761344143032
order,24,0,796.6533150641734,866.6115780040982
order,25,2,805.064769900177,882.1650792087498
order,26,1,844.735347703736,930.1575350577896
order,27,0,844.9414672423702,920.6026117271723
order,28,2,870.1971991104828,945.2579257047504
order,29,2,877.0502390422802,962.8485942635247
order,30,1,884.3233483820646,970.217036990318
order,31,1,932.6941759369824,1028.324770642056
order,32,2,939.7694553942272,1010.3391956541227
order,33,2,973.2860055731544,1050.6336560097204
order,34,1,1080.5099401314646,1174.4766307874947
order,35,0,1134.0252552617358,1210.9395966670136
order,36,1,1150.549942384941,1232.0652657512712
order,37,2,1178.7618210862242,1251.0097503590578
order,38,0,1273.3978875238495,1339.6898190598479
order,39,0,1314.9970208230006,1390.8547970440318
order,40,0,1317.1348149708617,1391.6526476880288
order,41,1,1324.3918495707228,1419.8367040300986
order,42,1,1347.7893742947972,1440.0500823570458
order,43,2,1355.3432018791402,1437.0477622910412
order,44,0,1373.7432146460958,1447.8096255417465
order,45,1,1385.5363627223103,1466.678377841741
order,46,0,1410.2087533963047,1481.2566857657991
order,47,1,1412.4089341459505,1498.7891500212004
order,48,0,1441.1624031100848,1515.4527801309716
order,49,1,1491.9574176829542,1578.1897696027563
order,50,2,1618.114708358568,1701.1449703404573
order,51,0,1679.8184926878155,1753.2106003383174
order,52,2,1698.521100953003,1774.4615445083082
order,53,0,1701.3259505106041,1767.1048527256173
order,54,2,1721.7049912160842,1804.3750545045318
order,55,1,1750.0434086050416,1832.0228215441343
order,56,2,1756.5506382754754,1840.55555742197
order,57,1,1768.957755212889,1853.1909151238387
order,58,1,1819.4947550267982,1905.0648714152003
order,59,0,1835.6628894183198,1905.2622934291164
order,60,2,1874.733023021348,1948.0289832643457
order,61,1,1901.07922516985,1993.0087230197853
order,62,0,2005.9796648979745,2070.316005232588
order,63,2,2011.259469885763,2083.4009611043025
order,64,2,2020.3224927569372,2104.309851847647
order,65,1,2038.3653165133094,2124.019916978291
order,66,2,2042.5336613845463,2125.525269625203
order,67,0,2084.399234952604,2159.3250302750753
order,68,2,2090.933896217611,2167.0851101273115
order,69,2,2156.7525389857083,2232.522774176886
order,70,0,2157.0930225722163,2225.078872365566
order,71,0,2192.4043674876525,2258.2961240291597
meta,DDT,,53.0,
meta,mean_interarrival,,33.42592592592593,
meta,arrival_process,,poisson,
meta,due_factor,,1.5,
meta,iota_target,,0.6,
meta,schema_version,,schedule-data-1,
meta,family,,validation,
meta,family_seed,,1711001,
meta,sampling_attempts,,1,
meta,sampling_regime,,joint_fixed_grid,
meta,catalog_sha256,,3d21e5205aaf6ecd6129dc48ca287b484bac0becc896eb7cd5aef54da053f31d,
meta,parameter_hash,,5d2cbd0fa07bea2b4fc4c932678f890c3af8825501fad012a0beda7ff5f829dd,
meta,E_dt,,30.878934753347217,
meta,Lambda,,0.029916897506925205,
meta,empirical_Lambda,,0.03238453683677031,
meta,W_bar,,60.166666666666664,
meta,p_bar,,20.055555555555557,
meta,rho_sys,,0.3157894736842105,
meta,iota,,0.6,
meta,regime,,below_capacity,
