kind,i,j,value,extra
header,3,3,6,72
stage_machines,0,,2,
stage_machines,1,,2,
stage_machines,2,,2,
proc,0,0,17.0,
proc,0,1,28.0,
proc,1,2,14.0,
proc,1,3,10.0,
proc,2,4,20.0,
proc,2,5,23.0,
proc,3,0,26.0,
proc,4,2,9.0,
proc,4,3,15.0,
proc,5,4,25.0,
proc,6,1,13.0,
proc,7,2,30.0,
proc,7,3,27.0,
proc,8,4,28.0,
proc,8,5,12.0,
order,0,1,0.0,194.46897899864769
order,1,1,10.499408777550105,194.09525433292404
order,2,0,24.937087166497015,163.6174395744697
order,3,0,28.03576095651771,173.74122896697185
order,4,0,28.842398223755723,167.70083429573123
order,5,0,34.55617215533869,164.45828124493954
order,6,2,36.052120810834374,179.33461200387006
order,7,2,44.36527524421267,210.12918027488234
order,8,0,61.76405331376776,200.2774602898247
order,9,0,71.35414647935595,226.00445638142412
order,10,2,76.91161136299829,239.6091254187872
order,11,2,85.52159572694812,226.84341766961353
order,12,0,95.39264484904315,239.82107953433075
order,13,0,112.72624002850024,244.89347253646957
order,14,1,116.8245623567129,313.19685394506655
order,15,1,123.73893766685589,300.841430051043
order,16,0,124.27704854086232,257.919588213349
order,17,2,131.57908994433376,285.75494422359554
order,18,1,140.46519078468722,315.1136815374707
order,19,0,143.48576916142002,286.27150006785587
order,20,1,151.2980276513621,317.35420841789187
order,21,2,162.63203116193094,333.83684909953695
order,22,0,176.54377164893634,320.07204619255606
order,23,1,177.62240973626402,346.95835022012795
order,24,0,191.1967956154016,331.1133214952511
order,25,2,193.21554477604246,347.4161633931881
order,26,1,202.73648344889665,373.58085815700383
order,27,0,202.78595213816885,354.1082411077731
order,28,2,208.84732778651585,358.96878097505123
order,29,2,210.49205737014722,382.0887678126362
order,30,1,212.2376036116955,384.0249808282023
order,31,1,223.84660222487577,415.10779163502264
order,32,2,225.54466929461452,366.6841498144056
order,33,2,233.58864133755705,388.28394221068896
order,34,1,259.32238563155147,447.2557669436115
order,35,0,272.1660612628166,425.9947440733722
order,36,1,276.13198617238584,439.16263290504617
order,37,2,282.9028370606938,427.3986956063606
order,38,0,305.61549300572386,438.19935607772055
order,39,0,315.5992849975201,467.3148374395826
order,40,0,316.1123555930068,465.14802102734075
order,41,1,317.8540438969735,508.7437528157252
order,42,1,323.46944983075133,507.9908659552485
order,43,2,325.28236845099366,488.69148927479534
order,44,0,329.698371515063,477.8311933063645
order,45,1,332.5287270533545,494.8127572922158
order,46,0,338.4501008151131,480.5459655541018
order,47,1,338.97814419502816,511.7385759455279
order,48,0,345.87897674642034,494.45973078819384
order,49,1,358.069780243909,530.5344840835132
order,50,2,388.3475300060563,554.4080539698352
order,51,0,403.1564382450757,549.9406535460793
order,52,2,407.6450642287207,559.5259513393307
order,53,0,408.31822812254495,539.8760325525712
order,54,2,413.2091978918602,578.5493244687556
order,55,1,420.01041806521,583.9692439433956
order,56,2,421.5721531861141,589.5819914791032
order,57,1,424.5498612510934,593.0161810729928
order,58,1,436.67874120643154,607.818973983236
order,59,0,440.55909346039675,579.7579014819902
order,60,2,449.9359255251235,596.5278460111189
order,61,1,456.259014040764,640.1180097406345
order,62,0,481.43511957551385,610.1078002447405
order,63,2,482.7022727725831,626.9852552096621
order,64,2,484.8773982616649,652.8521164430846
order,65,1,489.2076759631943,660.5168768931569
order,66,2,490.2080787322911,656.1912952136041
order,67,0,500.2558163886249,650.1074070335677
order,68,2,501.8241350922267,654.126562911627
order,69,2,517.62060935657,669.1610797389253
order,70,0,517.702325417332,653.6740250040313
order,71,0,526.1770481970366,657.960561280051
meta,DDT,,53.0,
meta,mean_interarrival,,8.022222222222222,
meta,arrival_process,,poisson,
meta,due_factor,,3.0,
meta,iota_target,,2.5,
meta,schema_version,,schedule-data-1,
meta,family,,validation,
meta,family_seed,,1711001,
meta,sampling_attempts,,1,
meta,sampling_regime,,joint_fixed_grid,
meta,catalog_sha256,,3d21e5205aaf6ecd6129dc48ca287b484bac0becc896eb7cd5aef54da053f31d,
meta,parameter_hash,,61188f1718b069834a68c98c102b7d5e0ee4f371eb36cc7b74e70e15ac1e06a0,
meta,E_dt,,7.410944340803332,
meta,Lambda,,0.12465373961218837,
meta,empirical_Lambda,,0.13493557015320964,
meta,W_bar,,60.166666666666664,
meta,p_bar,,20.055555555555557,
meta,rho_sys,,1.3157894736842106,
meta,iota,,2.5000000000000004,
meta,regime,,capacity_overload,
