kind,i,j,value,extra
header,3,3,6,192
stage_machines,0,,2,
stage_machines,1,,2,
stage_machines,2,,2,
proc,0,0,18.0,
proc,0,1,24.0,
proc,1,2,26.0,
proc,1,3,30.0,
proc,2,4,23.0,
proc,3,0,6.0,
proc,3,1,18.0,
proc,4,2,25.0,
proc,4,3,16.0,
proc,5,4,25.0,
proc,5,5,23.0,
proc,6,1,20.0,
proc,7,2,24.0,
proc,7,3,19.0,
proc,8,4,19.0,
proc,8,5,21.0,
order,0,1,0.0,68.08198287364793
order,1,1,30.271429061031537,98.69101799945432
order,2,2,32.74156934572981,123.24573137171933
order,3,1,48.67111160651664,114.85683995073879
order,4,0,64.41485252684176,166.79220268919482
order,5,0,93.75115268305116,191.59173992372587
order,6,2,102.87168626094565,193.9295695319575
order,7,1,118.51546814275582,180.26595809369582
order,8,2,120.29064875226625,210.96562358650453
order,9,2,121.89162501120536,216.68125128027492
order,10,2,123.28906446723681,208.13456941036185
order,11,2,132.69844752804426,217.0397067242363
order,12,0,135.19767631079966,227.59972220237165
order,13,1,139.81131395713166,203.41228092608065
order,14,2,141.95188717230874,226.81879404303064
order,15,0,158.11683451269573,267.36785202849194
order,16,1,203.01475374670645,271.54439003185814
order,17,0,213.70535709355136,305.11731102683893
order,18,0,213.83547417033563,304.4182759371928
order,19,0,244.6419942451648,347.70478289690595
order,20,2,262.0592223945567,356.2270662120171
order,21,2,275.6025765078106,364.65648911901627
order,22,0,277.39534202281345,376.76968242025436
order,23,1,299.079741984864,364.33534038472015
order,24,1,300.98020549444254,363.9763992627107
order,25,2,317.2237032726841,395.99408601874137
order,26,0,317.80510170754417,412.3789710536432
order,27,2,322.4698102961074,404.86928782782377
order,28,2,336.50383878778734,418.67163204675194
order,29,0,349.40193471453716,455.8134774461898
order,30,0,357.09236116886564,449.80639366260937
order,31,0,358.1483592505286,465.94189814772193
order,32,2,374.7845291665286,468.6069549699616
order,33,0,378.6787778199314,474.5085021872878
order,34,0,379.2947883820639,472.5634994745117
order,35,0,394.77804555436427,490.7640910491972
order,36,2,398.543524457529,488.72411450078766
order,37,1,403.4041263567426,467.02096297020375
order,38,2,409.1010993426676,492.3914469429948
order,39,0,412.6313463346483,517.7088726805081
order,40,1,417.09957504618126,487.8359473015927
order,41,0,423.70843087194135,521.4972481665866
order,42,0,437.6879468341997,534.6660429948427
order,43,2,442.86655253877035,522.3473544402814
order,44,0,447.7961102268811,544.9268684700849
order,45,2,450.47702518467,536.419038651569
order,46,0,458.62445050783583,565.8421296762986
order,47,1,468.3989498838123,529.8584564054963
order,48,1,472.55848131947783,537.8985194204741
order,49,2,474.3044654280955,565.2536446092588
order,50,1,478.98570547919604,548.882872123395
order,51,2,485.9152371511116,574.4350948976073
order,52,2,495.2704024263983,582.4265460926313
order,53,2,513.4614310476069,595.7564116021799
order,54,0,524.8068713717747,622.0359704392753
order,55,1,527.7301950247725,597.1415048961949
order,56,0,558.9408398675189,650.4800368109736
order,57,0,563.0285746031145,664.0312348604232
order,58,1,588.2927498481472,653.5720464015849
order,59,1,616.1738824162817,682.6989611507254
order,60,1,623.7612724583989,695.5297326414869
order,61,1,633.9246940795125,701.3295847516766
order,62,1,646.3314043574471,713.8983792416434
order,63,2,655.9993571019273,738.6731822544574
order,64,2,664.8792183652074,749.9832032964958
order,65,0,685.5925031953614,781.0319229494062
order,66,2,692.7003123485586,779.4544830770965
order,67,0,697.0876377568352,790.1930098220417
