kind,i,j,value,extra
header,3,3,6,12
stage_machines,0,,2,
stage_machines,1,,2,
stage_machines,2,,2,
proc,0,0,18.0,
proc,0,1,24.0,
proc,1,2,26.0,
proc,1,3,30.0,
proc,2,4,23.0,
proc,3,0,6.0,
proc,3,1,18.0,
proc,4,2,25.0,
proc,4,3,16.0,
proc,5,4,25.0,
proc,5,5,23.0,
proc,6,1,20.0,
proc,7,2,24.0,
proc,7,3,19.0,
proc,8,4,19.0,
proc,8,5,21.0,
order,0,1,0.0,68.08198287364793
order,1,1,50.4523817683859,118.87197070680867
order,2,2,54.56928224288302,145.07344426887255
order,3,1,81.1185193441944,147.30424768841652
order,4,0,107.35808754473628,209.73543770708937
order,5,0,156.25192113841862,254.09250837909332
order,6,2,171.45281043490942,262.51069370592126
order,7,1,197.52578023792637,259.27627018886636
order,8,2,200.48441458711042,291.1593894213487
order,9,2,203.15270835200894,297.9423346210785
order,10,2,205.48177411206137,290.3272790551864
order,11,2,221.1640792134071,305.5053384095992
meta,DDT,,56.66666793823242,
meta,mean_interarrival,,14.074074074074074,
meta,arrival_process,,poisson,
meta,due_factor,,1.5,
meta,iota_target,,1.5,
meta,schema_version,,schedule-data-1,
meta,family,,standard,
meta,family_seed,,1944001,
meta,sampling_attempts,,2,
meta,sampling_regime,,joint_fixed_grid,
meta,catalog_sha256,,8e1a1226ad44ba7f0a8335c0739b8fd3cbfb1077b813ea72b25e22be3d1056a1,
meta,parameter_hash,,66146f41aeadc90850f0cff1514f7c78d7c1357fd938680e982e6419f64ee31b,
meta,E_dt,,20.105825383037008,
meta,Lambda,,0.07105263157894737,
meta,empirical_Lambda,,0.049736829050733,
meta,W_bar,,63.33333333333333,
meta,p_bar,,21.11111111111111,
meta,rho_sys,,0.780986842105263,
meta,iota,,1.5,
meta,regime,,below_capacity,
