kind,i,j,value,extra
header,6,5,15,128
stage_machines,0,,3,
stage_machines,1,,3,
stage_machines,2,,3,
stage_machines,3,,3,
stage_machines,4,,3,
proc,0,1,8.0,
proc,0,2,9.0,
proc,1,3,22.0,
proc,1,4,15.0,
proc,2,6,25.0,
proc,2,7,4.0,
proc,2,8,27.0,
proc,3,9,12.0,
proc,3,10,16.0,
proc,3,11,27.0,
proc,4,12,15.0,
proc,5,1,16.0,
proc,6,3,13.0,
proc,6,4,15.0,
proc,7,6,30.0,
proc,7,7,16.0,
proc,7,8,14.0,
proc,8,9,11.0,
proc,8,10,29.0,
proc,8,11,14.0,
proc,9,13,18.0,
proc,9,14,6.0,
proc,10,0,7.0,
proc,10,1,8.0,
proc,10,2,24.0,
proc,11,3,6.0,
proc,11,5,11.0,
proc,12,8,13.0,
proc,13,11,13.0,
proc,14,12,12.0,
proc,14,13,17.0,
proc,14,14,28.0,
proc,15,0,12.0,
proc,15,1,10.0,
proc,16,4,18.0,
proc,16,5,14.0,
proc,17,6,19.0,
proc,17,7,13.0,
proc,17,8,24.0,
proc,18,9,19.0,
proc,18,10,17.0,
proc,18,11,10.0,
proc,19,12,21.0,
proc,19,14,11.0,
proc,20,0,25.0,
proc,20,1,21.0,
proc,20,2,24.0,
proc,21,3,24.0,
proc,21,5,30.0,
proc,22,6,20.0,
proc,22,8,23.0,
proc,23,9,13.0,
proc,23,10,30.0,
proc,23,11,18.0,
proc,24,13,9.0,
proc,24,14,10.0,
proc,25,0,24.0,
proc,25,1,11.0,
proc,25,2,15.0,
proc,26,3,20.0,
proc,26,4,25.0,
proc,26,5,15.0,
proc,27,6,13.0,
proc,27,7,13.0,
proc,27,8,26.0,
proc,28,9,26.0,
proc,28,11,25.0,
proc,29,12,23.0,
proc,29,14,25.0,
order,0,1,0.0,171.04518224470442
order,1,1,3.1535221786165692,172.02546749097195
order,2,4,7.382248401701221,249.71282806286234
order,3,3,34.51296572639739,200.73582837046817
order,4,4,34.53774360448771,309.60305529431594
order,5,5,35.21531886673406,289.0998639857129
order,6,2,52.25958414845881,190.76034931543148
order,7,1,55.14508379086942,243.54957986245796
order,8,4,65.57733477044653,313.99023679331407
order,9,3,65.6233588285431,226.88165788292937
order,10,5,76.01270910485766,359.0085119439758
order,11,5,86.80277357567992,357.9310761024607
order,12,5,90.45423319056493,336.7990980606994
order,13,1,195.46812313175084,369.79169756529836
order,14,2,213.15311404632087,360.4207221025823
order,15,2,229.34722309455668,393.02991928066825
order,16,4,257.43613144269517,520.1892622252396
order,17,3,283.2883731765625,448.19283279506993
order,18,2,289.09633430089417,441.4997088466394
order,19,1,295.70585253854193,470.43325511747315
order,20,3,308.3032839638493,485.386320990855
order,21,1,326.46729099246056,490.59043649485875
order,22,2,331.0204874289479,498.98381197235244
order,23,3,335.7056839928402,521.0937026166561
order,24,1,360.0485223013271,548.7673084835487
order,25,0,374.6414354866071,527.3654780391073
order,26,5,377.79071708447765,626.1528400212164
order,27,0,384.4519736834335,535.9304456805739
order,28,1,387.1533426348388,561.4947043356548
order,29,1,405.37676497693496,582.6653909432719
order,30,0,411.38181249073915,578.9899773634654
order,31,4,430.7244777843005,674.5368815610152
order,32,5,437.7273617848608,723.15188636181
order,33,3,449.5845227866945,636.2188809093338
order,34,0,471.2071921608486,625.0422327872469
order,35,2,478.3143230742915,635.9232703194574
order,36,5,479.53660807845233,731.3874599096486
order,37,1,487.3465927250216,679.6817956828643
order,38,5,489.0240497590567,760.6588248552952
order,39,3,500.24545971622166,678.2833275008574
order,40,0,534.4858147246583,709.7282639113224
order,41,3,550.058046870617,728.6098982859384
order,42,5,552.6281044365915,797.9405128211689
order,43,1,554.8614388347872,745.0614197023295
order,44,1,571.2392821495013,766.4847295368709
order,45,4,593.481647556213,870.0450349009515
order,46,2,597.7463648957967,736.9907209138669
order,47,0,600.2472775356698,776.1269533289267
order,48,3,603.1359417498693,766.7474818108253
order,49,3,619.6243680876249,804.2013640234652
order,50,2,623.072719359218,782.4961352668062
order,51,5,623.683751876993,869.5363395178465
order,52,3,633.4746134279669,810.5113752131612
order,53,2,649.0962243130439,803.7598701731716
order,54,3,653.7272988036868,840.8727141538029
order,55,0,662.8701983446275,835.3440506021049
order,56,4,678.0261907869259,913.4566959367019
order,57,1,719.9825854160088,897.2846366583109
order,58,3,722.2980982140205,898.7875781526088
order,59,5,739.3191662973647,987.0654749831546
order,60,5,746.140000249089,984.5284983082545
order,61,3,751.276808395906,913.1037607383877
order,62,3,759.2883829109451,945.0450986769529
order,63,2,768.4019763266397,924.2197085269408
order,64,1,772.1904541562449,941.5458309300972
order,65,4,780.8621534829321,1062.9077412331321
order,66,3,797.5041673741829,955.6892895247288
order,67,0,800.1994440731951,967.4840272461346
order,68,3,801.772023219215,979.9348401368104
order,69,5,826.2256265529667,1109.1883184615735
order,70,0,834.8868567576442,992.7729641490556
order,71,3,836.2772431434931,994.8405739115194
order,72,1,837.2654422786153,1018.1727194844641
order,73,1,843.6976180904446,1025.2271109337382
order,74,3,860.9450100251358,1034.8751958042903
order,75,3,886.6410661691635,1073.9536565243193
order,76,2,902.167809759426,1059.2882121299006
order,77,0,921.8068310169299,1094.436110815331
order,78,3,926.8940067141527,1098.178382532477
order,79,5,929.2060548450244,1207.0597059197362
order,80,4,931.3446200631463,1210.2921255693307
order,81,5,966.4587562017169,1201.6737868806401
order,82,2,967.8112911283002,1123.836890527791
order,83,0,1004.9389234624127,1160.7153416711328
order,84,5,1008.8026821346699,1287.986862632689
order,85,3,1015.0938682932232,1181.4288061774391
order,86,0,1029.6349548717856,1207.113491446972
order,87,0,1032.5909317514424,1193.946556473198
order,88,5,1039.0517929917878,1313.4213858343296
order,89,5,1053.883172351641,1291.3698480956923
order,90,5,1080.7243571532708,1366.3160944975093
order,91,1,1089.699049650679,1254.5484215212255
order,92,2,1106.4620178972546,1252.1245439037452
order,93,4,1109.7261685633096,1388.2403567679391
order,94,4,1110.5252498762532,1382.3968031990416
order,95,2,1119.1930335856364,1282.691188036419
order,96,2,1129.711741881688,1271.00890817365
order,97,3,1142.5548236394534,1311.269403957346
order,98,0,1145.399817321031,1319.6967350042028
order,99,2,1198.2715848637677,1361.2386068120256
