kind,i,j,value,extra
header,6,7,21,192
stage_machines,0,,3,
stage_machines,1,,3,
stage_machines,2,,3,
stage_machines,3,,3,
stage_machines,4,,3,
stage_machines,5,,3,
stage_machines,6,,3,
proc,0,1,26.0,
proc,0,2,17.0,
proc,1,3,22.0,
proc,1,4,20.0,
proc,1,5,17.0,
proc,2,7,30.0,
proc,2,8,21.0,
proc,3,9,25.0,
proc,3,10,20.0,
proc,4,12,21.0,
proc,4,13,5.0,
proc,4,14,20.0,
proc,5,15,14.0,
proc,5,16,17.0,
proc,5,17,15.0,
proc,6,19,27.0,
proc,6,20,28.0,
proc,7,0,9.0,
proc,7,1,13.0,
proc,7,2,16.0,
proc,8,3,5.0,
proc,8,4,21.0,
proc,8,5,13.0,
proc,9,7,18.0,
proc,10,9,12.0,
proc,10,10,23.0,
proc,10,11,30.0,
proc,11,12,27.0,
proc,11,13,29.0,
proc,11,14,21.0,
proc,12,15,11.0,
proc,12,16,4.0,
proc,12,17,27.0,
proc,13,18,17.0,
proc,13,20,30.0,
proc,14,0,21.0,
proc,14,1,22.0,
proc,14,2,26.0,
proc,15,4,28.0,
proc,15,5,5.0,
proc,16,6,7.0,
proc,17,9,22.0,
proc,17,10,28.0,
proc,17,11,5.0,
proc,18,12,9.0,
proc,18,14,23.0,
proc,19,16,12.0,
proc,19,17,5.0,
proc,20,18,19.0,
proc,20,19,11.0,
proc,20,20,26.0,
proc,21,0,24.0,
proc,21,1,8.0,
proc,21,2,14.0,
proc,22,3,26.0,
proc,22,4,28.0,
proc,22,5,18.0,
proc,23,6,22.0,
proc,23,7,16.0,
proc,24,9,25.0,
proc,24,10,5.0,
proc,24,11,26.0,
proc,25,12,8.0,
proc,25,14,20.0,
proc,26,15,12.0,
proc,26,16,30.0,
proc,26,17,5.0,
proc,27,18,8.0,
proc,27,19,23.0,
proc,27,20,26.0,
proc,28,0,21.0,
proc,28,2,12.0,
proc,29,3,9.0,
proc,29,4,8.0,
proc,30,7,26.0,
proc,30,8,12.0,
proc,31,9,27.0,
proc,31,11,30.0,
proc,32,12,13.0,
proc,33,15,16.0,
proc,33,16,28.0,
proc,33,17,13.0,
proc,34,18,19.0,
proc,34,19,27.0,
proc,34,20,13.0,
proc,35,0,4.0,
proc,35,1,8.0,
proc,35,2,17.0,
proc,36,4,20.0,
proc,36,5,27.0,
proc,37,6,30.0,
proc,37,7,17.0,
proc,38,9,4.0,
proc,38,11,19.0,
proc,39,13,23.0,
proc,39,14,30.0,
proc,40,15,23.0,
proc,40,16,12.0,
proc,40,17,19.0,
proc,41,19,17.0,
proc,41,20,13.0,
order,0,1,0.0,254.23342782881494
order,1,4,7.824737990920025,287.4561102755402
order,2,5,10.035371914452153,301.84326341033295
order,3,3,18.994730950146536,240.67483678029194
order,4,2,20.472826615075157,223.4809733904608
order,5,2,22.91248927152783,228.12945873405675
order,6,5,25.02687464216114,328.0226158465489
order,7,4,32.063767406881375,314.964332990715
order,8,2,44.288669828113854,220.55474066787698
order,9,4,47.33112981911644,353.35482982289034
order,10,5,67.56933923799119,351.5612896084813
order,11,5,69.67841528845963,341.492712973356
order,12,5,84.3147009487563,340.37815943828264
order,13,2,107.14730731005376,309.6263570468217
order,14,1,127.62877679938366,371.23740918581854
order,15,1,129.51322790746661,396.54689116107073
order,16,5,136.83672665730484,411.0655747299359
order,17,2,154.6066835520357,327.6149753568783
order,18,2,176.53768227509389,365.24116768458293
order,19,2,203.13062041544967,407.8431604924855
order,20,4,203.26642611805377,518.6605029329824
order,21,1,223.8822738992945,505.82623677770425
order,22,4,232.23960676706977,547.4085516882077
order,23,0,285.3824695971961,678.0791180225751
order,24,0,297.08641218420945,694.2504909989697
order,25,3,299.3518439547814,508.9633250371199
order,26,2,302.65915158729416,500.79602786150076
order,27,5,319.0314836176492,621.3050690545488
order,28,4,324.96585864280735,643.8598639782902
order,29,5,335.6888925869436,632.741651710908
order,30,0,341.8266793591794,711.7228688867481
order,31,1,344.36314509348153,597.0610128778551
order,32,4,396.63127803895674,694.459496821932
order,33,3,401.511301606356,622.2028112941938
order,34,0,418.5352977272399,805.2828334990847
order,35,5,424.34794065703744,718.7753212774404
order,36,3,450.96607835723535,645.8752215892079
order,37,0,452.1369851764345,829.6308327154368
order,38,5,456.2842947190711,748.3943581347429
order,39,5,473.91865287622926,768.4351666391894
order,40,4,492.3551361435943,792.5524662759923
order,41,3,499.66168331314003,685.4167479316791
order,42,2,509.9201704853406,685.5524269887032
order,43,5,553.5110993995335,824.5175532157162
order,44,2,556.2015451146855,748.5209402813591
order,45,0,568.9988308418816,908.6525746062113
order,46,0,571.3475668178847,944.9762593490761
order,47,4,590.5152301836706,879.1735173826434
order,48,0,607.1902154919711,934.2654614022807
order,49,5,623.4395043154892,917.5785440026215
order,50,1,626.8770317220835,885.5876008731896
order,51,2,628.6556561986257,828.8357569439374
order,52,0,629.5482290325657,1013.0410696009245
order,53,2,630.5035256597688,831.111394449515
order,54,1,637.6271544383737,879.8893260947608
order,55,2,654.8891414710305,838.0934617995905
order,56,2,665.4017914545213,849.1987364645505
order,57,0,665.9028268900058,994.8459768206714
order,58,3,668.0371120353548,867.0519981890534
order,59,4,671.2238423070722,983.991061812801
order,60,0,701.6779449762982,1092.0703858741838
order,61,0,754.3437228668956,1107.8529520206616
order,62,1,760.0105611257117,998.9726704625673
order,63,5,775.5066039115063,1052.427609657815
order,64,1,776.2084946806458,1010.4936341087082
order,65,3,777.3101715644625,986.6930837913002
order,66,0,801.628432790474,1155.3591180140086
order,67,3,804.708757560197,1000.4861669409061
order,68,2,805.1590360786822,978.6559919873151
order,69,2,807.6570524000787,993.5224841087329
order,70,4,808.3559931354438,1124.4185289828101
order,71,3,811.4539707995385,1001.7417235379357
order,72,5,827.5721429840466,1109.7536744554404
order,73,5,837.4523923143742,1137.552597505054
order,74,3,838.240039115575,1044.9807649486893
order,75,5,870.046204750594,1132.929092553823
order,76,3,895.6903185614157,1099.9073230595284
order,77,3,898.798051214063,1102.4882189376326
order,78,0,918.1795233209834,1245.9608930197073
order,79,1,936.0457390502874,1211.1447103347898
order,80,0,946.386918961732,1311.6576695851309
order,81,0,961.5036798035785,1323.718774108779
order,82,4,975.185681156146,1277.5283517781625
order,83,3,983.3905759751908,1191.8900975835077
order,84,0,985.4586258769805,1373.4819194907182
order,85,3,1001.2650262656207,1206.4604087396121
order,86,1,1013.7556681628199,1289.9430312947597
order,87,2,1022.0367434511207,1223.1981299693339
order,88,0,1025.6718127396325,1366.7387101389916
order,89,2,1028.8533185138153,1236.5407483829226
order,90,1,1029.189149361168,1284.5603505448166
order,91,3,1031.733523792565,1236.5546776960455
order,92,4,1057.3887892586738,1322.6976068225842
order,93,5,1081.6420436295348,1343.6654464086168
order,94,2,1094.2852727852664,1295.9522524580484
order,95,3,1102.2993440398536,1319.7910354879423
order,96,2,1104.092220299481,1293.5164015132227
order,97,2,1125.9669615374742,1329.6830541646618
order,98,5,1137.2059042505691,1413.2796173656352
order,99,3,1137.9411456119717,1322.968905415851
order,100,4,1145.9866611234272,1468.861816507324
order,101,4,1147.154254629007,1447.0616348544334
order,102,5,1153.7204913735652,1406.2815305396634
order,103,1,1176.6303670667553,1457.2584488315206
order,104,3,1178.0015164917706,1369.1185932697608
order,105,1,1198.2017153701438,1436.5289049594612
order,106,3,1198.847516710072,1386.4060808386625
order,107,3,1205.9977141108432,1397.46093670878
order,108,3,1279.555155262594,1477.7539891758684
order,109,0,1289.85155079638,1635.6725287123043
order,110,3,1294.58951756725,1493.561462177702
order,111,0,1308.4177714932869,1659.0645374152325
order,112,0,1313.1332480294218,1658.9965425482053
order,113,0,1339.5917994335048,1686.4488547686674
order,114,0,1345.8320842853086,1716.2581177143627
order,115,2,1359.1607852231368,1553.1797370015854
order,116,0,1395.7598159546035,1723.9646781882252
order,117,4,1405.8383010512005,1709.6460024855999
order,118,3,1414.3533860649125,1612.540624845439
order,119,1,1427.8501493987205,1698.1038518978016
order,120,1,1462.456585493117,1718.1844862861003
order,121,0,1483.1727774298718,1821.5761302581077
order,122,4,1485.162147409512,1771.0793849959139
order,123,1,1492.1251047414898,1757.9283746591468
order,124,0,1509.9441328106818,1869.2290174226546
order,125,0,1527.7760228967031,1913.0726537889975
order,126,5,1528.5677805690036,1813.8387023992
order,127,4,1541.845916092728,1847.7083600225205
order,128,5,1561.6422530509074,1817.1515699915667
order,129,4,1562.6517015879133,1852.504392337419
order,130,5,1576.4963688607459,1853.5337565913728
order,131,5,1598.6332022308939,1872.551874279415
order,132,3,1618.8893892088208,1803.9095192594284
order,133,2,1631.7450446621826,1807.1935037237893
order,134,5,1633.5744202408855,1891.916206085594
order,135,3,1645.1873494888744,1860.5798243442391
order,136,2,1659.6633283882616,1858.7489129145185
order,137,0,1669.1978641996084,2055.9873732308743
order,138,5,1671.671769728258,1976.007139592885
order,139,3,1679.3281268710198,1878.575201509518
order,140,4,1684.0728310341199,2006.883283492554
order,141,3,1689.2468868322812,1907.3055357194153
order,142,2,1711.9007949306106,1889.3737433413698
order,143,4,1741.7854883130772,2010.9175819150714
order,144,4,1752.990376506569,2072.030734187759
order,145,0,1762.351886314963,2096.6633898467685
order,146,3,1766.1198063014897,1980.3162446448337
order,147,2,1769.276856949025,1943.4827589541383
order,148,4,1780.1236415668557,2090.1084234656123
order,149,2,1793.2619277482352,1985.286958786899
order,150,2,1816.4222094117326,1997.0774945795026
order,151,1,1818.8604993781998,2071.9816095015003
order,152,2,1820.6222925041216,1996.6820864382323
order,153,3,1822.3594072948422,2033.4002622072574
order,154,0,1831.5513332056453,2226.2647167617906
order,155,3,1832.2648479037898,2038.9900465153034
order,156,2,1849.8800321896895,2032.1111470492765
order,157,1,1854.5528065372214,2098.3528726554537
order,158,3,1855.9509927394784,2070.7517208449176
order,159,0,1856.8764028127782,2223.9115040966517
order,160,5,1868.0051869638328,2124.4677217053336
order,161,3,1881.5373753451813,2092.6880841768093
order,162,3,1890.5771378011934,2083.2438272267505
order,163,4,1891.930173132703,2213.722976070641
order,164,1,1905.8261501184265,2160.6382474228244
order,165,1,1920.3940920701962,2202.589314299929
order,166,1,1929.6042942228364,2200.522058897435
order,167,4,1934.5830822670225,2205.223205319344
order,168,1,1942.898026641737,2180.3471388036746
order,169,4,1968.7218421076932,2281.8471267660834
order,170,3,1972.948246931405,2170.2061985193714
order,171,2,1975.3340381149599,2153.8186611969422
order,172,1,1977.9621087900734,2242.5301422180446
order,173,0,1989.356139883616,2369.764566685961
order,174,5,1996.647208158198,2273.4710638745105
order,175,5,2001.3511722580727,2285.343794611113
order,176,0,2001.8012240656874,2384.3891556765893
order,177,3,2016.6045985047133,2222.8332888152418
order,178,1,2020.0430192106044,2298.349201398991
order,179,2,2028.0586951708317,2201.5706964161286
order,180,4,2033.5698089619586,2307.3990845159947
order,181,2,2049.9558896261883,2246.067273624281
order,182,1,2053.623469351819,2296.4856529563053
order,183,4,2058.0268313817896,2375.6118883954878
order,184,2,2069.1557039870636,2264.267159899611
order,185,5,2069.1896847468747,2351.869649052197
order,186,2,2076.551054442532,2273.289756273596
order,187,2,2084.327455990824,2271.216933471932
order,188,2,2094.210217500754,2286.896506012813
order,189,1,2110.3038569130167,2383.38854554886
order,190,0,2119.869403741141,2461.3736142945845
order,191,5,2120.6245966013685,2415.7435343346315
meta,DDT,,88.16666412353516,
meta,mean_interarrival,,12.084656034197126,
meta,arrival_process,,poisson,
meta,due_factor,,3.0,
meta,iota_target,,1.5,
meta,schema_version,,schedule-data-1,
meta,family,,large7,
meta,family_seed,,2166002,
meta,sampling_attempts,,1,
meta,sampling_regime,,joint_fixed_grid,
meta,catalog_sha256,,7259ea0e5f71349b03f29f40d6ec384df7ae39a0fcd48f1bac9ef41b3d1a988a,
