kind,i,j,value,extra
header,6,7,21,192
stage_machines,0,,3,
stage_machines,1,,3,
stage_machines,2,,3,
stage_machines,3,,3,
stage_machines,4,,3,
stage_machines,5,,3,
stage_machines,6,,3,
proc,0,1,26.0,
proc,0,2,17.0,
proc,1,3,22.0,
proc,1,4,20.0,
proc,1,5,17.0,
proc,2,7,30.0,
proc,2,8,21.0,
proc,3,9,25.0,
proc,3,10,20.0,
proc,4,12,21.0,
proc,4,13,5.0,
proc,4,14,20.0,
proc,5,15,14.0,
proc,5,16,17.0,
proc,5,17,15.0,
proc,6,19,27.0,
proc,6,20,28.0,
proc,7,0,9.0,
proc,7,1,13.0,
proc,7,2,16.0,
proc,8,3,5.0,
proc,8,4,21.0,
proc,8,5,13.0,
proc,9,7,18.0,
proc,10,9,12.0,
proc,10,10,23.0,
proc,10,11,30.0,
proc,11,12,27.0,
proc,11,13,29.0,
proc,11,14,21.0,
proc,12,15,11.0,
proc,12,16,4.0,
proc,12,17,27.0,
proc,13,18,17.0,
proc,13,20,30.0,
proc,14,0,21.0,
proc,14,1,22.0,
proc,14,2,26.0,
proc,15,4,28.0,
proc,15,5,5.0,
proc,16,6,7.0,
proc,17,9,22.0,
proc,17,10,28.0,
proc,17,11,5.0,
proc,18,12,9.0,
proc,18,14,23.0,
proc,19,16,12.0,
proc,19,17,5.0,
proc,20,18,19.0,
proc,20,19,11.0,
proc,20,20,26.0,
proc,21,0,24.0,
proc,21,1,8.0,
proc,21,2,14.0,
proc,22,3,26.0,
proc,22,4,28.0,
proc,22,5,18.0,
proc,23,6,22.0,
proc,23,7,16.0,
proc,24,9,25.0,
proc,24,10,5.0,
proc,24,11,26.0,
proc,25,12,8.0,
proc,25,14,20.0,
proc,26,15,12.0,
proc,26,16,30.0,
proc,26,17,5.0,
proc,27,18,8.0,
proc,27,19,23.0,
proc,27,20,26.0,
proc,28,0,21.0,
proc,28,2,12.0,
proc,29,3,9.0,
proc,29,4,8.0,
proc,30,7,26.0,
proc,30,8,12.0,
proc,31,9,27.0,
proc,31,11,30.0,
proc,32,12,13.0,
proc,33,15,16.0,
proc,33,16,28.0,
proc,33,17,13.0,
proc,34,18,19.0,
proc,34,19,27.0,
proc,34,20,13.0,
proc,35,0,4.0,
proc,35,1,8.0,
proc,35,2,17.0,
proc,36,4,20.0,
proc,36,5,27.0,
proc,37,6,30.0,
proc,37,7,17.0,
proc,38,9,4.0,
proc,38,11,19.0,
proc,39,13,23.0,
proc,39,14,30.0,
proc,40,15,23.0,
proc,40,16,12.0,
proc,40,17,19.0,
proc,41,19,17.0,
proc,41,20,13.0,
order,0,1,0.0,254.23342782881494
order,1,4,4.694842794552015,284.3262150791722
order,2,5,6.021223148671291,297.82911464455213
order,3,3,11.396838570087922,233.07694440023334
order,4,2,12.283695969045095,215.29184274443074
order,5,2,13.747493562916697,218.96446302544564
order,6,5,15.016124785296682,318.01186598968445
order,7,4,19.238260444128823,302.1388260279624
order,8,2,26.573201896868312,202.83927273663144
order,9,4,28.398677891469866,334.42237789524376
order,10,5,40.54160354279472,324.5335539132848
order,11,5,41.807049173075775,313.6213468579721
order,12,5,50.58882056925378,306.6522790587801
order,13,2,64.28838438603226,266.7674341228002
order,14,1,76.57726607963019,320.18589846606505
order,15,1,77.70793674447997,344.7415999980841
order,16,5,82.1020359943829,356.330884067014
order,17,2,92.76401013122141,265.77230193606397
order,18,2,105.92260936505633,294.6260947745453
order,19,2,121.8783722492698,326.5909123263056
order,20,4,121.95985567083227,437.3539324857609
order,21,1,134.3293643395767,416.27332721798643
order,22,4,139.34376406024188,454.5127089813798
order,23,0,171.2294817583177,563.9261301836967
order,24,0,178.25184731052568,575.4159261252859
order,25,3,179.61110637286882,389.2225874552073
order,26,2,181.5954909523765,379.73236722658316
order,27,5,191.41889017058952,493.6924756074891
order,28,4,194.9795151856844,513.8735205211672
order,29,5,201.4133355521662,498.46609467613047
order,30,0,205.09600761550763,574.9921971430763
order,31,1,206.61788705608893,459.31575484046255
order,32,4,237.97876682337403,535.8069856063494
order,33,3,240.90678096381362,461.5982906516514
order,34,0,251.12117863634393,637.8687144081888
order,35,5,254.60876439422248,549.0361450146254
order,36,3,270.5796470143412,465.4887902463138
order,37,0,271.2821911058607,648.7760386448631
order,38,5,273.77057683144267,565.8806402471145
order,39,5,284.3511917257376,578.8677054886978
order,40,4,295.4130816861566,595.6104118185547
order,41,3,299.797009987884,485.552074606423
order,42,2,305.9521022912043,481.58435879456704
order,43,5,332.1066596397201,603.1131134559029
order,44,2,333.72092706881125,526.040322235485
order,45,0,341.399298505129,681.0530422694587
order,46,0,342.80854009073084,716.4372326219222
order,47,4,354.30913811020235,642.967425309175
order,48,0,364.3141292951827,691.3893752054923
order,49,5,374.06370258929354,668.2027422764259
order,50,1,376.12621903325015,634.8367881843561
order,51,2,377.19339371917545,577.3734944644872
order,52,0,377.7289374195394,761.2217779878982
order,53,2,378.3021153958613,578.9099841856075
order,54,1,382.5762926630242,624.8384643194113
order,55,2,392.93348488261825,576.1378052111783
order,56,2,399.24107487271283,583.038019882742
order,57,0,399.5416961340035,728.484846064669
order,58,3,400.8222672212129,599.8371533749116
order,59,4,402.7343053842433,715.5015248899722
order,60,0,421.00676698577894,811.3992078836644
order,61,0,452.60623372013737,806.1154628739034
order,62,1,456.006336675427,694.9684460122826
order,63,5,465.3039623469038,742.2249680932126
order,64,1,465.72509680838743,700.0102362364498
order,65,3,466.3861029386775,675.7690151655152
order,66,0,480.9770596742844,834.7077448978189
order,67,3,482.8252545361182,678.6026639168273
order,68,2,483.0954216472094,656.5923775558423
order,69,2,484.5942314400472,670.4596631487015
order,70,4,485.01359588126627,801.0761317286326
order,71,3,486.8723824797231,677.1601352181203
order,72,5,496.543285790428,778.7248172618217
order,73,5,502.4714353886245,802.5716405793044
order,74,3,502.944023469345,709.6847493024592
order,75,5,522.0277228503564,784.9106106535853
order,76,3,537.4141911368494,741.6311956349621
order,77,3,539.2788307284378,742.9689984520074
order,78,0,550.9077139925901,878.689083691314
order,79,1,561.6274434301724,836.726414714675
order,80,0,567.8321513770392,933.102902000438
order,81,0,576.9022078821471,939.1173021873475
order,82,4,585.1114086936876,887.4540793157041
order,83,3,590.0343455851145,798.5338671934314
order,84,0,591.2751755261883,979.2984691399258
order,85,3,600.7590157593725,805.9543982333639
order,86,1,608.253400897692,884.440764029632
order,87,2,613.2220460706725,814.3834325888855
order,88,0,615.4030876437795,956.4699850431386
order,89,2,617.3119911082892,824.9994209773964
order,90,1,617.5134896167007,872.8846908003494
order,91,3,619.0401142755389,823.8612681790195
order,92,4,634.4332735552042,899.7420911191147
order,93,5,648.9852261777208,911.0086289568029
order,94,2,656.57116367116,858.2381433439418
order,95,3,661.3796064239122,878.8712978720007
order,96,2,662.4553321796885,851.8795133934304
order,97,2,675.5801769224845,879.2962695496722
order,98,5,682.3235425503415,958.3972556654076
order,99,3,682.764687367183,867.7924471710622
order,100,4,687.5919966740563,1010.467152057953
order,101,4,688.2925527774041,988.1999330028304
order,102,5,692.2322948241392,944.7933339902376
order,103,1,705.9782202400532,986.6063020048185
order,104,3,706.8009098950623,897.9179866730525
order,105,1,718.9210292220863,957.2482188114036
order,106,3,719.3085100260432,906.8670741546338
order,107,3,723.5986284665059,915.0618510644429
order,108,3,767.7330931575565,965.9319270708307
order,109,0,773.9109304778281,1119.7319083937523
order,110,3,776.75371054035,975.725655150802
order,111,0,785.0506628959721,1135.6974288179179
order,112,0,787.879948817653,1133.7432433364365
order,113,0,803.7550796601029,1150.6121349952655
order,114,0,807.4992505711853,1177.9252840002393
order,115,2,815.4964711338821,1009.5154229123306
order,116,0,837.4558895727621,1165.6607518063838
order,117,4,843.5029806307202,1147.3106820651196
order,118,3,848.6120316389475,1046.799270419474
order,119,1,856.7100896392324,1126.9637921383132
order,120,1,877.4739512958703,1133.2018520888537
order,121,0,889.9036664579231,1228.3070192861592
order,122,4,891.0972884457072,1177.014526032109
order,123,1,895.2750628448939,1161.0783327625509
order,124,0,905.966479686409,1265.2513642983818
order,125,0,916.6656137380218,1301.962244630316
order,126,5,917.1406683414021,1202.4115901715986
order,127,4,925.1075496556368,1230.9699935854294
order,128,5,936.9853518305443,1192.4946687712038
order,129,4,937.591020952748,1227.4437117022537
order,130,5,945.8978213164474,1222.9352090470743
order,131,5,959.1799213385362,1233.0985933870572
order,132,3,971.3336335252925,1156.3537635759
order,133,2,979.0470267973095,1154.4954858589163
order,134,5,980.1446521445313,1238.48643798924
order,135,3,987.1124096933246,1202.5048845486895
order,136,2,995.797997032957,1194.883581559214
order,137,0,1001.518718519765,1388.308227551031
order,138,5,1003.0030618369548,1307.338431701582
order,139,3,1007.5968761226118,1206.84395076111
order,140,4,1010.443698620472,1333.254151078906
order,141,3,1013.5481320993688,1231.6067809865028
order,142,2,1027.1404769583662,1204.6134253691255
order,143,4,1045.0712929878464,1314.2033865898406
order,144,4,1051.7942259039414,1370.8345835851314
order,145,0,1057.4111317889776,1391.722635320783
order,146,3,1059.6718837808937,1273.8683221242377
order,147,2,1061.566114169415,1235.7720161745283
order,148,4,1068.0741849401134,1378.05896683887
order,149,2,1075.9571566489412,1267.9821876876051
order,150,2,1089.8533256470396,1270.5086108148096
order,151,1,1091.3162996269198,1344.4374097502202
order,152,2,1092.373375502473,1268.4331694365837
order,153,3,1093.4156443769052,1304.4564992893204
order,154,0,1098.9307999233872,1493.6441834795326
order,155,3,1099.3589087422738,1306.0841073537874
order,156,2,1109.9280193138136,1292.1591341734006
order,157,1,1112.7316839223329,1356.5317500405652
order,158,3,1113.570595643687,1328.371323749126
order,159,0,1114.125841687667,1481.1609429715404
order,160,5,1120.8031121782997,1377.2656469198002
order,161,3,1128.9224252071087,1340.0731340387367
order,162,3,1134.346282680716,1327.012972106273
order,163,4,1135.1581038796219,1456.9509068175598
order,164,1,1143.4956900710558,1398.3077873754537
order,165,1,1152.2364552421177,1434.4316774718507
order,166,1,1157.7625765337018,1428.6803412083002
order,167,4,1160.7498493602134,1431.3899724125347
order,168,1,1165.7388159850423,1403.1879281469799
order,169,4,1181.233105264616,1494.3583899230061
order,170,3,1183.7689481588432,1381.0268997468095
order,171,2,1185.200422868976,1363.6850459509583
order,172,1,1186.777265274044,1451.345298702015
order,173,0,1193.6136839301696,1574.022110732515
order,174,5,1197.9883248949188,1474.8121806112313
order,175,5,1200.8107033548436,1484.8033257078841
order,176,0,1201.0807344394125,1583.6686660503142
order,177,3,1209.962759102828,1416.1914494133562
order,178,1,1212.0258115263625,1490.3319937147494
order,179,2,1216.835217102499,1390.347218347796
order,180,4,1220.1418853771752,1493.9711609312112
order,181,2,1229.9735337757131,1426.0849177738055
order,182,1,1232.1740816110914,1475.0362652155777
order,183,4,1234.8160988290738,1552.401155842772
order,184,2,1241.493422392238,1436.6048783047856
order,185,5,1241.5138108481249,1524.193775153447
order,186,2,1245.9306326655192,1442.6693344965834
order,187,2,1250.5964735944945,1437.4859510756023
order,188,2,1256.5261305004524,1449.2124190125114
order,189,1,1266.18231414781,1539.2670027836532
order,190,0,1271.9216422446846,1613.4258527981283
order,191,5,1272.3747579608212,1567.4936956940842
meta,DDT,,88.16666412353516,
meta,mean_interarrival,,7.250793620518276,
meta,arrival_process,,poisson,
meta,due_factor,,3.0,
meta,iota_target,,2.5,
meta,schema_version,,schedule-data-1,
meta,family,,large7,
meta,family_seed,,2166002,
meta,sampling_attempts,,1,
meta,sampling_regime,,joint_fixed_grid,
meta,catalog_sha256,,7259ea0e5f71349b03f29f40d6ec384df7ae39a0fcd48f1bac9ef41b3d1a988a,
meta,parameter_hash,,77e09fceceebc6995320c1e990c741f1ba081bbe2bc8a20aab0bff86717bfb66,
meta,E_dt,,6.661647947438854,
meta,Lambda,,0.13791593752857656,
