kind,i,j,value,extra
header,6,7,21,192
stage_machines,0,,3,
stage_machines,1,,3,
stage_machines,2,,3,
stage_machines,3,,3,
stage_machines,4,,3,
stage_machines,5,,3,
stage_machines,6,,3,
proc,0,1,26.0,
proc,0,2,17.0,
proc,1,3,22.0,
proc,1,4,20.0,
proc,1,5,17.0,
proc,2,7,30.0,
proc,2,8,21.0,
proc,3,9,25.0,
proc,3,10,20.0,
proc,4,12,21.0,
proc,4,13,5.0,
proc,4,14,20.0,
proc,5,15,14.0,
proc,5,16,17.0,
proc,5,17,15.0,
proc,6,19,27.0,
proc,6,20,28.0,
proc,7,0,9.0,
proc,7,1,13.0,
proc,7,2,16.0,
proc,8,3,5.0,
proc,8,4,21.0,
proc,8,5,13.0,
proc,9,7,18.0,
proc,10,9,12.0,
proc,10,10,23.0,
proc,10,11,30.0,
proc,11,12,27.0,
proc,11,13,29.0,
proc,11,14,21.0,
proc,12,15,11.0,
proc,12,16,4.0,
proc,12,17,27.0,
proc,13,18,17.0,
proc,13,20,30.0,
proc,14,0,21.0,
proc,14,1,22.0,
proc,14,2,26.0,
proc,15,4,28.0,
proc,15,5,5.0,
proc,16,6,7.0,
proc,17,9,22.0,
proc,17,10,28.0,
proc,17,11,5.0,
proc,18,12,9.0,
proc,18,14,23.0,
proc,19,16,12.0,
proc,19,17,5.0,
proc,20,18,19.0,
proc,20,19,11.0,
proc,20,20,26.0,
proc,21,0,24.0,
proc,21,1,8.0,
proc,21,2,14.0,
proc,22,3,26.0,
proc,22,4,28.0,
proc,22,5,18.0,
proc,23,6,22.0,
proc,23,7,16.0,
proc,24,9,25.0,
proc,24,10,5.0,
proc,24,11,26.0,
proc,25,12,8.0,
proc,25,14,20.0,
proc,26,15,12.0,
proc,26,16,30.0,
proc,26,17,5.0,
proc,27,18,8.0,
proc,27,19,23.0,
proc,27,20,26.0,
proc,28,0,21.0,
proc,28,2,12.0,
proc,29,3,9.0,
proc,29,4,8.0,
proc,30,7,26.0,
proc,30,8,12.0,
proc,31,9,27.0,
proc,31,11,30.0,
proc,32,12,13.0,
proc,33,15,16.0,
proc,33,16,28.0,
proc,33,17,13.0,
proc,34,18,19.0,
proc,34,19,27.0,
proc,34,20,13.0,
proc,35,0,4.0,
proc,35,1,8.0,
proc,35,2,17.0,
proc,36,4,20.0,
proc,36,5,27.0,
proc,37,6,30.0,
proc,37,7,17.0,
proc,38,9,4.0,
proc,38,11,19.0,
proc,39,13,23.0,
proc,39,14,30.0,
proc,40,15,23.0,
proc,40,16,12.0,
proc,40,17,19.0,
proc,41,19,17.0,
proc,41,20,13.0,
order,0,1,0.0,127.11671391440747
order,1,4,7.824737990920025,147.6404241332301
order,2,5,10.035371914452153,155.93931766239257
order,3,3,18.994730950146536,129.83478386521924
order,4,2,20.472826615075157,121.97690000276799
order,5,2,22.91248927152783,125.5209740027923
order,6,5,25.02687464216114,176.52474524435502
order,7,4,32.063767406881375,173.51405019879817
order,8,2,44.288669828113854,132.42170524799542
order,9,4,47.33112981911644,200.34297982100338
order,10,5,67.56933923799119,209.56531442323623
order,11,5,69.67841528845963,205.5855641309078
order,12,5,84.3147009487563,212.34643019351947
order,13,2,107.14730731005376,208.38683217843771
order,14,1,127.62877679938366,249.43309299260108
order,15,1,129.51322790746661,263.0300595342687
order,16,5,136.83672665730484,273.9511506936204
order,17,2,154.6066835520357,241.11082945445696
order,18,2,176.53768227509389,270.8894249798384
order,19,2,203.13062041544967,305.4868904539676
order,20,4,203.26642611805377,360.9634645255181
order,21,1,223.8822738992945,364.85425533849934
order,22,4,232.23960676706977,389.8240792276387
order,23,0,285.3824695971961,481.73079380988565
order,24,0,297.08641218420945,495.6684515915896
order,25,3,299.3518439547814,404.15758449595063
order,26,2,302.65915158729416,401.7275897243975
order,27,5,319.0314836176492,470.168276336099
order,28,4,324.96585864280735,484.4128613105487
order,29,5,335.6888925869436,484.21527214892575
order,30,0,341.8266793591794,526.7747741229638
order,31,1,344.36314509348153,470.7120789856683
order,32,4,396.63127803895674,545.5453874304444
order,33,3,401.511301606356,511.8570564502749
order,34,0,418.5352977272399,611.9090656131623
order,35,5,424.34794065703744,571.5616309672389
order,36,3,450.96607835723535,548.4206499732217
order,37,0,452.1369851764345,640.8839089459357
order,38,5,456.2842947190711,602.3393264269071
order,39,5,473.91865287622926,621.1769097577094
order,40,4,492.3551361435943,642.4538012097933
order,41,3,499.66168331314003,592.5392156224095
order,42,2,509.9201704853406,597.7362987370219
order,43,5,553.5110993995335,689.0143263076249
order,44,2,556.2015451146855,652.3612426980224
order,45,0,568.9988308418816,738.8257027240464
order,46,0,571.3475668178847,758.1619130834804
order,47,4,590.5152301836706,734.8443737831569
order,48,0,607.1902154919711,770.7278384471259
order,49,5,623.4395043154892,770.5090241590553
order,50,1,626.8770317220835,756.2323162976365
order,51,2,628.6556561986257,728.7457065712815
order,52,0,629.5482290325657,821.2946493167451
order,53,2,630.5035256597688,730.8074600546419
order,54,1,637.6271544383737,758.7582402665673
order,55,2,654.8891414710305,746.4913016353105
order,56,2,665.4017914545213,757.3002639595359
order,57,0,665.9028268900058,830.3744018553386
order,58,3,668.0371120353548,767.5445551122041
order,59,4,671.2238423070722,827.6074520599366
order,60,0,701.6779449762982,896.874165425241
order,61,0,754.3437228668956,931.0983374437787
order,62,1,760.0105611257117,879.4916157941394
order,63,5,775.5066039115063,913.9671067846607
order,64,1,776.2084946806458,893.351064394677
order,65,3,777.3101715644625,882.0016276778813
order,66,0,801.628432790474,978.4937754022412
order,67,3,804.708757560197,902.5974622505515
order,68,2,805.1590360786822,891.9075140329987
order,69,2,807.6570524000787,900.5897682544057
order,70,4,808.3559931354438,966.3872610591269
order,71,3,811.4539707995385,906.5978471687372
order,72,5,827.5721429840466,968.6629087197435
order,73,5,837.4523923143742,987.5024949097141
order,74,3,838.240039115575,941.610402032132
order,75,5,870.046204750594,1001.4876486522085
order,76,3,895.6903185614157,997.798820810472
order,77,3,898.798051214063,1000.6431350758478
order,78,0,918.1795233209834,1082.0702081703453
order,79,1,936.0457390502874,1073.5952246925385
order,80,0,946.386918961732,1129.0222942734315
order,81,0,961.5036798035785,1142.6112269561786
order,82,4,975.185681156146,1126.3570164671542
order,83,3,983.3905759751908,1087.6403367793494
order,84,0,985.4586258769805,1179.4702726838493
order,85,3,1001.2650262656207,1103.8627175026163
order,86,1,1013.7556681628199,1151.84934972879
order,87,2,1022.0367434511207,1122.6174367102271
order,88,0,1025.6718127396325,1196.2052614393122
order,89,2,1028.8533185138153,1132.697033448369
order,90,1,1029.189149361168,1156.8747499529923
order,91,3,1031.733523792565,1134.1441007443052
order,92,4,1057.3887892586738,1190.043198040629
order,93,5,1081.6420436295348,1212.6537450190758
order,94,2,1094.2852727852664,1195.1187626216574
order,95,3,1102.2993440398536,1211.045189763898
order,96,2,1104.092220299481,1198.804310906352
order,97,2,1125.9669615374742,1227.825007851068
order,98,5,1137.2059042505691,1275.242760808102
order,99,3,1137.9411456119717,1230.4550255139113
order,100,4,1145.9866611234272,1307.4242388153755
order,101,4,1147.154254629007,1297.10794474172
order,102,5,1153.7204913735652,1280.0010109566144
order,103,1,1176.6303670667553,1316.944407949138
order,104,3,1178.0015164917706,1273.5600548807658
order,105,1,1198.2017153701438,1317.3653101648024
order,106,3,1198.847516710072,1292.6267987743672
order,107,3,1205.9977141108432,1301.7293254098115
order,108,3,1279.555155262594,1378.6545722192313
order,109,0,1289.85155079638,1462.7620397543421
order,110,3,1294.58951756725,1394.075489872476
order,111,0,1308.4177714932869,1483.7411544542597
order,112,0,1313.1332480294218,1486.0648952888134
order,113,0,1339.5917994335048,1513.0203271010862
order,114,0,1345.8320842853086,1531.0451009998358
order,115,2,1359.1607852231368,1456.170261112361
order,116,0,1395.7598159546035,1559.8622470714145
order,117,4,1405.8383010512005,1557.7421517684002
order,118,3,1414.3533860649125,1513.4470054551757
order,119,1,1427.8501493987205,1562.977000648261
order,120,1,1462.456585493117,1590.3205358896087
order,121,0,1483.1727774298718,1652.3744538439898
order,122,4,1485.162147409512,1628.120766202713
order,123,1,1492.1251047414898,1625.0267397003183
order,124,0,1509.9441328106818,1689.5865751166682
order,125,0,1527.7760228967031,1720.4243383428502
order,126,5,1528.5677805690036,1671.203241484102
order,127,4,1541.845916092728,1694.7771380576241
order,128,5,1561.6422530509074,1689.3969115212371
order,129,4,1562.6517015879133,1707.5780469626661
order,130,5,1576.4963688607459,1715.0150627260593
order,131,5,1598.6332022308939,1735.5925382551543
order,132,3,1618.8893892088208,1711.3994542341245
order,133,2,1631.7450446621826,1719.469274192986
order,134,5,1633.5744202408855,1762.7453131632399
order,135,3,1645.1873494888744,1752.8835869165569
order,136,2,1659.6633283882616,1759.20612065139
order,137,0,1669.1978641996084,1862.5926187152413
order,138,5,1671.671769728258,1823.8394546605714
order,139,3,1679.3281268710198,1778.9516641902687
order,140,4,1684.0728310341199,1845.478057263337
order,141,3,1689.2468868322812,1798.2762112758483
order,142,2,1711.9007949306106,1800.6372691359902
order,143,4,1741.7854883130772,1876.3515351140743
order,144,4,1752.990376506569,1912.510555347164
order,145,0,1762.351886314963,1929.5076380808657
order,146,3,1766.1198063014897,1873.2180254731616
order,147,2,1769.276856949025,1856.3798079515816
order,148,4,1780.1236415668557,1935.116032516234
order,149,2,1793.2619277482352,1889.2744432675672
order,150,2,1816.4222094117326,1906.7498519956175
order,151,1,1818.8604993781998,1945.42105443985
order,152,2,1820.6222925041216,1908.6521894711768
order,153,3,1822.3594072948422,1927.8798347510497
order,154,0,1831.5513332056453,2028.908024983718
order,155,3,1832.2648479037898,1935.6274472095467
order,156,2,1849.8800321896895,1940.995589619483
order,157,1,1854.5528065372214,1976.4528395963375
order,158,3,1855.9509927394784,1963.351356792198
order,159,0,1856.8764028127782,2040.3939534547148
order,160,5,1868.0051869638328,1996.2364543345832
order,161,3,1881.5373753451813,1987.1127297609953
order,162,3,1890.5771378011934,1986.910482513972
order,163,4,1891.930173132703,2052.826574601672
order,164,1,1905.8261501184265,2033.2321987706255
order,165,1,1920.3940920701962,2061.4917031850628
order,166,1,1929.6042942228364,2065.0631765601356
order,167,4,1934.5830822670225,2069.903143793183
order,168,1,1942.898026641737,2061.622582722706
order,169,4,1968.7218421076932,2125.2844844368883
order,170,3,1972.948246931405,2071.5772227253883
order,171,2,1975.3340381149599,2064.576349655951
order,172,1,1977.9621087900734,2110.246125504059
order,173,0,1989.356139883616,2179.5603532847886
order,174,5,1996.647208158198,2135.0591360163544
order,175,5,2001.3511722580727,2143.347483434593
order,176,0,2001.8012240656874,2193.0951898711382
order,177,3,2016.6045985047133,2119.7189436599774
order,178,1,2020.0430192106044,2159.196110304798
order,179,2,2028.0586951708317,2114.81469579348
order,180,4,2033.5698089619586,2170.4844467389767
order,181,2,2049.9558896261883,2148.0115816252346
order,182,1,2053.623469351819,2175.0545611540624
order,183,4,2058.0268313817896,2216.8193598886387
order,184,2,2069.1557039870636,2166.711431943337
order,185,5,2069.1896847468747,2210.5296668995356
order,186,2,2076.551054442532,2174.9204053580643
order,187,2,2084.327455990824,2177.772194731378
order,188,2,2094.210217500754,2190.5533617567835
order,189,1,2110.3038569130167,2246.8462012309383
order,190,0,2119.869403741141,2290.621509017863
order,191,5,2120.6245966013685,2268.184065468
meta,DDT,,88.16666412353516,
meta,mean_interarrival,,12.084656034197126,
meta,arrival_process,,poisson,
meta,due_factor,,1.5,
meta,iota_target,,1.5,
meta,schema_version,,schedule-data-1,
meta,family,,large7,
meta,family_seed,,2166002,
meta,sampling_attempts,,1,
meta,sampling_regime,,joint_fixed_grid,
meta,catalog_sha256,,7259ea0e5f71349b03f29f40d6ec384df7ae39a0fcd48f1bac9ef41b3d1a988a,
