kind,i,j,value,extra
header,3,3,6,12
stage_machines,0,,2,
stage_machines,1,,2,
stage_machines,2,,2,
proc,0,0,18.0,
proc,0,1,24.0,
proc,1,2,26.0,
proc,1,3,30.0,
proc,2,4,23.0,
proc,3,0,6.0,
proc,3,1,18.0,
proc,4,2,25.0,
proc,4,3,16.0,
proc,5,4,25.0,
proc,5,5,23.0,
proc,6,1,20.0,
proc,7,2,24.0,
proc,7,3,19.0,
proc,8,4,19.0,
proc,8,5,21.0,
order,0,1,0.0,68.08198287364793
order,1,1,126.13095442096474,194.55054335938752
order,2,2,136.42320560720754,226.92736763319706
order,3,1,202.796298360486,268.9820267047081
order,4,0,268.3952188618407,370.7725690241938
order,5,0,390.6298028460465,488.47039008672124
order,6,2,428.6320260872736,519.6899093582854
order,7,1,493.8144505948159,555.5649405457559
order,8,2,501.21103646777607,591.8860113020144
order,9,2,507.8817708800224,602.671397149092
order,10,2,513.7044352801535,598.5499402232786
order,11,2,552.9101980335178,637.2514572297098
meta,DDT,,56.66666793823242,
meta,mean_interarrival,,35.18518518518518,
meta,arrival_process,,poisson,
meta,due_factor,,1.5,
meta,iota_target,,0.6,
meta,schema_version,,schedule-data-1,
meta,family,,standard,
meta,family_seed,,1944001,
meta,sampling_attempts,,2,
meta,sampling_regime,,joint_fixed_grid,
meta,catalog_sha256,,8e1a1226ad44ba7f0a8335c0739b8fd3cbfb1077b813ea72b25e22be3d1056a1,
meta,parameter_hash,,8caa76f3754eae6bb676eda172e2d562655f82eac01356b088347359e008fa29,
meta,E_dt,,50.26456345759252,
meta,Lambda,,0.028421052631578948,
meta,empirical_Lambda,,0.019894731620293198,
meta,W_bar,,63.33333333333333,
meta,p_bar,,21.11111111111111,
meta,rho_sys,,0.3123947368421052,
meta,iota,,0.6,
meta,regime,,below_capacity,
