kind,i,j,value,extra
header,6,5,15,128
stage_machines,0,,3,
stage_machines,1,,3,
stage_machines,2,,3,
stage_machines,3,,3,
stage_machines,4,,3,
proc,0,1,8.0,
proc,0,2,9.0,
proc,1,3,22.0,
proc,1,4,15.0,
proc,2,6,25.0,
proc,2,7,4.0,
proc,2,8,27.0,
proc,3,9,12.0,
proc,3,10,16.0,
proc,3,11,27.0,
proc,4,12,15.0,
proc,5,1,16.0,
proc,6,3,13.0,
proc,6,4,15.0,
proc,7,6,30.0,
proc,7,7,16.0,
proc,7,8,14.0,
proc,8,9,11.0,
proc,8,10,29.0,
proc,8,11,14.0,
proc,9,13,18.0,
proc,9,14,6.0,
proc,10,0,7.0,
proc,10,1,8.0,
proc,10,2,24.0,
proc,11,3,6.0,
proc,11,5,11.0,
proc,12,8,13.0,
proc,13,11,13.0,
proc,14,12,12.0,
proc,14,13,17.0,
proc,14,14,28.0,
proc,15,0,12.0,
proc,15,1,10.0,
proc,16,4,18.0,
proc,16,5,14.0,
proc,17,6,19.0,
proc,17,7,13.0,
proc,17,8,24.0,
proc,18,9,19.0,
proc,18,10,17.0,
proc,18,11,10.0,
proc,19,12,21.0,
proc,19,14,11.0,
proc,20,0,25.0,
proc,20,1,21.0,
proc,20,2,24.0,
proc,21,3,24.0,
proc,21,5,30.0,
proc,22,6,20.0,
proc,22,8,23.0,
proc,23,9,13.0,
proc,23,10,30.0,
proc,23,11,18.0,
proc,24,13,9.0,
proc,24,14,10.0,
proc,25,0,24.0,
proc,25,1,11.0,
proc,25,2,15.0,
proc,26,3,20.0,
proc,26,4,25.0,
proc,26,5,15.0,
proc,27,6,13.0,
proc,27,7,13.0,
proc,27,8,26.0,
proc,28,9,26.0,
proc,28,11,25.0,
proc,29,12,23.0,
proc,29,14,25.0,
order,0,1,0.0,85.52259112235221
order,1,1,3.1535221786165692,87.58949483479427
order,2,4,7.382248401701221,128.5475382322818
order,3,3,34.51296572639739,117.62439704843277
order,4,4,34.53774360448771,172.0703994494018
order,5,5,35.21531886673406,162.15759142622346
order,6,2,52.25958414845881,121.50996673194514
order,7,1,55.14508379086942,149.3473318266637
order,8,4,65.57733477044653,189.78378578188028
order,9,3,65.6233588285431,146.25250835573624
order,10,5,76.01270910485766,217.51061052441673
order,11,5,86.80277357567992,222.3669248390703
order,12,5,90.45423319056493,213.62666562563217
order,13,1,195.46812313175084,282.6299103485246
order,14,2,213.15311404632087,286.7869180744516
order,15,2,229.34722309455668,311.18857118761247
order,16,4,257.43613144269517,388.8126968339674
order,17,3,283.2883731765625,365.7406029858162
order,18,2,289.09633430089417,365.2980215737668
order,19,1,295.70585253854193,383.06955382800754
order,20,3,308.3032839638493,396.8448024773522
order,21,1,326.46729099246056,408.52886374365966
order,22,2,331.0204874289479,415.00214970065014
order,23,3,335.7056839928402,428.3996933047481
order,24,1,360.0485223013271,454.4079153924379
order,25,0,374.6414354866071,451.00345676285724
order,26,5,377.79071708447765,501.97177855284707
order,27,0,384.4519736834335,460.1912096820037
order,28,1,387.1533426348388,474.3240234852468
order,29,1,405.37676497693496,494.0210779601034
order,30,0,411.38181249073915,495.18589492710225
order,31,4,430.7244777843005,552.6306796726578
order,32,5,437.7273617848608,580.4396240733355
order,33,3,449.5845227866945,542.9017018480141
order,34,0,471.2071921608486,548.1247124740478
order,35,2,478.3143230742915,557.1187966968745
order,36,5,479.53660807845233,605.4620339940504
order,37,1,487.3465927250216,583.5141942039429
order,38,5,489.0240497590567,624.841437307176
order,39,3,500.24545971622166,589.2643936085395
order,40,0,534.4858147246583,622.1070393179904
order,41,3,550.058046870617,639.3339725782777
order,42,5,552.6281044365915,675.2843086288801
order,43,1,554.8614388347872,649.9614292685584
order,44,1,571.2392821495013,668.8620058431861
order,45,4,593.481647556213,731.7633412285822
order,46,2,597.7463648957967,667.3685429048318
order,47,0,600.2472775356698,688.1871154322982
order,48,3,603.1359417498693,684.9417117803473
order,49,3,619.6243680876249,711.912866055545
order,50,2,623.072719359218,702.7844273130121
order,51,5,623.683751876993,746.6100456974198
order,52,3,633.4746134279669,721.9929943205641
order,53,2,649.0962243130439,726.4280472431077
order,54,3,653.7272988036868,747.3000064787449
order,55,0,662.8701983446275,749.1071244733662
order,56,4,678.0261907869259,795.7414433618138
order,57,1,719.9825854160088,808.6336110371599
order,58,3,722.2980982140205,810.5428381833146
order,59,5,739.3191662973647,863.1923206402596
order,60,5,746.140000249089,865.3342492786717
order,61,3,751.276808395906,832.1902845671468
order,62,3,759.2883829109451,852.166740793949
order,63,2,768.4019763266397,846.3108424267903
order,64,1,772.1904541562449,856.8681425431711
order,65,4,780.8621534829321,921.8849473580322
order,66,3,797.5041673741829,876.5967284494559
order,67,0,800.1994440731951,883.8417356596649
order,68,3,801.772023219215,890.8534316780127
order,69,5,826.2256265529667,967.7069725072702
order,70,0,834.8868567576442,913.82991045335
order,71,3,836.2772431434931,915.5589085275062
order,72,1,837.2654422786153,927.7190808815396
order,73,1,843.6976180904446,934.4623645120914
order,74,3,860.9450100251358,947.9101029147131
order,75,3,886.6410661691635,980.2973613467415
order,76,2,902.167809759426,980.7280109446633
order,77,0,921.8068310169299,1008.1214709161304
order,78,3,926.8940067141527,1012.5361946233149
order,79,5,929.2060548450244,1068.1328803823803
order,80,4,931.3446200631463,1070.8183728162385
order,81,5,966.4587562017169,1084.0662715411786
order,82,2,967.8112911283002,1045.8240908280457
order,83,0,1004.9389234624127,1082.8271325667727
order,84,5,1008.8026821346699,1148.3947723836795
order,85,3,1015.0938682932232,1098.2613372353312
order,86,0,1029.6349548717856,1118.3742231593787
order,87,0,1032.5909317514424,1113.26874411232
order,88,5,1039.0517929917878,1176.2365894130587
order,89,5,1053.883172351641,1172.6265102236666
order,90,5,1080.7243571532708,1223.52022582539
order,91,1,1089.699049650679,1172.1237355859523
order,92,2,1106.4620178972546,1179.2932809005
order,93,4,1109.7261685633096,1248.9832626656244
order,94,4,1110.5252498762532,1246.4610265376475
order,95,2,1119.1930335856364,1200.9421108110278
order,96,2,1129.711741881688,1200.3603250276692
order,97,3,1142.5548236394534,1226.9121137983998
order,98,0,1145.399817321031,1232.548276162617
order,99,2,1198.2715848637677,1279.7550958378968
order,100,0,1201.1337530056612,1278.930047300657
