kind,i,j,value,extra
header,3,3,6,24
stage_machines,0,,2,
stage_machines,1,,2,
stage_machines,2,,2,
proc,0,0,18.0,
proc,0,1,24.0,
proc,1,2,26.0,
proc,1,3,30.0,
proc,2,4,23.0,
proc,3,0,6.0,
proc,3,1,18.0,
proc,4,2,25.0,
proc,4,3,16.0,
proc,5,4,25.0,
proc,5,5,23.0,
proc,6,1,20.0,
proc,7,2,24.0,
proc,7,3,19.0,
proc,8,4,19.0,
proc,8,5,21.0,
order,0,1,0.0,68.08198287364793
order,1,1,30.271429061031537,98.69101799945432
order,2,2,32.74156934572981,123.24573137171933
order,3,1,48.67111160651664,114.85683995073879
order,4,0,64.41485252684176,166.79220268919482
order,5,0,93.75115268305116,191.59173992372587
order,6,2,102.87168626094565,193.9295695319575
order,7,1,118.51546814275582,180.26595809369582
order,8,2,120.29064875226625,210.96562358650453
order,9,2,121.89162501120536,216.68125128027492
order,10,2,123.28906446723681,208.13456941036185
order,11,2,132.69844752804426,217.0397067242363
order,12,0,135.19767631079966,227.59972220237165
order,13,1,139.81131395713166,203.41228092608065
order,14,2,141.95188717230874,226.81879404303064
order,15,0,158.11683451269573,267.36785202849194
order,16,1,203.01475374670645,271.54439003185814
order,17,0,213.70535709355136,305.11731102683893
order,18,0,213.83547417033563,304.4182759371928
order,19,0,244.6419942451648,347.70478289690595
order,20,2,262.0592223945567,356.2270662120171
order,21,2,275.6025765078106,364.65648911901627
order,22,0,277.39534202281345,376.76968242025436
order,23,1,299.079741984864,364.33534038472015
meta,DDT,,56.66666793823242,
meta,mean_interarrival,,8.444444444444445,
meta,arrival_process,,poisson,
meta,due_factor,,1.5,
meta,iota_target,,2.5,
meta,schema_version,,schedule-data-1,
meta,family,,standard,
meta,family_seed,,1944001,
meta,sampling_attempts,,2,
meta,sampling_regime,,joint_fixed_grid,
meta,catalog_sha256,,8e1a1226ad44ba7f0a8335c0739b8fd3cbfb1077b813ea72b25e22be3d1056a1,
meta,parameter_hash,,a9dbf02963d4b739032611260497bf482056cc13cc6c3e84a4e470d81c0f0087,
meta,E_dt,,13.003467042820173,
meta,Lambda,,0.11842105263157894,
meta,empirical_Lambda,,0.07690256734661755,
meta,W_bar,,63.33333333333333,
meta,p_bar,,21.11111111111111,
meta,rho_sys,,1.3016447368421051,
meta,iota,,2.5,
meta,regime,,capacity_overload,
