kind,i,j,value,extra
header,3,3,6,96
stage_machines,0,,2,
stage_machines,1,,2,
stage_machines,2,,2,
proc,0,0,18.0,
proc,0,1,24.0,
proc,1,2,26.0,
proc,1,3,30.0,
proc,2,4,23.0,
proc,3,0,6.0,
proc,3,1,18.0,
proc,4,2,25.0,
proc,4,3,16.0,
proc,5,4,25.0,
proc,5,5,23.0,
proc,6,1,20.0,
proc,7,2,24.0,
proc,7,3,19.0,
proc,8,4,19.0,
proc,8,5,21.0,
order,0,1,0.0,136.16396574729586
order,1,1,30.271429061031537,167.1106069378771
order,2,2,32.74156934572981,213.74989339770886
order,3,1,48.67111160651664,181.04256829496092
order,4,0,64.41485252684176,269.1695528515479
order,5,0,93.75115268305116,289.4323271644006
order,6,2,102.87168626094565,284.9874528029693
order,7,1,118.51546814275582,242.0164480446358
order,8,2,120.29064875226625,301.64059842074283
order,9,2,121.89162501120536,311.4708775493445
order,10,2,123.28906446723681,292.9800743534869
order,11,2,132.69844752804426,301.38096592042837
order,12,0,135.19767631079966,320.0017680939436
order,13,1,139.81131395713166,267.0132478950297
order,14,2,141.95188717230874,311.6857009137525
order,15,0,158.11683451269573,376.61886954428815
order,16,1,203.01475374670645,340.07402631700984
order,17,0,213.70535709355136,396.52926496012657
order,18,0,213.83547417033563,395.00107770405
order,19,0,244.6419942451648,450.7675715486471
order,20,2,262.0592223945567,450.3949100294776
order,21,2,275.6025765078106,453.71040173022186
order,22,0,277.39534202281345,476.14402281769526
order,23,1,299.079741984864,429.59093878457634
order,24,1,300.98020549444254,426.9725930309788
order,25,2,317.2237032726841,474.76446876479866
order,26,0,317.80510170754417,506.95284039974223
order,27,2,322.4698102961074,487.2687653595401
order,28,2,336.50383878778734,500.8394253057166
order,29,0,349.40193471453716,562.2250201778425
order,30,0,357.09236116886564,542.5204261563531
order,31,0,358.1483592505286,573.7354370449152
order,32,2,374.7845291665286,562.4293807733945
order,33,0,378.6787778199314,570.3382265546442
order,34,0,379.2947883820639,565.8322105669594
order,35,0,394.77804555436427,586.75013654403
order,36,2,398.543524457529,578.9047045440464
order,37,1,403.4041263567426,530.6377995836649
order,38,2,409.1010993426676,575.681794543322
order,39,0,412.6313463346483,622.7863990263678
order,40,1,417.09957504618126,558.5723195570041
order,41,0,423.70843087194135,619.2860654612318
order,42,0,437.6879468341997,631.6441391554857
order,43,2,442.86655253877035,601.8281563417925
order,44,0,447.7961102268811,642.0576267132885
order,45,2,450.47702518467,622.361052118468
order,46,0,458.62445050783583,673.0598088447612
order,47,1,468.3989498838123,591.3179629271804
order,48,1,472.55848131947783,603.2385575214704
order,49,2,474.3044654280955,656.2028237904221
order,50,1,478.98570547919604,618.780038767594
order,51,2,485.9152371511116,662.9549526441028
order,52,2,495.2704024263983,669.5826897588643
order,53,2,513.4614310476069,678.051392156753
order,54,0,524.8068713717747,719.265069506776
order,55,1,527.7301950247725,666.5528147676172
order,56,0,558.9408398675189,742.0192337544283
order,57,0,563.0285746031145,765.0338951177318
order,58,1,588.2927498481472,718.8513429550227
order,59,1,616.1738824162817,749.224039885169
order,60,1,623.7612724583989,767.2981928245749
order,61,1,633.9246940795125,768.7344754238409
order,62,1,646.3314043574471,781.4653541258398
order,63,2,655.9993571019273,821.3470074069874
order,64,2,664.8792183652074,835.0871882277843
order,65,0,685.5925031953614,876.471342703451
order,66,2,692.7003123485586,866.2086538056344
order,67,0,697.0876377568352,883.2983818872483
order,68,2,704.3735597953363,865.6056636808934
order,69,2,725.9935747037196,911.9898242641647
order,70,2,740.5800704604437,919.1523513223357
order,71,2,747.7210229833573,937.1383036795901
order,72,0,754.5661010263851,965.0081006650807
order,73,2,761.066085435658,947.5192872675696
order,74,0,783.6147309932835,988.2648957214255
order,75,0,802.3879857166341,993.2343040475603
order,76,0,804.8620667873021,1025.2292661432623
order,77,2,814.2869900884493,994.8229383147377
order,78,1,819.8061376663011,962.2689032114399
order,79,1,834.1295694060256,974.6968881823082
order,80,1,844.8893271311853,984.1953496678722
order,81,0,859.6391222481145,1062.756412400046
order,82,0,868.1657689443712,1084.7643011537514
order,83,1,868.8557930373125,994.2715299204665
order,84,2,877.1689413132359,1044.1262357574378
order,85,1,888.6566613813482,1029.8277106679725
order,86,1,929.5758871938863,1069.9462612869602
order,87,2,932.4571303015798,1114.2000767061081
order,88,2,939.6311676851064,1120.541983702858
order,89,2,940.0950685870619,1119.467409256787
order,90,0,946.3966703187832,1151.765115851853
order,91,1,950.0481465967989,1085.3565966144863
order,92,0,983.2890161279126,1193.7707567625544
order,93,0,988.1280283153411,1189.884019611723
order,94,2,998.2036682908392,1166.101687693717
order,95,2,1003.7019156509481,1190.753572020049
meta,DDT,,56.66666793823242,
meta,mean_interarrival,,8.444444444444445,
meta,arrival_process,,poisson,
meta,due_factor,,3.0,
meta,iota_target,,2.5,
meta,schema_version,,schedule-data-1,
meta,family,,standard,
meta,family_seed,,1944001,
meta,sampling_attempts,,2,
meta,sampling_regime,,joint_fixed_grid,
meta,catalog_sha256,,8e1a1226ad44ba7f0a8335c0739b8fd3cbfb1077b813ea72b25e22be3d1056a1,
meta,parameter_hash,,aceac2ba7641e7c245a2f3bd577efafee3f8a6103a7f373113a55f5cefb31e95,
meta,E_dt,,10.565283322641559,
meta,Lambda,,0.11842105263157894,
meta,empirical_Lambda,,0.09464961510847372,
meta,W_bar,,63.33333333333333,
meta,p_bar,,21.11111111111111,
meta,rho_sys,,1.3016447368421051,
meta,iota,,2.5,
meta,regime,,capacity_overload,
