kind,i,j,value,extra
header,3,3,6,12
stage_machines,0,,2,
stage_machines,1,,2,
stage_machines,2,,2,
proc,0,0,18.0,
proc,0,1,24.0,
proc,1,2,26.0,
proc,1,3,30.0,
proc,2,4,23.0,
proc,3,0,6.0,
proc,3,1,18.0,
proc,4,2,25.0,
proc,4,3,16.0,
proc,5,4,25.0,
proc,5,5,23.0,
proc,6,1,20.0,
proc,7,2,24.0,
proc,7,3,19.0,
proc,8,4,19.0,
proc,8,5,21.0,
order,0,1,0.0,136.16396574729586
order,1,1,126.13095442096474,262.9701322978103
order,2,2,136.42320560720754,317.4315296591866
order,3,1,202.796298360486,335.1677550489303
order,4,0,268.3952188618407,473.14991918654687
order,5,0,390.6298028460465,586.3109773273959
order,6,2,428.6320260872736,610.7477926292972
order,7,1,493.8144505948159,617.315430496696
order,8,2,501.21103646777607,682.5609861362527
order,9,2,507.8817708800224,697.4610234181615
order,10,2,513.7044352801535,683.3954451664035
order,11,2,552.9101980335178,721.5927164259019
meta,DDT,,56.66666793823242,
meta,mean_interarrival,,35.18518518518518,
meta,arrival_process,,poisson,
meta,due_factor,,3.0,
meta,iota_target,,0.6,
meta,schema_version,,schedule-data-1,
meta,family,,standard,
meta,family_seed,,1944001,
meta,sampling_attempts,,2,
meta,sampling_regime,,joint_fixed_grid,
meta,catalog_sha256,,8e1a1226ad44ba7f0a8335c0739b8fd3cbfb1077b813ea72b25e22be3d1056a1,
meta,parameter_hash,,b16711242581d3dd5838cd86ae9a54e938dee2e6a24bc0b0d5f48826cafc0b2e,
meta,E_dt,,50.26456345759252,
meta,Lambda,,0.028421052631578948,
meta,empirical_Lambda,,0.019894731620293198,
meta,W_bar,,63.33333333333333,
meta,p_bar,,21.11111111111111,
meta,rho_sys,,0.3123947368421052,
meta,iota,,0.6,
meta,regime,,below_capacity,
