kind,i,j,value,extra
header,3,3,6,72
stage_machines,0,,2,
stage_machines,1,,2,
stage_machines,2,,2,
proc,0,0,17.0,
proc,0,1,28.0,
proc,1,2,14.0,
proc,1,3,10.0,
proc,2,4,20.0,
proc,2,5,23.0,
proc,3,0,26.0,
proc,4,2,9.0,
proc,4,3,15.0,
proc,5,4,25.0,
proc,6,1,13.0,
proc,7,2,30.0,
proc,7,3,27.0,
proc,8,4,28.0,
proc,8,5,12.0,
order,0,1,0.0,194.46897899864769
order,1,1,43.74753657312544,227.34338212849937
order,2,0,103.90452986040424,242.58488226837693
order,3,0,116.81567065215712,262.52113866261124
order,4,0,120.17665926564885,259.0350953376244
order,5,0,143.98405064724454,273.8861597368454
order,6,2,150.21717004514323,293.49966123817893
order,7,2,184.8553135175528,350.6192185482225
order,8,0,257.350222140699,395.8636291167559
order,9,0,297.30894366398314,451.9592535660513
order,10,2,320.4650473458262,483.1625614016151
order,11,2,356.3399821956172,497.6618041382826
order,12,0,397.4693535376798,541.8977882229674
order,13,0,469.69266678541766,601.859899293387
order,14,1,486.76900981963706,683.1413014079907
order,15,1,515.5789069452329,692.6813993294201
order,16,0,517.8210355869263,651.463575259413
order,17,2,548.2462081013907,702.4220623806525
order,18,1,585.2716282695301,759.9201190223137
order,19,0,597.8573715059168,740.6431024123527
order,20,1,630.4084485473421,796.4646293138719
order,21,2,677.6334631747123,848.8382811123183
order,22,0,735.5990485372347,879.1273230808545
order,23,1,740.0933739011001,909.4293143849641
order,24,0,796.6533150641734,936.5698409440229
order,25,2,805.064769900177,959.2653885173227
order,26,1,844.735347703736,1015.5797224118432
order,27,0,844.9414672423702,996.2637562119745
order,28,2,870.1971991104828,1020.3186522990181
order,29,2,877.0502390422802,1048.6469494847693
order,30,1,884.3233483820646,1056.1107255985714
order,31,1,932.6941759369824,1123.9553653471294
order,32,2,939.7694553942272,1080.9089359140182
order,33,2,973.2860055731544,1127.9813064462862
order,34,1,1080.5099401314646,1268.4433214435246
order,35,0,1134.0252552617358,1287.8539380722914
order,36,1,1150.549942384941,1313.5805891176014
order,37,2,1178.7618210862242,1323.257679631891
order,38,0,1273.3978875238495,1405.9817505958463
order,39,0,1314.9970208230006,1466.7125732650632
order,40,0,1317.1348149708617,1466.1704804051956
order,41,1,1324.3918495707228,1515.2815584894745
order,42,1,1347.7893742947972,1532.3107904192943
order,43,2,1355.3432018791402,1518.752322702942
order,44,0,1373.7432146460958,1521.8760364373973
order,45,1,1385.5363627223103,1547.8203929611716
order,46,0,1410.2087533963047,1552.3046181352934
order,47,1,1412.4089341459505,1585.1693658964502
order,48,0,1441.1624031100848,1589.7431571518584
order,49,1,1491.9574176829542,1664.4221215225584
order,50,2,1618.114708358568,1784.1752323223468
order,51,0,1679.8184926878155,1826.602707988819
order,52,2,1698.521100953003,1850.401988063613
order,53,0,1701.3259505106041,1832.8837549406303
order,54,2,1721.7049912160842,1887.0451177929795
order,55,1,1750.0434086050416,1914.002234483227
order,56,2,1756.5506382754754,1924.5604765684645
order,57,1,1768.957755212889,1937.4240750347883
order,58,1,1819.4947550267982,1990.6349878036026
order,59,0,1835.6628894183198,1974.8616974399133
order,60,2,1874.733023021348,2021.3249435073433
order,61,1,1901.07922516985,2084.9382208697207
order,62,0,2005.9796648979745,2134.6523455672013
order,63,2,2011.259469885763,2155.542452322842
order,64,2,2020.3224927569372,2188.297210938357
order,65,1,2038.3653165133094,2209.674517443272
order,66,2,2042.5336613845463,2208.5168778658594
order,67,0,2084.399234952604,2234.2508255975467
order,68,2,2090.933896217611,2243.2363240370114
order,69,2,2156.7525389857083,2308.2930093680634
order,70,0,2157.0930225722163,2293.0647221589156
order,71,0,2192.4043674876525,2324.187880570667
meta,DDT,,53.0,
meta,mean_interarrival,,33.42592592592593,
meta,arrival_process,,poisson,
meta,due_factor,,3.0,
meta,iota_target,,0.6,
meta,schema_version,,schedule-data-1,
meta,family,,validation,
meta,family_seed,,1711001,
meta,sampling_attempts,,1,
meta,sampling_regime,,joint_fixed_grid,
meta,catalog_sha256,,3d21e5205aaf6ecd6129dc48ca287b484bac0becc896eb7cd5aef54da053f31d,
meta,parameter_hash,,b852fcd5e20fbdf3216836ab164fb317949936c1a63d315857573f38c95d98b6,
meta,E_dt,,30.878934753347217,
meta,Lambda,,0.029916897506925205,
meta,empirical_Lambda,,0.03238453683677031,
meta,W_bar,,60.166666666666664,
meta,p_bar,,20.055555555555557,
meta,rho_sys,,0.3157894736842105,
meta,iota,,0.6,
meta,regime,,below_capacity,
