kind,i,j,value,extra
header,3,3,6,72
stage_machines,0,,2,
stage_machines,1,,2,
stage_machines,2,,2,
proc,0,0,17.0,
proc,0,1,28.0,
proc,1,2,14.0,
proc,1,3,10.0,
proc,2,4,20.0,
proc,2,5,23.0,
proc,3,0,26.0,
proc,4,2,9.0,
proc,4,3,15.0,
proc,5,4,25.0,
proc,6,1,13.0,
proc,7,2,30.0,
proc,7,3,27.0,
proc,8,4,28.0,
proc,8,5,12.0,
order,0,1,0.0,97.23448949932384
order,1,1,17.499014629250173,109.29693740693713
order,2,0,41.56181194416169,110.90198814814804
order,3,0,46.72626826086285,119.57900226608992
order,4,0,48.07066370625954,117.4998817422473
order,5,0,57.59362025889782,122.54467480369826
order,6,2,60.08686801805729,131.72811361457514
order,7,2,73.94212540702111,156.82407792235597
order,8,0,102.9400888562796,172.19679234430805
order,9,0,118.92357746559325,196.24873241662732
order,10,2,128.18601893833048,209.5347759662249
order,11,2,142.53599287824687,213.1969038495796
order,12,0,158.98774141507192,231.20195875771572
order,13,0,187.87706671416706,253.96068296815173
order,14,1,194.70760392785482,292.89374972203166
order,15,1,206.23156277809315,294.7828089701867
order,16,0,207.12841423477053,273.9496840710139
order,17,2,219.29848324055627,296.38641038018716
order,18,1,234.108651307812,321.4328966842038
order,19,0,239.14294860236672,310.53581405558464
order,20,1,252.1633794189368,335.1914698022017
order,21,2,271.0533852698849,356.6557942386879
order,22,0,294.23961941489387,366.00375668670375
order,23,1,296.03734956044,380.705319802372
order,24,0,318.6613260256693,388.61958896559406
order,25,2,322.0259079600708,399.12621726864364
order,26,1,337.8941390814944,423.31632643554804
order,27,0,337.9765868969481,413.63773138175026
order,28,2,348.0788796441931,423.1396062384608
order,29,2,350.82009561691206,436.61845083815655
order,30,1,353.72933935282583,439.62302796107923
order,31,1,373.07767037479294,468.70826507986635
order,32,2,375.90778215769086,446.47752241758644
order,33,2,389.31440222926176,466.66205266582773
order,34,1,432.2039760525858,526.1706667086158
order,35,0,453.6101021046943,530.5244435099721
order,36,1,460.2199769539764,541.7353003203066
order,37,2,471.50472843448966,543.7526577073231
order,38,0,509.3591550095398,575.6510865455382
order,39,0,525.9988083292002,601.8565845502314
order,40,0,526.8539259883447,601.3717587055116
order,41,1,529.7567398282891,625.201594287665
order,42,1,539.1157497179189,631.3764577801675
order,43,2,542.1372807516561,623.841841163557
order,44,0,549.4972858584383,623.563696754089
order,45,1,554.2145450889242,635.3565602083548
order,46,0,564.0835013585219,635.1314337280162
order,47,1,564.9635736583803,651.3437895336301
order,48,0,576.4649612440339,650.7553382649207
order,49,1,596.7829670731817,683.0153189929838
order,50,2,647.2458833434272,730.2761453253166
order,51,0,671.9273970751262,745.319504725628
order,52,2,679.4084403812011,755.3488839365061
order,53,0,680.5303802042416,746.3092824192547
order,54,2,688.6819964864337,771.3520597748814
order,55,1,700.0173634420166,781.9967763811094
order,56,2,702.6202553101901,786.6251744566847
order,57,1,707.5831020851556,791.8162619961053
order,58,1,727.7979020107192,813.3680183991214
order,59,0,734.2651557673279,803.8645597781247
order,60,2,749.8932092085391,823.1891694515368
order,61,1,760.4316900679399,852.3611879178752
order,62,0,802.3918659591898,866.728206293803
order,63,2,804.5037879543052,876.6452791728447
order,64,2,808.1289971027749,892.1163561934848
order,65,1,815.3461266053238,901.0007270703051
order,66,2,817.0134645538185,900.005072794475
order,67,0,833.7596939810414,908.6854893035128
order,68,2,836.3735584870445,912.5247723967448
order,69,2,862.7010155942833,938.4712507854609
order,70,0,862.8372090288866,930.8230588222362
order,71,0,876.9617469950609,942.8535035365682
meta,DDT,,53.0,
meta,mean_interarrival,,13.370370370370372,
meta,arrival_process,,poisson,
meta,due_factor,,1.5,
meta,iota_target,,1.5,
meta,schema_version,,schedule-data-1,
meta,family,,validation,
meta,family_seed,,1711001,
meta,sampling_attempts,,1,
meta,sampling_regime,,joint_fixed_grid,
meta,catalog_sha256,,3d21e5205aaf6ecd6129dc48ca287b484bac0becc896eb7cd5aef54da053f31d,
meta,parameter_hash,,db17343bf0a77907ca2a4a2ea1a879cf473abf7743bbd88f023835085a3d7fea,
meta,E_dt,,12.351573901338886,
meta,Lambda,,0.07479224376731301,
meta,empirical_Lambda,,0.08096134209192579,
meta,W_bar,,60.166666666666664,
meta,p_bar,,20.055555555555557,
meta,rho_sys,,0.7894736842105262,
meta,iota,,1.5,
meta,regime,,below_capacity,
