kind,i,j,value,extra
header,6,5,15,128
stage_machines,0,,3,
stage_machines,1,,3,
stage_machines,2,,3,
stage_machines,3,,3,
stage_machines,4,,3,
proc,0,1,8.0,
proc,0,2,9.0,
proc,1,3,22.0,
proc,1,4,15.0,
proc,2,6,25.0,
proc,2,7,4.0,
proc,2,8,27.0,
proc,3,9,12.0,
proc,3,10,16.0,
proc,3,11,27.0,
proc,4,12,15.0,
proc,5,1,16.0,
proc,6,3,13.0,
proc,6,4,15.0,
proc,7,6,30.0,
proc,7,7,16.0,
proc,7,8,14.0,
proc,8,9,11.0,
proc,8,10,29.0,
proc,8,11,14.0,
proc,9,13,18.0,
proc,9,14,6.0,
proc,10,0,7.0,
proc,10,1,8.0,
proc,10,2,24.0,
proc,11,3,6.0,
proc,11,5,11.0,
proc,12,8,13.0,
proc,13,11,13.0,
proc,14,12,12.0,
proc,14,13,17.0,
proc,14,14,28.0,
proc,15,0,12.0,
proc,15,1,10.0,
proc,16,4,18.0,
proc,16,5,14.0,
proc,17,6,19.0,
proc,17,7,13.0,
proc,17,8,24.0,
proc,18,9,19.0,
proc,18,10,17.0,
proc,18,11,10.0,
proc,19,12,21.0,
proc,19,14,11.0,
proc,20,0,25.0,
proc,20,1,21.0,
proc,20,2,24.0,
proc,21,3,24.0,
proc,21,5,30.0,
proc,22,6,20.0,
proc,22,8,23.0,
proc,23,9,13.0,
proc,23,10,30.0,
proc,23,11,18.0,
proc,24,13,9.0,
proc,24,14,10.0,
proc,25,0,24.0,
proc,25,1,11.0,
proc,25,2,15.0,
proc,26,3,20.0,
proc,26,4,25.0,
proc,26,5,15.0,
proc,27,6,13.0,
proc,27,7,13.0,
proc,27,8,26.0,
proc,28,9,26.0,
proc,28,11,25.0,
proc,29,12,23.0,
proc,29,14,25.0,
order,0,1,0.0,171.04518224470442
order,1,1,1.8921133071699416,170.76405861952534
order,2,4,4.429349041020733,246.75992870218187
order,3,3,20.707779435838436,186.9306420799092
order,4,4,20.722646162692623,295.78795785252083
order,5,5,21.129191320040434,275.0137364390192
order,6,2,31.35575048907529,169.85651565604795
order,7,1,33.08705027452165,221.4915463461102
order,8,4,39.34640086226792,287.75930288513547
order,9,3,39.374015297125865,200.63231435151215
order,10,5,45.6076254629146,328.60342830203274
order,11,5,52.081664145407956,323.2099666721887
order,12,5,54.27253991433897,300.6174047844734
order,13,1,117.28087387905052,291.60444831259804
order,14,2,127.89186842779252,275.159476484054
order,15,2,137.60833385673402,301.2910300428456
order,16,4,154.46167886561713,417.2148096481616
order,17,3,169.9730239059375,334.8774835244449
order,18,2,173.4578005805365,325.86117512628175
order,19,1,177.42351152312517,352.1509141020564
order,20,3,184.9819703783096,362.0650074053153
order,21,1,195.88037459547635,360.00352009787457
order,22,2,198.61229245736874,366.57561700077326
order,23,3,201.4234103957041,386.81142901952
order,24,1,216.0291133807963,404.7478995630179
order,25,0,224.7848612919643,377.5089038444645
order,26,5,226.6744302506866,475.0365531874254
order,27,0,230.67118421006012,382.14965620720056
order,28,1,232.2920055809033,406.6333672817193
order,29,1,243.226058986161,420.514684952498
order,30,0,246.8290874944435,414.4372523671697
order,31,4,258.43468667058033,502.247090447295
order,32,5,262.63641707091654,548.0609416478658
order,33,3,269.75071367201673,456.385071794656
order,34,0,282.7243152965092,436.55935592290746
order,35,2,286.9885938445749,444.5975410897408
order,36,5,287.72196484707143,539.5728166782677
order,37,1,292.40795563501297,484.7431585928556
order,38,5,293.41442985543404,565.0492049516724
order,39,3,300.147275829733,478.1851436143687
order,40,0,320.691488834795,495.9339380214591
order,41,3,330.03482812237024,508.58667953769157
order,42,5,331.57686266195486,576.8892710465323
order,43,1,332.91686330087236,523.1168441684147
order,44,1,342.7435692897008,537.9890166770705
order,45,4,356.08898853372784,632.6523758784663
order,46,2,358.64781893747806,497.8921749555482
order,47,0,360.1483665214019,536.0280423146588
order,48,3,361.88156504992156,525.4931051108777
order,49,3,371.774620852575,556.3516167884153
order,50,2,373.8436316155308,533.267047523119
order,51,5,374.2102511261958,620.0628387670492
order,52,3,380.0847680567802,557.1215298419745
order,53,2,389.45773458782634,544.121380447954
order,54,3,392.2363792822121,579.3817946323281
order,55,0,397.72211900677655,570.1959712642539
order,56,4,406.81571447215555,642.2462196219315
order,57,1,431.9895512496053,609.2916024919075
order,58,3,433.3788589284123,609.8683388670007
order,59,5,443.5914997784189,691.3378084642087
order,60,5,447.6840001494534,686.072498208619
order,61,3,450.76608503754363,612.5930373800254
order,62,3,455.5730297465671,641.329745512575
order,63,2,461.04118579598384,616.8589179962851
order,64,1,463.31427249374696,632.6696492675993
order,65,4,468.5172920897593,750.5628798399594
order,66,3,478.5025004245098,636.6876225750557
order,67,0,480.1196664439171,647.4042496168566
order,68,3,481.0632139315291,659.2260308491245
order,69,5,495.73537593178,778.6980678403869
order,70,0,500.9321140545865,658.818221445998
order,71,3,501.7663458860959,660.3296766541221
order,72,1,502.3592653671692,683.266542573018
order,73,1,506.2185708542668,687.7480636975604
order,74,3,516.5670060150816,690.4971917942361
order,75,3,531.9846397014982,719.297230056654
order,76,2,541.3006858556556,698.4210882261302
order,77,0,553.084098610158,725.7133784085589
order,78,3,556.1364040284917,727.420779846816
order,79,5,557.5236329070146,835.3772839817266
order,80,4,558.8067720378879,837.7542775440722
order,81,5,579.8752537210302,815.0902843999534
order,82,2,580.6867746769801,736.7123740764707
order,83,0,602.9633540774477,758.7397722861676
order,84,5,605.281609280802,884.4657897788211
order,85,3,609.056320975934,775.39125886015
order,86,0,617.7809729230713,795.2595094982576
order,87,0,619.5545590508656,780.9101837726209
order,88,5,623.4310757950727,897.8006686376145
order,89,5,632.3299034109846,869.8165791550359
order,90,5,648.4346142919625,934.026351636201
order,91,1,653.8194297904074,818.6688016609539
order,92,2,663.8772107383528,809.5397367448434
order,93,4,665.8357011379858,944.3498893426154
order,94,4,666.315149925752,938.1867032485407
order,95,2,671.5158201513818,835.0139746021644
order,96,2,677.827045129013,819.1242114209749
order,97,3,685.532894183672,854.2474745015647
order,98,0,687.2398903926186,861.5368080757905
order,99,2,718.9629509182606,881.9299728665187
order,100,0,720.6802518033968,876.272840393388
order,101,5,738.5121091275087,1015.0487670214973
order,102,0,744.5199499955489,915.922224420783
