kind,i,j,value,extra
header,6,5,15,128
stage_machines,0,,3,
stage_machines,1,,3,
stage_machines,2,,3,
stage_machines,3,,3,
stage_machines,4,,3,
proc,0,1,8.0,
proc,0,2,9.0,
proc,1,3,22.0,
proc,1,4,15.0,
proc,2,6,25.0,
proc,2,7,4.0,
proc,2,8,27.0,
proc,3,9,12.0,
proc,3,10,16.0,
proc,3,11,27.0,
proc,4,12,15.0,
proc,5,1,16.0,
proc,6,3,13.0,
proc,6,4,15.0,
proc,7,6,30.0,
proc,7,7,16.0,
proc,7,8,14.0,
proc,8,9,11.0,
proc,8,10,29.0,
proc,8,11,14.0,
proc,9,13,18.0,
proc,9,14,6.0,
proc,10,0,7.0,
proc,10,1,8.0,
proc,10,2,24.0,
proc,11,3,6.0,
proc,11,5,11.0,
proc,12,8,13.0,
proc,13,11,13.0,
proc,14,12,12.0,
proc,14,13,17.0,
proc,14,14,28.0,
proc,15,0,12.0,
proc,15,1,10.0,
proc,16,4,18.0,
proc,16,5,14.0,
proc,17,6,19.0,
proc,17,7,13.0,
proc,17,8,24.0,
proc,18,9,19.0,
proc,18,10,17.0,
proc,18,11,10.0,
proc,19,12,21.0,
proc,19,14,11.0,
proc,20,0,25.0,
proc,20,1,21.0,
proc,20,2,24.0,
proc,21,3,24.0,
proc,21,5,30.0,
proc,22,6,20.0,
proc,22,8,23.0,
proc,23,9,13.0,
proc,23,10,30.0,
proc,23,11,18.0,
proc,24,13,9.0,
proc,24,14,10.0,
proc,25,0,24.0,
proc,25,1,11.0,
proc,25,2,15.0,
proc,26,3,20.0,
proc,26,4,25.0,
proc,26,5,15.0,
proc,27,6,13.0,
proc,27,7,13.0,
proc,27,8,26.0,
proc,28,9,26.0,
proc,28,11,25.0,
proc,29,12,23.0,
proc,29,14,25.0,
order,0,1,0.0,85.52259112235221
order,1,1,1.8921133071699416,86.32808596334763
order,2,4,4.429349041020733,125.59463887160129
order,3,3,20.707779435838436,103.81921075787382
order,4,4,20.722646162692623,158.25530200760673
order,5,5,21.129191320040434,148.07146387952986
order,6,2,31.35575048907529,100.60613307256162
order,7,1,33.08705027452165,127.28929831031593
order,8,4,39.34640086226792,163.55285187370168
order,9,3,39.374015297125865,120.003164824319
order,10,5,45.6076254629146,187.10552688247367
order,11,5,52.081664145407956,187.64581540879834
order,12,5,54.27253991433897,177.4449723494062
order,13,1,117.28087387905052,204.4426610958243
order,14,2,127.89186842779252,201.52567245592326
order,15,2,137.60833385673402,219.4496819497898
order,16,4,154.46167886561713,285.83824425688937
order,17,3,169.9730239059375,252.42525371519122
order,18,2,173.4578005805365,249.65948785340913
order,19,1,177.42351152312517,264.7872128125908
order,20,3,184.9819703783096,273.52348889181246
order,21,1,195.88037459547635,277.9419473466755
order,22,2,198.61229245736874,282.593954729071
order,23,3,201.4234103957041,294.11741970761204
order,24,1,216.0291133807963,310.38850647190714
order,25,0,224.7848612919643,301.1468825682144
order,26,5,226.6744302506866,350.85549171905603
order,27,0,230.67118421006012,306.41042020863034
order,28,1,232.2920055809033,319.4626864313113
order,29,1,243.226058986161,331.8703719693295
order,30,0,246.8290874944435,330.6331699308066
order,31,4,258.43468667058033,380.3408885589377
order,32,5,262.63641707091654,405.3486793593912
order,33,3,269.75071367201673,363.0678927333364
order,34,0,282.7243152965092,359.6418356097083
order,35,2,286.9885938445749,365.7930674671578
order,36,5,287.72196484707143,413.64739076266954
order,37,1,292.40795563501297,388.5755571139343
order,38,5,293.41442985543404,429.23181740355324
order,39,3,300.147275829733,389.1662097220509
order,40,0,320.691488834795,408.31271342812704
order,41,3,330.03482812237024,419.31075383003093
order,42,5,331.57686266195486,454.2330668542436
order,43,1,332.91686330087236,428.0168537346435
order,44,1,342.7435692897008,440.3662929833856
order,45,4,356.08898853372784,494.37068220609706
order,46,2,358.64781893747806,428.2699969465132
order,47,0,360.1483665214019,448.0882044180304
order,48,3,361.88156504992156,443.68733508039963
order,49,3,371.774620852575,464.06311882049516
order,50,2,373.8436316155308,453.5553395693249
order,51,5,374.2102511261958,497.13654494662256
order,52,3,380.0847680567802,468.6031489493773
order,53,2,389.45773458782634,466.7895575178902
order,54,3,392.2363792822121,485.80908695727015
order,55,0,397.72211900677655,483.9590451355152
order,56,4,406.81571447215555,524.5309670470435
order,57,1,431.9895512496053,520.6405768707564
order,58,3,433.3788589284123,521.6235988977065
order,59,5,443.5914997784189,567.4646541213137
order,60,5,447.6840001494534,566.8782491790362
order,61,3,450.76608503754363,531.6795612087844
order,62,3,455.5730297465671,548.4513876295711
order,63,2,461.04118579598384,538.9500518961345
order,64,1,463.31427249374696,547.9919608806731
order,65,4,468.5172920897593,609.5400859648594
order,66,3,478.5025004245098,557.5950614997828
order,67,0,480.1196664439171,563.7619580303868
order,68,3,481.0632139315291,570.1446223903267
order,69,5,495.73537593178,637.2167218860834
order,70,0,500.9321140545865,579.8751677502922
order,71,3,501.7663458860959,581.048011270109
order,72,1,502.3592653671692,592.8129039700935
order,73,1,506.2185708542668,596.9833172759136
order,74,3,516.5670060150816,603.5320989046588
order,75,3,531.9846397014982,625.6409348790761
order,76,2,541.3006858556556,619.860887040893
order,77,0,553.084098610158,639.3987385093585
order,78,3,556.1364040284917,641.7785919376538
order,79,5,557.5236329070146,696.4504584443706
order,80,4,558.8067720378879,698.28052479098
order,81,5,579.8752537210302,697.4827690604918
order,82,2,580.6867746769801,658.6995743767254
order,83,0,602.9633540774477,680.8515631818077
order,84,5,605.281609280802,744.8736995298116
order,85,3,609.056320975934,692.2237899180419
order,86,0,617.7809729230713,706.5202412106645
order,87,0,619.5545590508656,700.2323714117433
order,88,5,623.4310757950727,760.6158722163436
order,89,5,632.3299034109846,751.0732412830102
order,90,5,648.4346142919625,791.2304829640817
order,91,1,653.8194297904074,736.2441157256807
order,92,2,663.8772107383528,736.7084737415981
order,93,4,665.8357011379858,805.0927952403006
order,94,4,666.315149925752,802.2509265871463
order,95,2,671.5158201513818,753.2648973767731
order,96,2,677.827045129013,748.4756282749939
order,97,3,685.532894183672,769.8901843426183
order,98,0,687.2398903926186,774.3883492342045
order,99,2,718.9629509182606,800.4464618923896
order,100,0,720.6802518033968,798.4765460983924
order,101,5,738.5121091275087,876.780438074503
