kind,i,j,value,extra
header,3,3,6,192
stage_machines,0,,2,
stage_machines,1,,2,
stage_machines,2,,2,
proc,0,0,18.0,
proc,0,1,24.0,
proc,1,2,26.0,
proc,1,3,30.0,
proc,2,4,23.0,
proc,3,0,6.0,
proc,3,1,18.0,
proc,4,2,25.0,
proc,4,3,16.0,
proc,5,4,25.0,
proc,5,5,23.0,
proc,6,1,20.0,
proc,7,2,24.0,
proc,7,3,19.0,
proc,8,4,19.0,
proc,8,5,21.0,
order,0,1,0.0,136.16396574729586
order,1,1,50.4523817683859,187.29155964523144
order,2,2,54.56928224288302,235.57760629486208
order,3,1,81.1185193441944,213.48997603263868
order,4,0,107.35808754473628,312.11278786944246
order,5,0,156.25192113841862,351.93309561976804
order,6,2,171.45281043490942,353.56857697693306
order,7,1,197.52578023792637,321.02676013980636
order,8,2,200.48441458711042,381.83436425558705
order,9,2,203.15270835200894,392.73196089014806
order,10,2,205.48177411206137,375.1727839983115
order,11,2,221.1640792134071,389.8465976057912
order,12,0,225.32946051799948,410.1335523011434
order,13,1,233.01885659521946,360.22079053311745
order,14,2,236.58647862051458,406.32029236195837
order,15,0,263.5280575211596,482.030092552752
order,16,1,338.35792291117747,475.41719548148086
order,17,0,356.175595155919,538.9995030224942
order,18,0,356.3924569505594,537.5580604842737
order,19,0,407.7366570752747,613.862234378757
order,20,2,436.76537065759453,625.1010582925155
order,21,2,459.33762751301776,637.4454527354291
order,22,0,462.3255700380225,661.0742508329043
order,23,1,498.46623664143993,628.9774334411522
order,24,1,501.63367582407096,627.6260633606073
order,25,2,528.7061721211402,686.2469376132548
order,26,0,529.6751695125736,718.8229082047717
order,27,2,537.4496838268458,702.2486388902785
order,28,2,560.839731312979,725.1753178309082
order,29,0,582.336557857562,795.1596433208672
order,30,0,595.1539352814428,780.5820002689303
order,31,0,596.9139320842144,812.501009878601
order,32,2,624.6408819442145,812.2857335510804
order,33,0,631.1312963665523,822.7907451012651
order,34,0,632.1579806367732,818.6954028216687
order,35,0,657.9634092572738,849.9355002469397
order,36,2,664.2392074292151,844.6003875157325
order,37,1,672.3402105945711,799.5738838214934
order,38,2,681.8351655711127,848.415860771767
order,39,0,687.7189105577472,897.8739632494667
order,40,1,695.1659584103022,836.6387029211251
order,41,0,706.1807181199023,901.7583527091926
order,42,0,729.4799113903329,923.4361037116189
order,43,2,738.1109208979506,897.0725247009726
order,44,0,746.3268503781353,940.5883668645426
order,45,2,750.7950419744501,922.679068908248
order,46,0,764.3740841797264,978.8094425166518
order,47,1,780.6649164730205,903.5839295163886
order,48,1,787.5974688657965,918.2775450677891
order,49,2,790.5074423801592,972.4058007424859
order,50,1,798.3095091319934,938.1038424203914
order,51,2,809.8587285851861,986.8984440781774
order,52,2,825.4506707106639,999.7629580431299
order,53,2,855.7690517460115,1020.3590128551576
order,54,0,874.678118952958,1069.1363170879592
order,55,1,879.5503250412875,1018.3729447841322
order,56,0,931.5680664458648,1114.6464603327743
order,57,0,938.3809576718576,1140.386278186475
order,58,1,980.4879164135788,1111.0465095204543
order,59,1,1026.9564706938029,1160.00662816269
order,60,1,1039.6021207639983,1183.1390411301743
order,61,1,1056.5411567991875,1191.3509381435158
order,62,1,1077.2190072624119,1212.3529570308046
order,63,2,1093.3322618365455,1258.6799121416057
order,64,2,1108.132030608679,1278.340000471256
order,65,0,1142.654171992269,1333.5330115003587
order,66,2,1154.500520580931,1328.0088620380068
