kind,i,j,value,extra
header,3,3,6,48
stage_machines,0,,2,
stage_machines,1,,2,
stage_machines,2,,2,
proc,0,0,18.0,
proc,0,1,24.0,
proc,1,2,26.0,
proc,1,3,30.0,
proc,2,4,23.0,
proc,3,0,6.0,
proc,3,1,18.0,
proc,4,2,25.0,
proc,4,3,16.0,
proc,5,4,25.0,
proc,5,5,23.0,
proc,6,1,20.0,
proc,7,2,24.0,
proc,7,3,19.0,
proc,8,4,19.0,
proc,8,5,21.0,
order,0,1,0.0,136.16396574729586
order,1,1,126.13095442096474,262.9701322978103
order,2,2,136.42320560720754,317.4315296591866
order,3,1,202.796298360486,335.1677550489303
order,4,0,268.3952188618407,473.14991918654687
order,5,0,390.6298028460465,586.3109773273959
order,6,2,428.6320260872736,610.7477926292972
order,7,1,493.8144505948159,617.315430496696
order,8,2,501.21103646777607,682.5609861362527
order,9,2,507.8817708800224,697.4610234181615
order,10,2,513.7044352801535,683.3954451664035
order,11,2,552.9101980335178,721.5927164259019
order,12,0,563.3236512949987,748.1277430781427
order,13,1,582.5471414880486,709.7490754259467
order,14,2,591.4661965512864,761.2000102927302
order,15,0,658.820143802899,877.3221788344914
order,16,1,845.8948072779436,982.954079848247
order,17,0,890.4389878897974,1073.2628957563727
order,18,0,890.9811423763985,1072.1467459101127
order,19,0,1019.3416426881867,1225.467219991669
order,20,2,1091.9134266439862,1280.2491142789072
order,21,2,1148.3440687825444,1326.4518940049556
order,22,0,1155.813925095056,1354.562605889938
order,23,1,1246.1655916036,1376.6767884033125
order,24,1,1254.0841895601773,1380.0765770967137
order,25,2,1321.7654303028503,1479.3061957949649
order,26,0,1324.187923781434,1513.335662473632
order,27,2,1343.6242095671143,1508.423164630547
order,28,2,1402.0993282824475,1566.4349148003766
order,29,0,1455.841394643905,1668.6644801072102
order,30,0,1487.884838203607,1673.3129031910944
order,31,0,1492.284830210536,1707.8719080049227
order,32,2,1561.6022048605362,1749.247056467402
order,33,0,1577.8282409163808,1769.4876896510937
order,34,0,1580.394951591933,1766.9323737768284
order,35,0,1644.9085231431845,1836.8806141328505
order,36,2,1660.5980185730375,1840.9591986595549
order,37,1,1680.8505264864275,1808.0841997133498
order,38,2,1704.587913927782,1871.1686091284364
order,39,0,1719.297276394368,1929.4523290860875
order,40,1,1737.9148960257553,1879.3876405365781
order,41,0,1765.4517952997558,1961.0294298890462
order,42,0,1823.699778475832,2017.6559707971182
order,43,2,1845.2773022448764,2004.2389060478986
order,44,0,1865.8171259453381,2060.0786424317457
order,45,2,1876.9876049361253,2048.8716318699235
order,46,0,1910.935210449316,2125.370568786241
order,47,1,1951.6622911825514,2074.581304225919
meta,DDT,,56.66666793823242,
meta,mean_interarrival,,35.18518518518518,
meta,arrival_process,,poisson,
meta,due_factor,,3.0,
meta,iota_target,,0.6,
meta,schema_version,,schedule-data-1,
meta,family,,standard,
meta,family_seed,,1944001,
meta,sampling_attempts,,2,
meta,sampling_regime,,joint_fixed_grid,
meta,catalog_sha256,,8e1a1226ad44ba7f0a8335c0739b8fd3cbfb1077b813ea72b25e22be3d1056a1,
meta,parameter_hash,,fba40c33dd719ce151770ad38ae1e2a1a9eb0279131fc8c257977bc90175330c,
meta,E_dt,,41.52472959962875,
meta,Lambda,,0.028421052631578948,
meta,empirical_Lambda,,0.024082035202679333,
meta,W_bar,,63.33333333333333,
meta,p_bar,,21.11111111111111,
meta,rho_sys,,0.3123947368421052,
meta,iota,,0.6,
meta,regime,,below_capacity,
