instance_id,role,family,parameter_hash,file,sha256,orders,products,stages,machines_per_stage,processing,eligibility_probability,arrival_process,iota,due_factor,machines,catalog_sha256,seed,sampling_attempts,Lambda,empirical_Lambda,p_bar,rho_sys
case_5d2cbd0fa07bea2b,validation,validation,5d2cbd0fa07bea2b4fc4c932678f890c3af8825501fad012a0beda7ff5f829dd,cases/case_5d2cbd0fa07bea2b.csv,da26ff4e7d0e72a3bb98eaa051d9f13b6205e02a90de602c76350852559ddd8d,72,3,3,"[2, 2, 2]","[4, 30]",0.8,poisson,0.6,1.5,6,3d21e5205aaf6ecd6129dc48ca287b484bac0becc896eb7cd5aef54da053f31d,1711001,1,0.029916897506925205,0.03238453683677031,20.055555555555557,0.3157894736842105
case_b852fcd5e20fbdf3,validation,validation,b852fcd5e20fbdf3216836ab164fb317949936c1a63d315857573f38c95d98b6,cases/case_b852fcd5e20fbdf3.csv,51a22fed5dc1a2ae8bfa0b85557580c49436bcf1258bfaa946740491bb3c07b1,72,3,3,"[2, 2, 2]","[4, 30]",0.8,poisson,0.6,3.0,6,3d21e5205aaf6ecd6129dc48ca287b484bac0becc896eb7cd5aef54da053f31d,1711001,1,0.029916897506925205,0.03238453683677031,20.055555555555557,0.3157894736842105
case_db17343bf0a77907,validation,validation,db17343bf0a77907ca2a4a2ea1a879cf473abf7743bbd88f023835085a3d7fea,cases/case_db17343bf0a77907.csv,11fdbfe7f8fe5f0c0a5734b054290f28a92e8e0dcdea3da9705381d06be57c65,72,3,3,"[2, 2, 2]","[4, 30]",0.8,poisson,1.5,1.5,6,3d21e5205aaf6ecd6129dc48ca287b484bac0becc896eb7cd5aef54da053f31d,1711001,1,0.07479224376731301,0.08096134209192579,20.055555555555557,0.7894736842105262
case_33a87bb7a64b5daa,validation,validation,33a87bb7a64b5daa707bf130cf7ee2c8451ba8bda4e332d3a2acb6beef1b7cc5,cases/case_33a87bb7a64b5daa.csv,b3f4b768cb4d8f018a4a67813074893646b03f54ab98668799e3f78b58cfe0e1,72,3,3,"[2, 2, 2]","[4, 30]",0.8,poisson,1.5,3.0,6,3d21e5205aaf6ecd6129dc48ca287b484bac0becc896eb7cd5aef54da053f31d,1711001,1,0.07479224376731301,0.08096134209192579,20.055555555555557,0.7894736842105262
case_1dc5189d3b919212,validation,validation,1dc5189d3b919212081a782f72a3acfa60e6746b4711366d9f1daf09acbaaee0,cases/case_1dc5189d3b919212.csv,af81784c26ba84f1c851fd548488d0370dcf3779d0c99220ded508e8ecda20ab,72,3,3,"[2, 2, 2]","[4, 30]",0.8,poisson,2.5,1.5,6,3d21e5205aaf6ecd6129dc48ca287b484bac0becc896eb7cd5aef54da053f31d,1711001,1,0.12465373961218837,0.13493557015320964,20.055555555555557,1.3157894736842106
case_61188f1718b06983,validation,validation,61188f1718b069834a68c98c102b7d5e0ee4f371eb36cc7b74e70e15ac1e06a0,cases/case_61188f1718b06983.csv,c9d15e4abd0f236a8f79ede78e2abf19b664cf2c39a6d24bc0d9a0253cfabd1a,72,3,3,"[2, 2, 2]","[4, 30]",0.8,poisson,2.5,3.0,6,3d21e5205aaf6ecd6129dc48ca287b484bac0becc896eb7cd5aef54da053f31d,1711001,1,0.12465373961218837,0.13493557015320964,20.055555555555557,1.3157894736842106
case_badf2fdb4cac8e49,main,standard,badf2fdb4cac8e4971a425d0b16bf8080d97c48f3c22130bd897f246ceb55b10,cases/case_badf2fdb4cac8e49.csv,75ae0fe3675e6a7c9c222b30e56fd4b3ae1fa2992fbba63f050ff381db526209,48,3,3,"[2, 2, 2]","[4, 30]",0.8,poisson,0.6,1.5,6,8e1a1226ad44ba7f0a8335c0739b8fd3cbfb1077b813ea72b25e22be3d1056a1,1944001,2,0.028421052631578948,0.024082035202679333,21.11111111111111,0.3123947368421052
case_fba40c33dd719ce1,main,standard,fba40c33dd719ce151770ad38ae1e2a1a9eb0279131fc8c257977bc90175330c,cases/case_fba40c33dd719ce1.csv,eea8ee578f48748572980d96c420f67db8b649456cb9435b6d0ac3fe430c7a4e,48,3,3,"[2, 2, 2]","[4, 30]",0.8,poisson,0.6,3.0,6,8e1a1226ad44ba7f0a8335c0739b8fd3cbfb1077b813ea72b25e22be3d1056a1,1944001,2,0.028421052631578948,0.024082035202679333,21.11111111111111,0.3123947368421052
case_049482b1ba41806d,main,standard,049482b1ba41806dc8f80f3b75a6de8c58fc68466d72c99b17b218ec1f410f2e,cases/case_049482b1ba41806d.csv,b51e24ea5174731272d4f84948b869453bce941ec98eddeabb28b17274253ab7,48,3,3,"[2, 2, 2]","[4, 30]",0.8,poisson,1.5,1.5,6,8e1a1226ad44ba7f0a8335c0739b8fd3cbfb1077b813ea72b25e22be3d1056a1,1944001,2,0.07105263157894737,0.06020508800669833,21.11111111111111,0.780986842105263
case_1f0ec3862d8f3359,main,standard,1f0ec3862d8f3359c655e73fa79c2902d80b2c08788884c25ea3479cd9ca66c9,cases/case_1f0ec3862d8f3359.csv,a0c692a55d8b3584857b06510676cd197adc05711c618b5edc7132e7da2b4da6,48,3,3,"[2, 2, 2]","[4, 30]",0.8,poisson,1.5,3.0,6,8e1a1226ad44ba7f0a8335c0739b8fd3cbfb1077b813ea72b25e22be3d1056a1,1944001,2,0.07105263157894737,0.06020508800669833,21.11111111111111,0.780986842105263
