kind,i,j,value,extra
header,5,5,25,100
stage_machines,0,,5,
stage_machines,1,,5,
stage_machines,2,,5,
stage_machines,3,,5,
stage_machines,4,,5,
proc,0,0,188.0,
proc,0,1,201.0,
proc,0,2,274.0,
proc,0,3,114.0,
proc,0,4,207.0,
proc,1,5,311.0,
proc,1,6,181.0,
proc,1,7,288.0,
proc,1,8,371.0,
proc,1,9,214.0,
proc,2,10,28.0,
proc,2,11,50.0,
proc,2,12,312.0,
proc,2,13,355.0,
proc,2,14,294.0,
proc,3,15,336.0,
proc,3,16,448.0,
proc,3,17,350.0,
proc,3,18,244.0,
proc,3,19,426.0,
proc,4,20,119.0,
proc,4,21,169.0,
proc,4,22,311.0,
proc,4,23,394.0,
proc,4,24,374.0,
proc,5,0,239.0,
proc,5,1,57.0,
proc,5,2,215.0,
proc,5,3,209.0,
proc,5,4,322.0,
proc,6,5,343.0,
proc,6,6,26.0,
proc,6,7,314.0,
proc,6,8,189.0,
proc,6,9,118.0,
proc,7,10,439.0,
proc,7,11,277.0,
proc,7,12,327.0,
proc,7,13,434.0,
proc,7,14,146.0,
proc,8,15,75.0,
proc,8,16,399.0,
proc,8,17,191.0,
proc,8,18,39.0,
proc,8,19,340.0,
proc,9,20,122.0,
proc,9,21,128.0,
proc,9,22,327.0,
proc,9,23,192.0,
proc,9,24,393.0,
proc,10,0,234.0,
proc,10,1,43.0,
proc,10,2,123.0,
proc,10,3,301.0,
proc,10,4,355.0,
proc,11,5,330.0,
proc,11,6,368.0,
proc,11,7,412.0,
proc,11,8,313.0,
proc,11,9,269.0,
proc,12,10,220.0,
proc,12,11,123.0,
proc,12,12,69.0,
proc,12,13,28.0,
proc,12,14,428.0,
proc,13,15,295.0,
proc,13,16,219.0,
proc,13,17,120.0,
proc,13,18,229.0,
proc,13,19,176.0,
proc,14,20,27.0,
proc,14,21,238.0,
proc,14,22,337.0,
proc,14,23,143.0,
proc,14,24,109.0,
proc,15,0,171.0,
proc,15,1,219.0,
proc,15,2,64.0,
proc,15,3,142.0,
proc,15,4,415.0,
proc,16,5,404.0,
proc,16,6,224.0,
proc,16,7,31.0,
proc,16,8,352.0,
proc,16,9,53.0,
proc,17,10,208.0,
proc,17,11,322.0,
proc,17,12,438.0,
proc,17,13,83.0,
proc,17,14,25.0,
proc,18,15,367.0,
proc,18,16,372.0,
proc,18,17,170.0,
proc,18,18,66.0,
proc,18,19,284.0,
proc,19,20,427.0,
proc,19,21,446.0,
proc,19,22,92.0,
proc,19,23,339.0,
proc,19,24,333.0,
proc,20,0,87.0,
proc,20,1,382.0,
proc,20,2,404.0,
proc,20,3,393.0,
proc,20,4,209.0,
proc,21,5,238.0,
proc,21,6,99.0,
proc,21,7,414.0,
proc,21,8,47.0,
proc,21,9,323.0,
proc,22,10,36.0,
proc,22,11,261.0,
proc,22,12,418.0,
proc,22,13,257.0,
proc,22,14,196.0,
proc,23,15,124.0,
proc,23,16,274.0,
proc,23,17,63.0,
proc,23,18,355.0,
proc,23,19,284.0,
proc,24,20,167.0,
proc,24,21,361.0,
proc,24,22,413.0,
proc,24,23,376.0,
proc,24,24,171.0,
order,0,0,10.257429038563787,1375.7190662176395
order,1,4,31.783634758487672,1260.6904581975768
order,2,3,35.28734707751593,1299.594521356483
order,3,1,50.22197114367313,870.0317360529627
order,4,3,73.59960979138751,1518.9845243859852
order,5,4,270.0498589710993,1302.3391565132738
order,6,0,313.96451512242055,1810.4155699221046
order,7,2,371.1170152714895,1786.8028897109498
order,8,1,464.5401387888681,1560.9512358542431
order,9,0,469.77931235984687,1741.0152188618117
order,10,0,490.9949892148544,1311.291272401984
order,11,3,509.8951102237689,1742.705523160242
order,12,0,519.3786158554965,1356.0994693818332
order,13,3,522.0262030394849,1804.2235612085794
order,14,2,530.2446122436116,1993.5959175672342
order,15,3,546.9909918540787,1400.8451236623478
order,16,3,598.4946438612353,1454.291471054506
order,17,4,614.6536070321674,1398.4568822985857
order,18,2,618.1785601820432,1930.8758244601142
order,19,2,656.1501127821847,2029.2280091324592
order,20,0,661.5204205075863,2090.851466181468
order,21,4,705.9384215652357,2185.282738909875
order,22,3,718.7803507024221,1942.8127819135711
order,23,1,745.5507501910096,1692.079482043844
order,24,4,763.1301831279203,1806.4511009670723
order,25,2,794.1038925922971,2118.5439661565943
order,26,1,810.5231062134587,2344.661989429599
order,27,1,1048.7357295569077,2277.4766622781976
order,28,1,1114.7362771254182,2331.8055959276658
order,29,3,1249.5495109527144,2513.102449611885
order,30,0,1358.1805830624157,2235.3427634560835
order,31,2,1421.5784595836744,2305.326976768626
order,32,1,1452.0830935136485,2798.70731344837
order,33,3,1479.571280190456,2819.329237475911
order,34,0,1492.8807983376234,2495.844663429361
order,35,3,1524.1384482289504,2351.5203748898703
order,36,4,1530.39780741135,3043.2219149879365
order,37,1,1564.592595995453,2692.362521066909
order,38,2,1593.2412381860884,2937.4795980601725
order,39,2,1612.5219002817253,2895.0697818339204
order,40,4,1615.2137892065964,2541.669216054273
order,41,4,1618.0975590671264,3088.499209277993
order,42,3,1630.8536818990783,3083.237051141018
order,43,0,1666.535415650988,2790.0916378686416
order,44,2,1669.187267380524,3001.4095802573993
order,45,0,1732.5126607660227,2652.5817052627135
order,46,2,1739.2600631548091,2606.791705126976
order,47,0,1786.8880305812095,3204.301092015564
order,48,2,1853.1768991842364,2832.8643110090834
order,49,3,1873.8852319468724,3094.7520566973535
order,50,0,1878.1929497581048,2668.1545317533237
order,51,0,1896.7812172005235,2996.9047625628646
order,52,3,1900.6535313822735,3033.6101352395744
order,53,1,2004.1349082335985,3494.8698857546487
order,54,4,2139.752655615208,3306.194437199885
order,55,4,2184.4865036253336,3256.5775923004812
order,56,0,2207.6012766628855,3251.4586248797095
order,57,2,2256.6321971025127,3782.125742707367
order,58,1,2409.121419112082,3639.1644126979545
order,59,4,2439.9301327273342,3365.0764328747664
