instance_id,tier,path,S,R,J,M,machines_per_stage,DDT,rho_target,arrival_process,E_dt,Lambda,W_bar,p_bar,rho_sys,iota,regime,seed
grid_rho0p8_DDT1100_S100,grid,data/instances/grid/grid_rho0p8_DDT1100_S100.csv,100,5,5,25,5-5-5-5-5,1100.0,0.8,poisson,59.8567,0.01670656,1197.656,238.84,0.8003,3.9902,high_frequency,20260901004
grid_rho0p8_DDT1100_S150,grid,data/instances/grid/grid_rho0p8_DDT1100_S150.csv,150,5,5,25,5-5-5-5-5,1100.0,0.8,poisson,59.1975,0.01689259,1232.356,246.368,0.8327,4.1618,high_frequency,20260901005
grid_rho0p8_DDT1100_S50,grid,data/instances/grid/grid_rho0p8_DDT1100_S50.csv,50,5,5,25,5-5-5-5-5,1100.0,0.8,poisson,60.2878,0.01658711,1150.012,229.744,0.763,3.8108,high_frequency,20260901003
grid_rho0p8_DDT1800_S100,grid,data/instances/grid/grid_rho0p8_DDT1800_S100.csv,100,5,5,25,5-5-5-5-5,1800.0,0.8,poisson,58.9712,0.01695743,1139.566,230.056,0.773,3.9012,high_frequency,20260901007
grid_rho0p8_DDT1800_S150,grid,data/instances/grid/grid_rho0p8_DDT1800_S150.csv,150,5,5,25,5-5-5-5-5,1800.0,0.8,poisson,59.6896,0.01675335,1179.776,236.92,0.7906,3.9692,high_frequency,20260901008
grid_rho0p8_DDT1800_S50,grid,data/instances/grid/grid_rho0p8_DDT1800_S50.csv,50,5,5,25,5-5-5-5-5,1800.0,0.8,poisson,59.9866,0.01667038,1289.756,259.496,0.86,4.3259,high_frequency,20260901006
grid_rho0p8_DDT700_S100,grid,data/instances/grid/grid_rho0p8_DDT700_S100.csv,100,5,5,25,5-5-5-5-5,700.0,0.8,poisson,59.1454,0.01690748,1149.96,230.632,0.7777,3.8994,high_frequency,20260901001
grid_rho0p8_DDT700_S150,grid,data/instances/grid/grid_rho0p8_DDT700_S150.csv,150,5,5,25,5-5-5-5-5,700.0,0.8,poisson,59.3541,0.01684803,1249.011,252.176,0.8417,4.2487,high_frequency,20260901002
grid_rho0p8_DDT700_S50,grid,data/instances/grid/grid_rho0p8_DDT700_S50.csv,50,5,5,25,5-5-5-5-5,700.0,0.8,poisson,60.0064,0.01666488,1243.068,250.744,0.8286,4.1786,high_frequency,20260901000
grid_rho1p2_DDT1100_S100,grid,data/instances/grid/grid_rho1p2_DDT1100_S100.csv,100,5,5,25,5-5-5-5-5,1100.0,1.2,poisson,39.8796,0.02507551,1217.352,242.624,1.221,6.0839,overloaded,20260901013
grid_rho1p2_DDT1100_S150,grid,data/instances/grid/grid_rho1p2_DDT1100_S150.csv,150,5,5,25,5-5-5-5-5,1100.0,1.2,poisson,39.7992,0.02512613,1235.779,246.392,1.242,6.1909,overloaded,20260901014
grid_rho1p2_DDT1100_S50,grid,data/instances/grid/grid_rho1p2_DDT1100_S50.csv,50,5,5,25,5-5-5-5-5,1100.0,1.2,poisson,40.0602,0.02496243,1122.832,219.168,1.1211,5.471,overloaded,20260901012
grid_rho1p2_DDT1800_S100,grid,data/instances/grid/grid_rho1p2_DDT1800_S100.csv,100,5,5,25,5-5-5-5-5,1800.0,1.2,poisson,39.3752,0.0253967,1172.462,237.272,1.1911,6.0259,overloaded,20260901016
grid_rho1p2_DDT1800_S150,grid,data/instances/grid/grid_rho1p2_DDT1800_S150.csv,150,5,5,25,5-5-5-5-5,1800.0,1.2,poisson,39.7344,0.02516708,1153.129,231.536,1.1608,5.8271,overloaded,20260901017
grid_rho1p2_DDT1800_S50,grid,data/instances/grid/grid_rho1p2_DDT1800_S50.csv,50,5,5,25,5-5-5-5-5,1800.0,1.2,poisson,40.0824,0.02494859,1223.896,247.128,1.2214,6.1655,overloaded,20260901015
grid_rho1p2_DDT700_S100,grid,data/instances/grid/grid_rho1p2_DDT700_S100.csv,100,5,5,25,5-5-5-5-5,700.0,1.2,poisson,39.5897,0.02525907,1121.154,223.056,1.1328,5.6342,overloaded,20260901010
grid_rho1p2_DDT700_S150,grid,data/instances/grid/grid_rho1p2_DDT700_S150.csv,150,5,5,25,5-5-5-5-5,700.0,1.2,poisson,39.7008,0.02518841,1240.865,249.408,1.2502,6.2822,overloaded,20260901011
grid_rho1p2_DDT700_S50,grid,data/instances/grid/grid_rho1p2_DDT700_S50.csv,50,5,5,25,5-5-5-5-5,700.0,1.2,poisson,39.6886,0.02519615,1173.196,233.776,1.1824,5.8903,overloaded,20260901009
grid_rho1p6_DDT1100_S100,grid,data/instances/grid/grid_rho1p6_DDT1100_S100.csv,100,5,5,25,5-5-5-5-5,1100.0,1.6,poisson,29.6887,0.03368289,1255.664,251.256,1.6918,8.463,overloaded,20260901022
grid_rho1p6_DDT1100_S150,grid,data/instances/grid/grid_rho1p6_DDT1100_S150.csv,150,5,5,25,5-5-5-5-5,1100.0,1.6,poisson,29.1862,0.03426273,1130.68,225.88,1.5496,7.7393,overloaded,20260901023
grid_rho1p6_DDT1100_S50,grid,data/instances/grid/grid_rho1p6_DDT1100_S50.csv,50,5,5,25,5-5-5-5-5,1100.0,1.6,poisson,29.7223,0.03364479,1144.6,233.36,1.5404,7.8513,overloaded,20260901021
grid_rho1p6_DDT1800_S100,grid,data/instances/grid/grid_rho1p6_DDT1800_S100.csv,100,5,5,25,5-5-5-5-5,1800.0,1.6,poisson,29.8134,0.03354198,1275.596,255.128,1.7114,8.5575,overloaded,20260901025
grid_rho1p6_DDT1800_S150,grid,data/instances/grid/grid_rho1p6_DDT1800_S150.csv,150,5,5,25,5-5-5-5-5,1800.0,1.6,poisson,29.334,0.03409011,1162.749,235.328,1.5855,8.0224,overloaded,20260901026
grid_rho1p6_DDT1800_S50,grid,data/instances/grid/grid_rho1p6_DDT1800_S50.csv,50,5,5,25,5-5-5-5-5,1800.0,1.6,poisson,29.0617,0.03440952,1283.528,250.6,1.7666,8.623,overloaded,20260901024
grid_rho1p6_DDT700_S100,grid,data/instances/grid/grid_rho1p6_DDT700_S100.csv,100,5,5,25,5-5-5-5-5,700.0,1.6,poisson,29.8721,0.0334761,1183.182,244.016,1.5843,8.1687,overloaded,20260901019
grid_rho1p6_DDT700_S150,grid,data/instances/grid/grid_rho1p6_DDT700_S150.csv,150,5,5,25,5-5-5-5-5,700.0,1.6,poisson,29.7507,0.03361262,1212.468,238.696,1.6302,8.0232,overloaded,20260901020
grid_rho1p6_DDT700_S50,grid,data/instances/grid/grid_rho1p6_DDT700_S50.csv,50,5,5,25,5-5-5-5-5,700.0,1.6,poisson,30.016,0.03331558,1203.044,239.52,1.6032,7.9797,overloaded,20260901018
grid_rho2p0_DDT1100_S100,grid,data/instances/grid/grid_rho2p0_DDT1100_S100.csv,100,5,5,25,5-5-5-5-5,1100.0,2.0,poisson,23.8764,0.04188229,1183.482,235.792,1.9827,9.8755,overloaded,20260901031
grid_rho2p0_DDT1100_S150,grid,data/instances/grid/grid_rho2p0_DDT1100_S150.csv,150,5,5,25,5-5-5-5-5,1100.0,2.0,poisson,23.6476,0.04228758,1155.388,230.256,1.9543,9.737,overloaded,20260901032
grid_rho2p0_DDT1100_S50,grid,data/instances/grid/grid_rho2p0_DDT1100_S50.csv,50,5,5,25,5-5-5-5-5,1100.0,2.0,poisson,23.5589,0.04244679,1181.224,236.152,2.0056,10.0239,overloaded,20260901030
grid_rho2p0_DDT1800_S100,grid,data/instances/grid/grid_rho2p0_DDT1800_S100.csv,100,5,5,25,5-5-5-5-5,1800.0,2.0,poisson,23.9183,0.04180898,1231.166,246.544,2.059,10.3078,overloaded,20260901034
grid_rho2p0_DDT1800_S150,grid,data/instances/grid/grid_rho2p0_DDT1800_S150.csv,150,5,5,25,5-5-5-5-5,1800.0,2.0,poisson,23.9062,0.04183015,1145.429,227.592,1.9165,9.5202,overloaded,20260901035
grid_rho2p0_DDT1800_S50,grid,data/instances/grid/grid_rho2p0_DDT1800_S50.csv,50,5,5,25,5-5-5-5-5,1800.0,2.0,poisson,24.0374,0.04160192,1205.108,241.832,2.0054,10.0607,overloaded,20260901033
grid_rho2p0_DDT700_S100,grid,data/instances/grid/grid_rho2p0_DDT700_S100.csv,100,5,5,25,5-5-5-5-5,700.0,2.0,poisson,23.9516,0.04175092,1117.646,226.584,1.8665,9.4601,overloaded,20260901028
grid_rho2p0_DDT700_S150,grid,data/instances/grid/grid_rho2p0_DDT700_S150.csv,150,5,5,25,5-5-5-5-5,700.0,2.0,poisson,23.9014,0.0418386,1197.723,237.216,2.0044,9.9248,overloaded,20260901029
grid_rho2p0_DDT700_S50,grid,data/instances/grid/grid_rho2p0_DDT700_S50.csv,50,5,5,25,5-5-5-5-5,700.0,2.0,poisson,24.0174,0.04163651,1168.344,233.616,1.9458,9.727,overloaded,20260901027
ood_M3perstage,ood,data/instances/ood/ood_M3perstage.csv,150,5,5,15,3-3-3-3-3,900.0,1.6,poisson,49.5393,0.02018601,1186.642,236.093,1.5969,4.7658,overloaded,20260904002
ood_M8perstage,ood,data/instances/ood/ood_M8perstage.csv,150,5,5,40,8-8-8-8-8,900.0,1.6,poisson,18.4945,0.05407014,1184.168,235.955,1.6007,12.7581,overloaded,20260904003
ood_R8J7,ood,data/instances/ood/ood_R8J7.csv,150,8,7,35,5-5-5-5-5-5-5,900.0,1.6,poisson,29.8145,0.03354072,1675.125,237.121,1.6053,7.9532,overloaded,20260904004
ood_S300,ood,data/instances/ood/ood_S300.csv,300,5,5,25,5-5-5-5-5,900.0,1.6,poisson,29.7729,0.03358758,1222.934,243.568,1.643,8.1809,overloaded,20260904000
ood_S500,ood,data/instances/ood/ood_S500.csv,500,5,5,25,5-5-5-5-5,900.0,1.6,poisson,29.7388,0.03362607,1188.257,238.032,1.5983,8.0041,overloaded,20260904001
ood_deterministic,ood,data/instances/ood/ood_deterministic.csv,150,5,5,25,5-5-5-5-5,900.0,1.6,deterministic,29.6875,0.03368421,1115.941,221.856,1.5036,7.473,overloaded,20260904006
ood_mmpp,ood,data/instances/ood/ood_mmpp.csv,150,5,5,25,5-5-5-5-5,900.0,1.6,mmpp,29.2885,0.03414309,1218.101,244.624,1.6636,8.3522,overloaded,20260904005
small_S12_DDT500_c1,small,data/instances/small/small_S12_DDT500_c1.csv,12,5,5,25,5-5-5-5-5,500.0,2.5,poisson,15.794,0.06331531,1243.0,242.44,3.148,15.3502,overloaded,20260903000
small_S12_DDT500_c2,small,data/instances/small/small_S12_DDT500_c2.csv,12,5,5,25,5-5-5-5-5,500.0,2.5,poisson,19.8617,0.05034828,1202.85,252.0,2.4225,12.6878,overloaded,20260903001
small_S12_DDT600_c1,small,data/instances/small/small_S12_DDT600_c1.csv,12,5,5,25,5-5-5-5-5,600.0,2.5,poisson,19.4171,0.05150095,1215.267,238.704,2.5035,12.2935,overloaded,20260903002
small_S12_DDT600_c2,small,data/instances/small/small_S12_DDT600_c2.csv,12,5,5,25,5-5-5-5-5,600.0,2.5,poisson,19.9222,0.05019519,1147.433,233.512,2.3038,11.7212,overloaded,20260903003
small_S12_DDT700_c1,small,data/instances/small/small_S12_DDT700_c1.csv,12,5,5,25,5-5-5-5-5,700.0,2.5,poisson,20.1296,0.04967816,1263.617,249.416,2.511,12.3905,overloaded,20260903004
small_S12_DDT700_c2,small,data/instances/small/small_S12_DDT700_c2.csv,12,5,5,25,5-5-5-5-5,700.0,2.5,poisson,20.2799,0.04930983,1195.483,225.336,2.358,11.1113,overloaded,20260903005
small_S16_DDT500_c1,small,data/instances/small/small_S16_DDT500_c1.csv,16,5,5,25,5-5-5-5-5,500.0,2.5,poisson,20.0172,0.04995692,1144.075,218.416,2.2862,10.9114,overloaded,20260903006
small_S16_DDT500_c2,small,data/instances/small/small_S16_DDT500_c2.csv,16,5,5,25,5-5-5-5-5,500.0,2.5,poisson,18.9076,0.0528889,1158.825,230.104,2.4516,12.1699,overloaded,20260903007
small_S16_DDT600_c1,small,data/instances/small/small_S16_DDT600_c1.csv,16,5,5,25,5-5-5-5-5,600.0,2.5,poisson,17.1907,0.05817106,1088.425,225.904,2.5326,13.1411,overloaded,20260903008
small_S16_DDT600_c2,small,data/instances/small/small_S16_DDT600_c2.csv,16,5,5,25,5-5-5-5-5,600.0,2.5,poisson,19.4549,0.05140105,1170.087,230.888,2.4057,11.8679,overloaded,20260903009
small_S16_DDT700_c1,small,data/instances/small/small_S16_DDT700_c1.csv,16,5,5,25,5-5-5-5-5,700.0,2.5,poisson,19.2069,0.05206468,1209.963,235.792,2.5199,12.2764,overloaded,20260903010
small_S16_DDT700_c2,small,data/instances/small/small_S16_DDT700_c2.csv,16,5,5,25,5-5-5-5-5,700.0,2.5,poisson,19.838,0.05040827,1232.863,239.408,2.4859,12.0681,overloaded,20260903011
small_S20_DDT500_c1,small,data/instances/small/small_S20_DDT500_c1.csv,20,5,5,25,5-5-5-5-5,500.0,2.5,poisson,19.492,0.05130305,1190.7,229.48,2.4435,11.773,overloaded,20260903012
small_S20_DDT500_c2,small,data/instances/small/small_S20_DDT500_c2.csv,20,5,5,25,5-5-5-5-5,500.0,2.5,poisson,18.0649,0.055356,1142.41,221.352,2.5296,12.2532,overloaded,20260903013
small_S20_DDT600_c1,small,data/instances/small/small_S20_DDT600_c1.csv,20,5,5,25,5-5-5-5-5,600.0,2.5,poisson,18.2077,0.05492194,1181.6,238.856,2.5958,13.1184,overloaded,20260903014
small_S20_DDT600_c2,small,data/instances/small/small_S20_DDT600_c2.csv,20,5,5,25,5-5-5-5-5,600.0,2.5,poisson,18.7827,0.05324062,1199.5,240.72,2.5545,12.8161,overloaded,20260903015
small_S20_DDT700_c1,small,data/instances/small/small_S20_DDT700_c1.csv,20,5,5,25,5-5-5-5-5,700.0,2.5,poisson,19.0977,0.05236226,1107.39,224.088,2.3194,11.7338,overloaded,20260903016
small_S20_DDT700_c2,small,data/instances/small/small_S20_DDT700_c2.csv,20,5,5,25,5-5-5-5-5,700.0,2.5,poisson,19.5087,0.05125918,1233.9,233.696,2.5299,11.9791,overloaded,20260903017
small_S25_DDT500_c1,small,data/instances/small/small_S25_DDT500_c1.csv,25,5,5,25,5-5-5-5-5,500.0,2.5,poisson,19.7051,0.05074827,1215.784,241.936,2.468,12.2778,overloaded,20260903018
small_S25_DDT500_c2,small,data/instances/small/small_S25_DDT500_c2.csv,25,5,5,25,5-5-5-5-5,500.0,2.5,poisson,19.5478,0.05115663,1204.616,244.496,2.465,12.5076,overloaded,20260903019
small_S25_DDT600_c1,small,data/instances/small/small_S25_DDT600_c1.csv,25,5,5,25,5-5-5-5-5,600.0,2.5,poisson,19.7432,0.05065041,1175.52,235.12,2.3816,11.9089,overloaded,20260903020
small_S25_DDT600_c2,small,data/instances/small/small_S25_DDT600_c2.csv,25,5,5,25,5-5-5-5-5,600.0,2.5,poisson,19.1201,0.05230085,1223.096,241.672,2.5588,12.6397,overloaded,20260903021
small_S25_DDT700_c1,small,data/instances/small/small_S25_DDT700_c1.csv,25,5,5,25,5-5-5-5-5,700.0,2.5,poisson,19.5868,0.05105473,1244.704,248.048,2.5419,12.664,overloaded,20260903022
small_S25_DDT700_c2,small,data/instances/small/small_S25_DDT700_c2.csv,25,5,5,25,5-5-5-5-5,700.0,2.5,poisson,18.8991,0.05291249,1198.64,249.576,2.5369,13.2057,overloaded,20260903023
val_rho1p0_DDT1500,val,data/instances/val/val_rho1p0_DDT1500.csv,80,5,5,25,5-5-5-5-5,1500.0,1.0,poisson,48.0403,0.02081584,1227.143,245.344,1.0218,5.107,overloaded,20260902001
val_rho1p0_DDT900,val,data/instances/val/val_rho1p0_DDT900.csv,80,5,5,25,5-5-5-5-5,900.0,1.0,poisson,48.086,0.02079606,1248.565,245.384,1.0386,5.103,overloaded,20260902000
val_rho1p6_DDT1500,val,data/instances/val/val_rho1p6_DDT1500.csv,80,5,5,25,5-5-5-5-5,1500.0,1.6,poisson,29.9768,0.03335909,1172.617,232.976,1.5647,7.7719,overloaded,20260902003
val_rho1p6_DDT900,val,data/instances/val/val_rho1p6_DDT900.csv,80,5,5,25,5-5-5-5-5,900.0,1.6,poisson,29.0399,0.03443542,1172.125,233.88,1.6145,8.0538,overloaded,20260902002
val_rho2p0_DDT1500,val,data/instances/val/val_rho2p0_DDT1500.csv,80,5,5,25,5-5-5-5-5,1500.0,2.0,poisson,23.9491,0.04175517,1097.832,220.504,1.8336,9.2072,overloaded,20260902005
val_rho2p0_DDT900,val,data/instances/val/val_rho2p0_DDT900.csv,80,5,5,25,5-5-5-5-5,900.0,2.0,poisson,22.9031,0.04366228,1227.75,243.864,2.1443,10.6477,overloaded,20260902004
