kind,i,j,value,extra
header,5,5,25,100
stage_machines,0,,5,
stage_machines,1,,5,
stage_machines,2,,5,
stage_machines,3,,5,
stage_machines,4,,5,
proc,0,0,158.0,
proc,0,1,450.0,
proc,0,2,420.0,
proc,0,3,85.0,
proc,0,4,67.0,
proc,1,5,73.0,
proc,1,6,280.0,
proc,1,7,160.0,
proc,1,8,336.0,
proc,1,9,298.0,
proc,2,10,140.0,
proc,2,11,424.0,
proc,2,12,292.0,
proc,2,13,90.0,
proc,2,14,135.0,
proc,3,15,233.0,
proc,3,16,147.0,
proc,3,17,74.0,
proc,3,18,130.0,
proc,3,19,359.0,
proc,4,20,27.0,
proc,4,21,311.0,
proc,4,22,261.0,
proc,4,23,390.0,
proc,4,24,180.0,
proc,5,0,40.0,
proc,5,1,256.0,
proc,5,2,360.0,
proc,5,3,140.0,
proc,5,4,323.0,
proc,6,5,187.0,
proc,6,6,291.0,
proc,6,7,336.0,
proc,6,8,123.0,
proc,6,9,112.0,
proc,7,10,224.0,
proc,7,11,168.0,
proc,7,12,295.0,
proc,7,13,232.0,
proc,7,14,426.0,
proc,8,15,165.0,
proc,8,16,73.0,
proc,8,17,44.0,
proc,8,18,299.0,
proc,8,19,242.0,
proc,9,20,417.0,
proc,9,21,337.0,
proc,9,22,43.0,
proc,9,23,413.0,
proc,9,24,145.0,
proc,10,0,219.0,
proc,10,1,135.0,
proc,10,2,409.0,
proc,10,3,441.0,
proc,10,4,402.0,
proc,11,5,378.0,
proc,11,6,424.0,
proc,11,7,206.0,
proc,11,8,240.0,
proc,11,9,164.0,
proc,12,10,151.0,
proc,12,11,251.0,
proc,12,12,133.0,
proc,12,13,440.0,
proc,12,14,411.0,
proc,13,15,363.0,
proc,13,16,158.0,
proc,13,17,197.0,
proc,13,18,30.0,
proc,13,19,287.0,
proc,14,20,367.0,
proc,14,21,48.0,
proc,14,22,326.0,
proc,14,23,328.0,
proc,14,24,341.0,
proc,15,0,397.0,
proc,15,1,415.0,
proc,15,2,327.0,
proc,15,3,58.0,
proc,15,4,101.0,
proc,16,5,103.0,
proc,16,6,423.0,
proc,16,7,115.0,
proc,16,8,75.0,
proc,16,9,391.0,
proc,17,10,384.0,
proc,17,11,222.0,
proc,17,12,236.0,
proc,17,13,237.0,
proc,17,14,247.0,
proc,18,15,76.0,
proc,18,16,145.0,
proc,18,17,175.0,
proc,18,18,444.0,
proc,18,19,435.0,
proc,19,20,266.0,
proc,19,21,180.0,
proc,19,22,212.0,
proc,19,23,305.0,
proc,19,24,89.0,
proc,20,0,257.0,
proc,20,1,74.0,
proc,20,2,402.0,
proc,20,3,187.0,
proc,20,4,383.0,
proc,21,5,432.0,
proc,21,6,35.0,
proc,21,7,330.0,
proc,21,8,376.0,
proc,21,9,194.0,
proc,22,10,263.0,
proc,22,11,303.0,
proc,22,12,150.0,
proc,22,13,212.0,
proc,22,14,379.0,
proc,23,15,314.0,
proc,23,16,431.0,
proc,23,17,264.0,
proc,23,18,141.0,
proc,23,19,393.0,
proc,24,20,214.0,
proc,24,21,282.0,
proc,24,22,25.0,
proc,24,23,408.0,
proc,24,24,155.0,
order,0,0,23.16752190422277,2025.13238856024
order,1,4,23.603155220408244,1742.5676558328926
order,2,1,67.45681700232166,1403.665965640662
order,3,2,72.38567994926571,1874.1908021642494
order,4,2,101.53561186534154,1920.3771505317272
order,5,2,165.29935324547503,2059.6329933375146
order,6,2,180.0822398037886,2145.2985559311865
order,7,1,206.98317096139948,2061.813692322289
order,8,4,228.36204223528154,2536.6686873119297
order,9,1,282.6338575104423,1719.0225948258112
order,10,2,297.543896657351,1621.9050448680885
order,11,0,401.86777617710374,1748.3429585458562
order,12,4,513.724486263565,2187.525766371238
order,13,4,524.823147704199,2955.1998916942107
order,14,0,532.5284345755811,2630.3221664078746
order,15,3,534.167602549647,2550.164191072705
order,16,3,541.1742643205744,2396.6032353303226
order,17,3,693.6333778756584,2931.4733329719993
order,18,2,698.8997777953149,3030.7442063275375
order,19,3,711.942753376999,2117.275197559918
order,20,4,724.383337085315,2203.8572788658644
order,21,0,760.7277564018319,2203.1177902418895
order,22,1,845.076027008064,2823.0314450986707
order,23,0,888.6260087430612,2911.980701146904
order,24,3,901.8090786682932,3386.737979395336
order,25,0,1029.111340828412,3033.756855766377
order,26,2,1068.0189889957717,3139.823357828679
order,27,0,1097.973061832253,2652.0133887230622
order,28,2,1118.1604143821446,3413.589590710955
order,29,1,1123.3180605925093,3496.80126703742
order,30,2,1130.5513841128702,3200.1192398327794
order,31,4,1131.017204929093,2455.3923272940883
order,32,4,1188.4821107256632,2629.3257772811294
order,33,4,1224.0894680945216,3599.4468718839057
order,34,1,1255.546731460837,2852.6909108306177
order,35,0,1328.9108520036145,3802.420174269225
order,36,1,1350.1674567974728,3174.4929862649083
order,37,4,1397.5352856908232,3862.105527427101
order,38,2,1397.9186183455645,3069.7175125454132
order,39,1,1439.9055289005414,3289.833108394444
order,40,4,1491.552096809637,3397.6475527550374
order,41,0,1552.2317961219778,3732.2193985988188
order,42,2,1554.5316689443055,3413.3114754288126
order,43,0,1619.886003010262,2961.608345189811
order,44,1,1632.7616962786994,4148.3525741091125
order,45,2,1645.5239756804242,3888.1219482092974
order,46,2,1728.8551176016445,3568.340690768145
order,47,4,1744.270033114115,4256.231632137215
order,48,1,1790.0733894247333,3104.2675514378816
order,49,0,1801.0555436850047,4318.675527796544
order,50,4,1819.1786227388993,4189.218041912904
order,51,2,1833.8305346847983,3462.820770722205
order,52,2,1933.3528472180585,3288.4769551217605
order,53,3,1942.0458656145622,3751.765271977535
order,54,3,1959.9875194162462,4364.587900954963
order,55,4,2017.0907384907607,3630.8701430523606
order,56,3,2018.0365126981746,3499.316837564732
order,57,3,2021.937004110395,4102.149935183274
order,58,1,2044.662349444376,3804.710047338648
order,59,0,2075.3758732831443,4063.0922198256867
order,60,3,2129.7637212673003,4093.57783954359
