kind,i,j,value,extra
header,5,5,15,150
stage_machines,0,,3,
stage_machines,1,,3,
stage_machines,2,,3,
stage_machines,3,,3,
stage_machines,4,,3,
proc,0,0,310.0,
proc,0,1,269.0,
proc,0,2,235.0,
proc,1,3,390.0,
proc,1,4,58.0,
proc,1,5,344.0,
proc,2,6,44.0,
proc,2,7,97.0,
proc,2,8,103.0,
proc,3,9,52.0,
proc,3,10,87.0,
proc,3,11,73.0,
proc,4,12,28.0,
proc,4,13,277.0,
proc,4,14,319.0,
proc,5,0,220.0,
proc,5,1,386.0,
proc,5,2,431.0,
proc,6,3,326.0,
proc,6,4,443.0,
proc,6,5,185.0,
proc,7,6,209.0,
proc,7,7,281.0,
proc,7,8,363.0,
proc,8,9,177.0,
proc,8,10,197.0,
proc,8,11,361.0,
proc,9,12,258.0,
proc,9,13,155.0,
proc,9,14,430.0,
proc,10,0,32.0,
proc,10,1,130.0,
proc,10,2,329.0,
proc,11,3,309.0,
proc,11,4,409.0,
proc,11,5,31.0,
proc,12,6,120.0,
proc,12,7,392.0,
proc,12,8,433.0,
proc,13,9,175.0,
proc,13,10,61.0,
proc,13,11,68.0,
proc,14,12,137.0,
proc,14,13,25.0,
proc,14,14,354.0,
proc,15,0,315.0,
proc,15,1,203.0,
proc,15,2,373.0,
proc,16,3,340.0,
proc,16,4,393.0,
proc,16,5,425.0,
proc,17,6,127.0,
proc,17,7,278.0,
proc,17,8,381.0,
proc,18,9,142.0,
proc,18,10,277.0,
proc,18,11,313.0,
proc,19,12,430.0,
proc,19,13,56.0,
proc,19,14,397.0,
proc,20,0,362.0,
proc,20,1,140.0,
proc,20,2,103.0,
proc,21,3,369.0,
proc,21,4,27.0,
proc,21,5,64.0,
proc,22,6,173.0,
proc,22,7,275.0,
proc,22,8,157.0,
proc,23,9,185.0,
proc,23,10,204.0,
proc,23,11,305.0,
proc,24,12,379.0,
proc,24,13,370.0,
proc,24,14,31.0,
order,0,3,40.52647164654724,1067.9256217903355
order,1,3,113.27285183699817,1005.5523624525364
