kind,i,j,value,extra
header,8,7,35,150
stage_machines,0,,5,
stage_machines,1,,5,
stage_machines,2,,5,
stage_machines,3,,5,
stage_machines,4,,5,
stage_machines,5,,5,
stage_machines,6,,5,
proc,0,0,299.0,
proc,0,1,344.0,
proc,0,2,259.0,
proc,0,3,386.0,
proc,0,4,187.0,
proc,1,5,249.0,
proc,1,6,31.0,
proc,1,7,69.0,
proc,1,8,211.0,
proc,1,9,127.0,
proc,2,10,369.0,
proc,2,11,221.0,
proc,2,12,291.0,
proc,2,13,306.0,
proc,2,14,59.0,
proc,3,15,167.0,
proc,3,16,78.0,
proc,3,17,242.0,
proc,3,18,414.0,
proc,3,19,90.0,
proc,4,20,174.0,
proc,4,21,390.0,
proc,4,22,427.0,
proc,4,23,296.0,
proc,4,24,119.0,
proc,5,25,291.0,
proc,5,26,378.0,
proc,5,27,346.0,
proc,5,28,128.0,
proc,5,29,307.0,
proc,6,30,334.0,
proc,6,31,238.0,
proc,6,32,363.0,
proc,6,33,353.0,
proc,6,34,167.0,
proc,7,0,234.0,
proc,7,1,215.0,
proc,7,2,253.0,
proc,7,3,219.0,
proc,7,4,242.0,
proc,8,5,255.0,
proc,8,6,368.0,
proc,8,7,240.0,
proc,8,8,169.0,
proc,8,9,170.0,
proc,9,10,144.0,
proc,9,11,393.0,
proc,9,12,421.0,
proc,9,13,227.0,
proc,9,14,337.0,
proc,10,15,152.0,
proc,10,16,441.0,
proc,10,17,174.0,
proc,10,18,324.0,
proc,10,19,47.0,
proc,11,20,131.0,
proc,11,21,222.0,
proc,11,22,383.0,
proc,11,23,134.0,
proc,11,24,37.0,
proc,12,25,53.0,
proc,12,26,241.0,
proc,12,27,288.0,
proc,12,28,418.0,
proc,12,29,168.0,
proc,13,30,94.0,
proc,13,31,254.0,
proc,13,32,398.0,
proc,13,33,219.0,
proc,13,34,221.0,
proc,14,0,29.0,
proc,14,1,324.0,
proc,14,2,118.0,
proc,14,3,256.0,
proc,14,4,221.0,
proc,15,5,32.0,
proc,15,6,401.0,
proc,15,7,354.0,
proc,15,8,231.0,
proc,15,9,375.0,
proc,16,10,201.0,
proc,16,11,143.0,
proc,16,12,31.0,
proc,16,13,327.0,
proc,16,14,240.0,
proc,17,15,315.0,
proc,17,16,117.0,
proc,17,17,78.0,
proc,17,18,435.0,
proc,17,19,69.0,
proc,18,20,39.0,
proc,18,21,187.0,
proc,18,22,165.0,
proc,18,23,250.0,
proc,18,24,217.0,
proc,19,25,408.0,
proc,19,26,144.0,
proc,19,27,329.0,
proc,19,28,322.0,
proc,19,29,332.0,
proc,20,30,117.0,
proc,20,31,332.0,
proc,20,32,301.0,
proc,20,33,402.0,
proc,20,34,54.0,
proc,21,0,127.0,
proc,21,1,60.0,
proc,21,2,191.0,
proc,21,3,88.0,
proc,21,4,231.0,
proc,22,5,225.0,
proc,22,6,268.0,
proc,22,7,327.0,
proc,22,8,389.0,
proc,22,9,161.0,
proc,23,10,80.0,
proc,23,11,70.0,
proc,23,12,142.0,
proc,23,13,426.0,
proc,23,14,150.0,
proc,24,15,415.0,
proc,24,16,322.0,
proc,24,17,360.0,
proc,24,18,252.0,
proc,24,19,299.0,
proc,25,20,308.0,
proc,25,21,366.0,
proc,25,22,42.0,
proc,25,23,340.0,
proc,25,24,212.0,
proc,26,25,285.0,
proc,26,26,133.0,
proc,26,27,367.0,
proc,26,28,110.0,
proc,26,29,77.0,
proc,27,30,230.0,
proc,27,31,136.0,
proc,27,32,435.0,
proc,27,33,157.0,
proc,27,34,278.0,
proc,28,0,102.0,
proc,28,1,40.0,
proc,28,2,237.0,
proc,28,3,126.0,
proc,28,4,41.0,
proc,29,5,398.0,
proc,29,6,233.0,
proc,29,7,127.0,
proc,29,8,264.0,
proc,29,9,199.0,
proc,30,10,276.0,
proc,30,11,134.0,
proc,30,12,338.0,
proc,30,13,205.0,
proc,30,14,305.0,
proc,31,15,289.0,
proc,31,16,328.0,
proc,31,17,299.0,
proc,31,18,126.0,
proc,31,19,162.0,
proc,32,20,200.0,
proc,32,21,380.0,
proc,32,22,357.0,
proc,32,23,326.0,
proc,32,24,311.0,
proc,33,25,217.0,
proc,33,26,317.0,
proc,33,27,417.0,
proc,33,28,29.0,
proc,33,29,401.0,
proc,34,30,382.0,
proc,34,31,445.0,
proc,34,32,42.0,
proc,34,33,369.0,
proc,34,34,314.0,
proc,35,0,291.0,
proc,35,1,377.0,
proc,35,2,230.0,
proc,35,3,413.0,
proc,35,4,202.0,
proc,36,5,371.0,
proc,36,6,316.0,
proc,36,7,355.0,
proc,36,8,178.0,
proc,36,9,359.0,
proc,37,10,134.0,
proc,37,11,49.0,
proc,37,12,120.0,
proc,37,13,414.0,
proc,37,14,312.0,
proc,38,15,73.0,
proc,38,16,138.0,
proc,38,17,209.0,
proc,38,18,449.0,
proc,38,19,383.0,
proc,39,20,443.0,
proc,39,21,221.0,
proc,39,22,199.0,
proc,39,23,381.0,
proc,39,24,190.0,
proc,40,25,270.0,
proc,40,26,179.0,
proc,40,27,137.0,
proc,40,28,73.0,
proc,40,29,290.0,
proc,41,30,198.0,
proc,41,31,250.0,
proc,41,32,361.0,
proc,41,33,205.0,
proc,41,34,151.0,
proc,42,0,354.0,
proc,42,1,106.0,
proc,42,2,124.0,
proc,42,3,44.0,
proc,42,4,393.0,
proc,43,5,181.0,
proc,43,6,335.0,
proc,43,7,313.0,
proc,43,8,61.0,
proc,43,9,125.0,
proc,44,10,348.0,
proc,44,11,152.0,
proc,44,12,208.0,
proc,44,13,336.0,
proc,44,14,392.0,
proc,45,15,130.0,
proc,45,16,236.0,
proc,45,17,229.0,
proc,45,18,35.0,
proc,45,19,41.0,
proc,46,20,429.0,
proc,46,21,371.0,
proc,46,22,221.0,
proc,46,23,80.0,
proc,46,24,166.0,
proc,47,25,427.0,
proc,47,26,397.0,
proc,47,27,366.0,
proc,47,28,294.0,
proc,47,29,251.0,
proc,48,30,107.0,
proc,48,31,405.0,
proc,48,32,373.0,
proc,48,33,120.0,
proc,48,34,229.0,
proc,49,0,133.0,
proc,49,1,431.0,
proc,49,2,77.0,
proc,49,3,232.0,
proc,49,4,221.0,
proc,50,5,52.0,
proc,50,6,448.0,
proc,50,7,103.0,
proc,50,8,317.0,
proc,50,9,80.0,
proc,51,10,376.0,
proc,51,11,150.0,
proc,51,12,282.0,
proc,51,13,29.0,
proc,51,14,270.0,
proc,52,15,367.0,
proc,52,16,84.0,
proc,52,17,206.0,
proc,52,18,382.0,
proc,52,19,252.0,
proc,53,20,131.0,
proc,53,21,310.0,
proc,53,22,133.0,
proc,53,23,434.0,
proc,53,24,389.0,
proc,54,25,37.0,
proc,54,26,55.0,
proc,54,27,420.0,
proc,54,28,39.0,
proc,54,29,29.0,
proc,55,30,69.0,
proc,55,31,41.0,
proc,55,32,170.0,
proc,55,33,331.0,
proc,55,34,327.0,
order,0,6,10.763476720103023,1024.985228402031
order,1,6,52.452151815514476,1083.405439642429
order,2,4,69.57348134550277,951.773384966261
order,3,1,76.30407493835253,947.1172226609233
order,4,1,89.33703034469532,1243.4166456819985
