kind,i,j,value,extra
header,5,5,25,300
stage_machines,0,,5,
stage_machines,1,,5,
stage_machines,2,,5,
stage_machines,3,,5,
stage_machines,4,,5,
proc,0,0,392.0,
proc,0,1,357.0,
proc,0,2,295.0,
proc,0,3,251.0,
proc,0,4,342.0,
proc,1,5,401.0,
proc,1,6,383.0,
proc,1,7,395.0,
proc,1,8,234.0,
proc,1,9,97.0,
proc,2,10,135.0,
proc,2,11,402.0,
proc,2,12,101.0,
proc,2,13,354.0,
proc,2,14,276.0,
proc,3,15,394.0,
proc,3,16,156.0,
proc,3,17,262.0,
proc,3,18,417.0,
proc,3,19,361.0,
proc,4,20,125.0,
proc,4,21,181.0,
proc,4,22,67.0,
proc,4,23,101.0,
proc,4,24,337.0,
proc,5,0,131.0,
proc,5,1,173.0,
proc,5,2,239.0,
proc,5,3,244.0,
proc,5,4,303.0,
proc,6,5,283.0,
proc,6,6,142.0,
proc,6,7,168.0,
proc,6,8,187.0,
proc,6,9,329.0,
proc,7,10,431.0,
proc,7,11,376.0,
proc,7,12,157.0,
proc,7,13,213.0,
proc,7,14,105.0,
proc,8,15,244.0,
proc,8,16,302.0,
proc,8,17,28.0,
proc,8,18,365.0,
proc,8,19,292.0,
proc,9,20,309.0,
proc,9,21,364.0,
proc,9,22,205.0,
proc,9,23,135.0,
proc,9,24,342.0,
proc,10,0,444.0,
proc,10,1,303.0,
proc,10,2,332.0,
proc,10,3,216.0,
proc,10,4,325.0,
proc,11,5,201.0,
proc,11,6,233.0,
proc,11,7,171.0,
proc,11,8,163.0,
proc,11,9,79.0,
proc,12,10,117.0,
proc,12,11,214.0,
proc,12,12,213.0,
proc,12,13,98.0,
proc,12,14,314.0,
proc,13,15,74.0,
proc,13,16,115.0,
proc,13,17,233.0,
proc,13,18,81.0,
proc,13,19,121.0,
proc,14,20,443.0,
proc,14,21,432.0,
proc,14,22,297.0,
proc,14,23,302.0,
proc,14,24,50.0,
proc,15,0,450.0,
proc,15,1,379.0,
proc,15,2,60.0,
proc,15,3,36.0,
proc,15,4,174.0,
proc,16,5,25.0,
proc,16,6,267.0,
proc,16,7,173.0,
proc,16,8,374.0,
proc,16,9,258.0,
proc,17,10,375.0,
proc,17,11,294.0,
proc,17,12,421.0,
proc,17,13,77.0,
proc,17,14,408.0,
proc,18,15,255.0,
proc,18,16,448.0,
proc,18,17,228.0,
proc,18,18,437.0,
proc,18,19,279.0,
proc,19,20,178.0,
proc,19,21,378.0,
proc,19,22,376.0,
proc,19,23,143.0,
proc,19,24,55.0,
proc,20,0,405.0,
proc,20,1,144.0,
proc,20,2,164.0,
proc,20,3,321.0,
proc,20,4,435.0,
proc,21,5,350.0,
proc,21,6,197.0,
proc,21,7,278.0,
proc,21,8,339.0,
proc,21,9,273.0,
proc,22,10,235.0,
proc,22,11,275.0,
proc,22,12,64.0,
proc,22,13,260.0,
