kind,i,j,value,extra
header,5,5,25,150
stage_machines,0,,5,
stage_machines,1,,5,
stage_machines,2,,5,
stage_machines,3,,5,
stage_machines,4,,5,
proc,0,0,135.0,
proc,0,1,133.0,
proc,0,2,156.0,
proc,0,3,54.0,
proc,0,4,119.0,
proc,1,5,232.0,
proc,1,6,173.0,
proc,1,7,59.0,
proc,1,8,29.0,
proc,1,9,252.0,
proc,2,10,404.0,
proc,2,11,80.0,
proc,2,12,129.0,
proc,2,13,177.0,
proc,2,14,32.0,
proc,3,15,30.0,
proc,3,16,344.0,
proc,3,17,319.0,
proc,3,18,35.0,
proc,3,19,345.0,
proc,4,20,275.0,
proc,4,21,369.0,
proc,4,22,330.0,
proc,4,23,404.0,
proc,4,24,108.0,
proc,5,0,219.0,
proc,5,1,224.0,
proc,5,2,365.0,
proc,5,3,152.0,
proc,5,4,357.0,
proc,6,5,303.0,
proc,6,6,440.0,
proc,6,7,75.0,
proc,6,8,333.0,
proc,6,9,63.0,
proc,7,10,282.0,
proc,7,11,378.0,
proc,7,12,42.0,
proc,7,13,268.0,
proc,7,14,104.0,
proc,8,15,72.0,
proc,8,16,127.0,
proc,8,17,227.0,
proc,8,18,114.0,
proc,8,19,329.0,
proc,9,20,206.0,
proc,9,21,376.0,
proc,9,22,374.0,
proc,9,23,284.0,
proc,9,24,28.0,
proc,10,0,243.0,
proc,10,1,379.0,
proc,10,2,33.0,
proc,10,3,221.0,
proc,10,4,280.0,
proc,11,5,386.0,
proc,11,6,182.0,
proc,11,7,90.0,
proc,11,8,450.0,
proc,11,9,75.0,
proc,12,10,265.0,
proc,12,11,97.0,
proc,12,12,234.0,
proc,12,13,212.0,
proc,12,14,401.0,
proc,13,15,115.0,
proc,13,16,379.0,
proc,13,17,365.0,
proc,13,18,160.0,
proc,13,19,292.0,
proc,14,20,356.0,
proc,14,21,69.0,
proc,14,22,427.0,
proc,14,23,317.0,
proc,14,24,395.0,
proc,15,0,118.0,
proc,15,1,325.0,
proc,15,2,377.0,
proc,15,3,233.0,
proc,15,4,342.0,
proc,16,5,328.0,
proc,16,6,82.0,
proc,16,7,100.0,
proc,16,8,149.0,
proc,16,9,126.0,
proc,17,10,188.0,
proc,17,11,31.0,
proc,17,12,49.0,
proc,17,13,416.0,
proc,17,14,28.0,
proc,18,15,157.0,
proc,18,16,161.0,
proc,18,17,282.0,
proc,18,18,261.0,
proc,18,19,403.0,
proc,19,20,163.0,
proc,19,21,266.0,
proc,19,22,385.0,
proc,19,23,294.0,
proc,19,24,232.0,
proc,20,0,197.0,
proc,20,1,254.0,
proc,20,2,209.0,
proc,20,3,262.0,
proc,20,4,241.0,
proc,21,5,101.0,
proc,21,6,353.0,
proc,21,7,436.0,
proc,21,8,26.0,
proc,21,9,267.0,
proc,22,10,361.0,
proc,22,11,106.0,
proc,22,12,55.0,
proc,22,13,208.0,
proc,22,14,275.0,
proc,23,15,179.0,
proc,23,16,147.0,
proc,23,17,38.0,
proc,23,18,195.0,
proc,23,19,411.0,
proc,24,20,339.0,
proc,24,21,133.0,
proc,24,22,181.0,
proc,24,23,340.0,
proc,24,24,34.0,
order,0,1,29.6875,719.5395104812254
order,1,1,59.375,1201.2476633036688
order,2,1,89.0625,990.4373853027555
order,3,3,118.75,913.3394869758082
order,4,0,148.4375,1011.1632081970024
order,5,0,178.125,909.3952984012161
order,6,2,207.8125,1081.4987646227692
order,7,0,237.5,867.8724507428865
order,8,2,267.1875,1131.2679225913482
order,9,2,296.875,998.8706733422646
order,10,0,326.5625,1187.3219607419087
order,11,0,356.25,1092.3026787060094
order,12,0,385.9375,1524.6341475101144
order,13,2,415.625,1500.6824353733286
order,14,2,445.3125,1158.0844456313598
order,15,0,475.0,1708.2325005819898
order,16,3,504.6875,1661.0324429676043
order,17,3,534.375,1198.001254115301
order,18,4,564.0625,1223.359049101635
order,19,4,593.75,1742.018088528646
order,20,3,623.4375,1399.8599657189488
order,21,2,653.125,1394.3126875241346
order,22,0,682.8125,1662.8567543511801
order,23,3,712.5,1624.2655205882265
order,24,1,742.1875,1389.9320993121426
order,25,1,771.875,1729.076597878211
order,26,1,801.5625,1553.574648538517
order,27,4,831.25,1875.1604470828295
order,28,0,860.9375,2056.651126843138
order,29,1,890.625,1857.8528931590604
order,30,1,920.3125,1569.2392079307874
order,31,0,950.0,1908.777160291748
order,32,4,979.6875,1673.5761269100822
order,33,4,1009.375,1806.1123728489067
order,34,1,1039.0625,2166.964632761834
order,35,4,1068.75,1749.932415399624
order,36,2,1098.4375,2027.8360916373954
order,37,3,1128.125,2077.799515809653
order,38,2,1157.8125,1821.9804263648502
order,39,1,1187.5,2043.9109489967432
order,40,3,1217.1875,2428.2662501061604
order,41,3,1246.875,1977.2543665719554
order,42,1,1276.5625,2486.5651451617077
order,43,3,1306.25,2366.1855929117446
order,44,3,1335.9375,2417.711360809397
order,45,3,1365.625,2121.6446904543927
order,46,0,1395.3125,2543.9614715726066
order,47,3,1425.0,2070.419247959437
order,48,4,1454.6875,2593.3793005820094
order,49,1,1484.375,2671.154321934545
order,50,4,1514.0625,2640.857392226766
order,51,0,1543.75,2320.7480642500796
order,52,2,1573.4375,2251.8049808533283
order,53,1,1603.125,2546.343888584296
order,54,0,1632.8125,2481.2693561055585
order,55,1,1662.5,2812.0672781535186
order,56,4,1692.1875,2640.3423593753737
order,57,0,1721.875,2965.2804816252774
order,58,4,1751.5625,2517.0208483938804
order,59,2,1781.25,2582.2985734076974
order,60,3,1810.9375,2900.666635490814
order,61,1,1840.625,2729.628400428582
order,62,1,1870.3125,2975.2778670952102
order,63,2,1900.0,2928.0068164520003
order,64,3,1929.6875,2804.198560310958
order,65,3,1959.375,2805.9603826356297
order,66,1,1989.0625,2968.8552029276984
order,67,2,2018.75,3082.44432556546
order,68,0,2048.4375,2850.397616278192
order,69,1,2078.125,2834.7843096065544
order,70,1,2107.8125,2998.0973905919122
order,71,3,2137.5,3067.8359683746457
