kind,i,j,value,extra
header,5,5,25,150
stage_machines,0,,5,
stage_machines,1,,5,
stage_machines,2,,5,
stage_machines,3,,5,
stage_machines,4,,5,
proc,0,0,388.0,
proc,0,1,217.0,
proc,0,2,215.0,
proc,0,3,380.0,
proc,0,4,171.0,
proc,1,5,230.0,
proc,1,6,319.0,
proc,1,7,447.0,
proc,1,8,321.0,
proc,1,9,81.0,
proc,2,10,316.0,
proc,2,11,80.0,
proc,2,12,51.0,
proc,2,13,68.0,
proc,2,14,189.0,
proc,3,15,185.0,
proc,3,16,33.0,
proc,3,17,328.0,
proc,3,18,307.0,
proc,3,19,239.0,
proc,4,20,415.0,
proc,4,21,192.0,
proc,4,22,426.0,
proc,4,23,376.0,
proc,4,24,163.0,
proc,5,0,134.0,
proc,5,1,449.0,
proc,5,2,63.0,
proc,5,3,132.0,
proc,5,4,269.0,
proc,6,5,168.0,
proc,6,6,405.0,
proc,6,7,137.0,
proc,6,8,385.0,
proc,6,9,111.0,
proc,7,10,321.0,
proc,7,11,151.0,
proc,7,12,30.0,
proc,7,13,267.0,
proc,7,14,127.0,
proc,8,15,238.0,
proc,8,16,374.0,
proc,8,17,353.0,
proc,8,18,89.0,
proc,8,19,151.0,
proc,9,20,94.0,
proc,9,21,446.0,
proc,9,22,298.0,
proc,9,23,248.0,
proc,9,24,248.0,
proc,10,0,425.0,
proc,10,1,408.0,
proc,10,2,423.0,
proc,10,3,447.0,
proc,10,4,430.0,
proc,11,5,27.0,
proc,11,6,316.0,
proc,11,7,46.0,
proc,11,8,198.0,
proc,11,9,57.0,
proc,12,10,310.0,
proc,12,11,199.0,
proc,12,12,245.0,
proc,12,13,440.0,
proc,12,14,257.0,
proc,13,15,284.0,
proc,13,16,86.0,
proc,13,17,146.0,
proc,13,18,442.0,
proc,13,19,337.0,
proc,14,20,108.0,
proc,14,21,348.0,
proc,14,22,270.0,
proc,14,23,353.0,
proc,14,24,388.0,
proc,15,0,203.0,
proc,15,1,56.0,
proc,15,2,39.0,
proc,15,3,344.0,
proc,15,4,63.0,
proc,16,5,397.0,
proc,16,6,425.0,
proc,16,7,141.0,
proc,16,8,307.0,
proc,16,9,171.0,
proc,17,10,156.0,
proc,17,11,275.0,
proc,17,12,222.0,
proc,17,13,409.0,
proc,17,14,391.0,
proc,18,15,250.0,
proc,18,16,274.0,
proc,18,17,366.0,
proc,18,18,161.0,
proc,18,19,264.0,
proc,19,20,211.0,
proc,19,21,137.0,
proc,19,22,172.0,
proc,19,23,151.0,
proc,19,24,156.0,
proc,20,0,75.0,
proc,20,1,30.0,
proc,20,2,114.0,
proc,20,3,402.0,
proc,20,4,341.0,
proc,21,5,382.0,
proc,21,6,81.0,
proc,21,7,292.0,
proc,21,8,298.0,
proc,21,9,167.0,
proc,22,10,340.0,
proc,22,11,141.0,
proc,22,12,116.0,
proc,22,13,382.0,
proc,22,14,194.0,
proc,23,15,279.0,
proc,23,16,222.0,
proc,23,17,77.0,
proc,23,18,422.0,
proc,23,19,246.0,
proc,24,20,323.0,
proc,24,21,415.0,
proc,24,22,251.0,
proc,24,23,184.0,
proc,24,24,248.0,
order,0,3,89.13847906045162,1295.7823204915187
order,1,4,169.07446768513293,931.6096825863871
order,2,3,173.8085141532997,996.6901739857129
order,3,3,186.6450715352375,1145.8215975456446
order,4,0,212.1280810337265,1238.8105927906058
order,5,3,218.61157985036732,1419.5820947772008
order,6,3,228.38528379585588,1173.1995908422869
order,7,2,230.22676817101785,1179.0948133187835
order,8,2,241.61688228205938,1214.9935528792912
order,9,0,243.94079169020037,1218.7446684913343
order,10,1,258.0015072676447,1366.9223050316596
order,11,3,263.7273817066191,1036.2311793286153
order,12,2,271.85236422598905,948.8819433039417
order,13,4,276.44439892116003,1155.7093625866328
order,14,2,277.83063759852894,1097.7143053040122
order,15,0,279.83013231407216,1296.5792800631887
order,16,4,281.2368838348705,1160.2555257626907
order,17,0,282.43740318709007,1465.604542872965
order,18,3,285.5078228023212,1037.2855898613448
order,19,4,295.3075560254027,942.2241759781102
order,20,0,317.7718786284304,1057.0992663597056
order,21,3,400.1494652540578,1430.6974031367258
order,22,3,425.39755407823037,1185.5381177912175
order,23,3,457.72919469662634,1426.1788229211002
order,24,4,504.8080339461809,1688.716271717501
order,25,3,510.59284691724486,1413.19350275321
order,26,3,513.0270940805457,1267.7591781729848
order,27,0,527.2968449261449,1343.9952519304686
order,28,2,543.207278871387,1359.9621229388372
order,29,2,556.4899000766306,1601.32849065123
order,30,2,572.2435131076438,1695.7339075041118
order,31,0,577.5381335951779,1414.5117976032034
order,32,3,580.2587631747015,1739.9169027698883
order,33,3,581.9586949797058,1591.598835189684
order,34,4,619.2239113067411,1609.723527722274
order,35,0,777.1250242317437,1435.4360600612963
order,36,1,826.1723727378866,1980.0767811926444
order,37,4,920.5564392184567,1754.2445707836907
order,38,0,923.712461475973,1986.0240973980438
order,39,2,927.3932501545659,1879.097469094945
order,40,3,941.3145103329168,1860.7516356406504
order,41,3,947.0954959536622,1844.4225681209145
order,42,3,947.8103754924342,1684.8791818622367
order,43,3,947.9456878954101,1696.0184811166134
order,44,3,954.1333873931917,1721.1819054332523
order,45,2,974.4875154926065,1793.4517283904138
order,46,4,975.1109177834734,1687.7323264015195
order,47,4,982.2668006868222,1866.1199198534287
order,48,2,983.9282084057081,1757.1649666257042
order,49,4,990.4651497411934,2131.7112828969584
order,50,1,1103.6903165499657,1759.6804141520186
order,51,4,1188.7097850847626,2318.1102755720035
order,52,2,1194.2108460253094,1917.0855063489644
order,53,1,1207.1063255972888,2350.735438328398
order,54,1,1213.053820583059,1843.5885842008852
order,55,0,1214.019741486954,2317.9703876271724
order,56,2,1214.2099238631827,2257.3250010794254
order,57,3,1218.5886700014728,2081.9844017536775
order,58,0,1477.48995229307,2450.498266218059
order,59,0,1486.604303964545,2369.051995537317
order,60,3,1607.8235491364503,2710.709765019061
order,61,0,1651.9071302710895,2411.5770686476917
