kind,i,j,value,extra
header,5,5,25,6
stage_machines,0,,5,
stage_machines,1,,5,
stage_machines,2,,5,
stage_machines,3,,5,
stage_machines,4,,5,
proc,0,0,283.0,
proc,0,1,68.0,
proc,0,2,175.0,
proc,0,3,92.0,
proc,0,4,138.0,
proc,1,5,399.0,
proc,1,6,278.0,
proc,1,7,238.0,
proc,1,8,95.0,
proc,1,9,355.0,
proc,2,10,443.0,
proc,2,11,35.0,
proc,2,12,108.0,
proc,2,13,42.0,
proc,2,14,140.0,
proc,3,15,49.0,
proc,3,16,360.0,
proc,3,17,33.0,
proc,3,18,311.0,
proc,3,19,343.0,
proc,4,20,84.0,
proc,4,21,192.0,
proc,4,22,289.0,
proc,4,23,246.0,
proc,4,24,426.0,
proc,5,0,432.0,
proc,5,1,305.0,
proc,5,2,95.0,
proc,5,3,303.0,
proc,5,4,143.0,
proc,6,5,90.0,
proc,6,6,38.0,
proc,6,7,309.0,
proc,6,8,364.0,
proc,6,9,88.0,
proc,7,10,334.0,
proc,7,11,367.0,
proc,7,12,153.0,
proc,7,13,175.0,
proc,7,14,252.0,
proc,8,15,232.0,
proc,8,16,39.0,
proc,8,17,76.0,
proc,8,18,324.0,
proc,8,19,320.0,
proc,9,20,312.0,
proc,9,21,445.0,
proc,9,22,164.0,
proc,9,23,443.0,
proc,9,24,53.0,
proc,10,0,119.0,
proc,10,1,45.0,
proc,10,2,268.0,
proc,10,3,337.0,
proc,10,4,351.0,
proc,11,5,104.0,
proc,11,6,217.0,
proc,11,7,89.0,
proc,11,8,79.0,
proc,11,9,217.0,
proc,12,10,179.0,
proc,12,11,274.0,
proc,12,12,51.0,
proc,12,13,271.0,
proc,12,14,365.0,
proc,13,15,219.0,
proc,13,16,97.0,
proc,13,17,240.0,
proc,13,18,302.0,
proc,13,19,140.0,
proc,14,20,258.0,
proc,14,21,344.0,
proc,14,22,217.0,
proc,14,23,296.0,
proc,14,24,184.0,
proc,15,0,367.0,
proc,15,1,30.0,
proc,15,2,237.0,
proc,15,3,156.0,
proc,15,4,156.0,
proc,16,5,92.0,
proc,16,6,50.0,
proc,16,7,358.0,
proc,16,8,108.0,
proc,16,9,374.0,
proc,17,10,404.0,
proc,17,11,40.0,
proc,17,12,39.0,
proc,17,13,122.0,
proc,17,14,384.0,
proc,18,15,109.0,
proc,18,16,380.0,
proc,18,17,388.0,
proc,18,18,345.0,
proc,18,19,318.0,
proc,19,20,310.0,
proc,19,21,401.0,
proc,19,22,369.0,
proc,19,23,367.0,
proc,19,24,420.0,
proc,20,0,226.0,
proc,20,1,110.0,
proc,20,2,209.0,
proc,20,3,316.0,
proc,20,4,193.0,
proc,21,5,253.0,
proc,21,6,223.0,
proc,21,7,281.0,
proc,21,8,338.0,
proc,21,9,362.0,
proc,22,10,281.0,
proc,22,11,110.0,
proc,22,12,284.0,
proc,22,13,249.0,
proc,22,14,298.0,
proc,23,15,155.0,
proc,23,16,278.0,
proc,23,17,251.0,
proc,23,18,299.0,
proc,23,19,361.0,
proc,24,20,275.0,
proc,24,21,226.0,
proc,24,22,230.0,
proc,24,23,310.0,
proc,24,24,172.0,
order,0,3,9.477389506257198,903.6030941131969
order,1,2,20.108585989428427,919.9485834851384
order,2,3,21.803811957254986,984.6737500519166
order,3,2,79.43531064475474,786.934715780936
order,4,3,98.00618194831966,716.6484310262942
order,5,3,114.00000000000001,976.8847199224637
meta,DDT,,700.0,
meta,mean_interarrival,,19.0,
meta,arrival_process,,poisson,
meta,ddt_spread_lo,,0.7,
meta,ddt_spread_hi,,1.4,
meta,E_dt,,20.904522098748565,
meta,Lambda,,0.047836539638467235,
meta,W_bar,,1194.066655476888,
meta,p_bar,,231.6399987792969,
meta,rho_sys,,2.284800675827686,
meta,iota,,11.080855983460337,
meta,regime,,overloaded,
