instance_id,A_feas_mean,A_feas_max,A_f_mean,A_f_max,prune_ratio,p_singleton,fallback_rate,retention_all,retention_crit,retention_se,support_mean,n_epochs,delta_eta,t_lp_ms,t_enc_ms,t_pol_ms,zeta
main_DDT1100_S100,18.451,50,12.693,39,31.21,0.0192,0.0089,67.65,68.75,0.0,36.81,677,-0.02,1.1626,0.7005,,0.5723
main_DDT1100_S150,19.365,48,9.291,27,52.02,0.0352,0.0396,46.38,48.78,0.0,35.19,1362,-0.026667,1.1084,0.6961,,0.5547
main_DDT1100_S50,18.144,49,8.739,27,51.84,0.0229,0.0138,86.36,86.67,0.0,33.97,436,-0.06,1.0609,0.6918,,0.5606
main_DDT1400_S100,30.298,121,14.607,50,51.79,0.0096,0.0064,70.21,72.41,0.0,35.06,933,-0.09,1.0386,0.7045,,0.5493
main_DDT1400_S150,27.683,106,12.942,48,53.25,0.0234,0.0192,57.75,51.92,0.0,36.77,1408,-0.053333,1.0778,0.7067,,0.5507
main_DDT1400_S50,29.136,64,16.386,36,43.76,0.0107,0.0,54.17,75.0,0.0,34.96,469,-0.08,0.9936,0.7077,,0.5511
main_DDT1800_S100,38.359,187,15.077,75,60.7,0.021,0.0262,41.67,40.91,0.0,31.46,953,0.02,1.0266,0.7111,,0.5524
main_DDT1800_S150,43.732,133,21.401,57,51.06,0.0117,0.0151,66.67,65.85,0.0,33.55,1192,-0.06,1.0563,0.7224,,0.5616
main_DDT1800_S50,38.743,77,19.172,43,50.51,0.0301,0.0055,63.16,66.67,0.0,35.25,366,0.0,1.099,0.7173,,0.5695
main_DDT700_S100,9.413,29,4.359,21,53.69,0.1703,0.1187,43.18,40.74,0.0,32.3,910,-0.01,1.0003,0.6788,,0.5664
main_DDT700_S150,6.14,21,4.234,17,31.05,0.1677,0.0904,72.73,68.42,0.0,34.94,1151,0.033333,1.1152,0.6836,,0.5946
main_DDT700_S50,5.391,15,3.846,13,28.66,0.1391,0.0638,83.33,92.31,0.0,33.77,345,0.08,1.0845,0.6792,,0.5983
main_DDT900_S100,10.532,33,5.915,24,43.84,0.0855,0.0762,51.02,60.0,0.0,37.26,971,0.02,1.0658,0.6839,,0.5556
main_DDT900_S150,8.088,28,5.243,28,35.18,0.1104,0.1201,73.33,75.76,0.0,37.89,1232,0.013333,1.1512,0.6812,,0.5734
main_DDT900_S50,14.058,38,9.733,26,30.77,0.0608,0.0185,73.68,76.47,0.0,34.3,378,0.02,1.0968,0.6879,,0.5778
