iter,steps,eta_train,eta_val,loss,epsilon,sps,elapsed_s
0,443,0.104,0.205,0.233834,1.0,73.05,6.1
1,1334,0.57778,,0.278347,0.9889,364.53,8.5
2,1487,0.12195,,0.16957,0.9778,320.38,9.0
3,1826,0.22892,,0.106142,0.9667,337.46,10.0
4,2282,0.21154,,0.094648,0.9556,349.6,11.3
5,2591,0.18085,,0.100534,0.9444,341.69,12.2
6,2905,0.35088,,0.045345,0.9333,346.54,13.1
7,3192,0.16327,,0.052183,0.9222,335.05,14.0
8,3216,0.0,,0.044222,0.9111,260.24,14.1
9,3687,0.12121,,0.061123,0.9,328.9,15.5
10,4549,0.45342,0.37,0.174177,0.8889,110.01,23.4
11,4979,0.14286,,0.043495,0.8778,352.63,24.6
12,5379,0.44595,,0.116695,0.8667,357.33,25.7
13,5567,0.5,,0.087006,0.8556,336.93,26.3
14,5782,0.05155,,0.098954,0.8444,334.73,26.9
15,6114,0.23288,,0.029443,0.8333,348.35,27.9
16,6733,0.24667,,0.027673,0.8222,339.58,29.7
17,7436,0.46825,,0.00759,0.8111,349.63,31.7
18,7906,0.15278,,0.084181,0.8,346.1,33.1
19,8157,0.375,,0.01593,0.7889,331.02,33.8
20,8421,0.20755,0.05,0.024016,0.7778,47.57,39.4
21,8828,0.24658,,0.03716,0.7667,345.99,40.6
22,9313,0.31818,,0.021343,0.7556,335.33,42.0
23,9524,0.0102,,0.054832,0.7444,346.09,42.6
24,9876,0.12409,,0.028864,0.7333,330.46,43.7
25,10360,0.3,,0.074998,0.7222,360.99,45.0
26,11493,0.36548,,0.076318,0.7111,353.72,48.2
27,11691,0.06849,,0.050325,0.7,315.02,48.9
28,11767,0.01408,,0.045198,0.6889,290.77,49.1
29,12179,0.22794,,0.041132,0.6778,320.41,50.4
30,12754,0.33824,0.275,0.073083,0.6667,79.21,57.7
31,13133,0.06522,,0.043172,0.6556,343.41,58.8
32,13232,0.0,,0.097252,0.6444,306.37,59.1
33,13807,0.19108,,0.040134,0.6333,350.29,60.8
34,14396,0.12953,,0.022491,0.6222,348.75,62.5
35,15144,0.26562,,0.010316,0.6111,351.49,64.6
36,15282,0.63636,,0.421363,0.6,323.64,65.0
37,15764,0.25899,,0.011793,0.5889,351.24,66.4
38,15959,0.41176,,0.049682,0.5778,344.23,67.0
39,16071,0.01667,,0.109278,0.5667,270.87,67.4
40,16622,0.11399,0.255,0.044013,0.5556,73.06,74.9
41,17324,0.24581,,0.007302,0.5444,323.0,77.1
42,17389,0.0,,0.106845,0.5333,259.61,77.3
43,17674,0.25,,0.013987,0.5222,334.27,78.2
44,18538,0.25517,,0.022608,0.5111,356.84,80.6
45,18913,0.06509,,0.022859,0.5,350.48,81.7
46,19991,0.51829,,0.197744,0.4889,364.18,84.7
47,20185,0.32353,,0.127444,0.4778,334.71,85.2
48,20538,0.13913,,0.039762,0.4667,320.81,86.4
49,21168,0.22642,,0.066397,0.4556,321.84,88.3
50,21269,0.02564,0.265,0.04655,0.4444,20.39,93.3
51,21914,0.31429,,0.043269,0.4333,326.56,95.2
52,22936,0.48663,,0.095943,0.4222,350.71,98.2
53,23570,0.19895,,0.011137,0.4111,321.9,100.1
54,23798,0.40816,,0.02517,0.4,307.18,100.9
55,23919,0.0,,0.131768,0.3889,274.62,101.3
56,24096,0.4,,0.016029,0.3778,321.72,101.9
57,24197,0.0,,0.149259,0.3667,297.27,102.2
58,25217,0.45833,,0.02729,0.3556,352.4,105.1
59,26198,0.49711,,0.034247,0.3444,353.85,107.9
60,26552,0.07865,0.2525,0.202746,0.3333,69.84,113.0
61,26740,0.07059,,0.145417,0.3222,306.6,113.6
62,27068,0.07447,,0.146047,0.3111,313.96,114.6
63,27371,0.18824,,0.108653,0.3,320.25,115.6
64,27717,0.49315,,0.015051,0.2889,332.84,116.6
65,28326,0.29012,,0.007542,0.2778,321.19,118.5
66,28841,0.44144,,0.050417,0.2667,331.79,120.1
67,29711,0.37173,,0.019215,0.2556,337.71,122.7
68,29974,0.04895,,0.097237,0.2444,317.91,123.5
69,30345,0.21359,,0.0077,0.2333,327.82,124.6
70,30968,0.32386,0.2575,0.022808,0.2222,91.91,131.4
71,31342,0.05185,,0.032014,0.2111,343.69,132.5
72,31707,0.29213,,0.056946,0.2,326.34,133.6
73,32283,0.15205,,0.014035,0.1889,367.99,135.2
74,33064,0.36496,,0.06319,0.1778,361.09,137.4
75,34088,0.34132,,0.035826,0.1667,363.02,140.2
76,34632,0.28571,,0.018006,0.1556,356.05,141.7
77,34779,0.01099,,0.053887,0.1444,346.13,142.1
78,35077,0.12727,,0.042905,0.1333,364.38,143.0
79,35568,0.08491,,0.052855,0.1222,346.72,144.4
80,35647,0.0,0.2125,0.077982,0.1111,14.31,149.9
81,35830,0.01333,,0.040283,0.1,354.07,150.4
82,36208,0.0473,,0.033372,0.0889,345.94,151.5
83,36610,0.02513,,0.026758,0.0778,370.35,152.6
84,36995,0.04965,,0.037563,0.0667,362.43,153.7
85,37284,0.18571,,0.040953,0.0556,370.05,154.5
86,37886,0.13816,,0.046478,0.05,354.93,156.2
87,38183,0.31481,,0.098046,0.05,343.9,157.0
88,38271,0.0,,0.045175,0.05,291.29,157.3
89,38374,0.1,,0.028826,0.05,314.19,157.7
90,38641,0.0,0.14750000000000002,0.030814,0.05,49.13,163.1
91,39467,0.1716,,0.022357,0.05,362.78,165.4
92,40421,0.31138,,0.023773,0.05,359.13,168.0
93,40822,0.0663,,0.007684,0.05,346.59,169.2
94,41132,0.08333,,0.016381,0.05,363.55,170.0
95,41447,0.05263,,0.024214,0.05,350.26,170.9
96,41751,0.425,,0.093809,0.05,378.54,171.8
97,42406,0.26087,,0.006712,0.05,326.64,173.8
98,42857,0.11494,,0.017052,0.05,319.54,175.2
99,42971,0.0,,0.048061,0.05,299.32,175.6
100,43397,0.12821,0.2425,0.001905,0.05,70.63,181.6
101,43914,0.30636,,0.022653,0.05,315.61,183.2
102,44075,0.21053,,0.010708,0.05,304.38,183.8
103,44813,0.37423,,0.039055,0.05,340.75,185.9
104,45203,0.5122,,0.086622,0.05,338.17,187.1
105,45507,0.08718,,0.019864,0.05,320.61,188.0
106,45788,0.08235,,0.059168,0.05,320.9,188.9
107,45960,0.30769,,0.019614,0.05,315.51,189.5
108,46109,0.23256,,0.030236,0.05,297.43,190.0
109,46636,0.23313,,0.013161,0.05,315.86,191.6
110,46888,0.03378,0.29500000000000004,0.021718,0.05,49.89,196.7
111,47120,0.04,,0.022936,0.05,332.57,197.4
112,47381,0.45283,,0.115493,0.05,314.25,198.2
113,47671,0.04348,,0.019359,0.05,316.19,199.2
114,48462,0.32143,,0.066181,0.05,332.15,201.5
115,48756,0.008,,0.032181,0.05,356.91,202.4
116,49202,0.14414,,0.01802,0.05,378.06,203.6
117,49254,0.0,,0.015561,0.05,274.6,203.7
118,49389,0.03226,,0.018247,0.05,330.08,204.2
119,50024,0.15385,,0.00693,0.05,321.45,206.1
120,50570,0.08,0.052500000000000005,0.019763,0.05,92.72,212.0
121,50941,0.03883,,0.024786,0.05,348.62,213.1
122,51850,0.1413,,0.004258,0.05,352.89,215.7
123,51956,0.0,,0.016283,0.05,315.69,216.0
124,52215,0.07463,,0.013345,0.05,319.42,216.8
125,52280,0.0,,0.062016,0.05,277.59,217.1
126,52709,0.21839,,0.054641,0.05,365.6,218.2
127,53052,0.23611,,0.018036,0.05,332.92,219.3
128,53152,0.0,,0.015013,0.05,316.22,219.6
129,53478,0.25,,0.01177,0.05,334.03,220.6
130,53972,0.17553,0.23500000000000001,0.005734,0.05,85.13,226.4
131,54558,0.2973,,0.017251,0.05,334.75,228.1
132,54955,0.16667,,0.015718,0.05,337.2,229.3
