iter,steps,eta_train,eta_val,loss,epsilon,sps,elapsed_s
0,488,0.22543,0.22999999999999998,-0.975195,1.0,94.84,5.1
1,518,0.14286,,-0.744919,0.9889,230.17,5.3
2,987,0.18563,,-0.45588,0.9778,301.26,6.8
3,1338,0.07035,,0.204295,0.9667,302.25,8.0
4,1913,0.33333,,1.363207,0.9556,313.56,9.8
5,2224,0.12857,,0.88914,0.9444,301.95,10.9
6,2425,0.18293,,0.681532,0.9333,278.61,11.6
7,2913,0.34286,,0.646975,0.9222,295.66,13.3
8,3167,0.17476,,0.095466,0.9111,302.26,14.1
9,3307,0.16667,,-0.189445,0.9,287.3,14.6
10,3504,0.10127,0.2375,-0.538458,0.8889,47.59,18.7
11,3580,0.01613,,-0.429347,0.8778,248.29,19.0
12,3800,0.06145,,-0.423466,0.8667,325.04,19.7
13,3895,0.02174,,-0.270917,0.8556,249.6,20.1
14,3918,0.0,,0.024922,0.8444,231.08,20.2
15,4007,0.02941,,-0.079363,0.8333,262.33,20.5
16,4128,0.03659,,0.520135,0.8222,276.2,21.0
17,4267,0.02941,,0.869633,0.8111,293.23,21.5
18,4615,0.40816,,1.042898,0.8,305.15,22.6
19,4744,0.125,,0.03165,0.7889,282.35,23.1
20,5078,0.26471,0.2475,0.602357,0.7778,73.81,27.6
21,5294,0.12844,,0.369496,0.7667,301.45,28.3
22,5384,0.2963,,0.39291,0.7556,257.0,28.7
23,5503,0.22,,-0.085936,0.7444,266.45,29.1
24,5643,0.10843,,-0.230279,0.7333,280.95,29.6
25,6005,0.33636,,-0.191141,0.7222,311.2,30.8
26,6065,0.24,,0.104556,0.7111,243.27,31.0
27,6407,0.11518,,-0.344316,0.7,305.46,32.2
28,6676,0.41429,,0.135828,0.6889,299.25,33.1
29,7129,0.1976,,-0.306412,0.6778,312.22,34.5
30,7209,0.00901,0.215,-0.20734,0.6667,23.63,37.9
31,7658,0.29697,,-0.129082,0.6556,305.78,39.4
32,8042,0.18343,,0.118908,0.6444,305.46,40.6
33,8630,0.53521,,0.835283,0.6333,318.25,42.5
34,8678,0.0,,0.009097,0.6222,260.28,42.7
35,8885,0.16092,,0.235432,0.6111,293.26,43.4
36,9117,0.23171,,0.274316,0.6,295.59,44.2
37,9385,0.57576,,0.6117,0.5889,306.48,45.0
38,9745,0.27206,,-0.106342,0.5778,313.9,46.2
39,9842,0.09677,,-0.126901,0.5667,266.98,46.6
40,10154,0.08475,0.2125,-0.406868,0.5556,77.63,50.6
41,10337,0.06364,,-0.299702,0.5444,295.1,51.2
42,10757,0.37984,,0.495324,0.5333,313.95,52.5
43,10899,0.29268,,0.356064,0.5222,283.31,53.0
44,11194,0.19008,,0.07974,0.5111,308.11,54.0
45,11361,0.0101,,-0.27103,0.5,313.17,54.5
46,11592,0.18261,,-0.08109,0.4889,294.81,55.3
47,11693,0.07042,,-0.111838,0.4778,271.75,55.7
48,11969,0.06,,-0.104382,0.4667,302.79,56.6
49,12083,0.16667,,0.160013,0.4556,269.63,57.0
50,12652,0.21622,0.22000000000000003,0.150237,0.4444,115.08,62.0
51,12933,0.07483,,-0.005316,0.4333,309.59,62.9
