iter,steps,eta_val,eta_train,reward,policy_loss,value_loss,entropy,approx_kl,clip_frac,ratio_max,ratio_bound,epsilon,sps,fluid_solve_count,fluid_cache_hit,zeta,phi_star_mean,a_f_mean,elapsed_s
0,5059,0.5175000000000001,0.50382,-0.01086,0.085745,0.023022,0.163183,2.745267,0.58378,9.546126,50.0,0.3,69.96,3635,1432,0.7174,0.6963,3.133,81.0
1,7225,,0.34567,-0.30676,0.036327,0.001745,0.329354,0.139418,0.431245,5.233535,47.191,0.29667,70.65,1892,282,0.8703,0.7126,3.567,111.7
2,9078,,0.26697,-0.48033,0.017584,0.001844,0.787896,-1.325918,0.235525,3.010533,47.727,0.29333,31.72,1556,305,0.8361,0.7106,3.824,170.1
3,12537,,0.25671,-0.52115,-0.002631,0.001543,0.85926,-0.443073,0.152995,3.491318,58.621,0.29,30.76,2692,775,0.7765,0.5996,3.653,282.6
4,15608,,0.26851,-0.47026,-0.000718,0.000766,1.075044,-0.011169,0.087267,2.045767,55.814,0.28667,30.43,2238,841,0.7269,0.683,3.698,383.5
5,17861,,0.20749,-0.60845,-0.003813,0.001843,1.136747,-0.006825,0.058103,1.90129,74.118,0.28333,32.37,1728,533,0.7643,0.6922,3.784,453.1
6,20246,,0.24309,-0.53233,-0.000237,0.00217,1.097484,-0.003974,0.032912,1.685272,53.571,0.28,31.58,1769,624,0.7392,0.6994,3.469,528.6
7,25744,,0.47763,-0.06419,0.000356,0.000645,1.025124,0.000131,0.069135,1.939403,72.289,0.27667,31.29,3781,1725,0.6867,0.7631,3.202,704.4
8,28639,,0.23863,-0.5496,-0.004106,0.00161,1.178939,0.002871,0.042256,1.391788,76.829,0.27333,31.75,2091,812,0.7203,0.6491,3.843,795.6
9,30760,,0.15849,-0.6948,-0.006437,0.001927,1.224927,0.006675,0.062813,1.439971,77.778,0.27,32.71,1515,614,0.7116,0.5455,4.039,860.4
10,33344,0.635,0.13785,-0.74722,-0.006535,0.000934,1.205254,0.003932,0.080936,1.425056,71.25,0.26667,31.99,1954,638,0.7539,0.6507,3.902,957.5
11,36147,,0.21446,-0.61255,-0.006024,0.00082,1.176552,0.006471,0.101569,1.341963,68.354,0.26333,31.3,1948,863,0.693,0.6588,3.817,1047.1
12,39384,,0.27313,-0.47007,-0.002685,0.000897,1.109851,0.0029,0.05367,1.264547,50.0,0.26,31.56,2298,947,0.7082,0.6881,3.488,1149.6
13,41353,,0.15197,-0.72234,-0.004063,0.001594,1.212748,0.00049,0.006773,1.755154,62.338,0.25667,32.52,1494,483,0.7557,0.6838,3.842,1210.2
14,45464,,0.1945,-0.63721,-0.006482,0.000814,1.121736,0.007029,0.087174,1.350662,55.263,0.25333,31.73,2935,1184,0.7126,0.6815,3.532,1339.8
15,49186,,0.38136,-0.26731,0.005115,0.000881,1.125763,0.000775,0.049983,1.540358,64.0,0.25,31.13,2636,1094,0.7067,0.7183,3.487,1459.4
16,51291,,0.17943,-0.65862,-0.001307,0.002488,1.210274,0.004154,0.061844,1.28537,64.865,0.24667,32.25,1557,556,0.7369,0.6635,3.825,1524.7
17,54136,,0.20248,-0.61859,-0.004035,0.001353,1.175796,0.00173,0.055667,1.353481,69.863,0.24333,32.03,2066,787,0.7242,0.6831,3.775,1613.5
18,57160,,0.26464,-0.49889,-0.002588,0.001371,1.119333,0.001949,0.030339,1.449188,50.0,0.24,32.17,2187,845,0.7213,0.7013,3.499,1707.5
19,60662,,0.29255,-0.4327,8.5e-05,0.001236,1.159838,-0.000756,0.013352,1.368397,80.282,0.23667,31.44,2413,1097,0.6875,0.6954,3.693,1818.9
20,65052,0.5575,0.34352,-0.34524,2e-05,0.000789,1.079349,0.002117,0.029817,1.38875,47.143,0.23333,32.31,3152,1246,0.7167,0.755,3.326,1967.0
21,67984,,0.19467,-0.64514,-0.003662,0.00178,1.167421,0.001135,0.051408,1.416699,69.565,0.23,31.98,2092,848,0.7116,0.6621,3.727,2058.7
22,70706,,0.14736,-0.7148,-0.002464,0.001379,1.184391,0.002696,0.045824,1.371766,61.765,0.22667,30.04,2012,718,0.737,0.6694,3.731,2149.3
23,73463,,0.2981,-0.42576,-0.002528,0.002691,1.090682,0.002727,0.065408,1.304757,58.209,0.22333,32.02,2015,750,0.7288,0.6755,3.466,2235.4
24,75583,,0.22822,-0.56179,-0.002125,0.002161,1.150956,0.001971,0.0721,1.38303,72.727,0.22,32.42,1543,585,0.7251,0.6954,3.697,2300.8
25,77625,,0.20493,-0.62415,-0.001773,0.002788,1.194476,-0.000909,0.014371,1.320491,60.0,0.21667,31.86,1515,535,0.739,0.6946,3.797,2364.9
26,79967,,0.20913,-0.59672,-0.002158,0.001423,1.201915,-0.002165,0.007827,1.436034,103.125,0.21333,31.34,1643,707,0.6991,0.66,3.859,2439.7
27,82376,,0.17782,-0.66965,-0.003155,0.001372,1.182219,0.00242,0.025426,1.401502,71.429,0.21,30.33,1728,689,0.7149,0.657,3.683,2519.1
28,86244,,0.31532,-0.37717,-0.002415,0.00102,1.15408,0.000227,0.00546,1.346475,82.258,0.20667,32.07,2666,1210,0.6878,0.6327,3.612,2639.7
29,89669,,0.25995,-0.51027,-0.001453,0.001798,1.188368,0.00359,0.020111,1.261278,98.361,0.20333,31.62,2452,981,0.7142,0.6038,3.796,2748.1
30,92769,0.65,0.23318,-0.53769,-0.000389,0.000967,1.190501,0.00213,0.05311,1.604275,80.0,0.2,31.7,2200,908,0.7079,0.6551,3.8,2860.1
31,95599,,0.2028,-0.61494,-0.003201,0.001639,1.166157,-0.001912,0.017922,1.32905,81.356,0.19667,31.89,2113,725,0.7445,0.6719,3.695,2948.8
32,97973,,0.2406,-0.55765,-0.006948,0.002655,1.168,0.003265,0.063354,1.474179,108.621,0.19333,32.2,1747,635,0.7334,0.6931,3.838,3022.6
33,99334,,0.32981,-0.35861,-0.00416,0.006469,1.079645,0.003394,0.099017,1.386474,63.158,0.19,31.65,1029,340,0.7516,0.779,3.535,3065.6
34,102565,,0.22687,-0.55844,-0.003971,0.001464,1.13904,0.002263,0.065569,1.749362,80.357,0.18667,31.7,2299,940,0.7098,0.6095,3.707,3167.5
35,105378,,0.20173,-0.60525,-0.00318,0.001569,1.14289,-0.002341,0.063304,1.51921,92.727,0.18333,31.32,2052,769,0.7274,0.6513,3.715,3257.3
36,109719,,0.28528,-0.44558,0.000157,0.000906,1.126829,0.002991,0.029649,1.514809,88.889,0.18,32.12,3078,1271,0.7077,0.745,3.61,3392.5
37,112647,,0.24313,-0.52622,-0.002705,0.001623,1.123833,0.004445,0.032366,1.451517,73.585,0.17667,31.96,2082,854,0.7091,0.6978,3.542,3484.1
38,117488,,0.29261,-0.42266,-0.001525,0.000904,1.130124,0.00576,0.071077,1.529812,92.308,0.17333,31.86,3385,1464,0.6981,0.7192,3.608,3636.1
39,120588,,0.25193,-0.53702,-0.003327,0.002091,1.121338,0.004873,0.056146,1.631434,100.0,0.17,32.5,2205,903,0.7095,0.7065,3.61,3731.5
40,123483,0.655,0.2647,-0.50842,-0.00448,0.001601,1.164986,0.002021,0.064253,1.528838,114.0,0.16667,31.25,2038,865,0.702,0.6401,3.857,3838.1
41,126581,,0.20361,-0.63511,-0.001837,0.001114,1.174065,0.001917,0.044135,1.405801,153.061,0.16333,31.45,2251,855,0.7247,0.6103,3.876,3936.6
42,128404,,0.21026,-0.61742,-0.01034,0.002489,1.21024,0.00281,0.075745,1.525671,112.5,0.16,31.81,1325,506,0.7236,0.6544,4.002,3993.9
43,131095,,0.23802,-0.55523,0.005778,0.001564,1.165275,0.004794,0.068537,1.427011,140.426,0.15667,32.66,1879,820,0.6962,0.662,3.894,4076.3
44,133972,,0.28665,-0.45927,-0.010931,0.001608,1.051239,0.007363,0.112202,1.754661,91.304,0.15333,31.66,2023,862,0.7012,0.7337,3.398,4167.2
45,136419,,0.33337,-0.35061,-0.000596,0.002371,1.090412,0.00528,0.118377,1.710282,86.667,0.15,30.72,1774,681,0.7226,0.6961,3.621,4246.9
46,139923,,0.2446,-0.52333,-0.000638,0.001319,1.116064,0.002533,0.045728,1.615354,95.455,0.14667,30.76,2652,860,0.7551,0.7494,3.63,4360.8
47,143005,,0.28314,-0.46329,0.002659,0.002016,1.054083,0.006246,0.104208,3.936458,97.674,0.14333,32.55,2287,803,0.7401,0.7319,3.528,4455.5
48,144625,,0.12918,-0.7418,-0.000349,0.001366,1.155315,0.00014,0.041352,1.404266,85.714,0.14,31.79,1264,364,0.7764,0.6631,3.943,4506.5
49,146521,,0.28403,-0.44824,-0.001756,0.00287,1.148683,-0.001013,0.062634,1.875289,175.61,0.13667,31.2,1409,495,0.74,0.7333,3.831,4567.2
50,148977,0.6475,0.19029,-0.65077,-0.004811,0.002254,1.104903,0.009336,0.120139,1.642023,112.5,0.13333,30.21,1898,566,0.7703,0.6932,3.899,4666.6
51,152321,,0.33857,-0.34731,-0.007168,0.001347,1.125121,0.002218,0.045428,1.792324,146.154,0.13,32.23,2284,1068,0.6814,0.6558,3.722,4770.3
52,156576,,0.42375,-0.17763,-0.001924,0.001339,1.041497,0.001254,0.045756,1.644094,126.316,0.12667,32.21,3014,1249,0.707,0.7287,3.442,4902.5
53,159519,,0.34187,-0.34419,-0.003837,0.00173,1.088469,0.004188,0.034092,1.465434,113.514,0.12333,31.42,2061,890,0.6984,0.6543,3.604,4996.1
54,162779,,0.25193,-0.50465,-0.004616,0.001397,1.10009,0.004516,0.066774,2.833588,183.333,0.12,31.43,2427,841,0.7427,0.6913,3.805,5099.9
55,165784,,0.3575,-0.30176,-0.007396,0.002546,1.066141,0.002714,0.039256,1.375969,120.0,0.11667,32.47,2144,869,0.7116,0.7633,3.529,5192.4
56,168314,,0.26361,-0.47721,-0.002343,0.001502,1.057914,0.005488,0.087487,1.60345,194.118,0.11333,31.83,1914,624,0.7541,0.7241,3.82,5271.9
57,173737,,0.35862,-0.28218,0.002546,0.00079,1.068588,0.00484,0.047986,1.91223,163.636,0.11,31.78,3964,1467,0.7299,0.7599,3.57,5442.6
58,176197,,0.2154,-0.57766,-0.009456,0.001957,1.107452,0.005312,0.112481,1.632085,140.625,0.10667,32.47,1774,694,0.7188,0.7114,3.822,5518.4
59,180722,,0.30935,-0.40197,-0.001341,0.000958,1.083836,0.007108,0.061397,1.535134,174.194,0.10333,31.92,3048,1485,0.6724,0.681,3.57,5660.2
60,184650,0.6825,0.28779,-0.4536,-0.001131,0.001276,1.132108,0.00267,0.048295,1.445975,220.0,0.1,31.21,2648,1288,0.6728,0.6403,3.81,5804.4
61,187867,,0.33659,-0.3505,-0.002784,0.001422,1.131126,0.00617,0.058959,1.524458,227.586,0.09667,32.34,2198,1027,0.6816,0.6877,3.736,5903.9
62,192389,,0.29315,-0.42861,-0.002434,0.00079,1.140124,0.004106,0.036117,1.485954,257.143,0.09333,31.83,3034,1496,0.6698,0.6585,3.722,6046.0
63,196552,,0.39948,-0.22246,-0.001104,0.000867,1.15986,0.004079,0.016795,1.349544,188.889,0.09,31.15,2983,1188,0.7152,0.6888,3.753,6179.7
64,198513,,0.20736,-0.60213,0.001595,0.002535,1.16957,0.001781,0.045875,1.386807,207.692,0.08667,32.79,1473,496,0.7481,0.7143,3.897,6239.5
65,201250,,0.27944,-0.47529,-0.003992,0.001963,1.137659,0.007022,0.06502,1.808031,180.0,0.08333,32.1,1886,859,0.6871,0.7343,3.737,6324.7
66,203987,,0.19102,-0.66734,-0.003105,0.001617,1.203917,0.004494,0.026778,1.438306,312.5,0.08,31.67,2005,740,0.7304,0.6026,4.107,6411.2
67,206251,,0.17948,-0.65809,-0.003854,0.002052,1.211947,0.008371,0.051741,1.470355,365.217,0.07667,31.17,1624,648,0.7148,0.6356,4.117,6483.8
68,208701,,0.20527,-0.59243,-0.015607,0.001438,1.20174,0.003796,0.057292,1.472016,300.0,0.07333,31.86,1819,639,0.74,0.69,4.138,6560.8
69,212595,,0.28118,-0.46347,0.000933,0.000971,1.152884,0.004563,0.038104,1.691283,285.714,0.07,32.39,2637,1265,0.6758,0.6045,3.745,6681.0
70,216706,0.6725000000000001,0.37746,-0.2571,-0.007824,0.001387,1.139241,0.008387,0.071544,1.913799,330.0,0.06667,31.66,2864,1255,0.6953,0.7301,3.765,6828.8
71,221245,,0.31177,-0.39902,-0.002379,0.000769,1.129313,0.006741,0.07076,1.484584,315.789,0.06333,32.16,3126,1421,0.6875,0.6303,3.748,6970.0
72,223636,,0.16394,-0.6914,-0.003272,0.001587,1.136718,0.003921,0.050658,1.507886,250.0,0.06,31.7,1675,724,0.6982,0.6544,3.652,7045.4
73,226072,,0.14838,-0.71794,0.014279,0.00126,1.186021,0.006044,0.050911,1.495972,300.0,0.05667,31.72,1888,556,0.7725,0.6796,4.032,7122.2
74,229078,,0.30188,-0.41267,-0.002431,0.001268,1.083998,0.006793,0.072798,1.597676,262.5,0.05333,31.89,2114,900,0.7014,0.7025,3.579,7216.5
75,232794,,0.30213,-0.41931,0.011322,0.001036,1.108435,0.001318,0.055642,1.790118,300.0,0.05,32.19,2686,1038,0.7213,0.7103,3.617,7332.0
76,234761,,0.13514,-0.74798,0.000278,0.001279,1.23685,0.01105,0.125772,3.531526,321.429,0.04667,31.27,1545,430,0.7823,0.6744,4.462,7394.9
77,238822,,0.29148,-0.4407,-0.001751,0.001072,1.028668,0.007513,0.071505,2.147507,323.077,0.04333,31.83,2737,1332,0.6726,0.6949,3.492,7522.5
78,242115,,0.22741,-0.5451,0.000848,0.001254,1.049842,0.017568,0.071757,2.818883,475.0,0.04,32.05,2331,970,0.7061,0.6305,4.039,7625.3
