iter,steps,eta_val,eta_train,reward,policy_loss,value_loss,entropy,approx_kl,clip_frac,ratio_max,ratio_bound,epsilon,sps,fluid_solve_count,fluid_cache_hit,zeta,phi_star_mean,a_f_mean,elapsed_s
0,3298,0.4175,0.2903,-0.43343,0.051676,0.014626,0.467592,-1.389481,0.474455,8.316547,40.0,0.3,32.11,2502,804,0.7568,0.7632,3.241,114.7
1,6324,,0.32373,-0.38477,0.009839,0.002582,0.704163,-0.563735,0.220724,2.684484,57.303,0.29667,31.62,2207,827,0.7274,0.7,3.155,210.4
2,8888,,0.14093,-0.75228,-0.030927,0.003401,0.944861,-0.073048,0.201265,2.239912,95.455,0.29333,30.83,1949,623,0.7578,0.6646,3.646,293.6
3,11775,,0.17661,-0.68088,-0.004817,0.001584,1.039474,-0.031919,0.110695,1.717361,58.621,0.29,31.04,2047,848,0.7071,0.6478,3.602,386.6
4,15326,,0.2003,-0.63431,-0.003879,0.001305,1.141829,-0.002529,0.051609,2.432966,76.744,0.28667,32.01,2424,1135,0.6811,0.6279,3.845,497.6
5,17545,,0.06778,-0.9031,-0.008741,0.001892,1.307402,0.001121,0.066389,1.402756,95.294,0.28333,31.8,1609,618,0.7225,0.5951,4.625,567.4
6,20527,,0.15946,-0.7465,0.00356,0.000966,1.103264,0.00017,0.026299,1.523978,67.857,0.28,31.93,2087,903,0.698,0.6696,3.573,660.8
7,22780,,0.18802,-0.63776,-0.001101,0.001017,1.166989,-0.001634,0.00593,1.231442,83.133,0.27667,31.29,1551,710,0.686,0.6807,3.806,732.8
8,25008,,0.08094,-0.87855,0.001306,0.000927,1.342565,-0.000151,0.009983,1.22199,102.439,0.27333,31.78,1575,661,0.7044,0.5998,4.768,802.9
9,27331,,0.1107,-0.80341,0.008434,0.00074,1.231684,0.003759,0.025731,1.26334,92.593,0.27,31.9,1626,705,0.6976,0.6578,4.093,875.7
10,29302,0.3475,0.08232,-0.8754,0.000386,0.000983,1.181035,0.00828,0.070565,1.240676,71.25,0.26667,31.95,1445,534,0.7302,0.6438,3.856,945.4
11,32249,,0.06386,-0.9021,0.011887,0.000622,1.248313,0.001069,0.023112,1.305569,72.152,0.26333,31.77,2109,846,0.7137,0.6195,4.125,1038.2
12,35320,,0.06768,-0.89644,-0.002042,0.00032,1.216803,0.002335,0.028435,1.421832,130.769,0.26,31.1,2227,852,0.7233,0.6507,4.041,1137.0
13,37062,,0.09274,-0.81043,-0.006048,0.001166,1.238091,0.005491,0.06405,1.359579,74.026,0.25667,32.16,1368,382,0.7817,0.7113,4.013,1191.1
14,39661,,0.11985,-0.7756,-0.008613,0.000577,1.185686,0.007237,0.079149,1.418887,67.105,0.25333,31.46,1827,780,0.7008,0.656,3.971,1273.8
15,42361,,0.12251,-0.77956,0.007148,0.000686,1.188329,0.003501,0.059935,1.344616,128.0,0.25,31.99,1907,801,0.7042,0.5847,3.989,1358.2
16,45610,,0.11999,-0.76441,0.00039,0.000716,1.063482,0.001301,0.068616,1.378846,60.811,0.24667,30.94,2395,862,0.7353,0.7085,3.457,1463.2
17,48481,,0.12423,-0.7688,0.000605,0.000392,1.13061,0.001806,0.04276,1.77127,123.288,0.24333,31.92,2018,861,0.7009,0.6271,3.695,1553.2
18,51115,,0.14685,-0.73514,-0.005224,0.000607,1.162364,0.006664,0.065164,1.585023,83.333,0.24,32.2,1810,832,0.6851,0.615,3.877,1635.0
19,53913,,0.13714,-0.75963,7.6e-05,0.000438,1.135948,0.000563,0.017708,1.373479,80.282,0.23667,32.01,2011,795,0.7167,0.5943,3.754,1722.4
