iter,steps,eta_train,eta_val,loss,epsilon,sps,elapsed_s
0,360,0.32812,0.1925,0.333607,1.0,66.94,5.4
1,604,0.11765,,0.527995,0.9889,285.29,6.2
2,999,0.03846,,0.24615,0.9778,321.09,7.5
3,1055,0.04762,,0.070916,0.9667,279.44,7.7
4,1473,0.2236,,0.330715,0.9556,298.48,9.1
5,1708,0.03817,,0.179717,0.9444,318.51,9.8
6,1839,0.09091,,0.130127,0.9333,264.45,10.3
7,2519,0.38579,,0.380459,0.9222,302.33,12.6
8,2849,0.24,,0.087683,0.9111,295.32,13.7
9,3013,0.47727,,0.109626,0.9,286.59,14.3
10,3066,0.0,0.305,0.169298,0.8889,14.47,17.9
11,3164,0.06849,,0.160272,0.8778,260.92,18.3
12,3191,0.02632,,0.189917,0.8667,247.18,18.4
13,3480,0.13333,,0.157148,0.8556,292.48,19.4
14,3605,0.5625,,0.020037,0.8444,280.61,19.9
15,4338,0.465,,0.022639,0.8333,305.3,22.3
16,4408,0.07895,,0.254175,0.8222,252.61,22.5
17,4823,0.115,,0.077895,0.8111,312.03,23.9
18,5102,0.14706,,0.063644,0.8,293.85,24.8
19,5448,0.19658,,0.043044,0.7889,300.47,26.0
20,5581,0.05,0.205,0.07432,0.7778,32.92,30.0
21,5821,0.32857,,0.116411,0.7667,297.13,30.8
22,6392,0.40411,,0.163333,0.7556,312.17,32.7
23,6807,0.1326,,0.045535,0.7444,289.23,34.1
24,6883,0.0625,,0.075588,0.7333,271.52,34.4
25,6992,0.0274,,0.056643,0.7222,283.1,34.8
26,7084,0.0,,0.089325,0.7111,267.81,35.1
27,7399,0.44828,,0.195123,0.7,317.71,36.1
28,7529,0.11667,,0.047116,0.6889,291.54,36.6
29,7719,0.025,,0.051778,0.6778,314.32,37.2
30,8120,0.18182,0.1875,0.018103,0.6667,65.72,43.3
31,8343,0.08163,,0.144758,0.6556,311.72,44.0
32,9065,0.33514,,0.023467,0.6444,320.96,46.3
33,9142,0.02198,,0.034581,0.6333,268.73,46.5
34,9288,0.03191,,0.111742,0.6222,295.65,47.0
35,9841,0.17606,,0.011945,0.6111,323.47,48.7
36,10060,0.07059,,0.031138,0.6,303.31,49.5
37,10276,0.19118,,0.043518,0.5889,306.38,50.2
38,10538,0.12745,,0.028828,0.5778,297.36,51.1
39,10948,0.13072,,0.040001,0.5667,317.79,52.4
40,11219,0.37931,0.1825,0.185836,0.5556,43.01,58.7
41,11372,0.03333,,0.021726,0.5444,307.64,59.2
42,11889,0.23077,,0.040689,0.5333,342.26,60.7
43,12104,0.13043,,0.030396,0.5222,315.31,61.4
44,12604,0.31507,,0.01363,0.5111,347.69,62.8
45,13172,0.33333,,0.060561,0.5,348.31,64.4
46,13408,0.12195,,0.186045,0.4889,325.89,65.2
47,13812,0.25424,,0.044034,0.4778,344.4,66.3
48,14024,0.14286,,0.106186,0.4667,304.52,67.0
49,14510,0.05291,,0.088625,0.4556,312.56,68.6
50,14756,0.16393,0.185,0.049534,0.4444,35.25,75.6
51,15020,0.11111,,0.017744,0.4333,327.04,76.4
52,16251,0.32124,,0.109703,0.4222,354.93,79.9
53,16379,0.0,,0.026921,0.4111,297.07,80.3
54,17108,0.1761,,0.111521,0.4,338.56,82.5
55,17204,0.0,,0.082803,0.3889,304.27,82.8
56,17500,0.0963,,0.050736,0.3778,319.99,83.7
57,17576,0.0,,0.043354,0.3667,284.72,84.0
58,17715,0.13158,,0.025261,0.3556,302.32,84.4
59,17837,0.2,,0.021292,0.3444,315.29,84.8
60,18041,0.12676,0.25,0.017196,0.3333,39.41,90.0
61,18293,0.575,,0.200941,0.3222,319.85,90.8
62,18683,0.31933,,0.010377,0.3111,306.72,92.1
63,18794,0.11364,,0.081883,0.3,280.22,92.5
64,19526,0.38764,,0.052495,0.2889,294.48,94.9
65,19896,0.18182,,0.06882,0.2778,312.87,96.1
66,19979,0.08696,,0.047923,0.2667,269.18,96.4
67,20622,0.34503,,0.016165,0.2556,314.44,98.5
68,21389,0.4012,,0.009127,0.2444,311.2,101.0
69,22145,0.50676,,0.122495,0.2333,319.71,103.3
70,22467,0.14286,0.2625,0.018031,0.2222,54.59,109.2
71,22854,0.11009,,0.009244,0.2111,317.18,110.5
72,23016,0.17241,,0.033973,0.2,323.62,111.0
73,23424,0.12727,,0.051478,0.1889,335.06,112.2
74,24182,0.4472,,0.286081,0.1778,323.55,114.5
75,24689,0.17391,,0.005583,0.1667,332.33,116.1
76,25063,0.09091,,0.017036,0.1556,329.4,117.2
77,25396,0.00775,,0.029827,0.1444,321.6,118.2
78,25710,0.0641,,0.023671,0.1333,344.81,119.1
79,26297,0.36486,,0.088625,0.1222,345.22,120.8
80,26842,0.01562,0.11000000000000001,0.029876,0.1111,67.97,128.9
81,27245,0.01587,,0.022782,0.1,306.3,130.2
82,28018,0.24,,0.009426,0.0889,338.17,132.5
83,28726,0.10059,,0.010236,0.0778,356.55,134.5
84,28989,0.00763,,0.030347,0.0667,338.51,135.2
85,29474,0.08696,,0.005991,0.0556,362.68,136.6
86,29821,0.0,,0.0284,0.05,337.47,137.6
87,30129,0.08333,,0.01525,0.05,315.02,138.6
88,30287,0.16,,0.01739,0.05,326.79,139.1
89,30528,0.31707,,0.09758,0.05,322.54,139.8
90,30815,0.30612,0.3575,0.124465,0.05,43.83,146.4
91,31093,0.13793,,0.03706,0.05,308.59,147.3
92,31389,0.08392,,0.011188,0.05,329.89,148.2
93,31476,0.0,,0.029029,0.05,292.53,148.5
94,31736,0.13,,0.007893,0.05,335.44,149.3
95,32285,0.34559,,0.021241,0.05,319.75,151.0
