iter,steps,eta_val,eta_train,reward,policy_loss,value_loss,entropy,approx_kl,clip_frac,ratio_max,ratio_bound,epsilon,sps,fluid_solve_count,fluid_cache_hit,zeta,phi_star_mean,a_f_mean,elapsed_s
0,2063,0.4875,0.30636,-0.42726,0.035054,0.037876,0.462268,-0.749442,0.532976,5.753773,36.667,0.3,32.72,1676,395,0.8093,0.4641,3.608,71.4
1,5643,,0.34287,-0.36132,0.011248,0.004908,0.842915,-0.165422,0.270929,5.067804,74.157,0.29667,32.65,2774,814,0.7731,0.4169,3.591,181.1
2,8478,,0.25812,-0.52674,0.022265,0.004369,0.945239,-0.12451,0.246103,5.173317,57.955,0.29333,32.94,2189,654,0.77,0.3197,3.858,267.2
3,12180,,0.38655,-0.27083,0.000869,0.003969,0.955882,-0.047833,0.142878,3.190559,48.276,0.29,32.58,2717,993,0.7323,0.4857,3.383,380.8
4,15114,,0.3881,-0.27004,0.002655,0.005962,1.030554,-0.034321,0.110795,3.598316,55.814,0.28667,32.72,2168,774,0.7369,0.4116,3.539,470.5
5,18409,,0.22322,-0.61381,0.001937,0.004264,1.066806,-0.00065,0.055967,2.914983,63.529,0.28333,32.94,2374,929,0.7187,0.2693,3.444,570.6
6,20402,,0.20113,-0.67529,0.001638,0.003747,1.147208,0.0012,0.055182,1.81498,64.286,0.28,33.21,1475,526,0.7371,0.3679,3.746,630.6
7,22290,,0.17188,-0.72867,-0.003433,0.002909,1.109638,0.008476,0.106887,2.195637,57.831,0.27667,32.89,1389,507,0.7326,0.2756,3.585,688.0
8,27431,,0.4108,-0.20255,-0.000815,0.001477,1.093468,-0.00681,0.039867,3.311386,58.537,0.27333,33.01,3511,1638,0.6819,0.3525,3.472,843.8
9,29569,,0.22703,-0.60555,0.001055,0.002239,1.152428,0.004177,0.030035,1.941548,85.185,0.27,32.66,1567,579,0.7302,0.3029,3.684,909.2
10,33263,0.3875,0.26125,-0.52102,-0.000868,0.000835,1.123997,-0.000575,0.093275,2.527175,71.25,0.26667,33.14,2692,1010,0.7272,0.2974,3.642,1027.5
11,35693,,0.17499,-0.6859,-0.003635,0.001893,1.126732,0.00281,0.057994,2.523418,60.759,0.26333,32.34,1803,635,0.7395,0.3589,3.632,1102.7
12,38024,,0.19059,-0.64645,-0.002225,0.002303,1.096096,0.003095,0.034225,1.86172,46.154,0.26,31.73,1722,617,0.7362,0.2546,3.453,1176.2
