iter,steps,eta_val,eta_train,reward,policy_loss,value_loss,entropy,approx_kl,clip_frac,ratio_max,ratio_bound,epsilon,sps,fluid_solve_count,fluid_cache_hit,zeta,phi_star_mean,a_f_mean,elapsed_s
0,2750,0.5375,0.32861,-0.34279,0.060815,0.019178,0.10009,2.135769,0.787012,8.607258,53.333,0.3,82.28,0,0,0.0,,4.498,39.1
1,5457,,0.30259,-0.38882,0.067152,0.003683,0.13795,0.852189,0.792464,3.347477,70.787,0.29667,82.91,0,0,0.0,,4.663,71.8
2,7205,,0.28566,-0.42659,0.052281,0.007906,0.549868,0.098147,0.507919,3.848584,57.955,0.29333,81.08,0,0,0.0,,4.685,93.4
3,9076,,0.27033,-0.45066,0.029839,0.004258,0.837567,-0.620748,0.295583,2.206259,72.414,0.29,34.34,0,0,0.0,,5.099,147.9
4,11521,,0.2019,-0.59354,0.01539,0.00329,1.085568,-0.466,0.166286,2.680232,80.233,0.28667,33.66,0,0,0.0,,4.667,220.5
5,13201,,0.13968,-0.71294,0.009669,0.003917,1.206198,-0.047123,0.083891,1.525263,60.0,0.28333,33.37,0,0,0.0,,4.503,270.9
6,15759,,0.20625,-0.58507,-0.000482,0.001506,1.228872,-0.031641,0.094604,1.551372,53.571,0.28,33.85,0,0,0.0,,4.511,346.5
7,18575,,0.17681,-0.64638,0.001278,0.001627,1.352081,-0.009584,0.06688,1.447067,90.361,0.27667,34.61,0,0,0.0,,4.996,427.8
8,21067,,0.15386,-0.68963,-0.000816,0.001694,1.452073,-0.003098,0.030295,1.289378,102.439,0.27333,34.59,0,0,0.0,,5.141,499.9
9,23482,,0.08522,-0.82443,-0.000477,0.001758,1.449173,0.00361,0.033453,1.339185,103.704,0.27,34.49,0,0,0.0,,5.219,569.9
10,26213,0.5950000000000001,0.15039,-0.69922,0.003609,0.002146,1.535892,-0.000495,0.030185,1.453762,131.25,0.26667,34.58,0,0,0.0,,5.853,658.5
11,28775,,0.15297,-0.6934,-0.016825,0.001,1.412879,0.002011,0.088046,1.378242,102.532,0.26333,34.28,0,0,0.0,,5.057,733.2
12,31435,,0.10563,-0.78708,-0.002926,0.000964,1.459779,0.001774,0.059936,1.402313,96.154,0.26,34.84,0,0,0.0,,5.189,809.6
13,33511,,0.07842,-0.83347,-0.004963,0.000809,1.373472,0.00296,0.064163,1.521947,77.922,0.25667,34.61,0,0,0.0,,4.635,869.6
14,36101,,0.10514,-0.78534,-0.000552,0.000669,1.444859,0.000814,0.035375,1.218123,98.684,0.25333,34.55,0,0,0.0,,4.952,944.6
15,40230,,0.12489,-0.75022,-0.001657,0.000283,1.396081,0.00282,0.032434,1.458496,84.0,0.25,34.5,0,0,0.0,,4.638,1064.3
16,42467,,0.08552,-0.82654,-0.008613,0.000552,1.514745,0.009014,0.074591,1.318159,109.459,0.24667,34.95,0,0,0.0,,5.453,1128.3
17,44549,,0.07737,-0.83724,-0.000269,0.000516,1.466246,0.002536,0.023023,1.331017,119.178,0.24333,34.85,0,0,0.0,,5.185,1188.0
18,47091,,0.19704,-0.6044,-0.003163,0.001613,1.362995,0.001943,0.047,1.467561,79.167,0.24,34.45,0,0,0.0,,4.501,1261.8
19,49436,,0.11526,-0.76502,-0.007814,0.000821,1.407858,0.005178,0.118481,1.475454,88.732,0.23667,34.24,0,0,0.0,,4.768,1330.3
20,52528,0.5449999999999999,0.18674,-0.62651,0.00443,0.001132,1.381502,0.004235,0.078479,1.605615,107.143,0.23333,34.18,0,0,0.0,,4.747,1426.7
21,54796,,0.08179,-0.83373,-0.004676,0.000821,1.450378,0.003424,0.047001,1.567231,104.348,0.23,34.8,0,0,0.0,,5.116,1491.9
22,57636,,0.13468,-0.72985,0.006797,0.000578,1.452607,0.00336,0.065482,1.526639,110.294,0.22667,34.61,0,0,0.0,,5.177,1573.9
23,59507,,0.1221,-0.73658,-0.006879,0.001179,1.437933,0.008565,0.135331,1.638992,116.418,0.22333,34.6,0,0,0.0,,5.204,1628.0
24,62352,,0.11505,-0.76698,-0.000138,0.000593,1.407806,0.002512,0.09318,1.831439,95.455,0.22,34.54,0,0,0.0,,4.867,1710.4
25,64714,,0.16195,-0.6761,-0.000156,0.000965,1.419767,0.000591,0.031174,1.517449,101.538,0.21667,34.22,0,0,0.0,,4.981,1779.5
26,66722,,0.16801,-0.65789,0.001265,0.000964,1.422333,-0.000898,0.058076,1.414676,182.812,0.21333,34.73,0,0,0.0,,5.018,1837.3
27,68560,,0.10168,-0.79563,-0.002311,0.001097,1.462781,0.004269,0.052325,1.353197,119.048,0.21,34.5,0,0,0.0,,5.037,1890.6
28,70971,,0.12263,-0.75352,-0.006909,0.000772,1.383094,0.008251,0.109338,1.361477,91.935,0.20667,34.47,0,0,0.0,,4.867,1960.5
29,74060,,0.14771,-0.70459,-0.003828,0.000483,1.337075,0.001428,0.042616,1.398417,103.279,0.20333,33.49,0,0,0.0,,4.475,2052.8
30,76621,0.5525,0.10527,-0.77989,-0.042149,0.000673,1.375702,0.001764,0.049851,1.502873,100.0,0.2,33.82,0,0,0.0,,4.758,2135.5
31,79617,,0.19663,-0.60554,-0.000141,0.000487,1.359577,0.002043,0.065739,1.600484,86.441,0.19667,34.5,0,0,0.0,,4.717,2222.4
32,82694,,0.14687,-0.70563,0.009788,0.000928,1.357932,0.00203,0.064333,1.545536,118.966,0.19333,34.46,0,0,0.0,,4.808,2311.7
33,84786,,0.16043,-0.67187,-0.000587,0.001224,1.379993,0.000892,0.019831,1.359203,89.474,0.19,34.0,0,0,0.0,,4.662,2373.3
