iter,steps,eta_val,eta_train,reward,policy_loss,value_loss,entropy,approx_kl,clip_frac,ratio_max,ratio_bound,epsilon,sps,fluid_solve_count,fluid_cache_hit,zeta,phi_star_mean,a_f_mean,elapsed_s
0,5364,0.0725,0.2867,-0.43564,-0.001134,0.010555,1.21285,0.003075,0.093697,1.558389,66.667,0.3,32.3,3496,1876,0.6508,0.681,3.849,170.9
1,7795,,0.11435,-0.80895,-0.000108,0.002561,1.172184,0.002479,0.012061,1.353623,53.933,0.29667,32.58,1718,721,0.7044,0.678,3.635,245.6
2,10687,,0.18289,-0.66747,-0.001266,0.001748,1.221854,0.002815,0.024081,1.305039,61.364,0.29333,32.25,2040,860,0.7034,0.7203,3.812,335.3
3,13966,,0.21314,-0.60862,-0.001193,0.00184,1.17779,0.001681,0.015735,1.347136,55.172,0.29,32.02,2293,994,0.6976,0.6674,3.631,437.7
4,16120,,0.19031,-0.64306,0.000101,0.002259,1.307399,0.00088,0.0,1.119403,101.163,0.28667,32.87,1503,659,0.6952,0.6454,4.247,503.2
5,19524,,0.15828,-0.71182,-0.004074,0.001246,1.1957,0.006511,0.039844,1.422542,60.0,0.28333,32.61,2388,1024,0.6999,0.6581,3.724,607.6
6,22651,,0.21605,-0.59832,-6.9e-05,0.00199,1.193121,0.003335,0.032775,1.542062,78.571,0.28,32.16,2078,1057,0.6628,0.6286,3.754,704.9
7,25228,,0.18207,-0.66279,-0.011207,0.001617,1.225481,0.009047,0.050799,1.490859,65.06,0.27667,31.63,1760,825,0.6809,0.6474,3.909,786.4
8,29157,,0.25495,-0.5064,-0.002633,0.001093,1.128306,0.002827,0.029854,1.551574,76.829,0.27333,32.62,2725,1212,0.6922,0.7166,3.467,906.8
9,32340,,0.19538,-0.63494,-0.001849,0.001682,1.212899,0.002752,0.029575,1.548146,62.963,0.27,32.32,2279,912,0.7142,0.6843,3.877,1005.3
10,35786,0.5225000000000001,0.13851,-0.75262,-0.000185,0.001522,1.243255,0.003217,0.036274,1.542952,78.75,0.26667,31.86,2390,1064,0.692,0.5808,4.006,1129.2
