iter,steps,eta_val,eta_train,reward,policy_loss,value_loss,entropy,approx_kl,clip_frac,ratio_max,ratio_bound,epsilon,sps,fluid_solve_count,fluid_cache_hit,zeta,phi_star_mean,a_f_mean,elapsed_s
0,3639,0.625,0.37346,-0.25196,0.053819,0.004365,0.473752,-1.674055,0.537725,7.099764,46.667,0.3,32.63,2809,830,0.7719,0.7306,3.527,125.1
1,5729,,0.30514,-0.38771,0.0152,0.004377,0.789535,-0.190474,0.270884,2.996783,37.079,0.29667,31.69,1562,528,0.7474,0.7393,3.5,191.0
2,8469,,0.35355,-0.28741,0.008264,0.003266,0.980547,-0.008743,0.222893,1.955554,71.591,0.29333,31.94,1990,750,0.7263,0.7195,3.565,276.8
3,10868,,0.24586,-0.5034,-0.00307,0.001693,1.098372,-0.008191,0.131778,1.596088,48.276,0.29,32.63,1813,586,0.7557,0.6295,3.703,350.4
4,13797,,0.31656,-0.36617,-0.0018,0.001021,1.142472,0.002969,0.15055,1.872679,55.814,0.28667,32.56,2107,822,0.7194,0.6749,3.844,440.4
5,17425,,0.27988,-0.44025,-0.004592,0.000896,1.132177,0.002835,0.108167,1.709139,63.529,0.28333,32.59,2532,1096,0.6979,0.6553,3.644,551.7
6,20433,,0.25391,-0.49218,-0.001409,0.001606,1.119902,0.001059,0.055881,1.352341,100.0,0.28,31.9,2103,905,0.6991,0.7114,3.548,646.0
7,22271,,0.12314,-0.73457,-0.004314,0.002313,1.240502,0.005979,0.029748,1.404004,57.831,0.27667,32.66,1316,522,0.716,0.609,3.928,702.3
8,24082,,0.14889,-0.68701,-0.009226,0.001979,1.211652,0.002226,0.049954,1.492465,65.854,0.27333,32.61,1334,477,0.7366,0.7203,3.808,757.8
9,26878,,0.24781,-0.50438,-0.000461,0.00164,1.175108,0.000684,0.029659,1.36878,59.259,0.27,32.82,1923,873,0.6878,0.6461,3.663,843.0
10,30971,0.6275,0.26976,-0.46048,-0.000778,0.000876,1.149784,0.002954,0.021486,1.375561,67.5,0.26667,32.19,2901,1192,0.7088,0.6975,3.596,984.2
11,34437,,0.2669,-0.46393,0.013855,0.001002,1.197088,0.00236,0.025019,1.329684,60.759,0.26333,32.4,2391,1075,0.6898,0.6514,3.751,1091.2
12,38423,,0.17048,-0.65705,-0.006963,0.000962,1.156608,0.001081,0.031521,1.527434,53.846,0.26,32.38,2865,1121,0.7188,0.6889,3.596,1214.3
13,40503,,0.16527,-0.66771,-0.005212,0.002693,1.213588,0.004795,0.031863,1.368391,62.338,0.25667,31.36,1588,492,0.7635,0.704,3.876,1280.7
14,42859,,0.21209,-0.56408,-0.002148,0.001756,1.19425,0.00378,0.031967,1.33455,51.316,0.25333,31.35,1708,648,0.725,0.7374,3.78,1355.8
15,46489,,0.29369,-0.4119,-0.005346,0.001941,1.147094,0.000896,0.039656,1.383175,68.0,0.25,32.51,2508,1122,0.6909,0.6556,3.66,1467.5
16,48496,,0.14549,-0.70831,-0.001031,0.002356,1.207135,0.001944,0.017617,1.335008,72.973,0.24667,32.17,1508,499,0.7514,0.64,3.882,1529.9
17,51102,,0.19936,-0.59439,-0.003876,0.001683,1.132157,0.005632,0.079193,1.525129,53.425,0.24333,31.75,1848,758,0.7091,0.6704,3.578,1612.0
18,53505,,0.16245,-0.66764,-0.000522,0.000993,1.196658,0.003935,0.032661,1.410631,100.0,0.24,31.2,1732,671,0.7208,0.6092,3.849,1689.0
19,56038,,0.17144,-0.65711,-0.00393,0.002197,1.148656,0.004369,0.069081,1.490809,80.282,0.23667,32.36,1804,729,0.7122,0.6377,3.681,1767.3
20,59186,0.565,0.2712,-0.45016,-0.0007,0.0009,1.191745,0.002463,0.03818,1.406215,90.0,0.23333,32.45,2161,987,0.6865,0.6282,3.929,1874.5
21,61775,,0.14908,-0.69561,-0.007286,0.000779,1.169885,0.002378,0.050779,1.507892,78.261,0.23,32.38,1927,662,0.7443,0.6483,3.761,1954.5
22,64684,,0.18509,-0.62401,-0.003982,0.001299,1.195097,0.002138,0.057437,1.491381,79.412,0.22667,32.23,2100,809,0.7219,0.6687,3.836,2044.7
23,67917,,0.23807,-0.52321,-0.005343,0.000955,1.188204,0.003628,0.053674,1.523667,98.507,0.22333,32.45,2277,956,0.7043,0.6163,3.856,2144.4
24,70484,,0.24057,-0.51601,0.006229,0.001193,1.185086,0.00306,0.02443,1.318879,77.273,0.22,32.41,1838,729,0.716,0.6203,3.75,2223.6
25,73559,,0.25353,-0.48709,0.023702,0.000814,1.158929,0.002591,0.047778,1.617894,129.231,0.21667,32.93,2226,849,0.7239,0.7124,3.669,2317.0
26,76673,,0.15211,-0.69142,0.000317,0.00061,1.206417,0.004896,0.021682,1.593685,70.312,0.21333,32.4,2240,874,0.7193,0.679,3.839,2413.1
27,80477,,0.31524,-0.36614,0.000414,0.000797,1.140942,0.001655,0.026544,1.900832,95.238,0.21,32.73,2577,1227,0.6774,0.6951,3.563,2529.3
28,83306,,0.32844,-0.33655,-0.011039,0.001393,1.103607,0.004124,0.048443,1.465681,87.097,0.20667,32.3,1978,851,0.6992,0.7436,3.431,2616.9
29,85609,,0.23842,-0.52018,-0.00269,0.002731,1.159314,0.003044,0.058603,1.460868,68.852,0.20333,32.46,1636,667,0.7104,0.6443,3.657,2687.9
30,90102,0.6525000000000001,0.28317,-0.43366,-0.012936,0.00135,1.147651,0.005445,0.09158,1.557353,120.0,0.2,32.4,3129,1364,0.6964,0.6688,3.724,2841.0
31,93012,,0.20069,-0.59037,-0.002758,0.001753,1.188409,0.002081,0.049763,2.063848,81.356,0.19667,32.86,2102,808,0.7223,0.6718,3.793,2929.6
32,96389,,0.37618,-0.24651,-0.003575,0.001618,1.098469,0.004843,0.04829,1.912686,77.586,0.19333,32.99,2359,1018,0.6985,0.7845,3.45,3032.0
33,98279,,0.16052,-0.66255,-0.004241,0.002723,1.20714,0.006222,0.071294,1.352726,84.211,0.19,33.09,1366,524,0.7228,0.6638,3.817,3089.1
34,101250,,0.23467,-0.52883,-0.008508,0.002172,1.173571,0.006688,0.057509,1.427652,80.357,0.18667,32.57,2124,847,0.7149,0.639,3.677,3180.3
35,104130,,0.22792,-0.54416,0.000167,0.002183,1.136056,0.002128,0.029438,1.388046,76.364,0.18333,32.75,1979,901,0.6872,0.7074,3.537,3268.3
36,106954,,0.30856,-0.37744,0.001516,0.001675,1.165616,0.006547,0.057405,1.359497,144.444,0.18,32.2,1966,858,0.6962,0.7417,3.688,3356.0
37,109513,,0.12221,-0.75558,-0.003482,0.002156,1.239216,0.003064,0.06382,1.534945,130.189,0.17667,31.91,1797,762,0.7022,0.6094,3.999,3436.2
38,112268,,0.22798,-0.54047,-0.005829,0.001177,1.159416,0.008375,0.079613,1.440515,92.308,0.17333,32.47,1963,792,0.7125,0.7462,3.675,3521.1
39,115199,,0.22125,-0.54756,-0.00187,0.001085,1.177509,0.00337,0.014407,1.341497,111.765,0.17,32.92,2030,901,0.6926,0.6812,3.785,3610.1
40,118565,0.6575,0.33043,-0.33769,-0.001589,0.001291,1.141218,0.005846,0.03659,1.375632,96.0,0.16667,32.81,2300,1066,0.6833,0.7321,3.595,3727.8
41,122987,,0.31958,-0.36021,-0.001001,0.000934,1.191176,0.004631,0.045147,1.394781,165.306,0.16333,32.56,3124,1298,0.7065,0.6745,3.878,3863.7
42,126284,,0.21912,-0.56176,-0.004497,0.001094,1.097266,0.005348,0.075937,1.660177,93.75,0.16,32.62,2385,912,0.7234,0.6947,3.523,3964.8
