iter,steps,eta_val,eta_train,reward,policy_loss,value_loss,entropy,approx_kl,clip_frac,ratio_max,ratio_bound,epsilon,sps,fluid_solve_count,fluid_cache_hit,zeta,phi_star_mean,a_f_mean,elapsed_s
0,2843,0.5824999999999999,0.44037,-0.12355,0.088282,0.024425,0.144195,0.055257,0.60618,9.985548,40.0,0.3,72.14,2288,563,0.8025,0.7752,3.48,49.0
1,6047,,0.37677,-0.26032,0.039572,0.004194,0.489887,-1.804892,0.396935,6.669425,47.191,0.29667,32.98,2487,725,0.7743,0.6788,3.322,146.2
2,9742,,0.36685,-0.28635,0.013688,0.001452,0.847161,-0.298968,0.2125,3.069886,44.318,0.29333,32.51,2861,842,0.7726,0.6659,3.442,259.9
3,11909,,0.2158,-0.59129,0.002737,0.006394,1.042732,-0.035892,0.142906,1.705066,44.828,0.29,33.19,1661,514,0.7637,0.6771,3.515,325.2
4,15106,,0.2669,-0.49226,-0.001797,0.001899,1.084105,-0.006296,0.073396,1.60524,55.814,0.28667,33.18,2359,846,0.736,0.7209,3.591,421.5
5,17318,,0.29244,-0.44972,-0.004928,0.002511,1.15271,-0.004116,0.067387,1.291019,56.471,0.28333,33.24,1616,604,0.7279,0.65,3.91,488.1
6,20887,,0.26758,-0.48011,-0.003805,0.001672,1.093301,0.000714,0.078955,1.391739,67.857,0.28,32.91,2590,987,0.7241,0.6626,3.491,596.6
7,23142,,0.11144,-0.81075,-0.001564,0.002708,1.123576,-0.002389,0.038907,1.192299,61.446,0.27667,32.85,1731,532,0.7649,0.6754,3.613,665.3
8,26217,,0.15851,-0.70631,0.019032,0.001174,1.103394,-0.000718,0.021458,1.341421,58.537,0.27333,32.67,2307,776,0.7483,0.6171,3.491,759.4
9,29534,,0.26183,-0.4932,-0.002265,0.001059,1.128454,0.001489,0.043178,1.528001,66.667,0.27,32.75,2339,986,0.7035,0.6691,3.615,860.7
10,32165,0.4774999999999999,0.19994,-0.65027,-0.000907,0.001406,1.225931,0.001413,0.027208,1.227296,78.75,0.26667,32.41,1829,810,0.6931,0.6213,4.031,951.3
11,34818,,0.21917,-0.57192,-0.002805,0.001186,1.150165,0.000893,0.037001,1.218477,60.759,0.26333,32.85,1897,764,0.7129,0.6146,3.667,1032.0
12,36994,,0.16867,-0.67832,-0.000978,0.002226,1.200076,-0.003212,0.001379,1.245306,57.692,0.26,32.66,1596,588,0.7308,0.6729,3.802,1098.7
13,39548,,0.17716,-0.67904,-0.002612,0.001498,1.14692,0.002219,0.030304,1.303084,50.649,0.25667,32.74,1858,704,0.7252,0.689,3.58,1176.7
14,42376,,0.29749,-0.42831,-0.016824,0.001304,1.12448,0.003296,0.010643,1.295957,71.053,0.25333,32.83,2021,815,0.7126,0.7296,3.479,1262.9
15,43795,,0.10463,-0.79732,-0.008517,0.003031,1.237809,0.003545,0.021839,1.304554,64.0,0.25,31.79,1093,334,0.7659,0.6719,3.94,1307.5
16,47797,,0.20482,-0.61222,-0.006069,0.000558,1.139818,0.005055,0.070083,1.30869,85.135,0.24667,32.85,2851,1159,0.711,0.6379,3.589,1429.4
17,51475,,0.25564,-0.52364,-0.000896,0.001025,1.148927,0.005003,0.019878,1.294415,61.644,0.24333,32.47,2614,1072,0.7092,0.6944,3.509,1542.6
18,54425,,0.29056,-0.4423,-0.004722,0.001846,1.127908,0.001747,0.01747,1.309862,70.833,0.24,32.36,2006,952,0.6782,0.7219,3.423,1633.8
19,56540,,0.15625,-0.69424,0.00295,0.001801,1.287267,0.00764,0.013147,1.297376,76.056,0.23667,32.2,1522,601,0.7169,0.5991,4.175,1699.5
20,60432,0.6025,0.20992,-0.59442,-0.007159,0.001115,1.175362,0.007273,0.090105,1.400009,68.571,0.23333,32.62,2750,1150,0.7051,0.6691,3.722,1831.1
21,63094,,0.26217,-0.49555,-0.002395,0.001832,1.154524,0.003961,0.032935,1.237354,82.609,0.23,32.47,1846,824,0.6914,0.6306,3.654,1913.1
22,66992,,0.24865,-0.54145,0.000357,0.001409,1.12003,0.001206,0.015138,1.313799,66.176,0.22667,32.33,2713,1193,0.6946,0.6958,3.491,2033.7
23,69644,,0.15827,-0.70695,-0.005608,0.0017,1.238755,0.006596,0.059071,1.340915,94.03,0.22333,32.61,1970,690,0.7406,0.646,4.031,2115.0
24,72550,,0.26116,-0.48158,-0.00406,0.002161,1.142144,0.006603,0.063021,1.370634,68.182,0.22,32.77,2079,835,0.7135,0.7402,3.624,2203.7
25,75298,,0.22601,-0.56933,-0.004609,0.002286,1.158454,0.00042,0.027407,1.332005,92.308,0.21667,32.8,1921,835,0.697,0.7177,3.656,2287.5
26,78742,,0.36711,-0.30777,-0.002831,0.001891,1.118559,0.004133,0.059021,1.414584,65.625,0.21333,32.74,2399,1053,0.695,0.704,3.465,2392.7
27,82048,,0.24009,-0.53479,-0.002869,0.001221,1.17398,0.003357,0.042799,1.427788,95.238,0.21,32.88,2301,1013,0.6943,0.6289,3.789,2493.3
28,85474,,0.29873,-0.43119,-0.003285,0.001861,1.104463,0.004674,0.065955,1.366205,72.581,0.20667,32.37,2374,1060,0.6913,0.6893,3.546,2599.1
29,87232,,0.1823,-0.61277,-0.002347,0.002074,1.174923,0.000162,0.036051,1.43324,68.852,0.20333,32.44,1325,441,0.7503,0.6398,3.857,2653.3
30,89180,0.6599999999999999,0.20606,-0.5832,-0.003309,0.002722,1.153164,0.002085,0.0482,1.293602,110.0,0.2,32.47,1415,541,0.7234,0.6804,3.855,2729.2
31,91821,,0.25717,-0.50302,-0.002887,0.001952,1.120248,0.0022,0.048247,1.349332,81.356,0.19667,32.57,1919,730,0.7244,0.7129,3.697,2810.3
32,95156,,0.26699,-0.49332,-0.004133,0.001768,1.120987,0.002986,0.054784,1.42548,113.793,0.19333,32.53,2317,1026,0.6931,0.653,3.64,2912.9
33,97730,,0.13898,-0.76237,-0.004094,0.001727,1.181346,0.003564,0.037114,1.319561,78.947,0.19,32.2,1962,620,0.7599,0.6488,3.838,2992.8
34,101008,,0.28591,-0.45476,-0.001539,0.001131,1.096608,0.00425,0.063147,1.550941,75.0,0.18667,32.37,2314,972,0.7042,0.6764,3.489,3094.1
35,104330,,0.31812,-0.38195,-0.003115,0.001561,1.134572,0.003689,0.059341,1.588996,92.727,0.18333,32.78,2342,988,0.7033,0.6493,3.725,3195.5
36,108806,,0.40792,-0.18021,-0.001912,0.000765,1.047414,0.001331,0.04766,1.358073,77.778,0.18,32.66,3101,1383,0.6916,0.6747,3.393,3332.6
37,110592,,0.30516,-0.40136,-0.00126,0.002965,1.068196,0.000685,0.046658,1.389482,84.906,0.17667,32.69,1328,466,0.7402,0.762,3.58,3387.2
38,112842,,0.27725,-0.4835,-0.003175,0.003637,1.072166,0.002787,0.055102,1.250209,75.0,0.17333,32.21,1627,631,0.7205,0.661,3.45,3457.1
39,114517,,0.23373,-0.55308,-0.028086,0.004099,1.07454,0.000546,0.068689,1.955172,88.235,0.17,32.76,1313,370,0.7802,0.7162,3.606,3508.2
40,117519,0.6649999999999999,0.42603,-0.15123,0.000344,0.002101,1.041021,0.003787,0.076093,1.408426,102.0,0.16667,32.74,2119,891,0.704,0.7229,3.368,3615.7
41,120060,,0.35576,-0.30318,-0.000971,0.002413,1.059263,0.005231,0.061629,1.590709,104.082,0.16333,32.73,1820,729,0.714,0.7698,3.514,3693.3
42,122899,,0.30234,-0.4238,-0.001232,0.001189,1.076416,0.002112,0.064095,1.74607,106.25,0.16,32.79,2000,847,0.7025,0.7027,3.516,3779.9
43,125853,,0.26902,-0.48518,0.00753,0.00299,1.032088,0.004272,0.108355,1.478981,108.511,0.15667,32.34,2208,754,0.7454,0.7267,3.486,3871.3
44,128701,,0.27924,-0.4586,-0.007266,0.00207,1.068238,0.005898,0.088315,1.443051,117.391,0.15333,33.03,2027,829,0.7097,0.6804,3.545,3957.5
45,132691,,0.30576,-0.41508,-0.00213,0.001113,1.095005,0.001889,0.049775,1.35221,113.333,0.15,32.98,2962,1036,0.7409,0.7185,3.634,4078.5
46,135799,,0.28139,-0.45929,0.000978,0.001599,1.120804,-0.002255,0.020648,1.542674,109.091,0.14667,32.55,2300,816,0.7381,0.6612,3.709,4174.0
47,138241,,0.35355,-0.32224,0.013082,0.00289,1.078017,0.003707,0.008307,1.406057,132.558,0.14333,32.91,1768,682,0.7216,0.7616,3.472,4248.3
48,140697,,0.31784,-0.38872,0.001841,0.003375,1.091698,0.001229,0.051606,1.383085,100.0,0.14,33.15,1815,649,0.7366,0.727,3.59,4322.3
49,144445,,0.30583,-0.41857,-0.001499,0.000818,1.109959,0.003705,0.062211,1.490634,168.293,0.13667,33.05,2627,1129,0.6994,0.6484,3.694,4435.8
50,147916,0.6775,0.31252,-0.38522,-0.007699,0.001636,1.037892,0.002307,0.037407,1.424333,105.0,0.13333,32.65,2503,976,0.7195,0.7634,3.428,4558.7
