iter,steps,eta_val,eta_train,reward,policy_loss,value_loss,entropy,approx_kl,clip_frac,ratio_max,ratio_bound,epsilon,sps,fluid_solve_count,fluid_cache_hit,zeta,phi_star_mean,a_f_mean,elapsed_s
0,1883,0.54,0.31885,-0.37684,0.077088,0.019488,0.251814,1.023393,0.689515,6.073323,43.333,0.3,71.54,1613,278,0.853,0.7211,4.475,35.0
1,4726,,0.26727,-0.48919,0.051952,0.007517,0.342631,0.582343,0.639216,8.645424,50.562,0.29667,71.58,2342,509,0.8215,0.7029,4.35,74.7
2,6640,,0.40384,-0.21469,0.032629,0.004962,0.566617,0.036451,0.468357,4.047644,78.409,0.29333,71.48,1488,434,0.7742,0.7219,4.626,101.5
3,8978,,0.42234,-0.18727,0.02477,0.003401,0.593297,0.234147,0.438177,4.952338,55.172,0.29,72.29,1830,516,0.7801,0.6878,4.455,133.9
4,11600,,0.195,-0.63708,0.016991,0.001602,0.948299,-0.859072,0.230119,3.127639,73.256,0.28667,32.16,2074,556,0.7886,0.6357,4.486,215.4
5,14575,,0.27609,-0.47328,0.002485,0.000911,1.12711,-0.132872,0.146337,2.18046,74.118,0.28333,32.89,2309,674,0.7741,0.6628,4.608,305.9
6,16353,,0.16936,-0.68804,-0.003744,0.002596,1.372583,-0.008684,0.090017,1.437564,89.286,0.28,32.91,1406,380,0.7872,0.6583,5.121,359.9
7,18763,,0.17165,-0.686,-0.002965,0.001646,1.325509,-0.006276,0.063333,1.398631,68.675,0.27667,32.68,1823,595,0.7539,0.6913,4.663,433.7
8,21609,,0.14534,-0.74577,-0.006904,0.00113,1.407925,-0.006083,0.042889,1.399586,91.463,0.27333,32.26,2096,758,0.7344,0.6024,5.021,521.9
9,25018,,0.22772,-0.56731,-0.003687,0.00081,1.370676,-0.001333,0.057979,1.394494,107.407,0.27,32.49,2445,972,0.7155,0.6495,4.747,626.8
10,28354,0.6425000000000001,0.15567,-0.69922,-0.002602,0.000803,1.365706,0.002922,0.070698,1.42262,82.5,0.26667,32.11,2434,910,0.7279,0.6773,4.75,748.1
11,31292,,0.10655,-0.79766,-0.005438,0.000796,1.438575,0.003928,0.068482,1.481513,110.127,0.26333,32.71,2135,811,0.7247,0.6169,5.16,837.9
12,32966,,0.08984,-0.75191,0.000739,0.001146,1.431695,0.004987,0.091555,1.47801,76.923,0.26,32.62,1220,462,0.7253,0.6571,5.025,889.2
13,35722,,0.16521,-0.71111,-0.005663,0.001296,1.34439,0.003351,0.089036,1.726881,54.545,0.25667,32.82,2080,684,0.7525,0.6698,4.501,973.2
14,38510,,0.14322,-0.72775,-0.004083,0.000711,1.427532,0.004126,0.059754,1.555229,189.474,0.25333,31.08,2060,736,0.7368,0.6417,5.028,1062.9
15,40325,,0.13749,-0.74908,-0.010273,0.002446,1.456051,0.006281,0.074675,1.375071,156.0,0.25,32.2,1314,509,0.7208,0.6151,5.343,1119.3
16,42943,,0.17349,-0.69293,-0.010522,0.001112,1.423346,0.002587,0.127767,1.463865,89.189,0.24667,32.18,1989,637,0.7574,0.6311,5.047,1200.7
17,45651,,0.1839,-0.65635,-0.009672,0.001018,1.403724,0.007088,0.108854,1.567956,143.836,0.24333,32.51,1994,722,0.7342,0.6213,4.988,1284.0
18,48557,,0.21369,-0.61663,-0.008336,0.000914,1.43273,0.005315,0.124275,1.405112,141.667,0.24,32.5,2105,809,0.7224,0.6283,5.275,1373.4
19,51527,,0.17341,-0.62832,-0.009602,0.00087,1.370507,-0.00025,0.032869,1.417356,88.732,0.23667,32.12,2193,785,0.7364,0.6553,4.756,1465.9
20,54827,0.6125,0.15277,-0.70324,-0.00324,0.000722,1.413985,0.002891,0.080837,1.995144,98.571,0.23333,32.18,2489,819,0.7524,0.6424,5.046,1583.9
21,57086,,0.10422,-0.81341,-0.004285,0.000983,1.449659,0.00463,0.088217,1.415673,126.087,0.23,32.65,1693,574,0.7468,0.5993,5.251,1653.1
22,60043,,0.11641,-0.78566,-0.002253,0.000739,1.439432,0.004031,0.048286,1.971826,202.941,0.22667,32.67,2227,738,0.7511,0.6396,5.091,1743.6
23,62462,,0.15625,-0.70584,-0.006975,0.001301,1.327979,0.005312,0.088551,1.655567,76.119,0.22333,32.29,1810,617,0.7458,0.7013,4.422,1818.5
24,64501,,0.09545,-0.83884,-0.006374,0.001777,1.365763,0.005907,0.081495,1.443009,68.182,0.22,32.22,1589,458,0.7763,0.6824,4.598,1881.8
25,66901,,0.17592,-0.68828,-0.002481,0.001286,1.377142,0.000882,0.037372,1.319856,110.769,0.21667,32.27,1785,623,0.7413,0.6533,4.803,1956.2
26,68798,,0.18849,-0.66539,-0.004302,0.002019,1.370818,0.00396,0.074643,1.562399,117.187,0.21333,32.62,1414,491,0.7423,0.7033,4.811,2014.4
27,72007,,0.16346,-0.71003,0.006407,0.000851,1.412835,0.003709,0.070179,1.522638,123.81,0.21,32.83,2342,875,0.728,0.6365,5.059,2112.1
28,74750,,0.11814,-0.79635,-0.00076,0.000977,1.454311,-0.001204,0.03535,1.658071,116.129,0.20667,32.71,2025,726,0.7361,0.602,5.201,2196.0
29,76851,,0.14463,-0.75451,-0.007578,0.001219,1.408428,0.003714,0.057251,1.330387,142.623,0.20333,32.65,1611,498,0.7639,0.6839,4.965,2260.4
30,79486,0.6625,0.11873,-0.77788,-0.005721,0.000869,1.386066,0.004131,0.073671,2.8095,130.0,0.2,32.63,1989,654,0.7526,0.6403,4.816,2355.3
31,82545,,0.19846,-0.63232,-0.004952,0.001002,1.368677,0.002764,0.083374,1.337315,147.458,0.19667,32.59,2301,766,0.7502,0.6583,4.934,2449.2
32,85091,,0.19441,-0.63123,-0.005878,0.000975,1.318423,0.002807,0.080032,1.43202,108.621,0.19333,32.64,1917,637,0.7506,0.6929,4.701,2527.2
33,87305,,0.15704,-0.72138,-0.000258,0.001067,1.32652,0.000482,0.058205,1.375991,94.737,0.19,32.83,1715,507,0.7718,0.7004,4.72,2594.7
34,89906,,0.13258,-0.76031,-0.006109,0.001072,1.396948,0.006478,0.110255,1.469401,117.857,0.18667,33.09,1909,700,0.7317,0.6573,5.095,2673.3
35,92024,,0.11741,-0.76009,-0.001272,0.000843,1.371221,0.002556,0.051672,1.960727,98.182,0.18333,32.31,1614,512,0.7592,0.6438,4.837,2738.9
36,94774,,0.16173,-0.70925,-0.005221,0.000915,1.40118,0.004657,0.066593,1.697752,150.0,0.18,32.61,2035,723,0.7379,0.624,5.021,2823.2
37,95985,,0.09881,-0.82023,-0.003781,0.001406,1.49054,0.003721,0.068326,1.293668,101.887,0.17667,32.32,924,295,0.758,0.6322,5.38,2860.7
38,98642,,0.16658,-0.70316,-0.002979,0.000743,1.420461,0.000633,0.039071,1.574733,115.385,0.17333,32.53,2017,648,0.7568,0.6819,4.858,2942.4
