iter,steps,eta_val,eta_train,reward,policy_loss,value_loss,entropy,approx_kl,clip_frac,ratio_max,ratio_bound,epsilon,sps,fluid_solve_count,fluid_cache_hit,zeta,phi_star_mean,a_f_mean,elapsed_s
0,1834,0.5349999999999999,0.29214,-0.40621,0.089923,0.032766,0.209898,0.725207,0.562946,8.09638,33.333,0.3,126.54,1579,263,0.8572,0.7722,3.601,20.8
1,4359,,0.27394,-0.48824,0.057526,0.003282,0.443624,-1.119906,0.462373,6.51151,87.64,0.29667,67.06,1984,549,0.7833,0.6259,3.668,58.4
2,7912,,0.41072,-0.1947,0.021111,0.002238,0.562065,-0.788748,0.320126,6.610709,44.318,0.29333,66.75,2789,772,0.7832,0.7028,3.252,111.6
3,11053,,0.42199,-0.17356,0.002919,0.001373,0.705536,-0.147473,0.254229,2.544654,41.379,0.29,66.62,2326,823,0.7386,0.6994,3.331,158.8
4,13313,,0.22748,-0.57047,0.000557,0.001918,1.046211,-0.035713,0.165089,1.968287,59.302,0.28667,67.12,1695,573,0.7474,0.7056,3.845,192.5
5,16606,,0.24339,-0.52799,-0.00164,0.00073,1.118513,-0.005689,0.073449,1.704838,74.118,0.28333,64.72,2283,1018,0.6916,0.6249,3.715,243.4
6,19742,,0.33045,-0.36368,-0.002629,0.000844,1.100338,0.004639,0.130312,1.530348,57.143,0.28,68.22,2180,964,0.6934,0.7125,3.494,289.4
7,23903,,0.16877,-0.66635,-0.001202,0.000496,1.175675,-0.001925,0.032967,1.412712,61.446,0.27667,66.44,3050,1119,0.7316,0.6044,3.75,352.0
8,25825,,0.16058,-0.69106,-0.004051,0.00122,1.160599,0.008683,0.095703,1.337453,54.878,0.27333,67.39,1405,525,0.728,0.687,3.7,380.6
9,28704,,0.2402,-0.55845,-0.00245,0.001028,1.121176,0.001931,0.04649,1.365459,62.963,0.27,68.42,2097,790,0.7264,0.6993,3.553,422.6
10,32726,0.5425000000000001,0.22025,-0.56969,0.000851,0.000518,1.096747,0.000402,0.058618,1.481272,71.25,0.26667,67.05,2993,1037,0.7427,0.695,3.532,489.6
11,36142,,0.2733,-0.47527,0.000141,0.00084,1.096505,-0.001505,0.023148,1.267127,60.759,0.26333,67.57,2538,886,0.7412,0.7727,3.411,540.2
12,38672,,0.27575,-0.49032,-0.003168,0.001825,1.134029,0.001329,0.031779,1.337606,65.385,0.26,65.86,1836,702,0.7234,0.6346,3.613,578.6
13,40876,,0.22376,-0.57467,0.00737,0.001932,1.170126,0.004973,0.06932,1.334353,62.338,0.25667,67.01,1583,629,0.7156,0.6635,3.744,611.5
14,44522,,0.20238,-0.65396,0.001268,0.000872,1.154622,-0.000249,0.016164,1.23396,75.0,0.25333,67.71,2520,1134,0.6897,0.6322,3.675,665.4
15,47786,,0.18981,-0.66507,-0.003722,0.000761,1.159305,0.006923,0.080929,1.28494,80.0,0.25,66.26,2391,881,0.7307,0.6358,3.709,714.7
16,51347,,0.25208,-0.51369,-0.002745,0.000842,1.133961,0.002463,0.042507,1.410675,72.973,0.24667,67.54,2551,1018,0.7148,0.6842,3.61,767.4
17,54235,,0.16613,-0.68082,-0.003361,0.001346,1.186663,0.001181,0.025476,1.352239,69.863,0.24333,67.09,2044,852,0.7058,0.5734,3.736,810.5
18,56870,,0.15173,-0.71321,-0.003691,0.001045,1.206682,0.006389,0.062743,1.411421,91.667,0.24,67.44,1812,831,0.6856,0.617,3.915,849.5
19,60159,,0.18739,-0.64691,-0.005091,0.000996,1.161285,0.004129,0.06672,1.384737,71.831,0.23667,67.6,2363,934,0.7167,0.6812,3.676,898.2
20,63184,0.6300000000000001,0.37575,-0.26436,-0.003143,0.001615,1.088735,0.004508,0.061155,1.322955,51.429,0.23333,66.01,2134,899,0.7036,0.7623,3.429,955.6
21,66414,,0.23938,-0.5304,-0.001428,0.001688,1.190006,0.00255,0.024192,1.307225,78.261,0.23,67.37,2288,950,0.7066,0.6178,3.839,1003.5
22,70859,,0.30645,-0.40439,-0.00153,0.001474,1.176394,0.004943,0.032592,1.386414,75.0,0.22667,67.11,3029,1424,0.6802,0.682,3.737,1069.8
23,73779,,0.28816,-0.45148,-0.005079,0.0018,1.066497,0.005076,0.062692,1.327698,67.164,0.22333,67.41,2008,920,0.6858,0.7144,3.345,1113.1
