iter,steps,eta_val,eta_train,reward,policy_loss,value_loss,entropy,approx_kl,clip_frac,ratio_max,ratio_bound,epsilon,sps,fluid_solve_count,fluid_cache_hit,zeta,phi_star_mean,a_f_mean,elapsed_s
0,1828,0.5050000000000001,0.36319,-0.28669,0.06122,0.037157,0.091207,0.203839,0.501042,8.039277,40.0,0.3,70.41,1674,162,0.9118,0.761,2.852,34.7
1,4691,,0.40635,-0.21036,0.031597,0.00385,0.157058,-0.568988,0.319236,6.113779,43.82,0.29667,33.38,2408,463,0.8387,0.6765,2.406,120.5
2,7689,,0.34282,-0.34349,0.012742,0.001352,0.436393,-0.351394,0.145874,2.372126,37.5,0.29333,33.78,2581,425,0.8586,0.6921,2.431,209.3
3,9915,,0.259,-0.50923,0.002012,0.002022,0.572151,-0.034257,0.058275,1.573061,41.379,0.29,33.62,1952,282,0.8738,0.6797,2.468,275.5
4,12235,,0.3025,-0.41719,0.00012,0.002074,0.640749,-0.010371,0.019326,1.363535,41.86,0.28667,33.78,1906,422,0.8187,0.6169,2.518,344.2
5,14705,,0.21385,-0.59173,0.000713,0.001917,0.617818,-0.00661,0.014063,1.221675,38.824,0.28333,33.49,2174,304,0.8773,0.7141,2.386,418.0
6,16818,,0.22553,-0.57615,-0.002186,0.002108,0.64015,-0.002625,0.016377,1.419502,57.143,0.28,34.01,1716,405,0.8091,0.6578,2.385,480.1
7,19024,,0.21886,-0.5999,0.007047,0.002089,0.678448,0.000146,0.000579,1.125067,43.373,0.27667,33.89,1813,401,0.8189,0.6364,2.476,545.2
8,21311,,0.21369,-0.59485,-0.000436,0.001254,0.618274,0.000363,0.007656,1.231707,40.244,0.27333,33.4,1951,344,0.8501,0.6709,2.278,613.7
9,23252,,0.23814,-0.5678,0.002303,0.002523,0.604191,0.00198,0.007518,1.232986,37.037,0.27,33.18,1673,276,0.8584,0.7077,2.241,672.2
10,25313,0.515,0.34684,-0.319,-0.011426,0.007226,0.592578,0.001446,0.007047,1.238098,33.75,0.26667,33.34,1718,351,0.8304,0.7451,2.193,742.7
11,26874,,0.16563,-0.68948,-0.002996,0.002873,0.701297,0.002223,0.046995,1.375813,45.57,0.26333,32.49,1322,247,0.8426,0.6084,2.502,790.8
12,28641,,0.17422,-0.66851,-0.001959,0.00148,0.709833,-0.00097,0.006415,1.211225,61.538,0.26,33.69,1481,294,0.8344,0.6343,2.629,843.3
13,29708,,0.16229,-0.70039,-0.00451,0.002252,0.659656,-0.002212,0.002604,1.148871,38.961,0.25667,33.77,962,113,0.8949,0.7327,2.337,874.9
14,31995,,0.15362,-0.71003,-0.000587,0.000815,0.792678,0.001701,0.019174,1.423132,51.316,0.25333,33.28,1885,410,0.8214,0.5746,2.77,943.6
15,33816,,0.22229,-0.58943,0.010396,0.001835,0.796755,0.003579,0.04466,1.357601,64.0,0.25,33.23,1447,382,0.7911,0.6196,2.981,998.4
16,35443,,0.21423,-0.57618,-0.000733,0.001797,0.677541,0.001231,0.022011,1.291953,40.541,0.24667,33.67,1454,181,0.8893,0.7087,2.447,1046.7
17,36630,,0.34257,-0.34828,-0.005777,0.006252,0.612871,0.001113,0.015446,1.213068,28.767,0.24333,33.31,1023,172,0.8561,0.7495,2.298,1082.4
18,37844,,0.21929,-0.56289,-0.003628,0.004605,0.71627,-0.001137,0.005469,1.234876,45.833,0.24,33.21,1060,162,0.8674,0.6774,2.584,1118.9
19,40097,,0.20535,-0.61892,-0.002911,0.001103,0.684134,0.000786,0.027678,1.318453,67.606,0.23667,33.63,1952,309,0.8633,0.6505,2.553,1185.9
20,42379,0.5175,0.31338,-0.41037,-0.003721,0.003362,0.627676,0.001826,0.035467,1.298746,55.714,0.23333,33.87,2000,290,0.8734,0.7341,2.402,1262.3
21,44369,,0.31465,-0.39651,0.002416,0.002248,0.544924,-0.00122,0.018717,1.243456,39.13,0.23,33.94,1728,270,0.8649,0.7399,2.143,1321.0
22,46144,,0.22184,-0.57649,-0.002669,0.002668,0.646678,0.004122,0.084475,1.45631,57.353,0.22667,34.14,1448,335,0.8121,0.6235,2.54,1373.0
23,48864,,0.25881,-0.5051,-0.008069,0.000954,0.616491,0.002515,0.059304,1.326679,62.687,0.22333,34.18,2300,428,0.8431,0.6983,2.403,1452.6
24,52054,,0.31903,-0.38636,-0.000192,0.001121,0.616183,0.002473,0.03107,1.477641,50.0,0.22,33.19,2642,556,0.8261,0.6658,2.377,1548.7
25,54788,,0.33039,-0.36004,0.000586,0.001451,0.566445,-0.001069,0.036448,1.500166,55.385,0.21667,34.2,2197,545,0.8012,0.6283,2.264,1628.6
26,56878,,0.28045,-0.46817,-0.006694,0.002454,0.582928,0.003071,0.06881,1.509034,60.937,0.21333,34.19,1729,369,0.8241,0.6803,2.345,1689.8
27,58796,,0.2603,-0.51,-0.002677,0.002853,0.620792,-0.001352,0.031454,1.451202,47.619,0.21,34.15,1599,327,0.8302,0.6622,2.414,1745.9
28,60800,,0.30629,-0.42351,-0.001612,0.001735,0.578521,-0.001619,0.015811,1.341125,48.387,0.20667,34.25,1659,353,0.8246,0.658,2.24,1804.5
29,62021,,0.08112,-0.8612,0.001323,0.003187,0.817059,0.003276,0.072241,1.434808,73.77,0.20333,32.72,1040,189,0.8462,0.609,2.951,1841.8
30,64153,0.5050000000000001,0.34601,-0.33196,-0.005209,0.002374,0.678903,0.005333,0.067271,1.495912,70.0,0.2,33.77,1725,415,0.8061,0.6629,2.628,1913.5
31,65876,,0.2421,-0.54291,-0.004258,0.003605,0.651109,0.001678,0.027438,1.414024,66.102,0.19667,34.06,1553,178,0.8972,0.697,2.436,1964.1
32,68226,,0.35347,-0.31402,-0.004349,0.002246,0.5114,0.002542,0.038276,1.500208,41.379,0.19333,34.26,1969,389,0.835,0.7203,2.045,2032.7
33,70739,,0.25148,-0.52638,-0.002047,0.001484,0.651647,0.001817,0.021581,1.469126,52.632,0.19,33.88,2163,358,0.858,0.6794,2.413,2106.9
34,74140,,0.34484,-0.34008,-0.000515,0.001002,0.566738,0.003856,0.041067,1.888039,75.0,0.18667,34.13,2888,521,0.8472,0.7358,2.247,2206.6
35,76578,,0.3396,-0.33766,-0.00823,0.001461,0.605799,0.003901,0.075174,1.748213,70.909,0.18333,34.05,2101,345,0.859,0.6762,2.388,2278.2
36,78643,,0.28794,-0.45162,0.006843,0.00211,0.658849,0.002551,0.052867,2.078416,83.333,0.18,33.45,1688,385,0.8143,0.62,2.588,2339.9
37,79963,,0.25612,-0.49078,-8e-06,0.002892,0.61495,-0.003413,0.017614,1.354897,56.604,0.17667,34.12,1124,204,0.8464,0.6489,2.401,2378.6
38,82686,,0.33399,-0.3402,-0.0017,0.000923,0.579914,0.001774,0.03168,1.488344,63.462,0.17333,34.27,2320,411,0.8495,0.7065,2.29,2458.1
39,85648,,0.32012,-0.37738,0.002056,0.00096,0.593388,0.001832,0.026946,1.797422,52.941,0.17,33.67,2623,347,0.8832,0.7444,2.255,2546.1
40,88406,0.48999999999999994,0.39275,-0.23154,-0.001216,0.001269,0.583461,0.000712,0.025822,1.529935,72.0,0.16667,33.47,2307,459,0.8341,0.6854,2.319,2636.9
41,89788,,0.28754,-0.44425,-0.001366,0.003953,0.710999,-0.00086,0.007047,1.370244,79.592,0.16333,34.02,1139,251,0.8194,0.7181,2.651,2677.6
42,91515,,0.23586,-0.54963,0.002847,0.002728,0.680804,0.000758,0.004842,1.267157,68.75,0.16,33.5,1506,229,0.868,0.6905,2.485,2729.1
43,94320,,0.2708,-0.49022,-0.001011,0.001005,0.685299,0.000843,0.00974,1.399902,95.745,0.15667,33.55,2269,544,0.8066,0.6147,2.546,2812.7
44,96939,,0.29723,-0.41847,-0.005471,0.001412,0.639483,0.001726,0.02782,1.424728,71.739,0.15333,33.31,2245,382,0.8546,0.7223,2.359,2891.4
45,99011,,0.22104,-0.57723,-0.002521,0.001883,0.66638,0.003256,0.047947,1.620851,73.333,0.15,32.69,1783,297,0.8572,0.7112,2.457,2954.8
46,101764,,0.2837,-0.46788,-0.002675,0.002268,0.595311,0.003575,0.033455,1.640762,95.455,0.14667,33.9,2279,482,0.8254,0.6488,2.297,3036.0
47,103581,,0.19904,-0.60493,-0.014694,0.002401,0.700532,0.003416,0.036521,1.561916,104.651,0.14333,32.9,1617,208,0.886,0.7314,2.647,3091.2
48,105388,,0.29523,-0.42865,0.003555,0.002977,0.645471,0.003756,0.033264,1.618972,100.0,0.14,33.01,1489,326,0.8204,0.688,2.477,3146.0
49,107484,,0.23091,-0.54468,-0.008068,0.002937,0.687295,0.005098,0.08318,2.687403,153.659,0.13667,33.25,1790,314,0.8508,0.6884,2.708,3209.0
50,109933,0.4875,0.36768,-0.26932,0.00104,0.002891,0.571216,0.001349,0.028592,1.746198,90.0,0.13333,33.84,2099,358,0.8543,0.7304,2.27,3290.0
51,111692,,0.33155,-0.35391,-0.000443,0.002885,0.587259,0.002544,0.049009,1.675292,92.308,0.13,34.11,1480,287,0.8376,0.6977,2.374,3341.6
52,113807,,0.30656,-0.41516,-0.000409,0.003082,0.710937,0.003571,0.023828,1.518099,110.526,0.12667,33.63,1788,335,0.8422,0.6831,2.685,3404.5
53,116230,,0.35183,-0.32121,-0.001137,0.003231,0.658553,0.002363,0.038184,1.662728,113.514,0.12333,33.1,2010,421,0.8268,0.6711,2.541,3477.7
54,119108,,0.25102,-0.51684,-9.8e-05,0.002584,0.642001,0.001669,0.02549,1.553973,91.667,0.12,32.92,2369,517,0.8209,0.637,2.417,3565.2
55,121519,,0.29906,-0.42257,-0.004353,0.002975,0.60048,0.004296,0.04648,1.606271,102.857,0.11667,32.99,1908,511,0.7888,0.6856,2.302,3638.3
56,124108,,0.22137,-0.59092,-0.003062,0.002083,0.585077,0.004098,0.037532,1.533058,79.412,0.11333,33.51,2278,319,0.8772,0.6543,2.304,3715.5
57,125677,,0.20706,-0.59577,-0.005097,0.003516,0.71582,0.000307,0.020008,1.377098,109.091,0.11,33.4,1370,207,0.8687,0.67,2.65,3762.5
58,128614,,0.30991,-0.39536,-0.003152,0.001395,0.592092,0.003978,0.043796,1.744897,103.125,0.10667,33.32,2451,494,0.8323,0.6523,2.35,3850.7
59,130755,,0.26414,-0.473,-0.003438,0.00148,0.619615,0.002418,0.03198,1.809111,125.806,0.10333,33.43,1799,350,0.8371,0.7321,2.381,3914.7
60,132496,0.51,0.22995,-0.54033,-0.006453,0.003877,0.605507,0.002976,0.053869,1.860621,100.0,0.1,33.13,1455,294,0.8319,0.6683,2.379,3975.9
61,134881,,0.32499,-0.36629,-0.001492,0.00206,0.597884,0.002596,0.019882,1.794443,124.138,0.09667,33.22,2126,267,0.8884,0.7282,2.401,4047.7
62,136413,,0.26742,-0.48857,-0.001473,0.00328,0.579763,0.002246,0.020462,1.207836,128.571,0.09333,33.73,1386,154,0.9,0.7841,2.303,4093.2
63,138576,,0.3363,-0.34361,-0.002964,0.002957,0.521412,0.005585,0.049759,1.329334,100.0,0.09,34.06,1825,346,0.8406,0.7228,2.171,4156.7
64,141553,,0.37984,-0.24155,-0.008236,0.001721,0.47108,0.00585,0.051557,1.407585,126.923,0.08667,33.89,2501,484,0.8379,0.757,2.12,4244.5
65,144378,,0.3112,-0.40022,-7.5e-05,0.001866,0.530842,0.002576,0.036848,1.47581,144.0,0.08333,33.66,2339,494,0.8256,0.6518,2.364,4328.5
66,147496,,0.36668,-0.28556,-0.002724,0.001086,0.52373,0.003908,0.023786,1.996051,175.0,0.08,33.14,2704,422,0.865,0.7676,2.269,4422.6
67,150717,,0.29711,-0.43336,-0.002163,0.001265,0.541322,0.005168,0.044972,1.542917,169.565,0.07667,33.61,2712,517,0.8399,0.7268,2.352,4518.4
68,152760,,0.28551,-0.4246,-0.000838,0.001409,0.537497,0.003887,0.054624,6.168235,109.091,0.07333,33.75,1769,282,0.8625,0.742,2.444,4579.0
69,155457,,0.32696,-0.37454,-0.004121,0.001186,0.554509,0.004163,0.042022,6.683899,200.0,0.07,33.39,2176,529,0.8044,0.6371,2.572,4659.8
