iter,steps,eta_val,eta_train,reward,policy_loss,value_loss,entropy,approx_kl,clip_frac,ratio_max,ratio_bound,epsilon,sps,fluid_solve_count,fluid_cache_hit,zeta,phi_star_mean,a_f_mean,elapsed_s
0,3413,0.5199999999999999,0.33227,-0.35688,0.032643,0.010321,0.476734,-2.428523,0.45763,8.147532,43.333,0.3,36.04,2890,531,0.8448,0.7449,3.641,103.0
1,6911,,0.36494,-0.30031,0.014032,0.001202,0.860113,-0.141574,0.245181,2.455189,40.449,0.29667,36.02,2688,818,0.7667,0.6806,3.41,200.1
2,10444,,0.42569,-0.17976,0.005527,0.001369,0.85522,-0.054174,0.148297,2.414885,68.182,0.29333,36.13,2660,881,0.7512,0.7274,3.322,297.9
3,13085,,0.23127,-0.5372,-0.000939,0.001558,1.071667,-0.02642,0.112902,1.669945,65.517,0.29,35.61,1974,675,0.7452,0.6559,3.732,372.1
4,16003,,0.20555,-0.61984,-0.000669,0.001485,1.116486,-0.00263,0.063193,1.693818,55.814,0.28667,35.11,2214,712,0.7567,0.6622,3.651,455.2
5,19064,,0.21466,-0.59949,-0.005005,0.000983,1.157966,0.001171,0.10513,1.537606,70.588,0.28333,36.44,2187,882,0.7126,0.6854,3.824,539.2
6,21854,,0.35721,-0.30513,-0.003317,0.001163,1.102988,0.002444,0.078703,1.373601,53.571,0.28,36.29,1936,862,0.6919,0.6499,3.513,616.1
7,24249,,0.31849,-0.36091,-0.001579,0.001552,1.092979,-2.6e-05,0.045372,1.242735,46.988,0.27667,36.23,1756,647,0.7308,0.702,3.509,682.2
8,26547,,0.14547,-0.73725,-0.001488,0.001156,1.211234,0.000336,0.029853,1.378375,69.512,0.27333,36.1,1792,514,0.7771,0.647,3.924,745.9
9,29324,,0.27456,-0.48803,-0.004706,0.000991,1.167529,-0.002221,0.058551,1.512909,74.074,0.27,35.97,2035,750,0.7307,0.6783,3.752,823.1
10,32437,0.5925,0.19742,-0.62786,-0.00136,0.000921,1.208115,0.002635,0.035831,1.628406,97.5,0.26667,36.28,2184,937,0.6998,0.5699,3.902,924.9
11,34936,,0.21845,-0.58639,0.000264,0.000962,1.168317,0.003509,0.046663,1.50518,56.962,0.26333,36.49,1824,683,0.7276,0.7415,3.732,993.4
12,37350,,0.19164,-0.65417,-0.003716,0.001335,1.153759,0.005974,0.105079,1.325873,50.0,0.26,36.17,1759,663,0.7263,0.7077,3.648,1060.1
13,41686,,0.2412,-0.55371,7.8e-05,0.000519,1.153359,0.001812,0.024236,1.371534,81.818,0.25667,35.71,3070,1274,0.7067,0.6752,3.669,1181.6
14,45152,,0.24313,-0.54446,0.000745,0.001003,1.138763,0.004106,0.050688,1.507274,63.158,0.25333,36.46,2388,1086,0.6874,0.7034,3.651,1276.7
15,49849,,0.37865,-0.25886,-0.001829,0.000591,1.141248,0.001654,0.031035,1.6799,80.0,0.25,36.04,3156,1549,0.6708,0.6733,3.618,1407.0
16,52534,,0.17426,-0.66844,-0.000489,0.000823,1.239852,0.003897,0.033249,1.410328,97.297,0.24667,35.97,1898,795,0.7048,0.6588,4.029,1481.7
17,55079,,0.25829,-0.51463,-0.004503,0.001824,1.148103,0.006063,0.056952,1.2971,65.753,0.24333,35.58,1759,794,0.689,0.7007,3.593,1553.2
18,58719,,0.26231,-0.52077,-0.001737,0.00084,1.17178,0.00276,0.023001,1.375073,70.833,0.24,36.51,2482,1166,0.6804,0.6233,3.702,1652.9
19,61770,,0.2019,-0.62705,-0.003015,0.001169,1.147799,0.002035,0.03281,1.359995,71.831,0.23667,36.27,2164,895,0.7074,0.6674,3.638,1737.1
20,65402,0.65,0.17241,-0.67893,-0.006176,0.000877,1.134767,0.006332,0.093151,1.477463,64.286,0.23333,36.16,2657,983,0.7299,0.7275,3.604,1849.4
21,68723,,0.20586,-0.61898,-0.00144,0.000751,1.136689,0.003152,0.034636,1.270151,78.261,0.23,36.04,2350,979,0.7059,0.6191,3.631,1941.6
22,71578,,0.31392,-0.38228,-0.004998,0.001696,1.103306,0.00066,0.042326,1.39375,75.0,0.22667,36.62,2030,833,0.709,0.7001,3.51,2019.5
23,74055,,0.19613,-0.62301,0.000964,0.00128,1.139063,-8.9e-05,0.022685,1.598886,71.642,0.22333,36.35,1785,700,0.7183,0.6721,3.611,2087.7
24,76387,,0.25379,-0.52468,0.003453,0.001571,1.129468,0.004378,0.037046,1.255882,68.182,0.22,36.69,1595,745,0.6816,0.688,3.671,2151.3
25,81217,,0.26924,-0.48305,-0.001562,0.000691,1.130785,0.001328,0.03189,1.416416,101.538,0.21667,35.8,3316,1522,0.6854,0.634,3.64,2286.2
26,86294,,0.308,-0.40653,-0.002428,0.000465,1.107518,0.001856,0.035812,1.370487,79.688,0.21333,36.58,3605,1480,0.7089,0.6899,3.564,2425.0
27,89122,,0.23064,-0.5745,-0.003692,0.001527,1.123275,0.001748,0.050008,1.621085,85.714,0.21,36.03,2032,804,0.7165,0.6501,3.66,2503.5
28,92417,,0.26759,-0.49102,-0.003441,0.001207,1.09171,0.005238,0.069336,1.635998,82.258,0.20667,35.45,2284,1019,0.6915,0.6878,3.531,2596.5
29,96678,,0.29878,-0.42607,0.001335,0.000958,1.141382,0.004567,0.049591,1.664552,93.443,0.20333,36.43,3013,1256,0.7058,0.6906,3.669,2713.4
30,99224,0.6825000000000001,0.26138,-0.49691,-0.003787,0.001641,1.137761,0.004348,0.067654,1.361848,80.0,0.2,36.76,1847,707,0.7232,0.7026,3.668,2796.7
31,101978,,0.1941,-0.62929,-0.0087,0.001161,1.171196,0.005298,0.087666,1.753034,66.102,0.19667,36.8,2135,627,0.773,0.7066,3.858,2871.6
32,104676,,0.20407,-0.60852,0.001108,0.001722,1.162749,0.005659,0.070194,1.821497,113.793,0.19333,36.32,1867,839,0.6899,0.6341,3.822,2945.9
33,108595,,0.40553,-0.20633,-0.003157,0.000944,1.137865,0.002211,0.037388,1.65239,94.737,0.19,36.25,2654,1273,0.6758,0.7207,3.632,3054.0
34,111194,,0.22924,-0.55713,-0.002481,0.001739,1.171062,0.004195,0.067384,1.672811,91.071,0.18667,37.01,1826,781,0.7004,0.7057,3.857,3124.3
35,114858,,0.28089,-0.45949,-0.001348,0.00108,1.232873,0.00707,0.039925,1.334431,109.091,0.18333,36.81,2414,1258,0.6574,0.6002,4.031,3223.8
36,116409,,0.11806,-0.76761,-0.026748,0.002292,1.200199,0.002984,0.087179,1.474897,100.0,0.18,36.69,1160,399,0.7441,0.6651,3.963,3266.1
37,118955,,0.25974,-0.51379,-0.002566,0.001576,1.194918,0.001931,0.033916,1.384661,96.226,0.17667,35.7,1796,758,0.7032,0.6472,3.919,3337.4
38,123153,,0.3698,-0.27725,-0.000486,0.000656,1.10207,0.000861,0.03445,1.458368,109.615,0.17333,36.46,3006,1200,0.7147,0.7323,3.541,3452.6
39,125593,,0.1567,-0.71964,0.007825,0.001473,1.1805,0.002994,0.051302,1.524177,100.0,0.17,36.7,1802,646,0.7361,0.6599,3.862,3519.1
40,128838,0.6175,0.35818,-0.30368,0.002884,0.001214,1.122981,0.001083,0.033075,1.724252,114.0,0.16667,36.72,2310,943,0.7101,0.6942,3.605,3622.6
41,132473,,0.2573,-0.51437,-0.005781,0.001339,1.130385,0.005927,0.057431,1.419577,110.204,0.16333,36.36,2589,1054,0.7107,0.7226,3.645,3722.6
42,136200,,0.22288,-0.59568,0.004325,0.001258,1.167671,0.002416,0.012153,1.310644,93.75,0.16,36.51,2624,1111,0.7025,0.626,3.765,3824.6
43,139910,,0.24518,-0.53963,-0.003033,0.000952,1.110239,0.003017,0.041595,1.417975,127.66,0.15667,36.1,2519,1199,0.6775,0.6786,3.531,3927.4
44,142174,,0.22383,-0.5564,-0.003067,0.001725,1.210485,0.004427,0.04043,1.425098,110.87,0.15333,36.43,1644,628,0.7236,0.6536,3.959,3989.6
45,145657,,0.22113,-0.58369,-0.002587,0.001318,1.190545,0.002845,0.028529,1.380125,120.0,0.15,36.09,2378,1113,0.6812,0.5823,3.887,4086.1
