iter,steps,eta_val,eta_train,reward,policy_loss,value_loss,entropy,approx_kl,clip_frac,ratio_max,ratio_bound,epsilon,sps,fluid_solve_count,fluid_cache_hit,zeta,phi_star_mean,a_f_mean,elapsed_s
0,3472,0.32499999999999996,0.25101,-0.5446,0.048636,0.004887,0.563456,-1.876431,0.42141,5.833249,46.667,0.3,31.98,2897,583,0.8325,0.7088,3.293,116.4
1,5738,,0.12486,-0.75491,0.005743,0.003015,1.050923,-0.028449,0.183793,1.933526,57.303,0.29667,31.91,1773,501,0.7797,0.65,3.819,187.4
2,7697,,0.15552,-0.71219,0.006083,0.003682,1.057441,-0.006282,0.125033,1.570385,64.773,0.29333,31.73,1477,490,0.7509,0.6616,3.778,249.2
3,9648,,0.15155,-0.72445,-0.004679,0.004228,1.064973,-0.008873,0.065676,1.652943,44.828,0.29,32.36,1494,465,0.7626,0.7218,3.539,309.5
4,12298,,0.16217,-0.69243,0.000614,0.003163,1.123939,0.001345,0.039468,1.62495,59.302,0.28667,32.37,1868,790,0.7028,0.6731,3.589,391.4
5,15595,,0.10529,-0.80916,-0.00219,0.001901,1.172841,0.005433,0.069005,1.694684,74.118,0.28333,31.63,2321,984,0.7023,0.6566,3.858,495.6
6,17103,,0.0712,-0.88974,-0.005389,0.003316,1.291531,0.003782,0.054366,1.472804,67.857,0.28,31.97,1125,391,0.7421,0.6444,4.41,542.8
7,19246,,0.12604,-0.7634,-0.006638,0.003337,1.167177,0.005227,0.095074,1.449316,83.133,0.27667,31.98,1476,675,0.6862,0.6348,3.994,609.8
8,21256,,0.15196,-0.71136,-0.003119,0.003055,1.171978,0.007558,0.047056,1.290594,51.22,0.27333,31.77,1395,623,0.6913,0.7021,3.797,673.1
9,24039,,0.11381,-0.80864,-0.005308,0.001774,1.214217,0.005847,0.069468,1.542526,88.889,0.27,30.86,1906,885,0.6829,0.6237,4.156,763.3
