iter,steps,eta_val,eta_train,reward,policy_loss,value_loss,entropy,approx_kl,clip_frac,ratio_max,ratio_bound,epsilon,sps,fluid_solve_count,fluid_cache_hit,zeta,phi_star_mean,a_f_mean,elapsed_s
0,2134,0.515,0.40695,-0.20474,0.037459,0.041136,0.581927,-1.962702,0.47824,4.603728,46.667,0.3,31.53,1849,293,0.8632,0.8187,3.493,76.3
1,4812,,0.37719,-0.25204,0.004508,0.005992,0.876016,-0.124359,0.218948,3.750815,50.562,0.29667,31.36,1984,702,0.7386,0.6911,3.434,161.7
2,8014,,0.21261,-0.59811,0.007422,0.003282,1.14323,-0.031271,0.125,3.878036,57.955,0.29333,32.57,2339,871,0.7287,0.5938,4.088,260.0
3,10524,,0.23366,-0.55018,-0.001364,0.002518,1.088749,-0.001676,0.063435,1.509562,65.517,0.29,32.18,1846,672,0.7331,0.6632,3.609,338.0
4,13823,,0.28072,-0.45676,-0.000782,0.00157,1.084846,-0.003196,0.063866,2.168942,48.837,0.28667,32.25,2317,990,0.7006,0.6896,3.447,440.4
5,16376,,0.15508,-0.71209,-0.001082,0.001906,1.142836,-0.003876,0.044967,1.627131,52.941,0.28333,31.38,1840,721,0.7185,0.6476,3.651,521.7
6,19610,,0.16946,-0.69446,-0.004301,0.001062,1.183297,0.000378,0.020232,1.436203,67.857,0.28,32.49,2396,846,0.739,0.6853,3.771,621.3
7,22782,,0.21691,-0.57795,-0.004884,0.002129,1.17093,0.005174,0.062946,1.489726,65.06,0.27667,32.59,2257,923,0.7097,0.6488,3.729,718.6
8,25003,,0.17388,-0.67985,0.003232,0.002482,1.239061,0.000235,0.001302,1.276505,58.537,0.27333,31.82,1596,633,0.716,0.6188,3.928,788.5
9,29350,,0.26197,-0.50649,-0.001405,0.000989,1.165824,0.003056,0.039062,1.334282,70.37,0.27,31.81,3062,1293,0.7031,0.6696,3.773,925.1
10,32851,0.5349999999999999,0.27807,-0.46477,-0.002386,0.00129,1.135715,0.002778,0.025949,1.393818,63.75,0.26667,32.35,2479,1030,0.7065,0.6474,3.584,1043.8
11,35948,,0.19812,-0.62112,-0.003486,0.001384,1.146315,0.003042,0.0369,1.601149,79.747,0.26333,32.0,2192,913,0.706,0.6765,3.626,1140.6
12,39016,,0.20599,-0.60706,-0.002041,0.001625,1.114156,0.001544,0.049437,1.560373,53.846,0.26,31.65,2283,793,0.7422,0.706,3.526,1237.6
13,42560,,0.17378,-0.66895,-0.003158,0.00094,1.187033,0.002502,0.036044,1.527388,66.234,0.25667,32.27,2543,1009,0.7159,0.6287,3.862,1347.4
14,46441,,0.27861,-0.46351,-0.004043,0.000969,1.038937,0.003298,0.067887,1.396315,55.263,0.25333,32.25,2824,1065,0.7262,0.7659,3.269,1467.8
15,48345,,0.17529,-0.67906,-0.000158,0.003507,1.194233,-0.006107,0.004043,1.302208,64.0,0.25,32.31,1402,510,0.7333,0.5923,3.765,1526.7
16,51371,,0.14741,-0.73844,0.000273,0.001338,1.237144,0.002399,0.004015,1.435092,68.919,0.24667,32.04,2120,914,0.6987,0.6027,3.956,1621.2
17,53958,,0.14593,-0.73494,-0.001003,0.000944,1.24253,-0.001237,0.0,1.178371,73.973,0.24333,32.59,1813,782,0.6987,0.6073,4.012,1700.6
18,57345,,0.23793,-0.5691,0.001093,0.001362,1.199708,0.002667,0.00897,1.188809,87.5,0.24,31.85,2351,1044,0.6925,0.651,3.835,1806.9
19,60677,,0.40937,-0.20355,-0.032254,0.001775,1.110099,0.004537,0.049383,1.377537,71.831,0.23667,32.1,2257,1083,0.6757,0.6927,3.476,1910.8
20,63156,0.5325,0.22992,-0.56754,-0.005317,0.002722,1.194095,0.002384,0.042658,2.539372,77.143,0.23333,31.93,1817,670,0.7306,0.6568,3.851,1998.3
21,66237,,0.17044,-0.68641,-0.002079,0.000767,1.127524,0.004329,0.040775,1.663517,86.957,0.23,32.54,2302,787,0.7452,0.6883,3.539,2093.0
22,68743,,0.24834,-0.51422,-0.000848,0.002715,1.169939,0.000361,0.008323,2.006341,70.588,0.22667,32.14,1744,770,0.6937,0.6517,3.673,2171.0
23,71781,,0.24699,-0.53208,4.8e-05,0.001173,1.225122,0.000779,0.016424,1.893527,111.94,0.22333,32.2,2084,962,0.6842,0.6603,3.922,2265.4
