shift_axis,train_cond,test_cond,eta,retention
arrival_intensity,12.3365,12.3365,0.38,1.0
arrival_intensity,12.3365,12.5,0.32,0.8421
arrival_intensity,12.3365,12.5822,0.26,0.6842
arrival_intensity,12.3365,24.9862,0.49,1.2895
arrival_intensity,12.3365,25.0,0.65,1.7105
arrival_intensity,12.3365,25.2176,0.46,1.2105
arrival_intensity,12.3365,48.9315,0.8,2.1053
arrival_intensity,12.3365,50.0,0.86,2.2632
arrival_intensity,12.3365,50.257,0.87,2.2895
arrival_intensity,12.3365,99.7148,0.91,2.3947
arrival_intensity,12.3365,100.0,0.78,2.0526
arrival_intensity,12.3365,100.9339,0.87,2.2895
arrival_intensity,12.3365,200.0,0.85,2.2368
arrival_intensity,12.3365,201.1474,0.93,2.4474
arrival_intensity,12.3365,202.0098,0.84,2.2105
arrival_intensity,12.5,12.3365,0.38,1.1875
arrival_intensity,12.5,12.5,0.32,1.0
arrival_intensity,12.5,12.5822,0.26,0.8125
arrival_intensity,12.5,24.9862,0.49,1.5312
arrival_intensity,12.5,25.0,0.65,2.0312
arrival_intensity,12.5,25.2176,0.46,1.4375
arrival_intensity,12.5,48.9315,0.8,2.5
arrival_intensity,12.5,50.0,0.86,2.6875
arrival_intensity,12.5,50.257,0.87,2.7188
arrival_intensity,12.5,99.7148,0.91,2.8438
arrival_intensity,12.5,100.0,0.78,2.4375
arrival_intensity,12.5,100.9339,0.87,2.7188
arrival_intensity,12.5,200.0,0.85,2.6562
arrival_intensity,12.5,201.1474,0.93,2.9062
arrival_intensity,12.5,202.0098,0.84,2.625
arrival_intensity,12.5822,12.3365,0.38,1.4615
arrival_intensity,12.5822,12.5,0.32,1.2308
arrival_intensity,12.5822,12.5822,0.26,1.0
arrival_intensity,12.5822,24.9862,0.49,1.8846
arrival_intensity,12.5822,25.0,0.65,2.5
arrival_intensity,12.5822,25.2176,0.46,1.7692
arrival_intensity,12.5822,48.9315,0.8,3.0769
arrival_intensity,12.5822,50.0,0.86,3.3077
arrival_intensity,12.5822,50.257,0.87,3.3462
arrival_intensity,12.5822,99.7148,0.91,3.5
arrival_intensity,12.5822,100.0,0.78,3.0
arrival_intensity,12.5822,100.9339,0.87,3.3462
arrival_intensity,12.5822,200.0,0.85,3.2692
arrival_intensity,12.5822,201.1474,0.93,3.5769
